ActionAffinity/&DHFeeblemindSpellDescription	Incapaz de lanzar hechizos.
Spell/&AHPactMarkSpellTitle	marca del pacto
Spell/&AirBlastDescription	Dispara una ráfaga de aire concentrado a tu objetivo.
Spell/&AirBlastTitle	Golpe de aire
Spell/&BurstOfRadianceDescription	Crea un destello brillante de luz resplandeciente que daña a todos los enemigos a tu alrededor.
Spell/&BurstOfRadianceTitle	Explosión de resplandor
Spell/&CJDivineWordDescription	Pronuncias una palabra divina, imbuida del poder que dio forma al mundo en los albores de la creación. Elige cualquier cantidad de criaturas que puedas ver dentro del alcance. Cada criatura que pueda oírte debe hacer una tirada de salvación de Carisma. En una salvación fallida, una criatura sufre un efecto basado en sus puntos de golpe actuales:\n• 50 puntos de golpe o menos: ensordecido durante 1 minuto\n• 40 puntos de golpe o menos: ensordecido y cegado durante 10 minutos\n• 30 puntos de golpe o menos: cegado, ensordecido y aturdido durante 1 hora\n• 20 puntos de golpe o menos: muerto al instante\nIndependientemente de sus puntos de golpe actuales, un celestial, un elemental, un feérico o un demonio que falla su salvación se ve obligado a regresar a su plano de origen (si aún no está allí) y no puede regresar a su plano actual por 24 horas por cualquier medio que no sea un hechizo de deseo.
Spell/&CJDivineWordTitle	Palabra Divina
Spell/&DHAnimalShapesSpellDescription	Elige cualquier cantidad de criaturas voluntarias que puedas ver dentro del alcance. Transformas cada objetivo en la forma de una bestia grande o más pequeña con una calificación de desafío de 4 o menos.
Spell/&DHAnimalShapesSpellTitle	formas de animales
Spell/&DHCastSpellArchMageDescription	Habilidad de lanzamiento de archimagos.
Spell/&DHCastSpellArchMageTitle	Habilidad de lanzamiento de archimagos
Spell/&DHCastSpellGuardianNagaDescription	Habilidad de lanzamiento de archimagos.
Spell/&DHCastSpellGuardianNagaTitle	Habilidad de lanzamiento de archimagos
Spell/&DHCastSpellLichDescription	Habilidad de lanzamiento de liches.
Spell/&DHCastSpellLichTitle	Habilidad de lanzamiento de liches
Spell/&DHConjureCelestialSpellDescription	Invocas a un celestial con una calificación de desafío de 4 o inferior, que aparece en un espacio desocupado que puedes ver dentro del alcance. El celestial desaparece cuando llega a 0 puntos de golpe o cuando termina el hechizo. El celestial es amigable contigo y tus compañeros mientras dure.
Spell/&DHConjureCelestialSpellTitle	Conjurar celestial (Couatl)
Spell/&DHDominateMonsterSpellDescription	Intentas engañar a una criatura que puedes ver dentro del alcance. Debe tener éxito en una tirada de salvación de Sabiduría o ser hechizado por ti mientras dure.
Spell/&DHDominateMonsterSpellTitle	dominar monstruo
Spell/&DHFeeblemindSpellDescription	Explotas la mente de una criatura que puedes ver dentro del alcance, intentando destrozar su intelecto y personalidad. El objetivo sufre 4d6 de daño psíquico y debe hacer una tirada de salvación de Inteligencia. Si falla, las puntuaciones de Inteligencia y Carisma de la criatura se vuelven 1. La criatura no puede lanzar hechizos, activar objetos mágicos, comprender el lenguaje o comunicarse de forma inteligible.
Spell/&DHFeeblemindSpellTitle	Débil mental
Spell/&DHFingerOfDeathSpellDescription	El objetivo debe realizar una tirada de salvación de Constitución. Se necesitan 7d8 + 30 de daño necrótico en una salvación fallida, o la mitad de daño en una exitosa.
Spell/&DHFingerOfDeathSpellTitle	Dedo de la muerte (sin zombi)
Spell/&DHForesightSpellDescription	Tocas a una criatura voluntaria y le otorgas una habilidad limitada para ver el futuro inmediato. Mientras dure, el objetivo no puede ser sorprendido y tiene ventaja en las tiradas de ataque, las pruebas de habilidad y las tiradas de salvación. Además, otras criaturas tienen desventaja en las tiradas de ataque contra el objetivo mientras dure.
Spell/&DHForesightSpellTitle	Previsión
Spell/&DHHolyAuraSpellDescription	La luz divina sale de ti y se funde en un suave resplandor en un radio de 30 pies a tu alrededor. Las criaturas de tu elección en ese radio cuando lanzas este conjuro emiten una luz tenue en un radio de 5 pies y tienen ventaja en todas las tiradas de salvación, y otras criaturas tienen desventaja en las tiradas de ataque contra ellas hasta que finaliza el conjuro.
Spell/&DHHolyAuraSpellTitle	aura sagrada
Spell/&DHIncendiaryCloudSpellDescription	Aparece una nube de humo arremolinada atravesada por brasas al rojo vivo en una esfera de 20 pies de radio centrada en un punto dentro del alcance. La nube se extiende por las esquinas y está muy oscurecida. Dura mientras dura o hasta que un viento de velocidad moderada o mayor (al menos 10 millas por hora) la dispersa.\nCuando aparece la nube, cada criatura en ella debe hacer una tirada de salvación de Destreza. Una criatura sufre 10d8 de daño por fuego si falla la salvación, o la mitad de daño si tiene éxito. Una criatura también debe hacer esta tirada de salvación cuando entra en el área del hechizo por primera vez en un turno o termina su turno allí.\nLa nube se aleja 10 pies directamente de ti en la dirección que elijas al comienzo de cada uno de tus turnos.
Spell/&DHIncendiaryCloudSpellTitle	Nube incendiaria
Spell/&DHMassHealSpellDescription	Un torrente de energía curativa fluye desde ti hacia las criaturas heridas que te rodean. Restauras 120 puntos de golpe cada uno a 6 criaturas que puedes ver dentro del alcance. Las criaturas curadas por este conjuro también se curan de todas las enfermedades y de cualquier efecto que las cegue o ensordezca. Este hechizo no tiene efecto sobre muertos vivientes o construcciones.
Spell/&DHMassHealSpellTitle	Curación masiva
Spell/&DHMazeSpellDescription	Destierras a una criatura que puedes ver dentro del alcance en un semiplano laberíntico. El objetivo permanece allí durante la duración o hasta que escapa del laberinto. /nEl objetivo puede usar su acción para intentar una prueba de Inteligencia CD 20 para escapar.
Spell/&DHMazeSpellTitle	Laberinto
Spell/&DHMeteorSwarmSingleTargetSpellDescription	Orbes llameantes de fuego caen en picado al suelo en un solo punto que puedes ver dentro del alcance. Cada criatura en una esfera de 40 pies de radio centrada en el punto que elijas debe hacer una tirada de salvación de Destreza. La esfera se extiende por las esquinas. Una criatura sufre 20d6 de daño por fuego y 20d6 de daño contundente si falla la salvación, o la mitad de daño si tiene éxito. Una criatura en el área de más de un estallido de fuego se ve afectada solo una vez.
Spell/&DHMeteorSwarmSingleTargetSpellTitle	Enjambre de meteoritos (objetivo único)
Spell/&DHMindBlankSpellDescription	Hasta que finalice el conjuro, una criatura voluntaria que toques es inmune al daño psíquico, cualquier efecto que pueda sentir sus emociones o leer sus pensamientos, conjuros de adivinación y la condición encantada.
Spell/&DHMindBlankSpellTitle	Mente en blanco
Spell/&DHPowerWordHealSpellDescription	Una ola de energía curativa inunda a la criatura que tocas. El objetivo recupera todos sus puntos de golpe. Si la criatura está encantada, asustada, paralizada o aturdida, la condición finaliza. Si la criatura está boca abajo, puede usar su reacción para ponerse de pie. Este hechizo no tiene efecto sobre muertos vivientes o construcciones.
Spell/&DHPowerWordHealSpellTitle	Palabra de poder sanar
Spell/&DHPowerWordKillSpellDescription	Pronuncias una palabra de poder que puede obligar a una criatura que puedas ver dentro del alcance a morir instantáneamente. Si la criatura que eliges tiene 100 puntos de golpe o menos, muere. De lo contrario, el hechizo no tiene efecto.
Spell/&DHPowerWordKillSpellTitle	Palabra de poder matar
Spell/&DHPowerWordStunSpellDescription	Pronuncias una palabra de poder que puede abrumar la mente de una criatura que puedes ver dentro del alcance, dejándola estupefacta. Si el objetivo tiene 150 puntos de golpe o menos, queda aturdido. De lo contrario, el hechizo no tiene efecto.
Spell/&DHPowerWordStunSpellTitle	Aturdimiento de palabra de poder
Spell/&DHReverseGravitySpellDescription	Este hechizo invierte la gravedad en un cilindro de 50 pies de radio y 100 pies de alto centrado en un punto dentro del alcance.
Spell/&DHReverseGravitySpellTitle	Gravedad inversa
Spell/&DHShapechangeSpellDescription	Asumes la forma de una criatura diferente durante la duración. La nueva forma puede ser de cualquier criatura con una calificación de desafío igual a tu nivel o inferior.
Spell/&DHShapechangeSpellTitle	Cambio de forma
Spell/&DHSunBurstSpellDescription	La luz del sol brilla en un radio de 60 pies centrado en un punto que elija dentro del alcance. Cada criatura en esa luz debe hacer una tirada de salvación de Constitución. Si falla, la criatura sufre 12d6 de daño radiante y queda cegada durante 1 minuto. Si tiene éxito, recibe la mitad de daño y no queda cegado por este hechizo. Los muertos vivientes y los cienos tienen desventaja en esta tirada de salvación. Una criatura cegada por este hechizo hace otra tirada de salvación de Constitución al final de cada uno de sus turnos. Con una salvación exitosa, ya no queda cegado. Este hechizo disipa cualquier oscuridad en su área que haya sido creada por un hechizo.
Spell/&DHSunBurstSpellTitle	rayos de sol
Spell/&DHTimeStopSpellDescription	Detienes brevemente el flujo del tiempo para todos menos para ti. No pasa el tiempo para otras criaturas, mientras tomas 1d4 + 1 turnos seguidos, durante los cuales puedes usar acciones y moverte normalmente.
Spell/&DHTimeStopSpellTitle	parada de tiempo
Spell/&DHWeirdSpellDescription	Basándote en los miedos más profundos de un grupo de criaturas, creas criaturas ilusorias en sus mentes, visibles solo para ellos. Cada criatura en una esfera de 30 pies de radio centrada en un punto de tu elección dentro del alcance debe hacer una tirada de salvación de Sabiduría. En una salvación fallida, una criatura queda asustada por la duración. La ilusión apela a los miedos más profundos de la criatura, manifestando sus peores pesadillas como una amenaza implacable. Al final de cada uno de los turnos de la criatura asustada, debe superar una tirada de salvación de Sabiduría o recibir 4d10 de daño psíquico. Con una salvación exitosa, el conjuro termina para esa criatura.
Spell/&DHWeirdSpellTitle	Extraño
Spell/&EarthTremorDescription	Golpeas el suelo y desatas un temblor de fuerza sísmica, arrojando tierra, rocas y arena.
Spell/&EarthTremorTitle	Terremoto
Spell/&EldritchBlastDescription	Un rayo de energía crepitante se dirige hacia una criatura dentro del alcance. Realiza un ataque de hechizo a distancia contra el objetivo. Con un impacto, el objetivo sufre 1d10 de daño por fuerza.\nEl hechizo crea más de un rayo cuando alcanzas niveles más altos: dos rayos en el nivel 5, tres rayos en el nivel 11 y cuatro rayos en el nivel 17. Puede dirigir los rayos al mismo objetivo o a diferentes. Haz una tirada de ataque separada para cada rayo.
Spell/&EldritchBlastGraspingHandDescription	Un rayo de energía crepitante se dirige hacia una criatura dentro del alcance. Realiza un ataque de hechizo a distancia contra el objetivo. Con un impacto, el objetivo sufre 1d10 de daño por fuerza.\n(Cuando golpeas a una criatura con tu explosión sobrenatural, puedes mover esa criatura en línea recta 10 pies más cerca de ti).
Spell/&EldritchBlastGraspingHandTitle	Explosión sobrenatural (agarre)
Spell/&EldritchBlastRepellingBlastDescription	Un rayo de energía crepitante se dirige hacia una criatura dentro del alcance. Realiza un ataque de hechizo a distancia contra el objetivo. Con un impacto, el objetivo sufre 1d10 de daño por fuerza.\n(Cuando golpeas a una criatura con eldritch blast, puedes empujar a la criatura hasta 10 pies de distancia de ti en línea recta).
Spell/&EldritchBlastRepellingBlastTitle	Explosión sobrenatural (repelente)
Spell/&EldritchBlastTitle	Explosión sobrenatural
Spell/&EldritchOrbDescription	Arrojas una bola de energía sobrenatural a una criatura u objeto dentro del alcance e infliges daño de fuerza en un radio pequeño.
Spell/&EldritchOrbTitle	Orbe sobrenatural
Spell/&EWResonatingStrikeDescription	Selecciona una criatura dentro de tu alcance cuerpo a cuerpo y una criatura diferente que puedas ver a menos de 5 pies del objetivo principal. Haces un ataque cuerpo a cuerpo con el arma actual contra la primera criatura. En un golpe, el objetivo sufre los efectos normales del ataque del arma y el sonido resonante salta al segundo objetivo, infligiendo un daño de trueno igual a tu modificador de habilidad de lanzamiento de hechizos.\nEn el nivel 5, el ataque cuerpo a cuerpo inflige 1d8 de daño de trueno extra al objetivo con un golpe, y el daño de trueno a la segunda criatura aumenta a 1d8 + tu modificador de habilidad para lanzar conjuros. Ambas tiradas de daño aumentan en 1d8 en los niveles 11 y 17.
Spell/&EWResonatingStrikeTitle	Golpe resonante
Spell/&EWSunlightBladeDescription	Haz un ataque cuerpo a cuerpo con un arma. En un golpe, el objetivo sufre los efectos normales del ataque y se ve envuelto en una energía radiante que brilla intensamente, arrojando una luz tenue durante el turno. El próximo ataque contra esta criatura mientras está resaltada se realiza con ventaja.\nA nivel 5, el ataque cuerpo a cuerpo inflige 1d8 de daño radiante adicional al objetivo. El daño aumenta en otros 1d8 a nivel 11 y 17.
Spell/&EWSunlightBladeTitle	Hoja iluminada por el sol
Spell/&FindFamiliarDescription	Obtienes el servicio de un familiar.
Spell/&FindFamiliarImpDescription	Invoca a tu familiar en forma de diablillo.
Spell/&FindFamiliarImpTitle	Encuentra familiar (Diablillo)
Spell/&FindFamiliarPsuedodragonDescription	Invoca a tu familiar en forma de pseudodragón.
Spell/&FindFamiliarPsuedodragonTitle	Encuentra familiar (pseudodragón)
Spell/&FindFamiliarQuasitDescription	Invoca a tu familiar en forma de cuasit.
Spell/&FindFamiliarQuasitTitle	Encuentra familiar (cuasit)
Spell/&FindFamiliarSpriteDescription	Invoca a tu familiar en forma de Sprite.
Spell/&FindFamiliarSpriteTitle	Encuentra Familiar (Sprite)
Spell/&FindFamiliarTitle	Encuentra familiar
Spell/&FrenzyDescription	Con un gesto, reducís una multitud a la base del instinto y la violencia. Elija un punto que pueda ver dentro del alcance. Cada criatura a 20 pies o menos de ese punto debe hacer una tirada de salvación de Sabiduría. En una salvación fallida, una criatura entra en frenesí durante la duración. Cuando una criatura entra en frenesí, desenvaina un arma cuerpo a cuerpo, si tiene una. Una criatura frenética debe usar su acción al comienzo de su turno para atacar a una criatura a su alcance. Utiliza un arma cuerpo a cuerpo, si la tiene, o un arma improvisada o un ataque sin armas, si no la tiene. Si varios objetivos están dentro del alcance de la criatura, elige su objetivo al azar. Si no hay ningún objetivo al alcance de la criatura, se ataca a sí misma, contra su propia CA, infligiendo daño de forma normal con un golpe. Al final de su turno, una criatura frenética puede repetir su tirada de salvación, acabando pronto con el efecto si tiene éxito.
Spell/&FrenzyTitle	Frenesí
Spell/&HinderingBlastDescription	Un rayo de energía crepitante se dirige hacia una criatura dentro del alcance. Realiza un ataque de hechizo a distancia contra el objetivo. Con un impacto, el objetivo sufre 1d10 de daño por fuerza.\n(Cuando golpeas a una criatura con tu explosión sobrenatural, puedes reducir la velocidad de esa criatura en 10 pies hasta el final de tu próximo turno).
Spell/&HinderingBlastTitle	Explosión sobrenatural (obstaculización)
Spell/&IlluminatingSphereDescription	Hace que se enciendan fuentes de luz como antorchas y lámparas de maná en el área de efecto.
Spell/&IlluminatingSphereTitle	esfera iluminadora
Spell/&IPConjureInvisibleStalkerTitle	Conjurar elemental (acechador invisible)
Spell/&MinorLifestealDescription	Drenas la energía vital de una criatura hostil que puedes ver dentro del alcance. Luego curas puntos de vida iguales a la cantidad de daño infligido. Este hechizo no tiene efecto sobre muertos vivientes o construcciones.
Spell/&MinorLifestealTitle	Robo de vida menor
Spell/&MirrorImageDescription	Imagen de espejo
Spell/&MirrorImageTitle	Imagen de espejo
Spell/&MuleDescription	El destinatario de este hechizo puede ignorar los efectos de cargas pesadas o armaduras en la velocidad de movimiento. También pueden llevar un poco más de peso.
Spell/&MuleTitle	Mula
Spell/&PetalStormDescription	Elija un cubo de aire de 15 pies desocupado que pueda ver dentro del alcance. Una fuerza elemental de vientos arremolinados aparece en el cubo y dura lo que dura el hechizo. La nube oscurece fuertemente su área. Cualquier criatura que entre en la tormenta por primera vez en un turno o comience su turno allí debe hacer una tirada de salvación de Fuerza. Si falla, la criatura sufre 3d4 de daño cortante. Como acción adicional, puedes mover la tormenta hasta 30 pies en cualquier dirección.
Spell/&PetalStormTitle	Tormenta de pétalos
Spell/&ProtectThresholdDescription	Trazando sigilos arcanos a lo largo de su límite, puedes proteger una puerta, ventana u otro portal de entrada. Mientras dura, una criatura sobrenatural invisible acecha el portal protegido. Cualquier criatura que intente atravesar el portal debe hacer una tirada de salvación de Sabiduría o recibir 4d6 de daño psíquico, o la mitad si tiene éxito.
Spell/&ProtectThresholdTitle	Umbral de protección
Spell/&RadiantMotesDescription	Libera un enjambre de 5 proyectiles radiantes que infligen 2 de daño radiante cada uno, pero nunca fallan. Los objetivos pueden irradiar luz durante un máximo de 1 minuto.\nCuando lanzas este hechizo usando un espacio de hechizo de nivel 2 o superior, el hechizo crea 2 proyectiles más para cada espacio por encima del nivel 1.
Spell/&RadiantMotesTitle	Motas radiantes
Spell/&ThunderStrikeDescription	Crea un estallido de sonido atronador, obligando a las criaturas adyacentes a ti a realizar una tirada de salvación de Constitución o recibir 1d6 de daño por trueno.\nEl daño de este hechizo aumenta en 1d6 cuando alcanzas el nivel 5 (2d6), el nivel 11 (3d6) y el nivel 17 (4d6).
Spell/&ThunderStrikeTitle	Ráfaga de sonido
Spell/&WinterBreathDescription	Crea una ráfaga de viento frío para congelar a tus enemigos y derribarlos.
Spell/&WinterBreathTitle	Aliento de invierno
Spell/&WitchFamiliarDescription	Obtienes el servicio de un familiar.
Spell/&WitchFamiliarTitle	Bruja familiar
SpellList/&ClassWarlockSpellListDescription	Lista de hechizos de brujo.
SpellList/&ClassWarlockSpellListTitle	Lista de hechizos de brujo
SpellList/&ElementalistSpellsListDescription	Lista de hechizos de elementalista.
SpellList/&ElementalistSpellsListTitle	Lista de hechizos de elementalista
SpellList/&RiftWalkerSpellsListDescription	Lista de hechizos de RiftWalker.
SpellList/&RiftWalkerSpellsListTitle	Lista de hechizos de Caminante del Rift
SpellList/&SpellListTinkererDescription	Lista de hechizos de Tinkerer.
SpellList/&SpellListTinkererTitle	Lista de hechizos del manitas
Stage/&IdentityMorphotypeEyeHeader	Estilo de ojos
Stage/&SubclassSelectionStageClassMonkTraditionDescription	Esta etapa selecciona la tradición monástica del personaje.
Stage/&SubclassSelectionStageClassMonkTraditionFeatures	Características de la tradición monástica
Stage/&SubclassSelectionStageClassMonkTraditionHeader	Seleccione una tradición monástica
Stage/&SubclassSelectionStageClassMonkTraditionNoneDescription	Debe seleccionar una tradición monástica.
Stage/&SubclassSelectionStageClassMonkTraditionTitle	Monástico\nTradicion
Stage/&SubclassSelectionStageCovenDescription	Asamblea de brujas.
Stage/&SubclassSelectionStageCovenFeaturesDescription	Asamblea de brujas.
Stage/&SubclassSelectionStageCovenFeaturesHeader	Características del aquelarre
Stage/&SubclassSelectionStageCovenFeaturesTitle	Asamblea de brujas
Stage/&SubclassSelectionStageCovenHeader	Seleccione un Aquelarre
Stage/&SubclassSelectionStageCovenTitle	Asamblea de brujas
Stage/&SubclassSelectionStagePatronDescription	Un brujo se define por un pacto con un ser de otro mundo. A veces, la relación entre el brujo y el patrón es como la de un clérigo y una deidad, aunque los seres que actúan como patrones no son dioses.
Stage/&SubclassSelectionStagePatronFeatures	Características de los usuarios de otro mundo
Stage/&SubclassSelectionStagePatronHeader	Patrones de otro mundo de brujo
Stage/&SubclassSelectionStagePatronTitle	Mecenas de otro mundo
Stage/&SubclassSelectionStageSpecialistDescription	Descripción Hay una amplia gama de especialidades en Tinkerers, incluida la elaboración de elixires como Potion Maker, la creación de explosiones como Blaster y el uso de armas mágicas como Weapon Smith.
Stage/&SubclassSelectionStageSpecialistFeatures	Funciones especializadas
Stage/&SubclassSelectionStageSpecialistHeader	Especializaciones
Stage/&SubclassSelectionStageSpecialistNoneDescription	Especialista Ninguno Descripción.
Stage/&SubclassSelectionStageSpecialistTitle	Seleccionar especialización
Subclass/&AbilityAffinityRogueConArtistDescription	Ventaja en pruebas de habilidad usando Persuasión, Engaño, Interpretación y Prestidigitación.
Subclass/&AbilityAffinityRogueConArtistTitle	Manipulativo
Subclass/&AHWarlockSubclassSoulBladePactDescription	Has llegado a un acuerdo con un arma sensible con la que alimentas almas a cambio de poder.
Subclass/&AHWarlockSubclassSoulBladePactTitle	Pacto Soulblade
Subclass/&ArcaneFighterAdditionalActionDescription	Puedes lanzar un hechizo después de derrotar a un enemigo con tus ataques con armas.
Subclass/&ArcaneFighterAdditionalActionTitle	Lucha de hechizos
Subclass/&ArcaneFighterBonusWeaponDamageDescription	Una vez por turno, tus ataques con armas infligen 1d8 de daño extra.
Subclass/&ArcaneFighterBonusWeaponDamageTitle	Ataques con poder mágico
Subclass/&ArtificerAlchemistDescription	Te especializas en pociones, beneficios, curación y lanzamiento de hechizos.
Subclass/&ArtificerAlchemistTitle	fabricante de pociones
Subclass/&ArtificerArtileristCannonsDescription	Creas un conjunto de cañones que puedes activar en la batalla como una acción adicional.
Subclass/&ArtificerArtileristCannonsTitle	cañones
Subclass/&ArtificerArtilleristDescription	Te especializas en lanzar proyectiles y provocar explosiones.
Subclass/&ArtificerArtilleristTitle	blaster
Subclass/&ArtificerBattleSmithDescription	Te especializas en el uso de armas mágicas en combate.
Subclass/&ArtificerBattleSmithTitle	Forjador de armas
Subclass/&ArtificerSpellcastingDescription	Lanza hechizos de Tinkerer.
Subclass/&ArtificerSpellcastingTitle	Lanzamiento de hechizos de manitas
Subclass/&AttackModifierArtificerBattleSmithWeaponDescription	Tus ataques cuentan como mágicos y usas tu Inteligencia para las tiradas de ataque y daño.
Subclass/&AttackModifierArtificerBattleSmithWeaponTitle	Arma imbuida
Subclass/&AttackModifierArtificerBlindingWeaponDescription	Un arma que elijas que gane la capacidad de cegar objetivos al impactar (contra una salvación de Constitución). Solo puede tener activa una de cada infusión a la vez. Activarlo por segunda vez cancelará la primera.
Subclass/&AttackModifierArtificerBlindingWeaponTitle	Arma cegadora
Subclass/&AttackModifierArtificerEnhancedArmorDescription	Una armadura que elijas se vuelve mágica y proporciona +1 CA adicional. Solo puedes tener una infusión activa una vez. Activarlo por segunda vez cancelará la primera.
Subclass/&AttackModifierArtificerEnhancedArmorTitle	Armadura mejorada
Subclass/&AttackModifierArtificerEnhancedFocusDescription	Un foco de lanzamiento de conjuros que elijas se vuelve mágico y gana +1 a las tiradas de ataque con conjuros y a la CD de salvación con conjuros. Solo puede tener activa una de cada infusión a la vez. Activarlo por segunda vez cancelará la primera.
Subclass/&AttackModifierArtificerEnhancedFocusTitle	Enfoque mejorado
Subclass/&AttackModifierArtificerEnhancedWeaponDescription	El arma que elijas se vuelve mágica y gana +1 en las tiradas de ataque y daño. Solo puede tener activa una de cada infusión a la vez. Activarlo por segunda vez cancelará la primera.
Subclass/&AttackModifierArtificerEnhancedWeaponTitle	Arma mejorada
Subclass/&AttackModifierArtificerImprovedEnhancedArmorDescription	Una armadura que elijas se vuelve mágica y proporciona +2 CA. Solo puede tener activa una de cada infusión a la vez. Activarlo por segunda vez cancelará la primera.
Subclass/&AttackModifierArtificerImprovedEnhancedArmorTitle	Armadura mejorada mejorada
Subclass/&AttackModifierArtificerImprovedEnhancedFocusDescription	El foco de lanzamiento de conjuros que elijas se vuelve mágico y gana +2 a las tiradas de ataque con conjuros y a la CD de salvación con conjuros. Solo puede tener activa una de cada infusión a la vez. Activarlo por segunda vez cancelará la primera.
Subclass/&AttackModifierArtificerImprovedEnhancedFocusTitle	Enfoque mejorado mejorado
Subclass/&AttackModifierArtificerImprovedEnhancedWeaponDescription	Toca un arma y se vuelve mágica y gana +2 en las tiradas de ataque y daño. Solo puede tener activa una de cada infusión a la vez. Activarlo por segunda vez cancelará la primera.
Subclass/&AttackModifierArtificerImprovedEnhancedWeaponTitle	Arma mejorada mejorada
Subclass/&AttackModifierImprovedArtificerBattleSmithWeaponDescription	Infundes tu arma con poder. Tus ataques cuentan como mágicos y sumas +7 a tus tiradas de ataque y daño.
Subclass/&AttackModifierImprovedArtificerBattleSmithWeaponTitle	Arma de infusión mejorada
Subclass/&AttackModifierMeleeWizardArcaneWeaponDescription	Cuando está activo en un arma, sus ataques cuentan como mágicos y usas tu Inteligencia para tus tiradas de ataque y daño.
Subclass/&AttackModifierMeleeWizardArcaneWeaponTitle	Arma arcana
Subclass/&AttributeModifierArtificerBattleSmithExtraAttackDescription	Obtienes un ataque adicional.
Subclass/&AttributeModifierArtificerBattleSmithExtraAttackTitle	Ataque adicional
Subclass/&AttributeModifierMeleeWizardExtraAttackDescription	Obtienes un ataque adicional.
Subclass/&AttributeModifierMeleeWizardExtraAttackTitle	Ataque adicional
Subclass/&BarbarianPathOfTheLightDescription	Los bárbaros que siguen el Camino de la Luz iluminan la oscuridad y protegen a sus aliados de los peligros que acechan en su interior.
Subclass/&BarbarianPathOfTheLightEyesOfTruthDescription	Siempre estás bajo los efectos de un hechizo Ver Invisibilidad.
Subclass/&BarbarianPathOfTheLightEyesOfTruthTitle	ojos de la verdad
Subclass/&BarbarianPathOfTheLightIlluminatedConditionDescription	Distraído por Illuminating Strike.
Subclass/&BarbarianPathOfTheLightIlluminatedConditionTitle	Iluminado
Subclass/&BarbarianPathOfTheLightIlluminatedDisadvantageDescription	Desventaja en cualquier tirada de ataque que no sea contra el bárbaro Path of the Light.
Subclass/&BarbarianPathOfTheLightIlluminatedPreventInvisibilityDescription	No puede volverse invisible.
Subclass/&BarbarianPathOfTheLightIlluminatingBurstDescription	En el turno en que entras en furia, puedes elegir iluminar hasta tres enemigos a 30 pies de ti. Deben tener éxito en una tirada de salvación de Constitución (CD igual a 8 + tu bonificador de competencia + tu modificador de Constitución) o recibir 4d6 de daño radiante y ser iluminado por tu Golpe Iluminador durante 1 minuto. Una criatura iluminada de esta forma hace otra tirada de salvación de Constitución al final de cada uno de sus turnos. Con una salvación exitosa, el efecto finaliza.
Subclass/&BarbarianPathOfTheLightIlluminatingBurstPowerDescription	Hasta tres enemigos hacen una tirada de salvación de Constitución o reciben 4d6 de daño radiante y se iluminan con tu Golpe iluminador.
Subclass/&BarbarianPathOfTheLightIlluminatingBurstPowerTitle	Explosión iluminadora
Subclass/&BarbarianPathOfTheLightIlluminatingBurstTitle	Explosión iluminadora
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeDescription	Mientras estás en furia, la primera criatura a la que golpeas con un ataque en tu turno recibe 1d6 de daño radiante adicional y se ilumina mágicamente hasta el comienzo de tu próximo turno. Además, la criatura tiene desventaja en cualquier tirada de ataque que no sea contra ti y no puede volverse invisible.
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeImprovementDescription	El daño adicional infligido por Illuminating Strike aumenta a 2d6.
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeImprovementTitle	Mejora de Golpe Iluminador
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeTitle	Golpe iluminador
Subclass/&BarbarianPathOfTheLightLightsProtectionDescription	Recuperas puntos de golpe equivalentes a la mitad de tu nivel de bárbaro cuando muere una criatura hostil afectada por tu Golpe iluminador. Además, ya no provocas ataques de oportunidad de criaturas afectadas por tu Golpe iluminador.
Subclass/&BarbarianPathOfTheLightLightsProtectionTitle	Protección de la luz
Subclass/&BarbarianPathOfTheLightPierceTheDarknessDescription	Obtienes una visión en la oscuridad superior.
Subclass/&BarbarianPathOfTheLightPierceTheDarknessTitle	perforar la oscuridad
Subclass/&BarbarianPathOfTheLightSeeingInvisibleConditionDescription	Puede percibir criaturas invisibles.
Subclass/&BarbarianPathOfTheLightSeeingInvisibleConditionTitle	Vista de invisibilidad
Subclass/&BarbarianPathOfTheLightTitle	camino de la luz
Subclass/&BloodWitchDescription	Prohibida por la mayoría de los aquelarres de brujas, la magia de sangre se centra en el uso de hechizos oscuros y maleficios mortales que se basan en la esencia misma del lanzador de hechizos. Es fundamentalmente más peligroso que otras artesanías de brujería, pero sus muchos riesgos vienen con copiosas recompensas.
Subclass/&BloodWitchMagicDescription	Ganas los siguientes hechizos. Estos hechizos cuentan como hechizos de bruja para ti y no cuentan contra tu número total de hechizos conocidos:\n {0}
Subclass/&BloodWitchMagicTitle	magia de sangre
Subclass/&BloodWitchTitle	Bruja de sangre
Subclass/&CancelCancelElixirFlyDescription	Finaliza la condición de Vuelo del Elixir del fabricante de pociones.
Subclass/&CancelCancelElixirFlyTitle	Cancelar volar
Subclass/&CancelCancelElixirResilienceDescription	Finaliza la condición de resiliencia del elixir de fabricante de pociones.
Subclass/&CancelCancelElixirResilienceTitle	Cancelar Resiliencia
Subclass/&CancelCancelElixirSwiftnessDescription	Acaba con la condición de Rapidez del Elixir Potion Maker.
Subclass/&CancelCancelElixirSwiftnessTitle	Cancelar Rapidez
