ActionAffinity/&DHFeeblemindSpellDescription	Incapaz de lançar feitiços.
Spell/&BurstOfRadianceTitle	Explosão de Radiância
Spell/&CJDivineWordDescription	Você pronuncia uma palavra divina, imbuída do poder que moldou o mundo no início da criação. Escolha qualquer número de criaturas que você possa ver dentro do alcance. Cada criatura que pode ouvir você deve fazer um teste de resistência de Carisma. Em uma falha na resistência, uma criatura sofre um efeito baseado em seus pontos de vida atuais:\n• 50 pontos de vida ou menos: surdo por 1 minuto\n• 40 pontos de vida ou menos: surdo e cego por 10 minutos\n• 30 pontos de vida ou menos: cego, surdo e atordoado por 1 hora\n• 20 pontos de vida ou menos: morto instantaneamente\nIndependentemente de seus pontos de vida atuais, um celestial, um elemental, uma fada ou um demônio que falhe no teste de resistência é forçado a voltar ao seu plano de origem (se já não estiver lá) e não pode retornar ao seu plano atual por 24 horas por qualquer meio que não seja um feitiço de desejo.
Spell/&CJDivineWordTitle	Palavra Divina
Spell/&DHAnimalShapesSpellDescription	Escolha qualquer número de criaturas voluntárias que você possa ver dentro do alcance. Você transforma cada alvo na forma de uma besta Grande ou menor com nível de desafio 4 ou menor.
Spell/&DHAnimalShapesSpellTitle	Formas de animais
Spell/&DHCastSpellArchMageDescription	Habilidade de Conjuração do Arquimago.
Spell/&DHCastSpellArchMageTitle	Habilidade de Conjuração do Arquimago
Spell/&DHCastSpellGuardianNagaDescription	Habilidade de Conjuração do Arquimago.
Spell/&DHCastSpellGuardianNagaTitle	Habilidade de Conjuração do Arquimago
Spell/&DHCastSpellLichDescription	Habilidade de Conjuração de Lich.
Spell/&DHCastSpellLichTitle	Habilidade de Conjuração de Lich
Spell/&DHConjureCelestialSpellDescription	Você invoca um celestial de nível de desafio 4 ou inferior, que aparece em um espaço desocupado que você pode ver dentro do alcance. O celestial desaparece quando chega a 0 pontos de vida ou quando a magia termina. O celestial é amigável com você e seus companheiros pela duração.
Spell/&DHConjureCelestialSpellTitle	Conjurar Celestial (Couatl)
Spell/&DHDominateMonsterSpellDescription	Você tenta seduzir uma criatura que você pode ver dentro do alcance. Ele deve ser bem sucedido em um teste de resistência de Sabedoria ou ficará enfeitiçado por você pela duração.
Spell/&DHDominateMonsterSpellTitle	Dominar Monstro
Spell/&DHFeeblemindSpellDescription	Você explode a mente de uma criatura que você pode ver dentro do alcance, tentando destruir seu intelecto e personalidade. O alvo sofre 4d6 de dano psíquico e deve fazer um teste de resistência de Inteligência. Se falhar, os valores de Inteligência e Carisma da criatura se tornam 1. A criatura não pode lançar feitiços, ativar itens mágicos, entender linguagem ou se comunicar de qualquer maneira inteligível.
Spell/&DHFeeblemindSpellTitle	Mente fraca
Spell/&DHFingerOfDeathSpellDescription	O alvo deve fazer um teste de resistência de Constituição. Ele sofre 7d8 + 30 de dano necrótico se falhar na resistência, ou metade desse dano se obtiver sucesso.
Spell/&DHFingerOfDeathSpellTitle	Dedo da Morte (Sem Zumbi)
Spell/&DHForesightSpellDescription	Você toca uma criatura voluntária e concede uma habilidade limitada de ver o futuro imediato. Pela duração, o alvo não pode ser surpreendido e tem vantagem em jogadas de ataque, testes de habilidade e testes de resistência. Além disso, outras criaturas têm desvantagem nas jogadas de ataque contra o alvo pela duração.
Spell/&DHForesightSpellTitle	Previsão
Spell/&DHHolyAuraSpellDescription	A luz divina desaparece de você e se aglutina em um brilho suave em um raio de 9 metros ao seu redor. Criaturas de sua escolha nesse raio quando você conjurar esta magia emitem penumbra em um raio de 1,5 metro e têm vantagem em todos os testes de resistência, e outras criaturas têm desvantagem nas jogadas de ataque contra elas até que a magia termine.
Spell/&DHHolyAuraSpellTitle	Aura Sagrada
Spell/&DHIncendiaryCloudSpellDescription	Uma nuvem rodopiante de fumaça atravessada por brasas incandescentes aparece em uma esfera de 6 metros de raio centrada em um ponto dentro do alcance. A nuvem se espalha pelos cantos e é fortemente obscurecida. Ele dura a duração ou até que um vento de velocidade moderada ou maior (pelo menos 10 milhas por hora) o disperse.\nQuando a nuvem aparece, cada criatura nela deve fazer um teste de resistência de Destreza. Uma criatura sofre 10d8 de dano de fogo se falhar na resistência, ou metade desse dano se obtiver sucesso. Uma criatura também deve fazer este teste de resistência quando entrar na área da magia pela primeira vez em um turno ou terminar seu turno lá.\nA nuvem se move 3 metros diretamente para longe de você em uma direção que você escolher no início de cada um de seus turnos.
Spell/&DHIncendiaryCloudSpellTitle	Nuvem Incendiária
Spell/&DHMassHealSpellDescription	Uma enxurrada de energia curativa flui de você para as criaturas feridas ao seu redor. Você restaura 120 pontos de vida cada para 6 criaturas que você pode ver dentro do alcance. Criaturas curadas por este feitiço também são curadas de todas as doenças e qualquer efeito que as deixe cegas ou surdas. Esta magia não tem efeito em mortos-vivos ou constructos.
Spell/&DHMassHealSpellTitle	Cura em massa
Spell/&DHMazeSpellDescription	Você bane uma criatura que você pode ver dentro do alcance em um semiplano labiríntico. O alvo permanece lá pela duração ou até escapar do labirinto. /nO alvo pode usar sua ação para tentar um teste de Inteligência CD 20 para escapar.
Spell/&DHMazeSpellTitle	Labirinto
Spell/&DHMeteorSwarmSingleTargetSpellDescription	Orbes flamejantes de fogo caem no chão em um único ponto que você pode ver dentro do alcance. Cada criatura em uma esfera de 12 metros de raio centrada no ponto que você escolher deve fazer um teste de resistência de Destreza. A esfera se espalha em torno dos cantos. Uma criatura sofre 20d6 de dano de fogo e 20d6 de dano de concussão se falhar na resistência, ou metade desse dano se obtiver sucesso. Uma criatura na área de mais de uma explosão de fogo é afetada apenas uma vez.
Spell/&DHMeteorSwarmSingleTargetSpellTitle	Enxame de Meteoros (Alvo Único)
Spell/&DHMindBlankSpellDescription	Até que a magia termine, uma criatura voluntária que você tocar é imune a dano psíquico, qualquer efeito que sinta suas emoções ou leia seus pensamentos, magias de adivinhação e a condição enfeitiçada.
Spell/&DHMindBlankSpellTitle	Mente em branco
Spell/&DHPowerWordHealSpellDescription	Uma onda de energia curativa inunda a criatura que você toca. O alvo recupera todos os seus pontos de vida. Se a criatura estiver enfeitiçada, assustada, paralisada ou atordoada, a condição termina. Se a criatura estiver caída, ela pode usar sua reação para se levantar. Esta magia não tem efeito em mortos-vivos ou constructos.
Spell/&DHPowerWordHealSpellTitle	Palavra de Poder Cura
Spell/&DHPowerWordKillSpellDescription	Você pronuncia uma palavra de poder que pode obrigar uma criatura que você possa ver dentro do alcance a morrer instantaneamente. Se a criatura que você escolher tiver 100 pontos de vida ou menos, ela morre. Caso contrário, a magia não tem efeito.
Spell/&DHPowerWordKillSpellTitle	Matar palavras de poder
Spell/&DHPowerWordStunSpellDescription	Você fala uma palavra de poder que pode sobrecarregar a mente de uma criatura que você possa ver dentro do alcance, deixando-a estupefata. Se o alvo tiver 150 pontos de vida ou menos, ele fica atordoado. Caso contrário, a magia não tem efeito.
Spell/&DHPowerWordStunSpellTitle	Atordoamento da Palavra de Poder
Spell/&DHReverseGravitySpellDescription	Este feitiço reverte a gravidade em um cilindro de 15 metros de raio e 30 metros de altura centrado em um ponto dentro do alcance.
Spell/&DHReverseGravitySpellTitle	Gravidade reversa
Spell/&DHShapechangeSpellDescription	Você assume a forma de uma criatura diferente pela duração. A nova forma pode ser de qualquer criatura com nível de desafio igual ou inferior ao seu nível.
Spell/&DHShapechangeSpellTitle	Mudança de forma
Spell/&DHSunBurstSpellDescription	A luz do sol brilha em um raio de 18 metros centrado em um ponto que você escolher dentro do alcance. Cada criatura naquela luz deve fazer um teste de resistência de Constituição. Se falhar na resistência, uma criatura sofre 12d6 de dano radiante e fica cega por 1 minuto. Em um teste bem sucedido, ele recebe metade do dano e não fica cego por este feitiço. Mortos-vivos e limos têm desvantagem neste teste de resistência. Uma criatura cega por esta magia faz outro teste de resistência de Constituição no final de cada um de seus turnos. Em um teste bem sucedido, ele não fica mais cego. Este feitiço dissipa qualquer escuridão em sua área que foi criada por um feitiço.
Spell/&DHSunBurstSpellTitle	reluzente
Spell/&DHTimeStopSpellDescription	Você interrompe brevemente o fluxo do tempo para todos, menos para você. Nenhum tempo passa para outras criaturas, enquanto você realiza 1d4 + 1 turnos seguidos, durante os quais você pode usar ações e se mover normalmente.
Spell/&DHTimeStopSpellTitle	Parar o tempo
Spell/&DHWeirdSpellDescription	Com base nos medos mais profundos de um grupo de criaturas, você cria criaturas ilusórias em suas mentes, visíveis apenas para elas. Cada criatura em uma esfera de 9 metros de raio centrada em um ponto de sua escolha dentro do alcance deve fazer um teste de resistência de Sabedoria. Em uma falha na resistência, uma criatura fica amedrontada pela duração. A ilusão invoca os medos mais profundos da criatura, manifestando seus piores pesadelos como uma ameaça implacável. No final de cada turno da criatura amedrontada, ela deve ser bem sucedida em um teste de resistência de Sabedoria ou sofrerá 4d10 de dano psíquico. Em um teste bem sucedido, a magia termina para aquela criatura.
Spell/&DHWeirdSpellTitle	Esquisito
Spell/&EarthTremorDescription	Você atinge o chão e desencadeia um tremor de força sísmica, arremessando terra, rocha e areia.
Spell/&EarthTremorTitle	Tremor de terra
Spell/&EldritchBlastDescription	Um raio de energia crepitante atinge uma criatura dentro do alcance. Faça um ataque mágico à distância contra o alvo. Em um acerto, o alvo sofre 1d10 de dano de força.\nO feitiço cria mais de um feixe quando você alcança níveis mais altos: dois feixes no 5º nível, três feixes no 11º nível e quatro feixes no 17º nível. Você pode direcionar os feixes para o mesmo alvo ou para alvos diferentes. Faça uma jogada de ataque separada para cada raio.
Spell/&EldritchBlastGraspingHandDescription	Um raio de energia crepitante atinge uma criatura dentro do alcance. Faça um ataque mágico à distância contra o alvo. Em um acerto, o alvo sofre 1d10 de dano de força.\n(Quando você atinge uma criatura com sua rajada mística, você pode mover aquela criatura em linha reta 3 metros para mais perto de você.)
Spell/&EldritchBlastGraspingHandTitle	Explosão Eldritch (Agarrando)
Spell/&EldritchBlastRepellingBlastDescription	Um raio de energia crepitante atinge uma criatura dentro do alcance. Faça um ataque mágico à distância contra o alvo. Em um acerto, o alvo sofre 1d10 de dano de força.\n(Quando você atinge uma criatura com rajada mística, você pode empurrar a criatura até 3 metros de distância de você em linha reta.)
Spell/&EldritchBlastRepellingBlastTitle	Explosão Eldritch (Repelente)
Spell/&EldritchBlastTitle	Explosão Mística
Spell/&EldritchOrbDescription	Você arremessa uma bola de energia mística em uma criatura ou objeto dentro do alcance e causa dano de força em um pequeno raio.
Spell/&EldritchOrbTitle	Orbe Eldritch
Spell/&EWResonatingStrikeDescription	Selecione uma criatura dentro do alcance corpo a corpo de você e uma criatura diferente que você possa ver a até 1,5 metro do alvo principal. Você faz um ataque corpo a corpo com a arma atual contra a primeira criatura. Em um acerto, o alvo sofre os efeitos normais do ataque da arma, e o som ressonante salta para o segundo alvo, causando dano trovejante igual ao seu modificador de habilidade de conjuração.\nNo 5º nível, o ataque corpo a corpo causa 1d8 de dano trovejante extra ao alvo em um acerto, e o dano trovejante à segunda criatura aumenta para 1d8 + seu modificador de habilidade de conjuração. Ambas as jogadas de dano aumentam em 1d8 no 11º e 17º níveis.
Spell/&EWResonatingStrikeTitle	Golpe Ressonante
Spell/&EWSunlightBladeDescription	Faça um ataque corpo a corpo com uma arma. Em um acerto, o alvo sofre os efeitos normais do ataque e é envolto em energia radiante brilhante, emitindo luz fraca durante o turno. O próximo ataque contra esta criatura enquanto ela estiver destacada é feito com vantagem.\nNo 5º nível, o ataque corpo a corpo causa 1d8 de dano radiante extra ao alvo. O dano aumenta em mais 1d8 no 11º nível e no 17º nível.
Spell/&EWSunlightBladeTitle	Lâmina iluminada pelo sol
Spell/&FindFamiliarDescription	Você ganha o serviço de um familiar.
Spell/&FindFamiliarImpDescription	Evoca seu familiar na forma de um diabrete.
Spell/&FindFamiliarImpTitle	Encontrar Familiar (Imp)
Spell/&FindFamiliarPsuedodragonDescription	Evoca seu familiar na forma de um Pseudodragão.
Spell/&FindFamiliarPsuedodragonTitle	Encontrar Familiar (Pseudodragão)
Spell/&FindFamiliarQuasitDescription	Evoca seu familiar na forma de um quasit.
Spell/&FindFamiliarQuasitTitle	Encontrar Familiar (Quasit)
Spell/&FindFamiliarSpriteDescription	Evoca seu familiar na forma de um Sprite.
Spell/&FindFamiliarSpriteTitle	Encontrar Familiar (Sprite)
Spell/&FindFamiliarTitle	Encontrar familiar
Spell/&FrenzyDescription	Com um gesto, você reduz uma multidão ao instinto básico e à violência. Escolha um ponto que você possa ver dentro do alcance. Cada criatura a até 6 metros desse ponto deve fazer um teste de resistência de Sabedoria. Em uma falha na resistência, uma criatura fica frenética pela duração. Quando uma criatura está em frenesi, ela saca uma arma corpo a corpo, se tiver uma. Uma criatura frenética deve usar sua ação no início de seu turno para atacar uma criatura ao seu alcance. Ele usa uma arma corpo a corpo, se tiver, ou uma arma improvisada ou ataque desarmado, se não tiver. Se vários alvos estiverem ao alcance da criatura, ela escolhe seu alvo aleatoriamente. Se não houver nenhum alvo ao alcance da criatura, ela ataca a si mesma, contra sua própria CA, causando dano normalmente em um acerto. No final de seu turno, uma criatura frenética pode repetir seu teste de resistência, terminando o efeito sobre ela antes de um sucesso.
Spell/&FrenzyTitle	Frenesi
Spell/&HinderingBlastDescription	Um raio de energia crepitante atinge uma criatura dentro do alcance. Faça um ataque mágico à distância contra o alvo. Em um acerto, o alvo sofre 1d10 de dano de força.\n(quando você atinge uma criatura com sua rajada mística, você pode reduzir o deslocamento daquela criatura em 3 metros até o final do seu próximo turno.).
Spell/&HinderingBlastTitle	Explosão Eldritch (impedindo)
Spell/&IlluminatingSphereDescription	Faz com que fontes de luz como tochas e lâmpadas de mana na área de efeito acendam.
Spell/&IlluminatingSphereTitle	Esfera Iluminadora
Spell/&IPConjureInvisibleStalkerTitle	Conjurar Elemental (Perseguidor Invisível)
Spell/&MinorLifestealDescription	Você drena energia vital de uma criatura hostil que você pode ver dentro do alcance. Você então cura pontos de vida iguais à quantidade de dano causado. Esta magia não tem efeito em mortos-vivos ou constructos.
Spell/&MinorLifestealTitle	Roubo de Vida Menor
Spell/&MirrorImageDescription	Imagem espelhada
Spell/&MirrorImageTitle	Imagem espelhada
Spell/&MuleDescription	O destinatário deste feitiço é capaz de ignorar os efeitos de cargas pesadas ou armaduras na velocidade de movimento. Eles também podem carregar um pouco mais de peso.
Spell/&MuleTitle	Mula
Spell/&PetalStormDescription	Escolha um cubo de ar desocupado de 4,5 metros que você possa ver dentro do alcance. Uma força elemental de ventos rodopiantes aparece no cubo e dura pela duração do feitiço. A nuvem obscurece fortemente sua área. Qualquer criatura que entre na tempestade pela primeira vez em um turno ou comece seu turno lá deve fazer um teste de resistência de Força. Se falhar na resistência, a criatura sofre 3d4 de dano cortante. Como uma ação bônus, você pode mover a tempestade até 9 metros em qualquer direção.
Spell/&PetalStormTitle	Tempestade de Pétalas
Spell/&ProtectThresholdDescription	Traçando sigilos arcanos ao longo de seu limite, você pode proteger uma porta, janela ou outro portal da entrada. Pela duração, uma criatura mística invisível espreita o portal protegido. Qualquer criatura que tente passar pelo portal deve fazer um teste de resistência de Sabedoria ou sofrerá 4d6 de dano psíquico, ou metade disso em um teste bem sucedido.
Spell/&ProtectThresholdTitle	Limite de proteção
Spell/&RadiantMotesDescription	Libera um enxame de 5 projéteis radiantes que causam 2 de dano radiante cada, mas nunca erram. Os alvos podem irradiar luz por até 1 minuto.\nQuando você conjura esta magia usando um espaço de magia de 2º nível ou superior, a magia cria mais 2 projéteis para cada espaço acima do 1º.
Spell/&RadiantMotesTitle	Partículas Radiantes
Spell/&ThunderStrikeDescription	Crie uma explosão de som trovejante, forçando criaturas adjacentes a você a fazer um teste de resistência de Constituição ou sofrer 1d6 de dano trovejante.\nO dano desta magia aumenta em 1d6 quando você alcança o 5º nível (2d6), 11º nível (3d6) e 17º nível (4d6).
Spell/&ThunderStrikeTitle	Explosão de som
Spell/&WinterBreathDescription	Crie uma rajada de vento frio para esfriar seus inimigos e derrubá-los.
Spell/&WinterBreathTitle	Respiração de inverno
Spell/&WitchFamiliarDescription	Você ganha o serviço de um familiar.
Spell/&WitchFamiliarTitle	Bruxo Familiar
SpellList/&ClassWarlockSpellListDescription	Lista de Feitiços de Bruxo.
SpellList/&ClassWarlockSpellListTitle	Lista de Feitiços de Bruxo
SpellList/&ElementalistSpellsListDescription	Elementalist SpellList.
SpellList/&ElementalistSpellsListTitle	Lista de Feitiços Elementalistas
SpellList/&RiftWalkerSpellsListDescription	Lista de Feitiços do RiftWalker.
SpellList/&RiftWalkerSpellsListTitle	Lista de Feitiços do Rift Walker
SpellList/&SpellListTinkererDescription	Lista de Feitiços do Tinkerer.
SpellList/&SpellListTinkererTitle	Lista de Feitiços do Tinkerer
Stage/&IdentityMorphotypeEyeHeader	Estilo dos olhos
Stage/&SubclassSelectionStageClassMonkTraditionDescription	Este estágio seleciona a tradição monástica do personagem.
Stage/&SubclassSelectionStageClassMonkTraditionFeatures	Características da Tradição Monástica
Stage/&SubclassSelectionStageClassMonkTraditionHeader	Selecione uma Tradição Monástica
Stage/&SubclassSelectionStageClassMonkTraditionNoneDescription	Você deve selecionar uma tradição monástica.
Stage/&SubclassSelectionStageClassMonkTraditionTitle	Monástico\nTradição
Stage/&SubclassSelectionStageCovenDescription	Conventículo.
Stage/&SubclassSelectionStageCovenFeaturesDescription	Conventículo.
Stage/&SubclassSelectionStageCovenFeaturesHeader	Recursos do Coven
Stage/&SubclassSelectionStageCovenFeaturesTitle	Conventículo
Stage/&SubclassSelectionStageCovenHeader	Selecione um Coven
Stage/&SubclassSelectionStageCovenTitle	Conventículo
Stage/&SubclassSelectionStagePatronDescription	Um Warlock é definido por um pacto com um ser de outro mundo. Às vezes, a relação entre Warlock e patrono é como a de um clérigo e uma divindade, embora os seres que servem como patronos não sejam deuses.
Stage/&SubclassSelectionStagePatronFeatures	Recursos de patronos sobrenaturais
Stage/&SubclassSelectionStagePatronHeader	Patronos do Outro Mundo Bruxo
Stage/&SubclassSelectionStagePatronTitle	Patronos de outro mundo
Stage/&SubclassSelectionStageSpecialistDescription	Descrição Há uma grande variedade de especialidades em Tinkerers, incluindo fazer elixires como um Potion Maker, fazer explosões como um Blaster e empunhar armas mágicas como um Weapon Smith.
Stage/&SubclassSelectionStageSpecialistFeatures	Recursos especializados
Stage/&SubclassSelectionStageSpecialistHeader	Especializações
Stage/&SubclassSelectionStageSpecialistNoneDescription	Especialista Nenhum Descrição.
Stage/&SubclassSelectionStageSpecialistTitle	Selecionar especialização
Subclass/&AbilityAffinityRogueConArtistDescription	Vantagem em testes de habilidade usando Persuasão, Enganação, Performance e Prestidigitação.
Subclass/&AbilityAffinityRogueConArtistTitle	Manipulativo
Subclass/&AHWarlockSubclassSoulBladePactDescription	Você fez uma barganha com uma arma senciente com a qual você alimenta almas em troca de poder.
Subclass/&AHWarlockSubclassSoulBladePactTitle	Pacto Soulblade
Subclass/&ArcaneFighterAdditionalActionDescription	Você pode lançar um feitiço depois de derrotar um inimigo com seus ataques de arma.
Subclass/&ArcaneFighterAdditionalActionTitle	Combate a Feitiços
Subclass/&ArcaneFighterBonusWeaponDamageDescription	Uma vez por turno, seus ataques com arma causam 1d8 de dano extra.
Subclass/&ArcaneFighterBonusWeaponDamageTitle	Ataques com poderes mágicos
Subclass/&ArtificerAlchemistDescription	Você se especializa em poções, buffs, cura e feitiços.
Subclass/&ArtificerAlchemistTitle	Fabricante de Poções
Subclass/&ArtificerArtileristCannonsDescription	Você cria um conjunto de canhões que você pode ativar em batalha como uma ação bônus.
Subclass/&ArtificerArtileristCannonsTitle	Canhões
Subclass/&ArtificerArtilleristDescription	Você é especialista em arremessar projéteis e causar explosões.
Subclass/&ArtificerArtilleristTitle	Lançador
Subclass/&ArtificerBattleSmithDescription	Você se especializa em usar armas mágicas em combate.
Subclass/&ArtificerBattleSmithTitle	Ferreiro de Arma
Subclass/&ArtificerSpellcastingDescription	Lançar feitiços de Tinkerer.
Subclass/&ArtificerSpellcastingTitle	Feitiço do Tinkerer
Subclass/&AttackModifierArtificerBattleSmithWeaponDescription	Seus ataques contam como mágicos e você usa sua Inteligência para jogadas de ataque e dano.
Subclass/&AttackModifierArtificerBattleSmithWeaponTitle	Arma Infundida
Subclass/&AttackModifierArtificerBlindingWeaponDescription	Uma arma que você escolher que ganha a habilidade de cegar alvos ao acertar (contra um teste de Constituição). Você só pode ter uma de cada infusão ativa por vez. Ativá-lo uma segunda vez cancelará a primeira.
Subclass/&AttackModifierArtificerBlindingWeaponTitle	Arma de Cegueira
Subclass/&AttackModifierArtificerEnhancedArmorDescription	Uma armadura que você escolher se torna mágica e fornece +1 AC adicional. Você só pode ter uma infusão ativa uma vez. Ativá-lo uma segunda vez cancelará a primeira.
Subclass/&AttackModifierArtificerEnhancedArmorTitle	Armadura Aprimorada
Subclass/&AttackModifierArtificerEnhancedFocusDescription	Um foco de conjuração que você escolher se torna mágico e ganha +1 nas jogadas de ataque de magia e CD de salvamento de magia. Você só pode ter uma de cada infusão ativa por vez. Ativá-lo uma segunda vez cancelará a primeira.
Subclass/&AttackModifierArtificerEnhancedFocusTitle	Foco Aprimorado
Subclass/&AttackModifierArtificerEnhancedWeaponDescription	Uma arma que você escolher se torna mágica e ganha +1 nas jogadas de ataque e dano. Você só pode ter uma de cada infusão ativa por vez. Ativá-lo uma segunda vez cancelará a primeira.
Subclass/&AttackModifierArtificerEnhancedWeaponTitle	Arma Aprimorada
Subclass/&AttackModifierArtificerImprovedEnhancedArmorDescription	Uma armadura que você escolher se torna mágica e fornece +2 AC. Você só pode ter uma de cada infusão ativa por vez. Ativá-lo uma segunda vez cancelará a primeira.
Subclass/&AttackModifierArtificerImprovedEnhancedArmorTitle	Armadura Aprimorada Aprimorada
Subclass/&AttackModifierArtificerImprovedEnhancedFocusDescription	Um foco de conjuração que você escolher se torna mágico e ganha +2 nas jogadas de ataque de magia e CD de salvamento de magia. Você só pode ter uma de cada infusão ativa por vez. Ativá-lo uma segunda vez cancelará a primeira.
Subclass/&AttackModifierArtificerImprovedEnhancedFocusTitle	Foco Aprimorado Aprimorado
Subclass/&AttackModifierArtificerImprovedEnhancedWeaponDescription	Toque em uma arma e ela se torna mágica e ganha +2 nas jogadas de ataque e dano. Você só pode ter uma de cada infusão ativa por vez. Ativá-lo uma segunda vez cancelará a primeira.
Subclass/&AttackModifierArtificerImprovedEnhancedWeaponTitle	Arma Aprimorada Aprimorada
Subclass/&AttackModifierImprovedArtificerBattleSmithWeaponDescription	Você infunde sua arma com poder. Seus ataques contam como mágicos e você adiciona +7 às suas jogadas de ataque e dano.
Subclass/&AttackModifierImprovedArtificerBattleSmithWeaponTitle	Arma de Infusão Aprimorada
Subclass/&AttackModifierMeleeWizardArcaneWeaponDescription	Quando ativo em uma arma, seus ataques contam como mágicos e você usa sua Inteligência para suas jogadas de ataque e dano.
Subclass/&AttackModifierMeleeWizardArcaneWeaponTitle	Arma Arcana
Subclass/&AttributeModifierArtificerBattleSmithExtraAttackDescription	Você ganha um ataque extra.
Subclass/&AttributeModifierArtificerBattleSmithExtraAttackTitle	Ataque Extra
Subclass/&AttributeModifierMeleeWizardExtraAttackDescription	Você ganha um ataque extra.
Subclass/&AttributeModifierMeleeWizardExtraAttackTitle	Ataque Extra
Subclass/&BarbarianPathOfTheLightDescription	Bárbaros que seguem o Caminho da Luz iluminam a escuridão e protegem seus aliados dos perigos que espreitam dentro dela.
Subclass/&BarbarianPathOfTheLightEyesOfTruthDescription	Você está sempre sob os efeitos da magia Ver Invisibilidade.
Subclass/&BarbarianPathOfTheLightEyesOfTruthTitle	Olhos da verdade
Subclass/&BarbarianPathOfTheLightIlluminatedConditionDescription	Distraído por Illuminating Strike.
Subclass/&BarbarianPathOfTheLightIlluminatedConditionTitle	Iluminado
Subclass/&BarbarianPathOfTheLightIlluminatedDisadvantageDescription	Desvantagem em qualquer jogada de ataque que não seja contra o bárbaro da Trilha da Luz.
Subclass/&BarbarianPathOfTheLightIlluminatedPreventInvisibilityDescription	Não pode ficar invisível.
Subclass/&BarbarianPathOfTheLightIlluminatingBurstDescription	No turno em que você entrar em sua fúria, você pode escolher iluminar até três inimigos a até 9 metros de você. Eles devem ter sucesso em um teste de resistência de Constituição (CD igual a 8 + seu bônus de proficiência + seu modificador de Constituição) ou sofrerão 4d6 de dano radiante e serão iluminados por seu Golpe Iluminador por 1 minuto. Uma criatura iluminada desta forma faz outro teste de resistência de Constituição no final de cada um de seus turnos. Em um teste bem sucedido, o efeito termina para ele.
Subclass/&BarbarianPathOfTheLightIlluminatingBurstPowerDescription	Até três inimigos fazem um teste de resistência de Constituição ou recebem 4d6 de dano radiante e ficam iluminados pelo seu Golpe Iluminador.
Subclass/&BarbarianPathOfTheLightIlluminatingBurstPowerTitle	Explosão Iluminadora
Subclass/&BarbarianPathOfTheLightIlluminatingBurstTitle	Explosão Iluminadora
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeDescription	Enquanto você estiver em fúria, a primeira criatura que você acertar com um ataque no seu turno sofre 1d6 de dano radiante adicional e fica magicamente iluminada até o início do seu próximo turno. Além disso, a criatura tem desvantagem em qualquer jogada de ataque que não seja contra você e não pode se tornar invisível.
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeImprovementDescription	O dano adicional causado pelo Golpe Iluminador aumenta para 2d6.
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeImprovementTitle	Melhoria do Golpe Iluminador
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeTitle	Golpe Iluminador
Subclass/&BarbarianPathOfTheLightLightsProtectionDescription	Você recupera pontos de vida iguais a metade do seu nível de bárbaro quando uma criatura hostil afetada pelo seu Golpe Iluminador morre. Além disso, você não provoca mais ataques de oportunidade de criaturas afetadas pelo seu Golpe Iluminador.
Subclass/&BarbarianPathOfTheLightLightsProtectionTitle	Proteção da Luz
Subclass/&BarbarianPathOfTheLightPierceTheDarknessDescription	Você ganha visão no escuro superior.
Subclass/&BarbarianPathOfTheLightPierceTheDarknessTitle	Perfure a escuridão
Subclass/&BarbarianPathOfTheLightSeeingInvisibleConditionDescription	Pode perceber criaturas invisíveis.
Subclass/&BarbarianPathOfTheLightSeeingInvisibleConditionTitle	Visão de Invisibilidade
Subclass/&BarbarianPathOfTheLightTitle	Caminho da Luz
Subclass/&BloodWitchDescription	Proibida pela maioria dos covens de Bruxas, a magia do sangue se concentra no uso de feitiços sombrios e feitiços mortais que extraem da própria essência do conjurador. É fundamentalmente mais perigoso do que outros ofícios de bruxa, mas seus muitos riscos vêm com recompensas abundantes.
Subclass/&BloodWitchMagicDescription	Você ganha as seguintes magias. Esses feitiços contam como feitiços de Bruxa para você e não contam para o número total de feitiços conhecidos:\n {0}
Subclass/&BloodWitchMagicTitle	Magia de Sangue
Subclass/&BloodWitchTitle	Bruxa de Sangue
Subclass/&CancelCancelElixirFlyDescription	Termine a condição Fly do Potion Maker Elixir.
Subclass/&CancelCancelElixirFlyTitle	Cancelar voo
Subclass/&CancelCancelElixirResilienceDescription	Encerre a condição de Resiliência do Elixir do Fabricante de Poções.
Subclass/&CancelCancelElixirResilienceTitle	Cancelar resiliência
Subclass/&CancelCancelElixirSwiftnessDescription	Encerre a condição de Rapidez do Elixir do Criador de Poções.
Subclass/&CancelCancelElixirSwiftnessTitle	Cancelar Rapidez
Subclass/&ClassMonkTraditionDescription	No 3º nível, você escolhe o caminho espiritual para seguir em direção à iluminação. Ele irá moldar como você manipula o ki.
Subclass/&ClassMonkTraditionTitle	Tradições Monásticas
Subclass/&ClassMonkTraditionWayOfTheOpenHandDescription	Monges do Caminho da Mão Aberta são os maiores mestres do combate de artes marciais, armados ou desarmados. Eles aprendem técnicas para empurrar e derrubar seus oponentes, manipular o ki para curar danos em seus corpos e praticar meditação avançada que pode protegê-los de danos.
Subclass/&ClassMonkTraditionWayOfTheOpenHandTitle	Caminho da mão aberta
