ActionAffinity/&DHFeeblemindSpellDescription	No puede lanzar hechizos.
Reaction/&SpendPowerClassMonkStunningStrikeReactTitle	Gastar ki
Reaction/&SpendPowerClassMonkStunningStrikeTitle	Golpe aturdidor
Reaction/&SpendPowerCounterStrikePowerDescription	Gasta un dado de gambito y contragolpea al enemigo; si acierta, hace 1d6+2 de daÃ±o contundente adicional.
Reaction/&SpendPowerCounterStrikePowerReactDescription	Gasta un dado de gambito y contragolpea al enemigo, si aciertas, haz 1d6+2 de daÃ±o contundente adicional.
Reaction/&SpendPowerCounterStrikePowerReactTitle	Contragolpe
Reaction/&SpendPowerCounterStrikePowerTitle	Contragolpe
Reaction/&SpendPowerDH_RiftStrikeDescription	Una vez por descanso largo, cuando seas daÃ±ado por un ataque cuerpo a cuerpo, puedes usar tu reacciÃ³n para crear un portal que destierre al atacante durante 1 asalto de tu plano de existencia.
Reaction/&SpendPowerDH_RiftStrikeReactTitle	Golpe en la grieta
Reaction/&SpendPowerDH_RiftStrikeTitle	Golpe en la grieta
Reaction/&SpendPowerDiamondSoulDescription	{0} ha fallado una salvaciÃ³n y puede gastar 1 ki para repetirla.
Reaction/&SpendPowerDiamondSoulReactDescription	Gasta ki para repetir la tirada de salvaciÃ³n fallida.
Reaction/&SpendPowerDiamondSoulReactTitle	Vuelve a lanzar
Reaction/&SpendPowerDiamondSoulTitle	Alma de Diamante
Reaction/&SpendPowerInspirePowerDescription	Gasta un dado de gambito e inspira a tu aliado, dÃ¡ndole 1d6 + 2 HP temporales.
Reaction/&SpendPowerInspirePowerTitle	Inspirar
Reaction/&SpendPowerKnockDownPowerDescription	Gasta un dado de gambito y potencia tu ataque para hacer 1d6 + 2 de daÃ±o contundente adicional. El objetivo hace una salvaciÃ³n de Fuerza (DC 8 + tu bono de competencia + tu modificador de Fuerza) o es derribado hasta el comienzo de su prÃ³ximo turno.
Reaction/&SpendPowerKnockDownPowerReactDescription	Gasta un dado de gambito y potencia tu ataque para hacer 1d6 + 2 de daÃ±o contundente adicional. El objetivo hace una salvaciÃ³n de Fuerza (DC 8 + tu bono de competencia + tu modificador de Fuerza) o es derribado hasta el comienzo de su prÃ³ximo turno.
Reaction/&SpendPowerKnockDownPowerReactTitle	Derribar
Reaction/&SpendPowerKnockDownPowerTitle	Derribar
Reaction/&SpendPowerPowerSpellShieldArcaneDeflectionDescription	Puedes usar tus poderes arcanos para escudarte como reacciÃ³n.
Reaction/&SpendPowerPowerSpellShieldArcaneDeflectionTitle	Hechizo Escudo
Reaction/&SpendSpellSlot{0}Description	Gastar Hechizo {0}
Reaction/&SpendSpellSlot{0}Title	Gastar Hechizo {0}
Reaction/&SpendSpellSlotEldritchSmiteDescription	{0} Puedes gastar una ranura de hechizo para infligir 1d8 de daÃ±o de fuerza y un daÃ±o adicional de 1d8 por nivel de ranura al objetivo.
Reaction/&SpendSpellSlotEldritchSmiteReactDescription	Haz clic para gastar una ranura de hechizo y aumentar el daÃ±o al objetivo.
Reaction/&SpendSpellSlotEldritchSmiteReactTitle	Golpear
Reaction/&SpendSpellSlotEldritchSmiteTitle	Golpe de los dioses
Reaction/&SubitemSelectCoordinatedAttackTitle	Seleccionar acciÃ³n
Reaction/&SubitemSelectEldritchSmiteDescription	Selecciona un nivel de ranura para consumir para tu Eldritch Smite.
Reaction/&SubitemSelectEldritchSmiteTitle	Nivel de ranura
Reaction/&SubitemSelectPowerBundleTitle	Opciones
Reaction/&SubitemSelectSlotLevelTitle	Nivel de ranura
Reaction/&SubitemSelectWarcasterReactionTitle	Seleccionar acciÃ³n
Reaction/&Use{0}Description	Usar {0}
Reaction/&Use{0}Title	Usar {0}
Reaction/&UseClassMonkSlowFallDescription	{0} estÃ¡ cayendo y puede usar una reacciÃ³n para no recibir daÃ±o por caÃ­da.
Reaction/&UseClassMonkSlowFallReactDescription	Utiliza una reacciÃ³n para no recibir daÃ±o por caÃ­da.
Reaction/&UseClassMonkSlowFallReactTitle	Reaccionar
Reaction/&UseClassMonkSlowFallTitle	CaÃ­da lenta
Reaction/&WarcasterAttackDescription	Ataca al objetivo.
Reaction/&WarcasterAttackTitle	Ataque
Reaction/&WarcasterReactionDescription	{0} sale de un Ã¡rea amenazada por uno o mÃ¡s personajes.
Reaction/&WarcasterReactionReactDescription	Usa la reacciÃ³n para atacar al objetivo.
Reaction/&WarcasterReactionReactTitle	Ataque
Reaction/&WarcasterReactionTitle	Ataque de Oportunidad
Requirement/&FeatureSelectionRequireCharacterLevel	Nivel {0}
Requirement/&FeatureSelectionRequireClassLevel	Nivel {0} de {1}
Requirement/&WarlockMissingEldritchBlast	Cantrip Eldritch Blast
Requirement/&WarlockRequiresNoMoonLit	PatrÃ³n no iluminado por la luna
Requirement/&WarlockRequiresOneWithShadows	InvocaciÃ³n Eldritch "Uno con las Sombras"
Requirement/&WarlockRequiresPactOfBlade	Pacto de la Espada
Requirement/&WarlockRequiresPactOfChain	Pacto de las Cadenas
Requirement/&WarlockRequiresPactOfTome	Pacto del Tomo
RestActivity/&ZSRespecDescription	Respec este hÃ©roe.
RestActivity/&ZSRespecTitle	Respec
RestActivity/&ZSSorcerousRestorationDescription	Recupera 4 puntos de hechicerÃ­a durante un breve descanso.
RestActivity/&ZSSorcerousRestorationTitle	RestauraciÃ³n Hechicera
Rules/&AdvantageAttackOnEnemyDescription	Ventaja para atacar al enemigo.
Rules/&AdvantageAttackOnEnemyTitle	Encendido
Rules/&CounterFormDismissCreatureFormat	Descartar la construcciÃ³n de Tinkerer
Rules/&DisadvantageOnAttackByEnemyDescription	DistraÃ­do por una sacudida de rayo.
Rules/&DisadvantageOnAttackByEnemyTitle	Sacudido
Rules/&ExtraDamageOnAttackConditionDescription	DaÃ±o extra de Lanza de luz.
Rules/&ExtraDamageOnAttackConditionTitle	Choque estÃ¡tico
Rules/&HalfCoverShieldAttributeDescription	Los aliados en un radio de 10 pies ganan +2 CA.
Rules/&HalfCoverShieldAttributeTitle	CÃºpula de media cobertura
Rules/&HalfCoverShieldConditionDescription	+2 CA.
Rules/&HalfCoverShieldConditionTitle	Protegido por CÃºpula
Rules/&LightningSpearPowerDescription	Inflige 2d6 de daÃ±o por rayo.
Rules/&LightningSpearPowerTitle	Lanza de rayos
Rules/&SelfDestructionConditionDescription	AutodestrucciÃ³n.
Rules/&SelfDestructionConditionTitle	AutodestrucciÃ³n
Rules/&ThunderStruckBalancingAdvantageDescription	Equilibrio de Golpe de rayo para que sÃ³lo funcione con los aliados.
Rules/&ThunderStruckBalancingAdvantageTitle	Burlado
Rules/&ThunderStruckDescription	Desventaja al atacar a los aliados del Centinela Explorador.
Rules/&ThunderStruckTitle	Golpe de trueno (DistraÃ­do)
Screen/&CovenSpellDescription	Hechizo conocido como parte de un Aquelarre.
Screen/&CovenSpellHeader	Aquelarre
Screen/&CovenSpellTitle	Aquelarre
Screen/&EditorLocationSize3Title	Enorme [MODIFICADO]
Screen/&EditorLocationSize4Title	Gargantuesco [MODIFICADO]
Screen/&FeyTeleportSpellDescription	Este hechizo de Fey estÃ¡ siempre preparado.
Screen/&FeyTeleportSpellTitle	Fey
Screen/&MulticlassSpellDescription	Conoces este hechizo de otro repertorio.
Screen/&MulticlassSpellTitle	Multiclase
Screen/&ShadowTouchedSpellDescription	Este hechizo de Sombra estÃ¡ siempre preparado.
Screen/&ShadowTouchedSpellTitle	Sombra
Screen/&SpellSlotsUsedLongDescription	Has gastado {0} ranura(s) de hechizo a este nivel.
Screen/&SpellSlotsUsedShortDescription	Has gastado {0} ranura(s) de magia de pacto.
Screen/&SpellSlotsUsedShortLongDescription	Has gastado {0} ranura(s) de magia de pacto y {1} ranura(s) de hechizo a este nivel.
Screen/&WitchSpellDescription	Hechizos conocidos como Bruja.
Screen/&WitchSpellHeader	Bruja
Screen/&WitchSpellTitle	Bruja
Sorceror/&ZSSorcerousRestorationDescription	Recupera 4 puntos de hechicerÃ­a durante un breve descanso.
Sorceror/&ZSSorcerousRestorationTitle	RestauraciÃ³n Hechicera
Spell/&AcidClawsDescription	Realiza un ataque mortal con tus garras afiladas.
Spell/&AcidClawsTitle	Garras sangrientas
Spell/&AHHellishRebukeDescription	Apuntas con tu dedo y la criatura que te ha daÃ±ado queda momentÃ¡neamente rodeada de llamas infernales. La criatura debe hacer una tirada de salvaciÃ³n de Destreza. Recibe 2d10 de daÃ±o por fuego si falla la salvaciÃ³n, o la mitad de daÃ±o si tiene Ã©xito.
Spell/&AHHellishRebukeTitle	RebeliÃ³n infernal
Spell/&AHPactMarkAdditionalDamageDescription	Una criatura marcada por el pacto recibe un daÃ±o adicional de 1d6 del mismo tipo cuando es golpeada por un ataque de arma o hechizo del marcador.
Spell/&AHPactMarkAdditionalDamageTitle	DaÃ±o por marca de pacto
Spell/&AHPactMarkMarkedByPactConditionDescription	Esta criatura ha sido marcada por un pacto y recibe un daÃ±o adicional de 1d6 del mismo tipo cuando es golpeada por un ataque de arma o hechizo por el marcador.
Spell/&AHPactMarkMarkedByPactConditionTitle	Pacto Marcado
Spell/&AHPactMarkPactMarkConditionDescription	Puedes marcar a otras criaturas con una marca de pacto y les haces un daÃ±o adicional de 1d6 con ataques de arma o hechizo.
Spell/&AHPactMarkPactMarkConditionTitle	Marca de Pacto
Spell/&AHPactMarkSpellDescription	Colocas una marca de tu pacto en una criatura que puedas ver en un radio de 90 pies. Se vuelve vulnerable a ti y recibe 1d6 de daÃ±o adicional cada vez que la golpeas con un ataque de arma o hechizo. Este daÃ±o es del mismo tipo que el ataque que impacta.
Spell/&AHPactMarkSpellTitle	Marca del Pacto
Spell/&AirBlastDescription	Dispara una rÃ¡faga de aire concentrado a tu objetivo.
Spell/&AirBlastTitle	RÃ¡faga de aire
Spell/&BurstOfRadianceDescription	Crea un destello brillante de luz resplandeciente que daÃ±a a todos los enemigos a tu alrededor.
Spell/&BurstOfRadianceTitle	RÃ¡faga de resplandor
Spell/&CJDivineWordDescription	Pronuncias una palabra divina, imbuida del poder que dio forma al mundo en los albores de la creaciÃ³n. Elige cualquier nÃºmero de criaturas que puedas ver dentro del alcance. Cada criatura que pueda oÃ­rte debe hacer una tirada de salvaciÃ³n de Carisma. En caso de fallar la tirada de salvaciÃ³n, la criatura sufre un efecto basado en sus puntos de vida actuales:\n- 50 puntos de vida o menos: ensordecida durante 1 minuto\n- 40 puntos de vida o menos: ensordecida y cegada durante 10 minutos\n- 30 puntos de vida o menos: cegada, ensordecida y aturdida durante 1 hora\n- 20 puntos de vida o menos: muere instantÃ¡neamente\nIndependientemente de sus puntos de vida actuales, un celestial, un elemental, un fey o un demonio que falle su salvaciÃ³n es forzado a volver a su plano de origen (si no estÃ¡ allÃ­ ya) y no puede volver a su plano actual durante 24 horas por cualquier medio que no sea un hechizo de deseo. \n
Spell/&CJDivineWordTitle	Palabra Divina
Spell/&DHAnimalShapesSpellDescription	Elige cualquier nÃºmero de criaturas dispuestas que puedas ver dentro del alcance. Transformas a cada objetivo en la forma de una bestia grande o mÃ¡s pequeÃ±a con un Ã­ndice de desafÃ­o de 4 o inferior.
Spell/&DHAnimalShapesSpellTitle	Formas de animales
Spell/&DHCastSpellArchMageDescription	Habilidad de lanzamiento del archimago.
Spell/&DHCastSpellArchMageTitle	Habilidad de lanzamiento del archimago
Spell/&DHCastSpellGuardianNagaDescription	Habilidad de invocaciÃ³n del archimago.
Spell/&DHCastSpellGuardianNagaTitle	Habilidad de lanzamiento de archimago
Spell/&DHCastSpellLichDescription	Habilidad de FundiciÃ³n de Lich.
Spell/&DHCastSpellLichTitle	Habilidad de invocaciÃ³n de lich
Spell/&DHConjureCelestialSpellDescription	Invocas a un celestial de nivel de desafÃ­o 4 o inferior, que aparece en un espacio desocupado que puedas ver dentro de su alcance. El celestial desaparece cuando baja a 0 puntos de vida o cuando el hechizo termina. El celestial es amistoso contigo y con tus compaÃ±eros mientras dure el hechizo.
Spell/&DHConjureCelestialSpellTitle	Conjurar Celestial (Couatl)
Spell/&DHDominateMonsterSpellDescription	Intentas hechizar a una criatura que puedas ver dentro de tu alcance. Debe tener Ã©xito en una tirada de salvaciÃ³n de SabidurÃ­a o ser encantado por ti mientras dure el hechizo.
Spell/&DHDominateMonsterSpellTitle	Dominar monstruo
Spell/&DHFeeblemindSpellDescription	Golpeas la mente de una criatura que puedas ver dentro de tu alcance, intentando destrozar su intelecto y personalidad. El objetivo recibe 4d6 de daÃ±o psÃ­quico y debe realizar una tirada de salvaciÃ³n de Inteligencia. La criatura no puede lanzar hechizos, activar objetos mÃ¡gicos, entender el lenguaje o comunicarse de forma inteligible.
Spell/&DHFeeblemindSpellTitle	Mente dÃ©bil
Spell/&DHFingerOfDeathSpellDescription	El objetivo debe realizar una tirada de salvaciÃ³n de ConstituciÃ³n. Recibe 7d8 + 30 de daÃ±o necrÃ³tico si falla la tirada de salvaciÃ³n, o la mitad de daÃ±o si tiene Ã©xito.
Spell/&DHFingerOfDeathSpellTitle	Dedo de la Muerte (Sin Zombie)
Spell/&DHForesightSpellDescription	Tocas a una criatura dispuesta y le otorgas una capacidad limitada de ver el futuro inmediato. Mientras dure, el objetivo no puede ser sorprendido y tiene ventaja en las tiradas de ataque, los chequeos de habilidad y las tiradas de salvaciÃ³n. AdemÃ¡s, otras criaturas tienen desventaja en las tiradas de ataque contra el objetivo mientras dure el efecto.
Spell/&DHForesightSpellTitle	PrevisiÃ³n
Spell/&DHHolyAuraSpellDescription	La luz divina sale de ti y se fusiona en un suave resplandor en un radio de 30 pies a tu alrededor. Las criaturas que elijas en ese radio cuando lanzas este conjuro arrojan una luz tenue en un radio de 5 pies y tienen ventaja en todas las tiradas de salvaciÃ³n, y otras criaturas tienen desventaja en las tiradas de ataque contra ellas hasta que el conjuro termine.
Spell/&DHHolyAuraSpellTitle	Aura sagrada
Spell/&DHIncendiaryCloudSpellDescription	Una nube arremolinada de humo atravesada por ascuas blancas aparece en una esfera de 20 pies de radio centrada en un punto dentro del alcance. La nube se extiende por las esquinas y queda muy oscurecida. Dura lo que dura o hasta que un viento de velocidad moderada o mayor (al menos 10 millas por hora) la dispersa.\nCuando la nube aparece, cada criatura en ella debe hacer una tirada de salvaciÃ³n de Destreza. Una criatura recibe 10d8 de daÃ±o por fuego si falla la tirada de salvaciÃ³n, o la mitad de daÃ±o si tiene Ã©xito. Una criatura tambiÃ©n debe hacer esta tirada de salvaciÃ³n cuando entra en el Ã¡rea del hechizo por primera vez en un turno o termina su turno allÃ­.\nLa nube se aleja 10 pies directamente de ti en una direcciÃ³n que eliges al comienzo de cada uno de tus turnos.
Spell/&DHIncendiaryCloudSpellTitle	Nube incendiaria
Spell/&DHMassHealSpellDescription	Un torrente de energÃ­a curativa fluye desde ti hacia las criaturas heridas a tu alrededor. Restableces hasta 700 puntos de golpe, divididos a tu elecciÃ³n entre cualquier nÃºmero de criaturas que puedas ver dentro del alcance. Las criaturas curadas por este hechizo tambiÃ©n se curan de todas las enfermedades y de cualquier efecto que las deje ciegas o sordas. Este hechizo no tiene efecto sobre muertos vivientes o constructos.
Spell/&DHMassHealSpellTitle	CuraciÃ³n en masa
Spell/&DHMazeSpellDescription	Destierras a una criatura que puedas ver dentro del alcance a un demiplano laberÃ­ntico. El objetivo permanece allÃ­ mientras dure o hasta que escape del laberinto. /nEl objetivo puede usar su acciÃ³n para intentar un chequeo de Inteligencia DC 20 para escapar.
Spell/&DHMazeSpellTitle	Laberinto
Spell/&DHMeteorSwarmSingleTargetSpellDescription	Orbes ardientes de fuego caen en picado al suelo en un Ãºnico punto que puedes ver dentro del alcance. Cada criatura en una esfera de 40 pies de radio centrada en el punto que elijas debe hacer una tirada de salvaciÃ³n de Destreza. La esfera se extiende por las esquinas. Una criatura recibe 20d6 de daÃ±o por fuego y 20d6 de daÃ±o por apaleamiento si falla la tirada de salvaciÃ³n, o la mitad de daÃ±o si tiene Ã©xito. Una criatura en el Ã¡rea de mÃ¡s de un estallido de fuego sÃ³lo se ve afectada una vez.
Spell/&DHMeteorSwarmSingleTargetSpellTitle	Enjambre de meteoros (objetivo Ãºnico)
Spell/&DHMindBlankSpellDescription	Hasta que el conjuro termine, una criatura dispuesta que toques es inmune al daÃ±o psÃ­quico, a cualquier efecto que pueda sentir sus emociones o leer sus pensamientos, a los conjuros de adivinaciÃ³n y a la condiciÃ³n de encantamiento.
Spell/&DHMindBlankSpellTitle	Mente en blanco
Spell/&DHPowerWordHealSpellDescription	Una ola de energÃ­a curativa inunda a la criatura que tocas. El objetivo recupera todos sus puntos de vida. Si la criatura estÃ¡ encantada, asustada, paralizada o aturdida, la condiciÃ³n termina. Si la criatura estÃ¡ tendida, puede usar su reacciÃ³n para levantarse. Este hechizo no tiene efecto sobre muertos vivientes o constructos.
Spell/&DHPowerWordHealSpellTitle	Palabra de poder para curar
Spell/&DHPowerWordKillSpellDescription	Pronuncias una palabra de poder que puede obligar a una criatura que puedas ver dentro del alcance a morir instantÃ¡neamente. Si la criatura que eliges tiene 100 puntos de vida o menos, muere. En caso contrario, el hechizo no tiene efecto.
Spell/&DHPowerWordKillSpellTitle	Palabra de Poder Matar
Spell/&DHPowerWordStunSpellDescription	Pronuncias una palabra de poder que puede abrumar la mente de una criatura que puedas ver dentro del alcance, dejÃ¡ndola aturdida. Si el objetivo tiene 150 puntos de vida o menos, queda aturdido. En caso contrario, el hechizo no tiene efecto.
Spell/&DHPowerWordStunSpellTitle	Palabra de Poder Aturdir
Spell/&DHReverseGravitySpellDescription	Este hechizo invierte la gravedad en un cilindro de 50 pies de radio y 100 pies de altura centrado en un punto dentro del alcance.
Spell/&DHReverseGravitySpellTitle	Invertir la gravedad
Spell/&DHShapechangeSpellDescription	Asumes la forma de una criatura diferente mientras dure el hechizo. La nueva forma puede ser de cualquier criatura con un Ã­ndice de desafÃ­o igual a tu nivel o inferior.
Spell/&DHShapechangeSpellTitle	Cambio de forma
Spell/&DHSunBurstSpellDescription	Una luz solar brillante parpadea en un radio de 60 pies centrado en un punto que elijas dentro del alcance. Cada criatura en esa luz debe hacer una tirada de salvaciÃ³n de ConstituciÃ³n. Si falla la salvaciÃ³n, la criatura recibe 12d6 de daÃ±o radiante y queda cegada durante 1 minuto. Si la salvaciÃ³n tiene Ã©xito, recibe la mitad de daÃ±o y no queda cegada por este hechizo. Una criatura cegada por este hechizo realiza otra tirada de salvaciÃ³n de ConstituciÃ³n al final de cada uno de sus turnos. Este hechizo disipa cualquier oscuridad en su Ã¡rea que haya sido creada por un hechizo.
Spell/&DHSunBurstSpellTitle	Estallido del Sol
Spell/&DHTimeStopSpellDescription	Detienes brevemente el flujo del tiempo para todos menos para ti. El tiempo no pasa para otras criaturas, mientras que tÃº haces 1d4 + 1 turnos seguidos, durante los cuales puedes usar acciones y moverte normalmente.
Spell/&DHTimeStopSpellTitle	DetenciÃ³n del tiempo
Spell/&DHWeirdSpellDescription	Aprovechando los miedos mÃ¡s profundos de un grupo de criaturas, creas criaturas ilusorias en sus mentes, visibles sÃ³lo para ellas. Cada criatura en una esfera de 30 pies de radio centrada en un punto de tu elecciÃ³n dentro del alcance debe hacer una tirada de salvaciÃ³n de SabidurÃ­a. En caso de fallar la tirada de salvaciÃ³n, la criatura se asusta mientras dure el efecto. La ilusiÃ³n invoca los miedos mÃ¡s profundos de la criatura, manifestando sus peores pesadillas como una amenaza implacable. Al final de cada turno de la criatura asustada, debe tener Ã©xito en una tirada de salvaciÃ³n de SabidurÃ­a o recibir 4d10 de daÃ±o psÃ­quico. Si la tirada de salvaciÃ³n tiene Ã©xito, el hechizo termina para esa criatura.
Spell/&DHWeirdSpellTitle	ExtraÃ±o
Spell/&EarthTremorDescription	Golpeas el suelo y desatas un temblor de fuerza sÃ­smica, lanzando tierra, roca y arena.
Spell/&EarthTremorTitle	Temblor de tierra
Spell/&EldritchBlastDescription	Un rayo de energÃ­a crepitante se dirige a una criatura dentro del alcance. Realiza un ataque de hechizo a distancia contra el objetivo. Si aciertas, el objetivo recibe 1d10 de daÃ±o de fuerza.\nEl hechizo crea mÃ¡s de un rayo cuando alcanzas niveles superiores: dos rayos a 5Âº nivel, tres rayos a 11Âº nivel y cuatro rayos a 17Âº nivel. Puedes dirigir los haces al mismo objetivo o a otros diferentes. Haz una tirada de ataque distinta para cada rayo.
Spell/&EldritchBlastGraspingHandDescription	Un rayo de energÃ­a crepitante se dirige a una criatura dentro del alcance. Haz un ataque de hechizo a distancia contra el objetivo. Si aciertas, el objetivo recibe 1d10 de daÃ±o de fuerza. \n(Cuando golpeas a una criatura con tu rÃ¡faga eldritch, puedes mover a esa criatura en lÃ­nea recta 10 pies mÃ¡s cerca de ti).
Spell/&EldritchBlastGraspingHandTitle	RÃ¡faga de eldritch (Agarrar)
Spell/&EldritchBlastRepellingBlastDescription	Un rayo de energÃ­a crepitante se extiende hacia una criatura dentro del alcance. Haz un ataque de hechizo a distancia contra el objetivo. Si aciertas, el objetivo recibe 1d10 de daÃ±o de fuerza.\n(Cuando golpeas a una criatura con la rÃ¡faga eldritch, puedes empujar a la criatura hasta 10 pies de distancia de ti en lÃ­nea recta).
Spell/&EldritchBlastRepellingBlastTitle	RÃ¡faga de eldritch (Repelente)
Spell/&EldritchBlastTitle	RÃ¡faga de eldritch
Spell/&EldritchOrbDescription	Lanzas una bola de energÃ­a eldritch a una criatura u objeto dentro del alcance e infliges daÃ±o de fuerza en un radio pequeÃ±o.
Spell/&EldritchOrbTitle	Orbe de eldritch
Spell/&EWResonatingStrikeDescription	Selecciona una criatura a tu alcance cuerpo a cuerpo y otra criatura que puedas ver a menos de 1,5 metros del objetivo principal. Haces un ataque cuerpo a cuerpo con el arma actual contra la primera criatura. Si aciertas, el objetivo sufre los efectos normales del ataque con el arma, y el sonido resonante salta al segundo objetivo, infligiendo un daÃ±o de trueno igual a tu modificador de habilidad de lanzamiento de conjuros.\nA 5Âº nivel, el ataque cuerpo a cuerpo inflige 1d8 de daÃ±o de trueno adicional al objetivo si aciertas, y el daÃ±o de trueno a la segunda criatura aumenta a 1d8 + tu modificador de habilidad de lanzamiento de conjuros. Ambas tiradas de daÃ±o aumentan en 1d8 a los niveles 11Âº y 17Âº.
Spell/&EWResonatingStrikeTitle	Golpe Resonante
Spell/&EWSunlightBladeDescription	Realiza un ataque cuerpo a cuerpo con un arma. Si acierta, el objetivo sufre los efectos normales del ataque y se ve envuelto en una energÃ­a radiante que emite una luz tenue durante el turno. El siguiente ataque contra esta criatura mientras estÃ© resaltada se realiza con ventaja.\nA 5Âº nivel, el ataque cuerpo a cuerpo inflige 1d8 de daÃ±o radiante adicional al objetivo. El daÃ±o aumenta en otro 1d8 a 11Âº nivel y 17Âº nivel.
Spell/&EWSunlightBladeTitle	Hoja iluminada por el sol
Spell/&FindFamiliarDescription	Obtienes el servicio de un familiar.
Spell/&FindFamiliarImpDescription	Invoca a tu familiar en forma de diablillo.
Spell/&FindFamiliarImpTitle	Encontrar familiar (diablillo)
Spell/&FindFamiliarPsuedodragonDescription	Invoca a tu familiar en forma de PseudodragÃ³n.
Spell/&FindFamiliarPsuedodragonTitle	Encontrar familiar (seudodragÃ³n)
Spell/&FindFamiliarQuasitDescription	Invoca a tu familiar en forma de quasit.
Spell/&FindFamiliarQuasitTitle	Buscar familiar (Quasit)
Spell/&FindFamiliarSpriteDescription	Invoca a tu familiar en forma de Sprite.
Spell/&FindFamiliarSpriteTitle	Encontrar familiar (Sprite)
Spell/&FindFamiliarTitle	Encontrar a un familiar
Spell/&FrenzyDescription	Con un gesto, reduces a una multitud a la base del instinto y la violencia. Elige un punto que puedas ver dentro del alcance. Cada criatura en un radio de 6 metros de ese punto debe hacer una tirada de salvaciÃ³n de SabidurÃ­a. En caso de fallar la tirada de salvaciÃ³n, la criatura queda frenÃ©tica mientras dure el ataque. Cuando una criatura estÃ¡ frenÃ©tica, saca un arma cuerpo a cuerpo, si tiene una. Una criatura frenÃ©tica debe utilizar su acciÃ³n al principio de su turno para atacar a una criatura que estÃ© a su alcance. Utiliza un arma cuerpo a cuerpo, si tiene una, o un arma improvisada o un golpe desarmado, si no la tiene. Si hay varios objetivos al alcance de la criatura, Ã©sta elige su objetivo al azar. Si no hay ningÃºn objetivo al alcance de la criatura, se ataca a sÃ­ misma, contra su propia CA, infligiendo el daÃ±o normal en caso de impacto. Al final de su turno, una criatura frenÃ©tica puede repetir su tirada de salvaciÃ³n, terminando el efecto sobre ella antes de tiempo si tiene Ã©xito.
Spell/&FrenzyTitle	FrenesÃ­
Spell/&HinderingBlastDescription	Un rayo de energÃ­a crepitante se dirige a una criatura dentro del alcance. Haz un ataque de hechizo a distancia contra el objetivo. Si aciertas, el objetivo recibe 1d10 puntos de daÃ±o de fuerza\n (cuando golpeas a una criatura con tu explosiÃ³n eldritch, puedes reducir la velocidad de esa criatura en 3 metros hasta el final de tu siguiente turno).
Spell/&HinderingBlastTitle	RÃ¡faga de eldritch (Entorpecedor)
Spell/&IlluminatingSphereDescription	Hace que se iluminen las fuentes de luz, como antorchas y lÃ¡mparas de manÃ¡, en el Ã¡rea de efecto.
Spell/&IlluminatingSphereTitle	Esfera luminosa
Spell/&IPConjureInvisibleStalkerTitle	Conjurar Elemental (Acosador Invisible)
Spell/&MinorLifestealDescription	Drenas la energÃ­a vital de una criatura hostil que puedas ver dentro del alcance. A continuaciÃ³n, curas puntos de golpe iguales a la cantidad de daÃ±o infligido. Este hechizo no tiene efecto sobre muertos vivientes o constructos.
Spell/&MinorLifestealTitle	Robo de vida menor
Spell/&MirrorImageDescription	Imagen en el espejo
Spell/&MirrorImageTitle	Imagen Espejo
Spell/&MuleDescription	El receptor de este hechizo puede ignorar los efectos de las cargas o armaduras pesadas sobre la velocidad de movimiento. TambiÃ©n puede llevar un poco mÃ¡s de peso.
Spell/&MuleTitle	Mula
Spell/&PetalStormDescription	Elige un cubo de aire desocupado de 15 pies que puedas ver dentro del alcance. Una fuerza elemental de vientos arremolinados aparece en el cubo y dura la duraciÃ³n del hechizo. La nube oscurece fuertemente su Ã¡rea. Cualquier criatura que entre en la tormenta por primera vez en un turno o que empiece su turno allÃ­ debe hacer una tirada de salvaciÃ³n de Fuerza. Si falla la tirada de salvaciÃ³n, la criatura recibe 3d4 puntos de daÃ±o cortante. Como acciÃ³n adicional, puedes mover la tormenta hasta 30 pies en cualquier direcciÃ³n.
Spell/&PetalStormTitle	Tormenta de pÃ©talos
Spell/&ProtectThresholdDescription	Trazando sigilos arcanos a lo largo de sus lÃ­mites, puedes proteger una puerta, ventana u otro portal de la entrada. Mientras dure, una criatura eldritch invisible acecha el portal protegido. Cualquier criatura que intente atravesar el portal debe realizar una tirada de salvaciÃ³n de SabidurÃ­a o recibir 4d6 de daÃ±o psÃ­quico, o la mitad si la salvaciÃ³n es exitosa.
Spell/&ProtectThresholdTitle	Proteger umbral
Spell/&RadiantMotesDescription	Desata un enjambre de 5 proyectiles radiantes que infligen 2 de daÃ±o radiante cada uno, pero nunca fallan. Los objetivos pueden irradiar luz hasta 1 minuto.\nCuando lanzas este hechizo usando una ranura de hechizo de 2Âº nivel o superior, el hechizo crea 2 proyectiles mÃ¡s por cada ranura superior a la 1Âª.
Spell/&RadiantMotesTitle	Motas Radiantes
Spell/&ThunderStrikeDescription	Crea un estallido de sonido atronador, obligando a las criaturas adyacentes a ti a realizar una tirada de salvaciÃ³n de ConstituciÃ³n o a recibir 1d6 de daÃ±o por trueno.\nEl daÃ±o de este hechizo aumenta en 1d6 cuando alcanzas el 5Âº nivel (2d6), el 11Âº nivel (3d6) y el 17Âº nivel (4d6).
Spell/&ThunderStrikeTitle	RÃ¡faga de sonido
Spell/&WinterBreathDescription	Crea una rÃ¡faga de viento frÃ­o para enfriar a tus enemigos y dejarlos tirados.
Spell/&WinterBreathTitle	Aliento de invierno
