ActionAffinity/&DHFeeblemindSpellDescription	Impossibile lanciare incantesimi.
Spell/&DHConjureCelestialSpellTitle	Evocare un celestiale (Couatl)
Spell/&DHDominateMonsterSpellDescription	Si tenta di abbindolare una creatura visibile nel raggio d'azione. Deve riuscire a superare un tiro salvezza di Saggezza o essere ammaliata da voi per tutta la durata dell'incantesimo.
Spell/&DHDominateMonsterSpellTitle	Dominare un mostro
Spell/&DHFeeblemindSpellDescription	Si fa esplodere la mente di una creatura visibile nel raggio d'azione, cercando di frantumarne l'intelletto e la personalitÃ . Il bersaglio subisce 4d6 danni psichici e deve effettuare un tiro salvezza di Intelligenza. La creatura non puÃ² lanciare incantesimi, attivare oggetti magici, comprendere il linguaggio o comunicare in modo intelligibile.
Spell/&DHFeeblemindSpellTitle	Mente debole
Spell/&DHFingerOfDeathSpellDescription	Il bersaglio deve effettuare un tiro salvezza di Costituzione. Subisce 7d8 + 30 danni necrotici se il tiro salvezza fallisce, o la metÃ  dei danni se riesce.
Spell/&DHFingerOfDeathSpellTitle	Dito della morte (senza zombie)
Spell/&DHForesightSpellDescription	Toccate una creatura consenziente e le conferite una capacitÃ  limitata di vedere nel futuro immediato. Per tutta la durata, il bersaglio non puÃ² essere sorpreso e ha vantaggio sui tiri di attacco, sulle prove di abilitÃ  e sui tiri salvezza. Inoltre, le altre creature hanno svantaggio sui tiri di attacco contro il bersaglio per tutta la durata.
Spell/&DHForesightSpellTitle	Preveggenza
Spell/&DHHolyAuraSpellDescription	La luce divina si sprigiona da voi e si coagula in una morbida radiositÃ  in un raggio di 30 piedi intorno a voi. Le creature a scelta che si trovano in quel raggio quando si lancia l'incantesimo emanano una luce fioca in un raggio di 5 piedi e hanno vantaggio su tutti i tiri salvezza, mentre le altre creature hanno svantaggio sui tiri di attacco contro di loro fino al termine dell'incantesimo.
Spell/&DHHolyAuraSpellTitle	Aura sacra
Spell/&DHIncendiaryCloudSpellDescription	Una vorticosa nube di fumo attraversata da tizzoni bianchi appare in una sfera di 6 metri di raggio centrata su un punto nel raggio d'azione. La nube si diffonde intorno agli angoli ed Ã¨ fortemente oscurata. Dura per tutta la durata o finchÃ© un vento di velocitÃ  moderata o superiore (almeno 10 miglia orarie) non la disperde.\nQuando la nube appare, ogni creatura al suo interno deve effettuare un tiro salvezza di Destrezza. Una creatura subisce 10d8 danni da fuoco in caso di tiro salvezza fallito, o la metÃ  in caso di tiro salvezza riuscito. Una creatura deve effettuare questo tiro salvezza anche quando entra nell'area dell'incantesimo per la prima volta in un turno o vi termina il proprio turno.\nLa nube si allontana di 3 metri direttamente da voi in una direzione che scegliete all'inizio di ogni vostro turno.
Spell/&DHIncendiaryCloudSpellTitle	Nube incendiaria
Spell/&DHMassHealSpellDescription	Un flusso di energia curativa scorre da voi verso le creature ferite intorno a voi. Si ripristinano fino a 700 punti ferita, suddivisi a scelta tra un numero qualsiasi di creature visibili nel raggio d'azione. Le creature guarite da questo incantesimo sono anche curate da tutte le malattie e da qualsiasi effetto che le renda cieche o sorde. Questo incantesimo non ha effetto su non morti o costrutti.
Spell/&DHMassHealSpellTitle	Guarigione di massa
Spell/&DHMazeSpellDescription	Si bandisce una creatura visibile nel raggio d'azione in un demipiano labirintico. Il bersaglio vi rimane per tutta la durata dell'incantesimo o finchÃ© non riesce a fuggire dal labirinto. /Il bersaglio puÃ² usare la sua azione per tentare una prova di Intelligenza a DC 20 per fuggire.
Spell/&DHMazeSpellTitle	Labirinto
Spell/&DHMeteorSwarmSingleTargetSpellDescription	Sfere di fuoco fiammeggianti piombano al suolo in un unico punto visibile nel raggio d'azione. Ogni creatura in una sfera di 40 piedi di raggio centrata sul punto scelto deve effettuare un tiro salvezza di Destrezza. La sfera si diffonde intorno agli angoli. Una creatura subisce 20d6 danni da fuoco e 20d6 danni da percosse se il tiro salvezza non va a buon fine, o la metÃ  dei danni se va a buon fine. Una creatura che si trova nell'area di piÃ¹ di un'esplosione di fuoco viene colpita una sola volta.
Spell/&DHMeteorSwarmSingleTargetSpellTitle	Sciame di meteore (bersaglio singolo)
Spell/&DHMindBlankSpellDescription	Fino al termine dell'incantesimo, una creatura consenziente toccata Ã¨ immune ai danni psichici, a qualsiasi effetto che possa percepire le sue emozioni o leggere i suoi pensieri, agli incantesimi di divinazione e alla condizione di incantato.
Spell/&DHMindBlankSpellTitle	Vuoto mentale
Spell/&DHPowerWordHealSpellDescription	Un'ondata di energia curativa investe la creatura toccata. Il bersaglio riacquista tutti i suoi punti ferita. Se la creatura Ã¨ incantata, spaventata, paralizzata o stordita, la condizione termina. Se la creatura Ã¨ prona, puÃ² usare la sua reazione per alzarsi. Questo incantesimo non ha effetto su non morti o costrutti.
Spell/&DHPowerWordHealSpellTitle	Parola di potere Guarire
Spell/&DHPowerWordKillSpellDescription	Si pronuncia una parola di potere che puÃ² costringere una creatura visibile nel raggio d'azione a morire istantaneamente. Se la creatura scelta ha 100 punti ferita o meno, muore. Altrimenti, l'incantesimo non ha effetto.
Spell/&DHPowerWordKillSpellTitle	Parola di potere Uccidere
Spell/&DHPowerWordStunSpellDescription	Si pronuncia una parola di potere che puÃ² sopraffare la mente di una creatura visibile nel raggio d'azione, lasciandola attonita. Se il bersaglio ha 150 punti ferita o meno, viene stordito. Altrimenti, l'incantesimo non ha effetto.
Spell/&DHPowerWordStunSpellTitle	Parola di potere Stordimento
Spell/&DHReverseGravitySpellDescription	Questo incantesimo inverte la gravitÃ  in un cilindro di 15 metri di raggio e di 100 metri di altezza, centrato su un punto nel raggio d'azione.
Spell/&DHReverseGravitySpellTitle	Invertire la gravitÃ 
Spell/&DHShapechangeSpellDescription	Si assume la forma di un'altra creatura per tutta la durata dell'incantesimo. La nuova forma puÃ² essere quella di qualsiasi creatura con un punteggio di sfida pari al proprio livello o inferiore.
Spell/&DHShapechangeSpellTitle	Cambiamento di forma
Spell/&DHSunBurstSpellDescription	La luce brillante del sole lampeggia in un raggio di 60 piedi, centrata su un punto a scelta nel raggio d'azione. Ogni creatura che si trova in quella luce deve effettuare un tiro salvezza di Costituzione. Se il tiro salvezza fallisce, la creatura subisce 12d6 danni radianti e rimane accecata per 1 minuto. Con un tiro salvezza riuscito, la creatura subisce la metÃ  dei danni e non viene accecata da questo incantesimo. Una creatura accecata da questo incantesimo effettua un altro tiro salvezza di Costituzione alla fine di ogni suo turno. Se il tiro salvezza ha successo, non Ã¨ piÃ¹ accecata.Questo incantesimo dissipa qualsiasi oscuritÃ  nella sua area creata da un incantesimo.
Spell/&DHSunBurstSpellTitle	Raggio di sole
Spell/&DHTimeStopSpellDescription	Interrompi brevemente il flusso del tempo per tutti tranne che per te stesso. Il tempo non passa per le altre creature, mentre voi prendete 1d4 + 1 turni di fila, durante i quali potete usare azioni e muovervi normalmente.
Spell/&DHTimeStopSpellTitle	Arresto del tempo
Spell/&DHWeirdSpellDescription	Attingendo alle paure piÃ¹ profonde di un gruppo di creature, si creano nella loro mente creature illusorie, visibili solo a loro. Ogni creatura in una sfera di 30 piedi di raggio centrata su un punto a scelta nel raggio d'azione deve effettuare un tiro salvezza di Saggezza. Se il tiro salvezza fallisce, la creatura si spaventa per tutta la durata del tiro. L'illusione fa appello alle paure piÃ¹ profonde della creatura, manifestando i suoi peggiori incubi come una minaccia implacabile. Alla fine di ogni turno della creatura spaventata, essa deve superare un tiro salvezza di Saggezza o subire 4d10 danni psichici. Se il tiro salvezza riesce, l'incantesimo termina per quella creatura.
Spell/&DHWeirdSpellTitle	Strano
Spell/&EarthTremorDescription	Si colpisce il terreno e si scatena un tremito di forza sismica, scagliando terra, roccia e sabbia.
Spell/&EarthTremorTitle	Tremore della terra
Spell/&EldritchBlastDescription	Un raggio di energia crepitante si dirige verso una creatura nel raggio d'azione. Effettuare un attacco con incantesimo a distanza contro il bersaglio. Se viene colpito, il bersaglio subisce 1d10 danni da forza.\nL'incantesimo crea piÃ¹ di un raggio quando si raggiungono livelli piÃ¹ alti: due raggi al 5Â° livello, tre raggi all'11Â° livello e quattro raggi al 17Â° livello. I raggi possono essere diretti verso lo stesso bersaglio o verso bersagli diversi. Effettuare un tiro di attacco separato per ogni raggio.
Spell/&EldritchBlastGraspingHandDescription	Un raggio di energia crepitante si dirige verso una creatura nel raggio d'azione. Effettuare un attacco con incantesimo a distanza contro il bersaglio. Se viene colpito, il bersaglio subisce 1d10 danni da forza. [Quando si colpisce una creatura con l'esplosione eldritch, Ã¨ possibile spostarla in linea retta di 3 metri piÃ¹ vicino a noi.
Spell/&EldritchBlastGraspingHandTitle	Esplosione eldritch (afferrare)
Spell/&EldritchBlastRepellingBlastDescription	Un fascio di energia crepitante si dirige verso una creatura nel raggio d'azione. Effettuare un attacco con incantesimo a distanza contro il bersaglio. Se viene colpito, il bersaglio subisce 1d10 danni da forza.\n(Quando si colpisce una creatura con l'esplosione eldritch, si puÃ² spingere la creatura fino a 3 metri di distanza in linea retta).
Spell/&EldritchBlastRepellingBlastTitle	Esplosione eldritica (respingere)
Spell/&EldritchBlastTitle	Esplosione eldritica
Spell/&EldritchOrbDescription	Si scaglia una palla di energia eldritch contro una creatura o un oggetto nel raggio d'azione e si infliggono danni da forza in un piccolo raggio.
Spell/&EldritchOrbTitle	Orbita eldritchica
Spell/&EWResonatingStrikeDescription	Selezionate una creatura entro la vostra portata in mischia e un'altra creatura che potete vedere entro 2 metri dal bersaglio principale. Si effettua un attacco in mischia con l'arma corrente contro la prima creatura. Se si va a segno, il bersaglio subisce i normali effetti dell'attacco con l'arma e il suono risonante salta verso il secondo bersaglio, infliggendo danni da tuono pari al proprio modificatore di capacitÃ  incantatoria.\nAl 5Â° livello, l'attacco in mischia infligge 1d8 danni da tuono extra al bersaglio se va a segno e i danni da tuono alla seconda creatura aumentano a 1d8 + il proprio modificatore di capacitÃ  incantatoria. Entrambi i tiri per i danni aumentano di 1d8 all'11Â° e al 17Â° livello.
Spell/&EWResonatingStrikeTitle	Colpo risonante
Spell/&EWSunlightBladeDescription	Effettua un attacco in mischia con un'arma. Se viene colpito, il bersaglio subisce i normali effetti dell'attacco e viene avvolto da un'energia radiante incandescente che emana una luce fioca per il turno. Il prossimo attacco contro questa creatura mentre Ã¨ evidenziata Ã¨ effettuato con vantaggio.\nAl 5Â° livello, l'attacco in mischia infligge 1d8 danni radianti extra al bersaglio. I danni aumentano di altri 1d8 all'11Â° e al 17Â° livello.
Spell/&EWSunlightBladeTitle	Lama illuminata dal sole
Spell/&FindFamiliarDescription	Ottieni il servizio di un familiare.
Spell/&FindFamiliarImpDescription	Evoca il tuo famiglio sotto forma di imp.
Spell/&FindFamiliarImpTitle	Trovare un familiare (Imp)
Spell/&FindFamiliarPsuedodragonDescription	Evoca il tuo famiglio sotto forma di Pseudodrago.
Spell/&FindFamiliarPsuedodragonTitle	Trova Familiare (Pseudodrago)
Spell/&FindFamiliarQuasitDescription	Evoca il proprio familiare sotto forma di quasit.
Spell/&FindFamiliarQuasitTitle	Trova familiare (Quasit)
Spell/&FindFamiliarSpriteDescription	Evoca il vostro famiglio sotto forma di folletto.
Spell/&FindFamiliarSpriteTitle	Trova un familiare (folletto)
Spell/&FindFamiliarTitle	Trovare un familiare
Spell/&FrenzyDescription	Con un gesto, riduci una folla all'istinto e alla violenza. Scegliete un punto che potete vedere nel raggio d'azione. Ogni creatura entro 6 metri da quel punto deve effettuare un tiro salvezza di Saggezza. Se il tiro salvezza fallisce, la creatura Ã¨ frenetica per tutta la durata del tiro salvezza. Quando una creatura Ã¨ frenetica, estrae un'arma da mischia, se ne ha una. Una creatura frenetica deve usare la sua azione all'inizio del suo turno per attaccare una creatura alla sua portata. Utilizza un'arma da mischia, se ne ha una, o un'arma improvvisata o un colpo senz'armi, se non ne ha. Se la creatura ha piÃ¹ bersagli a portata di mano, sceglie il bersaglio in modo casuale. Se non c'Ã¨ alcun bersaglio a portata di mano, la creatura attacca se stessa, contro la propria CA, infliggendo i normali danni in caso di successo. Alla fine del proprio turno, una creatura frenetica puÃ² ripetere il tiro salvezza, terminando l'effetto in anticipo in caso di successo.
Spell/&FrenzyTitle	Frenesia
Spell/&HinderingBlastDescription	Un fascio di energia crepitante si dirige verso una creatura nel raggio d'azione. Effettuare un attacco di incantesimi a distanza contro il bersaglio. Se viene colpito, il bersaglio subisce 1d10 danni da forza.\n(quando si colpisce una creatura con la propria esplosione eldritch, si puÃ² ridurre la velocitÃ  di quella creatura di 3 metri fino alla fine del proprio turno successivo).
Spell/&HinderingBlastTitle	Esplosione eldritch (ostacolare)
Spell/&IlluminatingSphereDescription	Provoca l'accensione di fonti di luce come torce e lampade del mana nell'area d'effetto.
Spell/&IlluminatingSphereTitle	Sfera illuminante
Spell/&IPConjureInvisibleStalkerTitle	Evocare elementale (Stalker invisibile)
Spell/&MinorLifestealDescription	Prosciughi l'energia vitale di una creatura ostile che puoi vedere nel raggio d'azione. Si guariscono i punti ferita pari all'ammontare dei danni inflitti. Questo incantesimo non ha effetto su non morti o costrutti.
Spell/&MinorLifestealTitle	Salvaguardia della vita minore
Spell/&MirrorImageDescription	Immagine speculare
Spell/&MirrorImageTitle	Immagine speculare
Spell/&MuleDescription	Il beneficiario di questo incantesimo Ã¨ in grado di ignorare gli effetti dei carichi pesanti o delle armature sulla velocitÃ  di movimento. Inoltre, puÃ² trasportare un peso leggermente maggiore.
Spell/&MuleTitle	Mulo
Spell/&PetalStormDescription	Scegliere un cubo d'aria non occupato di 15 piedi che si puÃ² vedere nel raggio d'azione. Una forza elementale di venti vorticosi appare nel cubo e dura per tutta la durata dell'incantesimo. La nube oscura pesantemente la sua area. Qualsiasi creatura che entra nella tempesta per la prima volta in un turno o che inizia il suo turno lÃ¬ deve effettuare un tiro salvezza di Forza. Se il tiro salvezza fallisce, la creatura subisce 3d4 danni da taglio. Come azione bonus, Ã¨ possibile spostare la tempesta fino a 9 metri in qualsiasi direzione.
Spell/&PetalStormTitle	Tempesta di petali
Spell/&ProtectThresholdDescription	Tracciando sigilli arcani lungo il suo confine, si puÃ² impedire l'ingresso a porte, finestre o altri portali. Per tutta la durata, una creatura eldritch invisibile si aggira per il portale protetto. Qualsiasi creatura che tenti di attraversare il portale deve effettuare un tiro salvezza di Saggezza o subire 4d6 danni psichici, o la metÃ  in caso di successo.
Spell/&ProtectThresholdTitle	Proteggere la soglia
Spell/&RadiantMotesDescription	Scatena uno sciame di 5 proiettili radianti che infliggono 2 danni radianti ciascuno, ma non mancano mai. I bersagli possono irradiare luce per un massimo di 1 minuto.\nQuando si lancia questo incantesimo utilizzando uno slot incantesimo di 2Â° livello o superiore, l'incantesimo crea altri 2 proiettili per ogni slot superiore al 1Â°.
Spell/&RadiantMotesTitle	Motteggi radianti
Spell/&ThunderStrikeDescription	Crea un'esplosione di tuoni che costringe le creature adiacenti a effettuare un tiro salvezza di Costituzione o a subire 1d6 danni da tuono.\nI danni di questo incantesimo aumentano di 1d6 al 5Â° livello (2d6), all'11Â° livello (3d6) e al 17Â° livello (4d6).
Spell/&ThunderStrikeTitle	Raffica di suoni
Spell/&WinterBreathDescription	Crea un'esplosione di vento freddo per raffreddare i nemici e farli cadere a terra.
Spell/&WinterBreathTitle	Soffio d'inverno
Spell/&WitchFamiliarDescription	Ottenete il servizio di un familiare.
Spell/&WitchFamiliarTitle	Familiare della strega
SpellList/&ClassWarlockSpellListDescription	Elenco degli incantesimi dello stregone.
SpellList/&ClassWarlockSpellListTitle	Elenco degli incantesimi dello stregone
SpellList/&ElementalistSpellsListDescription	Elenco degli incantesimi dell'Elementalista.
SpellList/&ElementalistSpellsListTitle	Elenco degli incantesimi dell'Elementalista
SpellList/&RiftWalkerSpellsListDescription	Elenco degli incantesimi del RiftWalker.
SpellList/&RiftWalkerSpellsListTitle	Elenco incantesimi Rift Walker
SpellList/&SpellListTinkererDescription	Incantesimo del Tinkerer.
SpellList/&SpellListTinkererTitle	Elenco degli incantesimi del Tinkerer
Stage/&IdentityMorphotypeEyeHeader	Stile dell'occhio
Stage/&SubclassSelectionStageClassMonkTraditionDescription	Questa fase seleziona la tradizione monastica del personaggio.
Stage/&SubclassSelectionStageClassMonkTraditionFeatures	Caratteristiche della tradizione monastica
Stage/&SubclassSelectionStageClassMonkTraditionHeader	Selezionare una tradizione monastica
Stage/&SubclassSelectionStageClassMonkTraditionNoneDescription	Ãˆ necessario selezionare una tradizione monastica.
Stage/&SubclassSelectionStageClassMonkTraditionTitle	Tradizione \nmonastica
Stage/&SubclassSelectionStageCovenDescription	Alleanza.
Stage/&SubclassSelectionStageCovenFeaturesDescription	Congrega.
Stage/&SubclassSelectionStageCovenFeaturesHeader	Caratteristiche della congrega
Stage/&SubclassSelectionStageCovenFeaturesTitle	Congrega
Stage/&SubclassSelectionStageCovenHeader	Seleziona una congrega
Stage/&SubclassSelectionStageCovenTitle	Congrega
Stage/&SubclassSelectionStagePatronDescription	Uno Stregone Ã¨ definito da un patto con un essere ultraterreno. A volte il rapporto tra Warlock e patrono Ã¨ simile a quello tra un Chierico e una divinitÃ , anche se gli esseri che fungono da patroni non sono divinitÃ .
Stage/&SubclassSelectionStagePatronFeatures	Caratteristiche dei patroni ultraterreni
Stage/&SubclassSelectionStagePatronHeader	Warlock Patroni ultraterreni
Stage/&SubclassSelectionStagePatronTitle	Patroni ultraterreni
Stage/&SubclassSelectionStageSpecialistDescription	Descrizione I Tinkerer hanno un'ampia gamma di specializzazioni, tra cui la creazione di elisir come Potion Maker, la produzione di esplosioni come Blaster e la manipolazione di armi magiche come Weapon Smith.
Stage/&SubclassSelectionStageSpecialistFeatures	Caratteristiche dello Specialista
Stage/&SubclassSelectionStageSpecialistHeader	Specializzazioni
Stage/&SubclassSelectionStageSpecialistNoneDescription	Specialista Nessuna Descrizione.
Stage/&SubclassSelectionStageSpecialistTitle	Selezionare la specializzazione
Subclass/&AbilityAffinityRogueConArtistDescription	Vantaggio sulle prove di abilitÃ  con Persuasione, Inganno, Prestazione e AbilitÃ .
Subclass/&AbilityAffinityRogueConArtistTitle	Manipolatore
Subclass/&AHWarlockSubclassSoulBladePactDescription	Avete stretto un patto con un'arma senziente a cui date in pasto anime in cambio di potere.
Subclass/&AHWarlockSubclassSoulBladePactTitle	Patto dell'Anima-Lama
Subclass/&ArcaneFighterAdditionalActionDescription	Si puÃ² lanciare un incantesimo dopo aver sconfitto un nemico con i propri attacchi con le armi.
Subclass/&ArcaneFighterAdditionalActionTitle	Combattimento con incantesimi
Subclass/&ArcaneFighterBonusWeaponDamageDescription	Una volta per turno, gli attacchi con le armi infliggono 1d8 danni extra.
Subclass/&ArcaneFighterBonusWeaponDamageTitle	Attacchi con poteri magici
Subclass/&ArtificerAlchemistDescription	Si Ã¨ specializzati in pozioni, buff, guarigione e lancio di incantesimi.
Subclass/&ArtificerAlchemistTitle	Creatore di pozioni
Subclass/&ArtificerArtileristCannonsDescription	Si crea una serie di cannoni che si possono attivare in battaglia come azione bonus.
Subclass/&ArtificerArtileristCannonsTitle	Cannoni
Subclass/&ArtificerArtilleristDescription	Si Ã¨ specializzati nello scagliare proiettili e nel provocare esplosioni.
Subclass/&ArtificerArtilleristTitle	Blaster
Subclass/&ArtificerBattleSmithDescription	Si Ã¨ specializzati nell'uso di armi magiche in combattimento.
Subclass/&ArtificerBattleSmithTitle	Fabbro di armi
Subclass/&ArtificerSpellcastingDescription	Lancia incantesimi da stagnino.
Subclass/&ArtificerSpellcastingTitle	Incantesimi da stagnino
Subclass/&AttackModifierArtificerBattleSmithWeaponDescription	Gli attacchi contano come magici e si usa l'Intelligenza per i tiri di attacco e di danno.
Subclass/&AttackModifierArtificerBattleSmithWeaponTitle	Arma infusa
Subclass/&AttackModifierArtificerBlindingWeaponDescription	Un'arma a scelta che acquisisce la capacitÃ  di accecare i bersagli quando vengono colpiti (contro un tiro salvezza di Costituzione). Ãˆ possibile avere una sola infusione attiva alla volta. Una seconda attivazione annullerÃ  la prima.
Subclass/&AttackModifierArtificerBlindingWeaponTitle	Arma accecante
Subclass/&AttackModifierArtificerEnhancedArmorDescription	Un'armatura a scelta diventa magica e fornisce un ulteriore +1 alla CA. L'infusione puÃ² essere attiva una sola volta. Una seconda attivazione annullerÃ  la prima.
Subclass/&AttackModifierArtificerEnhancedArmorTitle	Armatura potenziata
Subclass/&AttackModifierArtificerEnhancedFocusDescription	Un incantesimo a scelta diventa magico e guadagna un +1 ai tiri di attacco e alla DC di salvataggio degli incantesimi. Ãˆ possibile avere una sola infusione attiva alla volta. Una seconda attivazione annullerÃ  la prima.
Subclass/&AttackModifierArtificerEnhancedFocusTitle	Fuoco potenziato
Subclass/&AttackModifierArtificerEnhancedWeaponDescription	Un'arma a scelta diventa magica e guadagna +1 ai tiri di attacco e di danno. Ãˆ possibile avere una sola infusione attiva alla volta. Una seconda attivazione annullerÃ  la prima.
Subclass/&AttackModifierArtificerEnhancedWeaponTitle	Arma potenziata
Subclass/&AttackModifierArtificerImprovedEnhancedArmorDescription	Un'armatura a scelta diventa magica e fornisce +2 alla CA. Ãˆ possibile avere una sola infusione attiva alla volta. Una seconda attivazione annullerÃ  la prima.
Subclass/&AttackModifierArtificerImprovedEnhancedArmorTitle	Armatura potenziata migliorata
Subclass/&AttackModifierArtificerImprovedEnhancedFocusDescription	Un incantesimo a scelta diventa magico e guadagna +2 ai tiri di attacco e alle DC di salvataggio degli incantesimi. Ãˆ possibile avere una sola infusione attiva alla volta. Una seconda attivazione annullerÃ  la prima.
Subclass/&AttackModifierArtificerImprovedEnhancedFocusTitle	Focalizzazione migliorata
Subclass/&AttackModifierArtificerImprovedEnhancedWeaponDescription	Toccando un'arma, questa diventa magica e guadagna +2 ai tiri di attacco e di danno. Ãˆ possibile avere un solo infuso attivo alla volta. Una seconda attivazione annullerÃ  la prima.
Subclass/&AttackModifierArtificerImprovedEnhancedWeaponTitle	Arma potenziata migliorata
Subclass/&AttackModifierImprovedArtificerBattleSmithWeaponDescription	Si infonde potere alla propria arma. Gli attacchi contano come magici e aggiungono +7 ai tiri di attacco e di danno.
Subclass/&AttackModifierImprovedArtificerBattleSmithWeaponTitle	Arma infusa migliorata
Subclass/&AttackModifierMeleeWizardArcaneWeaponDescription	Quando Ã¨ attivo su un'arma, i suoi attacchi contano come magici e si usa la propria Intelligenza per i tiri di attacco e di danno.
Subclass/&AttackModifierMeleeWizardArcaneWeaponTitle	Arma arcana
Subclass/&AttributeModifierArtificerBattleSmithExtraAttackDescription	Si ottiene un attacco extra.
Subclass/&AttributeModifierArtificerBattleSmithExtraAttackTitle	Attacco extra
Subclass/&AttributeModifierMeleeWizardExtraAttackDescription	Si ottiene un attacco extra.
Subclass/&AttributeModifierMeleeWizardExtraAttackTitle	Attacco extra
Subclass/&BarbarianPathOfTheLightDescription	I barbari che seguono il Sentiero della Luce illuminano l'oscuritÃ  e proteggono i loro alleati dai pericoli che vi si nascondono.
Subclass/&BarbarianPathOfTheLightEyesOfTruthDescription	Si Ã¨ sempre sotto l'effetto dell'incantesimo Vedere l'invisibilitÃ .
Subclass/&BarbarianPathOfTheLightEyesOfTruthTitle	Occhi della veritÃ 
Subclass/&BarbarianPathOfTheLightIlluminatedConditionDescription	Distratto da Colpo illuminante.
Subclass/&BarbarianPathOfTheLightIlluminatedConditionTitle	Illuminato
Subclass/&BarbarianPathOfTheLightIlluminatedDisadvantageDescription	Svantaggio su qualsiasi tiro di attacco che non sia contro il barbaro del Sentiero della Luce.
Subclass/&BarbarianPathOfTheLightIlluminatedPreventInvisibilityDescription	Non puÃ² diventare invisibile.
Subclass/&BarbarianPathOfTheLightIlluminatingBurstDescription	Nel turno in cui si entra in collera, si puÃ² scegliere di illuminare fino a tre nemici nel raggio di 9 metri. Devono riuscire a superare un tiro salvezza di Costituzione (DC pari a 8 + il bonus di competenza + il modificatore di Costituzione) o subire 4d6 danni radianti ed essere illuminati dal tuo Colpo Illuminante per 1 minuto. Una creatura illuminata in questo modo effettua un altro tiro salvezza di Costituzione alla fine di ogni suo turno. Se il tiro salvezza riesce, l'effetto termina.
Subclass/&BarbarianPathOfTheLightIlluminatingBurstPowerDescription	Fino a tre nemici effettuano un tiro salvezza di Costituzione o subiscono 4d6 danni radianti e vengono illuminati dal Colpo Illuminante.
Subclass/&BarbarianPathOfTheLightIlluminatingBurstPowerTitle	Raffica illuminante
Subclass/&BarbarianPathOfTheLightIlluminatingBurstTitle	Raffica illuminante
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeDescription	Durante la furia, la prima creatura colpita con un attacco nel proprio turno subisce 1d6 danni radianti aggiuntivi e diventa magicamente illuminata fino all'inizio del turno successivo. Inoltre, la creatura ha svantaggio su qualsiasi tiro di attacco che non sia contro di voi e non puÃ² diventare invisibile.
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeImprovementDescription	I danni aggiuntivi inflitti da Colpo illuminante aumentano a 2d6.
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeImprovementTitle	Miglioramento del Colpo Illuminante
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeTitle	Colpo illuminante
Subclass/&BarbarianPathOfTheLightLightsProtectionDescription	Quando una creatura ostile colpita dal Colpo Illuminante muore, si recuperano punti ferita pari a metÃ  del proprio livello da barbaro. Inoltre, non si provocano piÃ¹ attacchi di opportunitÃ  da parte delle creature colpite dal Colpo Illuminante.
Subclass/&BarbarianPathOfTheLightLightsProtectionTitle	Protezione della luce
Subclass/&BarbarianPathOfTheLightPierceTheDarknessDescription	Si ottiene una visione oscura superiore.
Subclass/&BarbarianPathOfTheLightPierceTheDarknessTitle	Trafiggere le tenebre
Subclass/&BarbarianPathOfTheLightSeeingInvisibleConditionDescription	PuÃ² percepire creature invisibili.
Subclass/&BarbarianPathOfTheLightSeeingInvisibleConditionTitle	Vista dell'InvisibilitÃ 
Subclass/&BarbarianPathOfTheLightTitle	Sentiero della Luce
Subclass/&BloodWitchDescription	Proibita dalla maggior parte delle congreghe di Streghe, la magia di sangue si basa sull'uso di incantesimi oscuri e di maledizioni mortali che attingono all'essenza stessa dell'incantatore. Ãˆ fondamentalmente piÃ¹ pericolosa di altri mestieri delle Streghe, ma i suoi molti rischi sono accompagnati da abbondanti ricompense.
Subclass/&BloodWitchMagicDescription	Si ottengono i seguenti incantesimi. Questi incantesimi contano come incantesimi da Strega e non vengono conteggiati nel numero totale di incantesimi conosciuti:\n {0}\n\n
Subclass/&BloodWitchMagicTitle	Magia del sangue
Subclass/&BloodWitchTitle	Strega del Sangue
Subclass/&CancelCancelElixirFlyDescription	Elimina la condizione di Volare dall'Elisir del Poetizzatore.
Subclass/&CancelCancelElixirFlyTitle	Annullare Volare
Subclass/&CancelCancelElixirResilienceDescription	Termina la condizione Resilienza dall'Elisir del Poetizzatore.
Subclass/&CancelCancelElixirResilienceTitle	Annullare la condizione Resilienza
Subclass/&CancelCancelElixirSwiftnessDescription	Termina la condizione Swiftness dell'Elisir del Pozionatore.
Subclass/&CancelCancelElixirSwiftnessTitle	Annullare la RapiditÃ 
Subclass/&ClassMonkTraditionDescription	Al 3Â° livello, puoi scegliere la via spirituale che seguirai verso l'illuminazione. Questa scelta darÃ  forma al modo in cui si manipola il ki.
Subclass/&ClassMonkTraditionTitle	Tradizioni monastiche
Subclass/&ClassMonkTraditionWayOfTheOpenHandDescription	I monaci della Via della Mano Aperta sono i massimi maestri del combattimento marziale, sia armato che disarmato. Imparano le tecniche per spingere e far inciampare gli avversari, manipolano il ki per curare i danni al corpo e praticano una meditazione avanzata che li protegge dai danni.
Subclass/&ClassMonkTraditionWayOfTheOpenHandTitle	Via della mano aperta
Subclass/&ClassMonkTraditionZenArcherDescription	I praticanti della Via della Mano Lontana si allenano a fare delle frecce un'estensione delle loro mani. Sono abili nell'uso dell'arco e nell'impartire effetti potenziati dal ki attraverso le frecce.
