ActionAffinity/&DHFeeblemindSpellDescription	Unable to cast spells.
Spell/&DHMassHealSpellTitle	Mass Heal
Spell/&DHMazeSpellDescription	You banish a creature that you can see within range into a labyrinthine demiplane. The target remains there for the duration or until it escapes the maze. /nThe target can use its action to attempt a DC 20 Intelligence check to escape.
Spell/&DHMazeSpellTitle	Maze
Spell/&DHMeteorSwarmSingleTargetSpellDescription	Blazing orbs of fire plummet to the ground at a single point you can see within range. Each creature in a 40-foot-radius sphere centered on the point you choose must make a Dexterity saving throw. The sphere spreads around corners. A creature takes 20d6 fire damage and 20d6 bludgeoning damage on a failed save, or half as much damage on a successful one. A creature in the area of more than one fiery burst is affected only once.
Spell/&DHMeteorSwarmSingleTargetSpellTitle	Meteor Swarm (Single Target)
Spell/&DHMindBlankSpellDescription	Until the spell ends, one willing creature you touch is immune to psychic damage, any effect that would sense its emotions or read its thoughts, divination spells, and the charmed condition.
Spell/&DHMindBlankSpellTitle	Mind Blank
Spell/&DHPowerWordHealSpellDescription	A wave of healing energy washes over the creature you touch. The target regains all its hit points. If the creature is charmed, frightened, paralyzed, or stunned, the condition ends. If the creature is prone, it can use its reaction to stand up. This spell has no effect on undead or constructs.
Spell/&DHPowerWordHealSpellTitle	Power Word Heal
Spell/&DHPowerWordKillSpellDescription	You utter a word of power that can compel one creature you can see within range to die instantly. If the creature you choose has 100 hit points or fewer, it dies. Otherwise, the spell has no effect.
Spell/&DHPowerWordKillSpellTitle	Power Word Kill
Spell/&DHPowerWordStunSpellDescription	You speak a word of power that can overwhelm the mind of one creature you can see within range, leaving it dumbfounded. If the target has 150 hit points or fewer, it is stunned. Otherwise, the spell has no effect.
Spell/&DHPowerWordStunSpellTitle	Power Word Stun
Spell/&DHReverseGravitySpellDescription	This spell reverses gravity in a 50-foot-radius, 100-foot-high cylinder centered on a point within range.
Spell/&DHReverseGravitySpellTitle	Reverse Gravity
Spell/&DHShapechangeSpellDescription	You assume the form of a different creature for the duration. The new form can be of any creature with a challenge rating equal to your level or lower.
Spell/&DHShapechangeSpellTitle	Shapechange
Spell/&DHSunBurstSpellDescription	Brilliant sunlight flashes in a 60-foot radius centered on a point you choose within range. Each creature in that light must make a Constitution saving throw. On a failed save, a creature takes 12d6 radiant damage and is blinded for 1 minute. On a successful save, it takes half as much damage and isn't blinded by this spell. Undead and oozes have disadvantage on this saving throw.A creature blinded by this spell makes another Constitution saving throw at the end of each of its turns. On a successful save, it is no longer blinded.This spell dispels any darkness in its area that was created by a spell.
Spell/&DHSunBurstSpellTitle	Sunburst
Spell/&DHTimeStopSpellDescription	You briefly stop the flow of time for everyone but yourself. No time passes for other creatures, while you take 1d4 + 1 turns in a row, during which you can use actions and move as normal.
Spell/&DHTimeStopSpellTitle	Time Stop
Spell/&DHWeirdSpellDescription	Drawing on the deepest fears of a group of creatures, you create illusory creatures in their minds, visible only to them. Each creature in a 30-foot-radius sphere centered on a point of your choice within range must make a Wisdom saving throw. On a failed save, a creature becomes frightened for the duration. The illusion calls on the creature's deepest fears, manifesting its worst nightmares as an implacable threat. At the end of each of the frightened creature's turns, it must succeed on a Wisdom saving throw or take 4d10 psychic damage. On a successful save, the spell ends for that creature.
Spell/&DHWeirdSpellTitle	Weird
Spell/&EarthTremorDescription	You strike the ground and unleash a tremor of seismic force, hurling up earth, rock, and sand.
Spell/&EarthTremorTitle	Earth Tremor
Spell/&EldritchBlastDescription	A beam of crackling energy streaks toward a creature within range. Make a ranged spell attack against the target. On a hit, the target takes 1d10 force damage.\nThe spell creates more than one beam when you reach higher levels: two beams at 5th level, three beams at 11th level, and four beams at 17th level. You can direct the beams at the same target or at different ones. Make a separate attack roll for each beam.
Spell/&EldritchBlastGraspingHandDescription	A beam of crackling energy streaks toward a creature within range. Make a ranged spell attack against the target. On a hit, the target takes 1d10 force damage. \n(When you hit a creature with your eldritch blast, you can move that creature in a straight line 10 feet closer to you.)
Spell/&EldritchBlastGraspingHandTitle	Eldritch Blast (Grasping)
Spell/&EldritchBlastRepellingBlastDescription	A beam of crackling energy streaks toward a creature within range. Make a ranged spell attack against the target. On a hit, the target takes 1d10 force damage.\n(When you hit a creature with eldritch blast, you can push the creature up to 10 feet away from you in a straight line.)
Spell/&EldritchBlastRepellingBlastTitle	Eldritch Blast (Repelling)
Spell/&EldritchBlastTitle	Eldritch Blast
Spell/&EldritchOrbDescription	You fling a ball of eldritch energy at a creature or object within range and deal force damage in small radius.
Spell/&EldritchOrbTitle	Eldritch Orb
Spell/&EWResonatingStrikeDescription	Select one creature within melee range of you and a different creature that you can see within 5 feet of main target. You make a melee attack with current weapon against first creature. On a hit, the target suffers the weapon attack's normal effects, and resonating sound leaps to second target, dealing thunder damage equal to your spellcasting ability modifier.\nAt 5th level, the melee attack deals extra 1d8 thunder damage to the target on a hit, and the thunder damage to the second creature increases to 1d8 + your spellcasting ability modifier. Both damage rolls increase by 1d8 at 11th and 17th levels.
Spell/&EWResonatingStrikeTitle	Resonating Strike
Spell/&EWSunlightBladeDescription	Make a melee attack with a weapon. On a hit, the target suffers the attack's normal effects, and is enveloped in glowing radiant energy, shedding dim light for the turn. Next attack against this creature while it is highlighted is done with advantage.\nAt 5th level, the melee attack deals an extra 1d8 radiant damage to the target. The damage increases by another 1d8 at 11th level and 17th level.
Spell/&EWSunlightBladeTitle	Sunlit Blade
Spell/&FindFamiliarDescription	You gain the service of a familiar.
Spell/&FindFamiliarImpDescription	Summons your familiar in the form of an imp.
Spell/&FindFamiliarImpTitle	Find Familiar (Imp)
Spell/&FindFamiliarPsuedodragonDescription	Summons your familiar in the form of a Pseudodragon.
Spell/&FindFamiliarPsuedodragonTitle	Find Familiar (Pseudodragon)
Spell/&FindFamiliarQuasitDescription	Summons your familiar in the form of a quasit.
Spell/&FindFamiliarQuasitTitle	Find Familiar (Quasit)
Spell/&FindFamiliarSpriteDescription	Summons your faimiliar in the form of a Sprite.
Spell/&FindFamiliarSpriteTitle	Find Familiar (Sprite)
Spell/&FindFamiliarTitle	Find Familiar
Spell/&FrenzyDescription	With a gesture, you reduce a crowd to base instinct and violence. Choose a point you can see within range. Each creature within 20 feet of that point must make a Wisdom saving throw. On a failed save, a creature is frenzied for the duration. When a creature is frenzied, it draws a melee weapon, if it has one. A frenzied creature must use its action at the beginning of its turn to attack a creature within its reach. It uses a melee weapon, if it has one, or an improvised weapon or unarmed strike, if it doesn't. If multiple targets are within the creature's reach, it chooses its target randomly. If there is no target within the creature's reach, it attacks itself, against its own AC, dealing damage as normal on a hit. At the end of its turn, a frenzied creature can repeat its saving throw, ending the effect on it early on a success.
Spell/&FrenzyTitle	Frenzy
Spell/&HinderingBlastDescription	A beam of crackling energy streaks toward a creature within range. Make a ranged spell attack against the target. On a hit, the target takes 1d10 force damage.\n(when you hit a creature with your eldritch blast, you can reduce that creature's speed by 10 feet until the end of your next turn.).
Spell/&HinderingBlastTitle	Eldritch Blast (Hindering)
Spell/&IlluminatingSphereDescription	Causes light sources such as torches and mana lamps in the area of effect to light up.
Spell/&IlluminatingSphereTitle	Illuminating Sphere
Spell/&IPConjureInvisibleStalkerTitle	Conjure Elemental (Invisible Stalker)
Spell/&MinorLifestealDescription	You drain life energy from a hostile creature you can see within range. You then heal hit points equal to the amount of damage dealt. This spell has no effect on undead or constructs.
Spell/&MinorLifestealTitle	Minor Lifesteal
Spell/&MirrorImageDescription	Mirror Image
Spell/&MirrorImageTitle	Mirror Image
Spell/&MuleDescription	The recipient of this spell is able to ignore the effects of heavy loads or armor on movement speed. They can also carry slightly more weight.
Spell/&MuleTitle	Mule
Spell/&PetalStormDescription	Choose an unoccupied 15-foot cube of air that you can see within range. An elemental force of swirling winds appears in the cube and lasts for the spell's duration. The cloud heavily obscures its area. Any creature that enters the storm for the first time on a turn or starts its turn there must make a Strength saving throw. On a failed save, the creature takes 3d4 slashing damage. As a bonus action, you can move the storm up to 30 feet in any direction.
Spell/&PetalStormTitle	Petal Storm
Spell/&ProtectThresholdDescription	Tracing arcane sigils along its boundary, you can ward a doorway, window, or other portal from entry. For the duration, an invisible eldritch creature stalks the warded portal. Any creature that attempts to pass through the portal must make a Wisdom saving throw or take 4d6 psychic damage, or half as much on a successful save.
Spell/&ProtectThresholdTitle	Protect Threshold
Spell/&RadiantMotesDescription	Unleashes a swarm of 5 radiant projectiles that deal 2 radiant damage each, but never miss. Targets may radiate light for up to 1 minute.\nWhen you cast this spell using a spell slot of 2nd level or higher, the spell creates 2 more projectiles for each slot above 1st.
Spell/&RadiantMotesTitle	Radiant Motes
Spell/&ThunderStrikeDescription	Create a burst of thundering sound, forcing creatures adjacent to you to make a Constituion saving throw or take 1d6 thunder damage.\nThis spell’s damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).
Spell/&ThunderStrikeTitle	Sound Burst
Spell/&WinterBreathDescription	Create a blast of cold wind to chill your enemies and knock them prone.
Spell/&WinterBreathTitle	Winter's Breath
Spell/&WitchFamiliarDescription	You gain the service of a familiar.
Spell/&WitchFamiliarTitle	Witch Familiar
SpellList/&ClassWarlockSpellListDescription	Warlock SpellList.
SpellList/&ClassWarlockSpellListTitle	Warlock SpellList
SpellList/&ElementalistSpellsListDescription	Elementalist SpellList.
SpellList/&ElementalistSpellsListTitle	Elementalist SpellList
SpellList/&RiftWalkerSpellsListDescription	RiftWalker SpellList.
SpellList/&RiftWalkerSpellsListTitle	Rift Walker SpellList
SpellList/&SpellListTinkererDescription	Tinkerer Spelllist.
SpellList/&SpellListTinkererTitle	Tinkerer Spelllist
Stage/&IdentityMorphotypeEyeHeader	Eye Style
Stage/&SubclassSelectionStageClassMonkTraditionDescription	This stage selects the character's monastic tradition.
Stage/&SubclassSelectionStageClassMonkTraditionFeatures	Monastic Tradition Features
Stage/&SubclassSelectionStageClassMonkTraditionHeader	Select a Monastic Tradition
Stage/&SubclassSelectionStageClassMonkTraditionNoneDescription	You must select a monastic tradition.
Stage/&SubclassSelectionStageClassMonkTraditionTitle	Monastic\nTradition
Stage/&SubclassSelectionStageCovenDescription	Coven.
Stage/&SubclassSelectionStageCovenFeaturesDescription	Coven.
Stage/&SubclassSelectionStageCovenFeaturesHeader	Coven Features
Stage/&SubclassSelectionStageCovenFeaturesTitle	Coven
Stage/&SubclassSelectionStageCovenHeader	Select a Coven
Stage/&SubclassSelectionStageCovenTitle	Coven
Stage/&SubclassSelectionStagePatronDescription	A Warlock is defined by a pact with an otherworldly being. Sometimes the relationship between Warlock and patron is like that of a Cleric and a deity, though the beings that serve as patrons are not gods.
Stage/&SubclassSelectionStagePatronFeatures	Otherworldly Patrons Features
Stage/&SubclassSelectionStagePatronHeader	Warlock Otherworldly Patrons
Stage/&SubclassSelectionStagePatronTitle	Otherworldly Patrons
Stage/&SubclassSelectionStageSpecialistDescription	Description There are a wide range of specialties in Tinkerers including making elixirs as a Potion Maker, making explosions as a Blaster, and wielding magical weaponry as a Weapon Smith.
Stage/&SubclassSelectionStageSpecialistFeatures	Specialist Features
Stage/&SubclassSelectionStageSpecialistHeader	Specializations
Stage/&SubclassSelectionStageSpecialistNoneDescription	Specialist None Description.
Stage/&SubclassSelectionStageSpecialistTitle	Select Specialization
Subclass/&AbilityAffinityRogueConArtistDescription	Advantage on ability checks using Persuasion, Deception, Performance, and Sleight of Hand.
Subclass/&AbilityAffinityRogueConArtistTitle	Manipulative
Subclass/&AHWarlockSubclassSoulBladePactDescription	You have struck a bargain with a sentient weapon that you feed souls to in return for power.
Subclass/&AHWarlockSubclassSoulBladePactTitle	Soulblade Pact
Subclass/&ArcaneFighterAdditionalActionDescription	You can cast a spell after defeating an enemy with your weapon attacks.
Subclass/&ArcaneFighterAdditionalActionTitle	Spell Fighting
Subclass/&ArcaneFighterBonusWeaponDamageDescription	Once per turn, your weapon attacks deal an extra 1d8 damage.
Subclass/&ArcaneFighterBonusWeaponDamageTitle	Magically Powered Attacks
Subclass/&ArtificerAlchemistDescription	You specialize in potions, buffs, healing, and spell casting.
Subclass/&ArtificerAlchemistTitle	Potion Maker
Subclass/&ArtificerArtileristCannonsDescription	You create a set of cannons that you can activate in battle as a bonus action.
Subclass/&ArtificerArtileristCannonsTitle	Cannons
Subclass/&ArtificerArtilleristDescription	You specialize in hurling projectiles and causing explosions.
Subclass/&ArtificerArtilleristTitle	Blaster
Subclass/&ArtificerBattleSmithDescription	You specialize in using magical weapons in combat.
Subclass/&ArtificerBattleSmithTitle	Weapon Smith
Subclass/&ArtificerSpellcastingDescription	Cast Tinkerer spells.
Subclass/&ArtificerSpellcastingTitle	Tinkerer Spellcasting
Subclass/&AttackModifierArtificerBattleSmithWeaponDescription	Your attacks count as magical and you use your Intelligence for attack and damage rolls.
Subclass/&AttackModifierArtificerBattleSmithWeaponTitle	Infused Weapon
Subclass/&AttackModifierArtificerBlindingWeaponDescription	A weapon you choose that gains the ability to blind targets on hit (against a Constitution save). You can only have one of each infusion active at a time. Activating it a second time will cancel the first.
Subclass/&AttackModifierArtificerBlindingWeaponTitle	Blinding Weapon
Subclass/&AttackModifierArtificerEnhancedArmorDescription	An armor you choose becomes magical and provides an additional +1 AC. You can only have an infusion active once. Activating it a second time will cancel the first.
Subclass/&AttackModifierArtificerEnhancedArmorTitle	Enhanced Armor
Subclass/&AttackModifierArtificerEnhancedFocusDescription	A spellcasting focus you choose becomes magical and gains +1 to spell attack rolls and spell save DC. You can only have one of each infusion active at a time. Activating it a second time will cancel the first.
Subclass/&AttackModifierArtificerEnhancedFocusTitle	Enhanced Focus
Subclass/&AttackModifierArtificerEnhancedWeaponDescription	A weapon you choose becomes magical and gains +1 to attack and damage rolls. You can only have one of each infusion active at a time. Activating it a second time will cancel the first.
Subclass/&AttackModifierArtificerEnhancedWeaponTitle	Enhanced Weapon
Subclass/&AttackModifierArtificerImprovedEnhancedArmorDescription	An armor you choose becomes magical and provides +2 AC. You can only have one of each infusion active at a time. Activating it a second time will cancel the first.
Subclass/&AttackModifierArtificerImprovedEnhancedArmorTitle	Improved Enhanced Armor
Subclass/&AttackModifierArtificerImprovedEnhancedFocusDescription	A spellcasting focus you choose becomes magical and gains +2 to spell attack rolls and spell save DC. You can only have one of each infusion active at a time. Activating it a second time will cancel the first.
Subclass/&AttackModifierArtificerImprovedEnhancedFocusTitle	Improved Enhanced Focus
Subclass/&AttackModifierArtificerImprovedEnhancedWeaponDescription	Touch a weapon and it becomes magical and gains +2 to attack and damage rolls. You can only have one of each infusion active at a time. Activating it a second time will cancel the first.
Subclass/&AttackModifierArtificerImprovedEnhancedWeaponTitle	Improved Enhanced Weapon
Subclass/&AttackModifierImprovedArtificerBattleSmithWeaponDescription	You infuse your weapon with power. Your attacks count as magical and you add +7 to your attack and damage rolls.
Subclass/&AttackModifierImprovedArtificerBattleSmithWeaponTitle	Improved Infuse Weapon
Subclass/&AttackModifierMeleeWizardArcaneWeaponDescription	When active on a weapon, its attacks count as magical and you use your Intelligence for your attack and damage rolls.
Subclass/&AttackModifierMeleeWizardArcaneWeaponTitle	Arcane Weapon
Subclass/&AttributeModifierArtificerBattleSmithExtraAttackDescription	You gain an extra attack.
Subclass/&AttributeModifierArtificerBattleSmithExtraAttackTitle	Extra Attack
Subclass/&AttributeModifierMeleeWizardExtraAttackDescription	You gain an extra attack.
Subclass/&AttributeModifierMeleeWizardExtraAttackTitle	Extra Attack
Subclass/&BarbarianPathOfTheLightDescription	Barbarians who follow the Path of the Light illuminate the darkness and protect their allies from dangers that lurk within it.
Subclass/&BarbarianPathOfTheLightEyesOfTruthDescription	You are always under the effects of a See Invisibility spell.
Subclass/&BarbarianPathOfTheLightEyesOfTruthTitle	Eyes of Truth
Subclass/&BarbarianPathOfTheLightIlluminatedConditionDescription	Distracted by Illuminating Strike.
Subclass/&BarbarianPathOfTheLightIlluminatedConditionTitle	Illuminated
Subclass/&BarbarianPathOfTheLightIlluminatedDisadvantageDescription	Disadvantage on any attack roll that isn't against the Path of the Light barbarian.
Subclass/&BarbarianPathOfTheLightIlluminatedPreventInvisibilityDescription	Cannot become invisible.
Subclass/&BarbarianPathOfTheLightIlluminatingBurstDescription	On the turn that you enter your rage, you can choose to illuminate up to three enemies within 30 feet of you. They must succeed on a Constitution saving throw (DC equal to 8 + your proficiency bonus + your Constitution modifier) or take 4d6 radiant damage and be illuminated by your Illuminating Strike for 1 minute. A creature illuminated in this way makes another Constitution saving throw at the end of each of its turns. On a successful save, the effect ends for it.
Subclass/&BarbarianPathOfTheLightIlluminatingBurstPowerDescription	Up to three enemies make a Constitution saving throw or take 4d6 radiant damage and become illuminated by your Illuminating Strike.
Subclass/&BarbarianPathOfTheLightIlluminatingBurstPowerTitle	Illuminating Burst
Subclass/&BarbarianPathOfTheLightIlluminatingBurstTitle	Illuminating Burst
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeDescription	While you're raging, the first creature you hit with an attack on your turn takes an additional 1d6 radiant damage and becomes magically illuminated until the start of your next turn. Additionally, the creature has disadvantage on any attack roll that isn't against you and cannot become invisible.
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeImprovementDescription	The additional damage dealt by Illuminating Strike increases to 2d6.
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeImprovementTitle	Illuminating Strike Improvement
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeTitle	Illuminating Strike
Subclass/&BarbarianPathOfTheLightLightsProtectionDescription	You regain hit points equal to half your barbarian level when a hostile creature affected by your Illuminating Strike dies. Additionally, you no longer provoke opportunity attacks from creatures affected by your Illuminating Strike.
Subclass/&BarbarianPathOfTheLightLightsProtectionTitle	Light's Protection
Subclass/&BarbarianPathOfTheLightPierceTheDarknessDescription	You gain superior darkvision.
Subclass/&BarbarianPathOfTheLightPierceTheDarknessTitle	Pierce the Darkness
Subclass/&BarbarianPathOfTheLightSeeingInvisibleConditionDescription	Can perceive invisible creatures.
Subclass/&BarbarianPathOfTheLightSeeingInvisibleConditionTitle	Invisibility Sight
Subclass/&BarbarianPathOfTheLightTitle	Path of the Light
Subclass/&BloodWitchDescription	Forbidden by most Witch covens, blood magic centers on the use of dark spells and mortal hexes that draw from the spellcaster's very essence. It is fundamentally more perilous than other Witch crafts, but its many risks come with copious rewards.
Subclass/&BloodWitchMagicDescription	You gain the following spells. These spells count as Witch spells for you and don't count against your total number of spells known:\n {0}\n\n
Subclass/&BloodWitchMagicTitle	Blood Magic
Subclass/&BloodWitchTitle	Blood Witch
Subclass/&CancelCancelElixirFlyDescription	End the Fly condition from the Potion Maker Elixir.
Subclass/&CancelCancelElixirFlyTitle	Cancel Fly
Subclass/&CancelCancelElixirResilienceDescription	End the Resilience condition from the Potion Maker Elixir.
Subclass/&CancelCancelElixirResilienceTitle	Cancel Resilience
Subclass/&CancelCancelElixirSwiftnessDescription	End the Swiftness condition from the Potion Maker Elixir.
Subclass/&CancelCancelElixirSwiftnessTitle	Cancel Swiftness
Subclass/&ClassMonkTraditionDescription	At 3rd level, you choose spiritual way you follow towards enlightenment. It will shape how you manipulate ki.
Subclass/&ClassMonkTraditionTitle	Monastic Traditions
Subclass/&ClassMonkTraditionWayOfTheOpenHandDescription	Monks of the Way of the Open Hand are the ultimate masters of martial arts combat, whether armed or unarmed. They learn techniques to push and trip their opponents, manipulate ki to heal damage to their bodies, and practice advanced meditation that can protect them from harm.
Subclass/&ClassMonkTraditionWayOfTheOpenHandTitle	Way of the Open Hand
Subclass/&ClassMonkTraditionZenArcherDescription	Practitioners of the Way of the Distant Hand train to make arrows an extension of their hands. They are proficent in using bows and delivering ki-empowered effects through arrows.
Subclass/&ClassMonkTraditionZenArcherTitle	Way of the Distant Hand
Subclass/&ClassWarlockPatronDescription	A Warlock is defined by a pact with an otherworldly being. Sometimes the relationship between Warlock and patron is like that of a Cleric and a deity, though the beings that serve as patrons are not gods.
Subclass/&ClassWarlockPatronTitle	Otherworldly Patron
Subclass/&ConditionResistantArmorTitle	Resistant Armor
Subclass/&ConditionResistnatArmorDescription	Your armor is resistant to acid, cold, fire, force, lightning, necrotic, poison, psychic, radiant, and thunder damage.
Subclass/&ConditionSpellShieldArcaneDeflectionDescription	You can use your arcane powers to shield yourself as a reaction. This gives you +3 to your AC until your next turn.
Subclass/&ConditionSpellShieldArcaneDeflectionTitle	Arcane Deflection
Subclass/&ConditionTransmuteConstitutionSaveDescription	Temporary Constitution save proficiency granted by the Transmute Force power.
Subclass/&ConditionTransmuteConstitutionSaveTitle	Constitution Saves
Subclass/&ConditionTransmutePoisonDescription	Temporary acid, cold, fire, lightning, necrotic, poison and thunder resistance granted by the Transmute Force power.
Subclass/&ConditionTransmutePoisonTitle	Elemental Resistance
Subclass/&CraftingTinkererMagicItemAdeptDescription	You are adept at crafting magic items. It takes you 1/4 the time to craft items and you apply double your proficiency bonus when crafting.
Subclass/&CraftingTinkererMagicItemAdeptTitle	Magic Item Adept
Subclass/&DHWarlockSubclassElementalPatronDescription	You've been made a pact with and been changed by primordials present in the elemental badlands. The elemental chaos of the patron has suffused your soul, letting you use the power of different elemental types.
Subclass/&DHWarlockSubclassElementalPatronTitle	Elementalist Pact
Subclass/&DHWarlockSubclassRiftWalkerDescription	Your patron is one of the rare beings who calls the void between worlds their home. They slip between the planes with ease and the knowledge you have gained from interacting with them allows you to harness lingering rift energies to your benefit within solasta. You might be sometimes filled with a longing for the distant realm of your patron, a desire to wander between dimensions for the rest of your days, or watch for signs of another Rift event, either to prevent or encourage.
Subclass/&DHWarlockSubclassRiftWalkerTitle	Rift Walker Pact
Subclass/&DruidForestGuardianDruidSubclassDescription	Circle of the Forest Guardian Druids are sworn to protect the forests and all that dwell within them. Skilled in the use of Abjuration magic and martial combat, members of this druidic circle are fearsome opponents on the battlefield.
Subclass/&DruidForestGuardianDruidSubclassTitle	Circle of the Forest Guardian
Subclass/&EquipmentModifierArtificerBagOfHolderDescription	Touch an bag and infuse an extra dimensional space to help it hold more weight without encumbering you. You can only have one of each infusion active at a time. Activating it a second time will cancel the first.
Subclass/&EquipmentModifierArtificerBagOfHolderTitle	Bag of Holding
Subclass/&FighterMarshalCoordinatedAttackDescription	When you hit an enemy with a melee attack, your allies can use their reaction to make an opportunity attack against your target.
Subclass/&FighterMarshalCoordinatedAttackTitle	Coordinated Attack
Subclass/&FighterMarshalDescription	Skilled in studying enemies' weaknesses and coordinating attacks of other party member to exploit them, fighters who trained in this martial part are famous ochestrator of the battle field.
Subclass/&FighterMarshalEncouragementPowerDescription	The courage of the marshal inspires his party member. Allies within 10 feet of him add 1d4 to attack roll and saving throw. 
Subclass/&FighterMarshalEncouragementPowerTitle	Encouragement
Subclass/&FighterMarshalEternalComradeFeatureSetDescription	The bond between the marshal and his comrade crosses the boundary between life and death. As a bonus action, the marshal can summon one spirit of his fallen comrades to aid him in combat.
Subclass/&FighterMarshalEternalComradeFeatureSetTitle	Eternal Comrade
Subclass/&FighterMarshalFearlessCommanderFeatureSetDescription	You are immune to fear effect.
Subclass/&FighterMarshalFearlessCommanderFeatureSetTitle	Fearless Commander
Subclass/&FighterMarshalKnowYourEnemyFeatureSetDescription	You add your knowledge level of your current target to your attack and damage rolls.
Subclass/&FighterMarshalKnowYourEnemyFeatureSetTitle	Know Your Enemy
Subclass/&FighterMarshalStudyYourEnemyPowerDescription	As a bonus action, you can attempt to increase your knowledge about your target by rolling a Survival check. You can do this twice per short rest.
Subclass/&FighterMarshalStudyYourEnemyPowerTitle	Study Your Enemy
Subclass/&FighterMarshalSummonEternalComradePowerDescription	Summon 1 spirit of the marshal's fallen comrade. Each spirit has 45 + twice your Fighter level worth of HP and its AC is 16 + your proficiency bonus. The spirits are immune to the poison, cold, necrotic, prone, paralyzed and restrained conditions. The spirits have resistance to fire, acid, lighting and thunder damage and have resistance against non-magical slashing, bludgeoning and piercing damage. On their turn, they can fly up to 50 ft and make a single melee weapon attack that deals 2d6 + 5 magical slashing damage with a bonus 5 + proficency bonus to hit. 
Subclass/&FighterMarshalSummonEternalComradePowerTitle	Summon Eternal Comrade
Subclass/&FighterMarshalTitle	Marshal
Subclass/&FighterRoyalKnightDescription	A knight who inspires greatness in others by committing brave deeds in battle. A lone knight is a skilled warrior, but one leading a band of allies can transform even the most poorly equipped militia into a ferocious war band.
Subclass/&FighterRoyalKnightTitle	Royal Knight
Subclass/&FighterSpellShieldDescription	Spell Shields are fighters that specialize in defense and protection. They use magic to aid their natural abilities.
Subclass/&FighterSpellShieldSpellcastingDescription	Cast Wizard spells and cantrips from the Abjuration, Illusion, Transmutation, and Necromancy schools.
Subclass/&FighterSpellShieldSpellcastingTitle	Spellcasting
Subclass/&FighterSpellShieldSpellResistanceDescription	Your experience with spells and Abjuration magic in particular has made you resistant to spells cast against you.
Subclass/&FighterSpellShieldSpellResistanceTitle	Spell Resistance
Subclass/&FighterSpellShieldTitle	Spell Shield
Subclass/&GreenWitchDescription	Plants, nature, and things that grow are the domain of green magic. Normally a type of arcana championed by druids, some witches have a close tie to the powers of green magic, and can coax plants and animals into their bidding.
Subclass/&GreenWitchMagicDescription	You gain the following spells. These spells count as Witch spells for you and don't count against your total number of spells known:\n{0}\n\n
Subclass/&GreenWitchMagicTitle	Green Magic
Subclass/&GreenWitchTitle	Green Witch
Subclass/&HArtilleryIncreaseDescription	Artillery Pool Increase.
Subclass/&HArtilleryIncreaseTitle	Artillery Pool Increase
Subclass/&HealingPoolArtificerBattleSmithInfusionsIncreaseDescription	You can now infuse an two additional items each day. These are intended to be used for your special Weapon Smith weapon.
Subclass/&HealingPoolArtificerBattleSmithInfusionsIncreaseTitle	Weapon Smith Weapon Infusion
Subclass/&HealingPoolArtificerInfusionsDescription	2 times per day infuse items with magical effects.
Subclass/&HealingPoolArtificerInfusionsIncreaseDescription	You can now infuse one additional item each day.
Subclass/&HealingPoolArtificerInfusionsIncreaseTitle	More Infusions
Subclass/&HealingPoolArtificerInfusionsTitle	Infusions
Subclass/&HealingPoolLifeTransmuterBonusDescription	You can enforce your will on reality an 2 additional times per day.
Subclass/&HealingPoolLifeTransmuterBonusExtraDescription	You can enforce your will on reality an 4 additional times per day.
Subclass/&HealingPoolLifeTransmuterBonusExtraTitle	Additional Transmute Force
Subclass/&HealingPoolLifeTransmuterBonusTitle	Additional Transmute Force
Subclass/&HealingPoolLifeTransmuterListDescription	You can enact your will on reality with special powers 2 times per day.
Subclass/&HealingPoolLifeTransmuterListTitle	Transmute Force
Subclass/&MagicAffinityAlchemicalSavantListDescription	When casting Acid Arrow and Flaming Sphere they behave as if cast 2 levels higher. Your cantrips are also boosted so even when the enemy saves they still take half damage.
Subclass/&MagicAffinityAlchemicalSavantListTitle	Elixir Savant Spells
Subclass/&MagicAffinityAlchemistSpellRecoveryDescription	You can recover spell slots during a short rest twice per day.
Subclass/&MagicAffinityAlchemistSpellRecoveryTitle	Alchemical Preparation
Subclass/&MagicAffinityFighterSpellShieldDescription	Advantage on concentration checks as well as the ability to perform somatic components of spells while holding items.
Subclass/&MagicAffinityFighterSpellShieldTitle	Combat Casting
Subclass/&MagicAffinityLifeTransmuterListDescription	When casting some Transmutation and Necromancy spells they are cast at a spell slot 2 levels higher than the one used. Improved spells include: False Life, Blindness, Fly, Bestow Curse, Vampiric Touch, Blight, and Cloud Kill. \n--Note: The intention is to have Magic Weapon benefit as well, but currently increasing the spell level this way on Magic Weapon has no effect.
Subclass/&MagicAffinityLifeTransmuterListTitle	Reality Bending
Subclass/&MagicAffinityMasterManipulatorDC0Description	It is harder for opponents to resist your spells. The save DC increases by 0.
Subclass/&MagicAffinityMasterManipulatorDC1Description	It is harder for opponents to resist your spells. The save DC increases by 1.
Subclass/&MagicAffinityMasterManipulatorDC2Description	It is harder for opponents to resist your spells. The save DC increases by 2.
Subclass/&MagicAffinityMasterManipulatorDC3Description	It is harder for opponents to resist your spells. The save DC increases by 3.
