ActionAffinity/&DHFeeblemindSpellDescription	Incapaz de lançar feitiços.
Spell/&PetalStormTitle	Tempestade Petal
Spell/&ProtectThresholdDescription	Rastreando os sinais arcanos ao longo de seus limites, você pode afastar uma porta, janela ou outro portal da entrada. Durante o tempo de duração, uma criatura eldritch invisível percorre o portal vigiado. Qualquer criatura que tente passar pelo portal deve fazer um lançamento salvador de Sabedoria ou sofrer danos psíquicos 4d6, ou a metade de um lançamento salvador bem sucedido.
Spell/&ProtectThresholdTitle	Proteger o Limiar
Spell/&RadiantMotesDescription	Solta um enxame de 5 projéteis radiantes que lidam com 2 danos radiantes cada um, mas nunca falham. Os alvos podem irradiar luz por até 1 minuto.\n Quando você lança este feitiço usando um feitiço de segundo nível ou superior, o feitiço cria mais 2 projéteis para cada feitiço acima do 1º.
Spell/&RadiantMotesTitle	Motes Radiantes
Spell/&ThunderStrikeDescription	Crie uma explosão de som estrondoso, forçando as criaturas adjacentes a você a fazer um lançamento salvador da Constituição ou a sofrer danos de 1d6 trovões.
Spell/&ThunderStrikeTitle	Quebra de som
Spell/&WinterBreathDescription	Crie uma rajada de vento frio para esfriar seus inimigos e derrubá-los propenso.
Spell/&WinterBreathTitle	Respiração do inverno
Spell/&WitchFamiliarDescription	Você ganha o serviço de um familiar.
Spell/&WitchFamiliarTitle	Feiticeiro Familiar
SpellList/&ClassWarlockSpellListDescription	Lista de feitiços do mago.
SpellList/&ClassWarlockSpellListTitle	Lista Ortográfica de Feiticeiros
SpellList/&ElementalistSpellsListDescription	Lista Ortográfica Elementalista.
SpellList/&ElementalistSpellsListTitle	Lista Ortográfica Elementarista
SpellList/&RiftWalkerSpellsListDescription	RiftWalker SpellList.
SpellList/&RiftWalkerSpellsListTitle	Lista Ortográfica do RiftWalker
SpellList/&SpellListTinkererDescription	Funileiro Spelllist.
SpellList/&SpellListTinkererTitle	Lista de Feitiços Funileiro
Stage/&IdentityMorphotypeEyeHeader	Estilo dos olhos
Stage/&SubclassSelectionStageClassMonkTraditionDescription	Esta etapa seleciona a tradição monástica do personagem.
Stage/&SubclassSelectionStageClassMonkTraditionFeatures	Características da Tradição Monástica
Stage/&SubclassSelectionStageClassMonkTraditionHeader	Selecione uma Tradição Monástica
Stage/&SubclassSelectionStageClassMonkTraditionNoneDescription	Você deve selecionar uma tradição monástica.
Stage/&SubclassSelectionStageClassMonkTraditionTitle	Tradição monástica
Stage/&SubclassSelectionStageCovenDescription	Convênio.
Stage/&SubclassSelectionStageCovenFeaturesDescription	Convênio.
Stage/&SubclassSelectionStageCovenFeaturesHeader	Características do Coven.
Stage/&SubclassSelectionStageCovenFeaturesTitle	Coven
Stage/&SubclassSelectionStageCovenHeader	Selecione um Convênio
Stage/&SubclassSelectionStageCovenTitle	Coven
Stage/&SubclassSelectionStagePatronDescription	Um mago é definido por um pacto com um ser de outro mundo. Às vezes a relação entre mago e patrono é como a de um clérigo e uma divindade, embora os seres que servem como patronos não sejam deuses.
Stage/&SubclassSelectionStagePatronFeatures	Características dos Patronos de outros mundos
Stage/&SubclassSelectionStagePatronHeader	Feiticeiro Patronos do Outro Mundo
Stage/&SubclassSelectionStagePatronTitle	Patronos de outros mundos
Stage/&SubclassSelectionStageSpecialistDescription	Descrição Há uma grande variedade de especialidades em Tinkerers, incluindo a fabricação de elixires como fabricante de poção, a realização de explosões como detonador e o empunhamento de armamento mágico como um Smith Arma.
Stage/&SubclassSelectionStageSpecialistFeatures	Características Especialistas
Stage/&SubclassSelectionStageSpecialistHeader	Especializações
Stage/&SubclassSelectionStageSpecialistNoneDescription	Especialista Nenhuma Descrição.
Stage/&SubclassSelectionStageSpecialistTitle	Selecione Especialização
Subclass/&AbilityAffinityRogueConArtistDescription	Vantagem nas verificações de habilidade usando Persuasão, Engano, Desempenho, e Luz da Mão.
Subclass/&AbilityAffinityRogueConArtistTitle	Manipulativo
Subclass/&AHWarlockSubclassSoulBladePactDescription	Você conseguiu um acordo com uma arma senciente para alimentar as almas em troca de poder.
Subclass/&AHWarlockSubclassSoulBladePactTitle	Pacto SoulBlade
Subclass/&ArcaneFighterAdditionalActionDescription	Você pode lançar um feitiço após derrotar um inimigo com seus ataques com suas armas.
Subclass/&ArcaneFighterAdditionalActionTitle	Combate ortográfico
Subclass/&ArcaneFighterBonusWeaponDamageDescription	Uma vez por vez, seus ataques com armas causam um dano extra de 1d8.
Subclass/&ArcaneFighterBonusWeaponDamageTitle	Ataques com poder mágico
Subclass/&ArtificerAlchemistDescription	Você é especializado em poções, buffs, cura e fundição de feitiços.
Subclass/&ArtificerAlchemistTitle	Criador de poção
Subclass/&ArtificerArtileristCannonsDescription	Você cria um conjunto de canhões que você pode ativar em batalha como uma ação bônus.
Subclass/&ArtificerArtileristCannonsTitle	Cânones
Subclass/&ArtificerArtilleristDescription	Você é especializado em lançar projéteis e causar explosões.
Subclass/&ArtificerArtilleristTitle	Explosivo
Subclass/&ArtificerBattleSmithDescription	Você é especializado no uso de armas mágicas em combate.
Subclass/&ArtificerBattleSmithTitle	Smith Arma
Subclass/&ArtificerSpellcastingDescription	Lançar feitiços Funileiro.
Subclass/&ArtificerSpellcastingTitle	Feitiços Funileiro
Subclass/&AttackModifierArtificerBattleSmithWeaponDescription	Seus ataques contam como mágicos e você usa sua Inteligência para ataques e rolos de danos.
Subclass/&AttackModifierArtificerBattleSmithWeaponTitle	Arma infundida
Subclass/&AttackModifierArtificerBlindingWeaponDescription	Uma arma que você escolhe que ganha a capacidade de cegar os alvos em caso de acerto (contra uma salvaguarda da Constituição). Você só pode ter uma de cada infusão ativa de cada vez. Ativá-la uma segunda vez irá cancelar a primeira.
Subclass/&AttackModifierArtificerBlindingWeaponTitle	Arma Cegante
Subclass/&AttackModifierArtificerEnhancedArmorDescription	Uma armadura que você escolhe torna-se mágica e fornece um adicional de +1 AC. Você só pode ter uma infusão ativa uma vez. Ativá-la uma segunda vez irá cancelar a primeira.
Subclass/&AttackModifierArtificerEnhancedArmorTitle	Armadura reforçada
Subclass/&AttackModifierArtificerEnhancedFocusDescription	Um foco de soletração que você escolhe torna-se mágico e ganha +1 para soletrar rolos de ataque e soletrar salvar DC. Você só pode ter uma de cada infusão ativa de cada vez. Ativá-la uma segunda vez irá cancelar a primeira.
Subclass/&AttackModifierArtificerEnhancedFocusTitle	Foco aprimorado
Subclass/&AttackModifierArtificerEnhancedWeaponDescription	Uma arma que você escolhe torna-se mágica e ganha +1 para atacar e danificar rolos. Você só pode ter uma de cada infusão ativa de cada vez. Ativá-la uma segunda vez irá cancelar a primeira.
Subclass/&AttackModifierArtificerEnhancedWeaponTitle	Arma aperfeiçoada
Subclass/&AttackModifierArtificerImprovedEnhancedArmorDescription	Uma armadura que você escolhe torna-se mágica e fornece +2 AC. Você só pode ter uma de cada infusão ativa de cada vez. Ativá-la uma segunda vez irá cancelar a primeira.
Subclass/&AttackModifierArtificerImprovedEnhancedArmorTitle	Armadura aprimorada
Subclass/&AttackModifierArtificerImprovedEnhancedFocusDescription	Um foco de soletração que você escolhe torna-se mágico e ganha +2 para soletrar rolos de ataque e soletrar salvar DC. Você só pode ter uma de cada infusão ativa de cada vez. Ativá-la uma segunda vez irá cancelar a primeira.
Subclass/&AttackModifierArtificerImprovedEnhancedFocusTitle	Foco aprimorado
Subclass/&AttackModifierArtificerImprovedEnhancedWeaponDescription	Toque uma arma e ela se torna mágica e ganha +2 para atacar e danificar rolos. Você só pode ter uma de cada infusão ativa de cada vez. Ativá-la uma segunda vez irá cancelar a primeira.
Subclass/&AttackModifierArtificerImprovedEnhancedWeaponTitle	Arma Melhorada
Subclass/&AttackModifierImprovedArtificerBattleSmithWeaponDescription	Você infunde sua arma com o poder. Seus ataques contam como mágicos e você adiciona +7 aos seus rolos de ataque e dano.
Subclass/&AttackModifierImprovedArtificerBattleSmithWeaponTitle	Arma Infusora Melhorada
Subclass/&AttackModifierMeleeWizardArcaneWeaponDescription	Quando ativo em uma arma, seus ataques contam como mágicos e você usa sua Inteligência para seus ataques e rolos de danos.
Subclass/&AttackModifierMeleeWizardArcaneWeaponTitle	Arma Arcana
Subclass/&AttributeModifierArtificerBattleSmithExtraAttackDescription	Você ganha um ataque extra.
Subclass/&AttributeModifierArtificerBattleSmithExtraAttackTitle	Ataque extra
Subclass/&AttributeModifierMeleeWizardExtraAttackDescription	Você ganha um ataque extra.
Subclass/&AttributeModifierMeleeWizardExtraAttackTitle	Ataque extra
Subclass/&BarbarianPathOfTheLightDescription	Os bárbaros que seguem o Caminho da Luz iluminam as trevas e protegem seus aliados dos perigos que se escondem dentro delas.
Subclass/&BarbarianPathOfTheLightEyesOfTruthDescription	Você está sempre sob os efeitos de um feitiço See Invisibility.
Subclass/&BarbarianPathOfTheLightEyesOfTruthTitle	Olhos da Verdade
Subclass/&BarbarianPathOfTheLightIlluminatedConditionDescription	Distraído pela Greve Iluminadora.
Subclass/&BarbarianPathOfTheLightIlluminatedConditionTitle	Iluminado
Subclass/&BarbarianPathOfTheLightIlluminatedDisadvantageDescription	Desvantagem em qualquer rolo de ataque que não seja contra o Caminho do Bárbaro da Luz.
Subclass/&BarbarianPathOfTheLightIlluminatedPreventInvisibilityDescription	Não pode se tornar invisível.
Subclass/&BarbarianPathOfTheLightIlluminatingBurstDescription	Na volta em que você entra em sua fúria, você pode escolher iluminar até três inimigos a menos de 30 pés de você. Eles devem ser bem sucedidos em um lançamento de economia de Constituição (DC igual a 8 + seu bônus de proficiência + seu modificador de Constituição) ou sofrer danos radiantes 4d6 e ser iluminados por sua Greve Iluminadora por 1 minuto. Uma criatura iluminada desta forma faz outro lançamento salvador de Constitution no final de cada um de seus giros. Em uma economia bem sucedida, o efeito termina para ele.
Subclass/&BarbarianPathOfTheLightIlluminatingBurstPowerDescription	Até três inimigos fazem um lançamento poupador da Constituição ou fazem um dano 4d6 radiante e são iluminados por sua Greve Iluminadora.
Subclass/&BarbarianPathOfTheLightIlluminatingBurstPowerTitle	Arremesso Iluminador
Subclass/&BarbarianPathOfTheLightIlluminatingBurstTitle	Iluminando a explosão
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeDescription	Enquanto você está em fúria, a primeira criatura que você ataca com um ataque na sua vez leva um dano adicional de 1d6 radiante e fica iluminada magicamente até o início da sua próxima vez. Além disso, a criatura tem desvantagem em qualquer ataque que não é contra você e não pode se tornar invisível.
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeImprovementDescription	O dano adicional causado pela Greve Iluminadora aumenta para 2d6.
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeImprovementTitle	Melhoria da Greve Iluminadora
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeTitle	Greve Iluminadora
Subclass/&BarbarianPathOfTheLightLightsProtectionDescription	Você recupera pontos de golpe iguais à metade de seu nível bárbaro quando uma criatura hostil afetada por sua Greve Iluminadora morre. Além disso, você não mais provoca ataques de oportunidade de criaturas afetadas por sua Greve Iluminadora.
Subclass/&BarbarianPathOfTheLightLightsProtectionTitle	Proteção da Luz
Subclass/&BarbarianPathOfTheLightPierceTheDarknessDescription	Você ganha uma visão escura superior.
Subclass/&BarbarianPathOfTheLightPierceTheDarknessTitle	Trespassar a escuridão
Subclass/&BarbarianPathOfTheLightSeeingInvisibleConditionDescription	Pode perceber criaturas invisíveis.
Subclass/&BarbarianPathOfTheLightSeeingInvisibleConditionTitle	Invisibilidade da visão
Subclass/&BarbarianPathOfTheLightTitle	Caminho da Luz
Subclass/&BloodWitchDescription	Proibido pela maioria dos Cobos de Feiticeiros, a magia do sangue centra-se no uso de feitiços escuros e hexes mortais que extraem da própria essência do feiticeiro. É fundamentalmente mais perigoso do que outros ofícios de bruxaria, mas seus muitos riscos vêm com recompensas copiosas.
Subclass/&BloodWitchMagicDescription	Você ganha os seguintes feitiços. Estes feitiços contam como feitiços de Bruxaria para você e não contam contra seu número total de feitiços conhecidos:{0}n
Subclass/&BloodWitchMagicTitle	Magia Sanguínea
Subclass/&BloodWitchTitle	Bruxa de sangue
Subclass/&CancelCancelElixirFlyDescription	Acabar com a condição de mosca do Elixir fabricante de poção.
Subclass/&CancelCancelElixirFlyTitle	Cancelar a mosca
Subclass/&CancelCancelElixirResilienceDescription	Fim da condição de Resiliência do Elixir Criador de Poção.
Subclass/&CancelCancelElixirResilienceTitle	Cancelar a resiliência
Subclass/&CancelCancelElixirSwiftnessDescription	Acabe com a condição de rapidez do Elixir Criador de Poção.
Subclass/&CancelCancelElixirSwiftnessTitle	Cancelar a Rapidez
Subclass/&ClassMonkTraditionDescription	No terceiro nível, você escolhe o caminho espiritual que segue em direção à iluminação. Ela moldará a forma como você manipula o ki.
Subclass/&ClassMonkTraditionTitle	Tradições monásticas
Subclass/&ClassMonkTraditionWayOfTheOpenHandDescription	Os monges do Caminho da Mão Aberta são os últimos mestres do combate das artes marciais, armados ou desarmados. Eles aprendem técnicas para empurrar e tropeçar seus oponentes, manipular ki para curar danos a seus corpos e praticar meditação avançada que pode protegê-los de danos.
Subclass/&ClassMonkTraditionWayOfTheOpenHandTitle	Caminho da Mão Aberta
Subclass/&ClassMonkTraditionZenArcherDescription	Os praticantes do Caminho da Mão Distante treinam para fazer das flechas uma extensão de suas mãos. Eles são proficientes no uso de arcos e na entrega de efeitos ki-empowered através de flechas.
Subclass/&ClassMonkTraditionZenArcherTitle	O Caminho da Mão Distante
Subclass/&ClassWarlockPatronDescription	Um mago é definido por um pacto com um ser de outro mundo. Às vezes a relação entre mago e patrono é como a de um clérigo e uma divindade, embora os seres que servem como patronos não sejam deuses.
Subclass/&ClassWarlockPatronTitle	Patrono do além-mundo
Subclass/&ConditionResistantArmorTitle	Armadura Resistente
Subclass/&ConditionResistnatArmorDescription	Sua armadura é resistente a ácido, frio, fogo, força, raios, necrótico, veneno, psíquico, radiante e danos causados por trovões.
Subclass/&ConditionSpellShieldArcaneDeflectionDescription	Você pode usar seus poderes arcanos para se proteger como uma reação. Isto lhe dá +3 ao seu CA até sua próxima volta.
Subclass/&ConditionSpellShieldArcaneDeflectionTitle	Deflexão Arcana
Subclass/&ConditionTransmuteConstitutionSaveDescription	A Constituição temporária economiza a proficiência concedida pelo poder da Força Transmutora.
Subclass/&ConditionTransmuteConstitutionSaveTitle	A Constituição Economiza
Subclass/&ConditionTransmutePoisonDescription	Ácido temporário, frio, fogo, relâmpago, necrótico, veneno e resistência ao trovão concedidos pelo poder da Força Transmutora.
Subclass/&ConditionTransmutePoisonTitle	Resistência elementar
Subclass/&CraftingTinkererMagicItemAdeptDescription	Você é adepto de criar itens mágicos. Você leva 1/4 do tempo para confeccionar itens e aplica o dobro de seu bônus de proficiência ao confeccionar.
Subclass/&CraftingTinkererMagicItemAdeptTitle	Adepto a itens mágicos
Subclass/&DHWarlockSubclassElementalPatronDescription	Foi feito um pacto com e foi mudado por primordialmente presentes nas terras más elementares. O caos elementar do patrono sufocou sua alma, permitindo que você use o poder de diferentes tipos elementais.
Subclass/&DHWarlockSubclassElementalPatronTitle	Pacto Elementalista
Subclass/&DHWarlockSubclassRiftWalkerDescription	Seu patrono é um dos raros seres que chama o vazio entre os mundos de sua casa. Eles deslizam entre os aviões com facilidade e o conhecimento que você adquiriu ao interagir com eles permite que você aproveite as energias da fenda persistente para seu benefício dentro da solasta. Você pode às vezes ficar cheio de saudades do reino distante de seu patrono, de um desejo de vagar entre dimensões pelo resto de seus dias, ou assistir a sinais de outro evento de Rift, seja para prevenir ou encorajar.
Subclass/&DHWarlockSubclassRiftWalkerTitle	Pacto do Rift Walker
Subclass/&DruidForestGuardianDruidSubclassDescription	Círculo dos Druidas Guardiões da Floresta são jurados para proteger as florestas e todos os que nelas habitam. Habilidosos no uso da magia da Abjuração e do combate marcial, os membros deste círculo druídico são adversários temíveis no campo de batalha.
Subclass/&DruidForestGuardianDruidSubclassTitle	Círculo do Guardião da Floresta
Subclass/&EquipmentModifierArtificerBagOfHolderDescription	Toque uma bolsa e infunda um espaço dimensional extra para ajudá-lo a segurar mais peso sem sobrecarregá-lo. Você só pode ter uma de cada infusão ativa de cada vez. Ativá-la uma segunda vez irá cancelar a primeira.
Subclass/&EquipmentModifierArtificerBagOfHolderTitle	Saco de retenção
Subclass/&FighterMarshalCoordinatedAttackDescription	Quando você atinge um inimigo com um ataque corpo a corpo, seus aliados podem usar a reação deles para fazer um ataque de oportunidade contra seu alvo.
Subclass/&FighterMarshalCoordinatedAttackTitle	Ataque coordenado
Subclass/&FighterMarshalDescription	Habilidosos em estudar as fraquezas dos inimigos e coordenar os ataques de outros membros do partido para explorá-los, os combatentes que treinaram nesta parte marcial são famosos ocres do campo de batalha.
Subclass/&FighterMarshalEncouragementPowerDescription	A coragem do marechal inspira seu membro do partido. Aliados a menos de 3 metros dele adicionam 1d4 para lançar o ataque e salvar o arremesso.
Subclass/&FighterMarshalEncouragementPowerTitle	Encorajamento
Subclass/&FighterMarshalEternalComradeFeatureSetDescription	A ligação entre o marechal e seu camarada ultrapassa a fronteira entre a vida e a morte. Como uma ação bônus, o marechal pode convocar um espírito de seus camaradas caídos para ajudá-lo no combate.
Subclass/&FighterMarshalEternalComradeFeatureSetTitle	Eterno camarada
Subclass/&FighterMarshalFearlessCommanderFeatureSetDescription	Você é imune ao efeito do medo.
Subclass/&FighterMarshalFearlessCommanderFeatureSetTitle	Comandante destemido
Subclass/&FighterMarshalKnowYourEnemyFeatureSetDescription	Você adiciona seu nível de conhecimento de seu alvo atual aos seus rolos de ataque e dano.
Subclass/&FighterMarshalKnowYourEnemyFeatureSetTitle	Conheça seu Inimigo
Subclass/&FighterMarshalStudyYourEnemyPowerDescription	Como uma ação bônus, você pode tentar aumentar seu conhecimento sobre seu alvo, fazendo um cheque de sobrevivência. Você pode fazer isso duas vezes por curto descanso.
Subclass/&FighterMarshalStudyYourEnemyPowerTitle	Estude seu Inimigo
Subclass/&FighterMarshalSummonEternalComradePowerDescription	Invocar 1 espírito do camarada caído do marechal. Cada espírito tem 45 + duas vezes seu nível de caça e seu AC é 16 + seu bônus de proficiência. Os espíritos são imunes ao veneno, frio, necrótico, propenso, paralisado e contido. Os espíritos têm resistência ao fogo, ao ácido, à iluminação e aos danos causados por trovões e têm resistência contra cortes não mágicos, golpes e danos por perfuração. Por sua vez, eles podem voar até 50 pés e fazer um único ataque com arma de fogo corpo-a-corpo que oferece 2d6 + 5 danos de corte mágico com um bônus 5 + bônus de proficiência para atingir.
Subclass/&FighterMarshalSummonEternalComradePowerTitle	Invocar o Camarada Eterno
Subclass/&FighterMarshalTitle	Marechal
Subclass/&FighterRoyalKnightDescription	Um cavaleiro que inspira grandeza nos outros, cometendo atos corajosos na batalha. Um cavaleiro solitário é um guerreiro habilidoso, mas um que lidera um bando de aliados pode transformar até mesmo as milícias mais mal equipadas em um bando de guerra feroz.
Subclass/&FighterRoyalKnightTitle	Cavaleiro Real
Subclass/&FighterSpellShieldDescription	Os Spell Shields são combatentes especializados em defesa e proteção. Eles usam magia para auxiliar suas habilidades naturais.
Subclass/&FighterSpellShieldSpellcastingDescription	Lançam feitiços e feitiços de magia das escolas de Abjuração, Ilusão, Transmutação e Necromancia.
Subclass/&FighterSpellShieldSpellcastingTitle	Lança feitiços
Subclass/&FighterSpellShieldSpellResistanceDescription	Sua experiência com feitiços e magia de Abjuração em particular o tornou resistente a feitiços lançados contra você.
Subclass/&FighterSpellShieldSpellResistanceTitle	Resistência aos feitiços
Subclass/&FighterSpellShieldTitle	Escudo ortográfico
Subclass/&GreenWitchDescription	Plantas, natureza e coisas que crescem são o domínio da magia verde. Normalmente um tipo de arcana defendida por druidas, algumas bruxas têm uma estreita ligação com os poderes da magia verde, e podem persuadir plantas e animais a se envolverem em suas licitações.
Subclass/&GreenWitchMagicDescription	Você ganha os seguintes feitiços. Estes feitiços contam como feitiços de Bruxa para você e não contam contra seu número total de feitiços conhecidos:{0}n{0}n
Subclass/&GreenWitchMagicTitle	Magia Verde
Subclass/&GreenWitchTitle	Bruxa Verde
Subclass/&HArtilleryIncreaseDescription	Aumento da piscina de artilharia.
Subclass/&HArtilleryIncreaseTitle	Incremento da piscina de artilharia
Subclass/&HealingPoolArtificerBattleSmithInfusionsIncreaseDescription	Agora você pode infundir dois itens adicionais a cada dia. Estes são destinados a serem usados para sua arma especial Weapon Smith.
Subclass/&HealingPoolArtificerBattleSmithInfusionsIncreaseTitle	Infusão de Arma Smith Arma
Subclass/&HealingPoolArtificerInfusionsDescription	2 vezes por dia infundir itens com efeitos mágicos.
Subclass/&HealingPoolArtificerInfusionsIncreaseDescription	Agora você pode infundir um item adicional a cada dia.
Subclass/&HealingPoolArtificerInfusionsIncreaseTitle	Mais infusões
Subclass/&HealingPoolArtificerInfusionsTitle	Infusions
Subclass/&HealingPoolLifeTransmuterBonusDescription	Você pode impor sua vontade na realidade mais 2 vezes por dia.
Subclass/&HealingPoolLifeTransmuterBonusExtraDescription	Você pode impor sua vontade sobre a realidade 4 vezes adicionais por dia.
Subclass/&HealingPoolLifeTransmuterBonusExtraTitle	Força Transmutora Adicional
Subclass/&HealingPoolLifeTransmuterBonusTitle	Força Transmutora Adicional
Subclass/&HealingPoolLifeTransmuterListDescription	Você pode decretar sua vontade na realidade com poderes especiais 2 vezes por dia.
Subclass/&HealingPoolLifeTransmuterListTitle	Força Transmutora
Subclass/&MagicAffinityAlchemicalSavantListDescription	Ao fundir Flecha Ácida e Esfera Flamejante, eles se comportam como se fossem fundidos 2 níveis mais altos. Seus cantões também são reforçados, de modo que mesmo quando o inimigo os salva, eles ainda levam metade do dano.
Subclass/&MagicAffinityAlchemicalSavantListTitle	Feitiços de Elixir Savant
Subclass/&MagicAffinityAlchemistSpellRecoveryDescription	Você pode recuperar feitiços durante um curto descanso duas vezes por dia.
Subclass/&MagicAffinityAlchemistSpellRecoveryTitle	Preparação alquímica
Subclass/&MagicAffinityFighterSpellShieldDescription	Vantagem nas verificações de concentração, bem como a capacidade de executar componentes somáticos de feitiços enquanto mantém itens.
Subclass/&MagicAffinityFighterSpellShieldTitle	Fundição de Combate
Subclass/&MagicAffinityLifeTransmuterListDescription	Ao lançar alguns feitiços de Transmutação e Necromancia, eles são lançados em um feitiço de 2 níveis mais alto do que o utilizado. Os feitiços melhorados incluem: Falsa Vida, Cegueira, Mosca, Maldição, Toque Vampírico, Cegueira e Matança de Nuvens. \n--Nota: A intenção é ter o benefício da Arma Mágica também, mas atualmente o aumento do nível de feitiços desta forma na Arma Mágica não tem efeito.
Subclass/&MagicAffinityLifeTransmuterListTitle	Reality Bending (Dobra da Realidade)
Subclass/&MagicAffinityMasterManipulatorDC0Description	É mais difícil para os oponentes resistir a seus feitiços. O DC salvo aumenta em 0.
Subclass/&MagicAffinityMasterManipulatorDC1Description	É mais difícil para os oponentes resistirem a seus feitiços. A corrente contínua poupada aumenta em 1.
Subclass/&MagicAffinityMasterManipulatorDC2Description	É mais difícil para os oponentes resistirem a seus feitiços. A corrente contínua poupada aumenta em 2.
Subclass/&MagicAffinityMasterManipulatorDC3Description	É mais difícil para os oponentes resistirem a seus feitiços. A corrente contínua de salvamento aumenta em 3.
Subclass/&MagicAffinityMasterManipulatorDC4Description	É mais difícil para os oponentes resistirem a seus feitiços. A corrente contínua de salvamento aumenta em 4.
Subclass/&MagicAffinityMasterManipulatorDC5Description	É mais difícil para os oponentes resistirem a seus feitiços. A corrente contínua poupada aumenta em 5.
Subclass/&MagicAffinityMasterManipulatorDCDescription	É mais difícil para os oponentes resistirem aos seus feitiços. A corrente contínua poupada aumenta em 3.
Subclass/&MagicAffinityMasterManipulatorDCTitle	Força Arcana
Subclass/&MagicAffinityMasterManipulatorListDescription	Ao lançar alguns feitiços de Encantamento, Abjuração e Ilusão, eles são lançados em um feitiço de nível 1 mais alto do que o utilizado. Os feitiços melhorados incluem: Pessoa de Encanto, Sono, Spray de Cor, Pessoa de Retenção, Invisibilidade, Contra-Feitiço, Mágica de Dispersão, Banimento, Confusão, Assassino Fantasma, Pessoa Dominadora, e Monstro de Retenção.
Subclass/&MagicAffinityMasterManipulatorListTitle	Manipulação de Arcanos
Subclass/&MagicAffinityMeleeWizardConcentrationDescription	Devido à experiência no caos do combate, ganhe vantagem nas verificações de concentração.
Subclass/&MagicAffinityMeleeWizardConcentrationTitle	Melhoria da concentração
Subclass/&MagicAffinityRoguishConArtistDC0Description	Seu feitiço para economizar DC aumenta em 0.
Subclass/&MagicAffinityRoguishConArtistDC1Description	Seu feitiço para salvar DC aumenta em 1.
Subclass/&MagicAffinityRoguishConArtistDC2Description	Seu feitiço para economizar CC aumenta em 2.
Subclass/&MagicAffinityRoguishConArtistDC3Description	Seu feitiço para economizar corrente contínua aumenta em 3.
Subclass/&MagicAffinityRoguishConArtistDC4Description	Seu feitiço para economizar em CC aumenta em 4.
Subclass/&MagicAffinityRoguishConArtistDC5Description	Seu feitiço para economizar em CC aumenta em 5.
Subclass/&MagicAffinityRoguishConArtistDCTitle	Manipulação melhorada
Subclass/&MagicAffinitySpellMasterBonusScribingDescription	Escreva um feitiço adicional em cada nível acima.
Subclass/&MagicAffinitySpellMasterBonusScribingTitle	Amplitude de conhecimento
Subclass/&MagicAffinitySpellMasterRecoveryDescription	Uma vez por longo descanso, você pode recuperar feitiços (além da Arcane Recovery).
Subclass/&MagicAffinitySpellMasterRecoveryTitle	Profundidade do Arcano
Subclass/&MagicAffinitySpellMasterRecoveryUnlimitedDescription	Tempos ilimitados de recuperação de feitiços (além da Arcane Recovery).
Subclass/&MagicAffinitySpellMasterRecoveryUnlimitedTitle	Profundidade do Arcano
Subclass/&MagicAffinitySpellMasterScribingDescription	Os feitiços de escrita levam 1/4 do tempo e custo, e você tem vantagem.
Subclass/&MagicAffinitySpellMasterScribingTitle	Mestre Escriba
Subclass/&ManipulatorMentalSavingThrowsDescription	Ganhar proficiência em salvar arremessos com Constituição e Carisma.
Subclass/&ManipulatorMentalSavingThrowsTitle	Resistência Mental
Subclass/&MarshalEternalComradeDescription	Camarada Caído
Subclass/&MarshalEternalComradeTitle	Camarada Caído
Subclass/&OpportunistDescription	Oportunistas são aqueles que nunca deixam escapar uma chance de acabar com seus inimigos. Eles apunhalam rápido e apunhalam onde é importante. Não são muitos os que os enfrentaram que podem escapar incólumes.
Subclass/&OpportunistTitle	Oportunista
Subclass/&PowerArtificerBattleSmithImprovedInfuseWeaponDescription	Você infunde sua arma com o poder. Seus ataques contam como mágicos e você adiciona seus +7 aos seus rolos de ataque e dano. Você só pode ter uma de cada infusão ativa de cada vez. Ativá-la uma segunda vez irá cancelar a primeira.
Subclass/&PowerArtificerBattleSmithImprovedInfuseWeaponTitle	Arma Infusora Melhorada
Subclass/&PowerArtificerBattleSmithInfuseWeaponDescription	Você infunde sua arma com o poder. Seus ataques contam como mágicos e você usa sua Inteligência para atacar e danificar rolos até o próximo longo descanso.
Subclass/&PowerArtificerBattleSmithInfuseWeaponTitle	Infundir Arma
Subclass/&PowerInfuseArmorMagicalStrengthDescription	Infundir a armadura com força mágica. Você ganha vantagem nas verificações de força e nos lançamentos de economia. Você só pode ter uma de cada infusão ativa de cada vez. Ativá-la uma segunda vez irá cancelar a primeira.
Subclass/&PowerInfuseArmorMagicalStrengthTitle	Armadura de Força Mágica
Subclass/&PowerInfuseDarkvisionDescription	Infundir a capacidade de ver no escuro em um par de óculos de proteção. Você só pode ter uma de cada infusão ativa de cada vez. Ativá-la uma segunda vez irá cancelar a primeira. Você só pode ter uma de cada infusão ativa de cada vez. Ativá-la uma segunda vez irá cancelar a primeira.
Subclass/&PowerInfuseDarkvisionTitle	Óculos de proteção noturnos
