ActionAffinity/&DHFeeblemindSpellDescription	Kann keine Zaubersprüche wirken.
Screen/&EditorLocationSize4Title	Gargantuan [MODDED]
Screen/&FeyTeleportSpellDescription	Dieser Fey-Zauber ist immer vorbereitet.
Screen/&FeyTeleportSpellTitle	Fey
Screen/&MulticlassSpellDescription	Du kennst diesen Zauber aus einem anderen Repertoire.
Screen/&MulticlassSpellTitle	Multiklasse
Screen/&ShadowTouchedSpellDescription	Dieser Schatten-Zauberspruch ist immer vorbereitet.
Screen/&ShadowTouchedSpellTitle	Schatten
Screen/&SpellSlotsUsedLongDescription	Du hast {0} Zauberslot(s) auf dieser Stufe verbraucht.
Screen/&SpellSlotsUsedShortDescription	Du hast {0} Paktmagie-Slot(s) verbraucht.
Screen/&SpellSlotsUsedShortLongDescription	Du hast {0} Paktmagie-Slot(s) und {1} Zauberslot(s) auf dieser Stufe verbraucht.
Screen/&WitchSpellDescription	Als Hexe bekannte Zaubersprüche.
Screen/&WitchSpellHeader	Hexe
Screen/&WitchSpellTitle	Hexe
Sorceror/&ZSSorcerousRestorationDescription	Erhalte während einer kurzen Ruhepause 4 Zauberpunkte zurück.
Sorceror/&ZSSorcerousRestorationTitle	Hexerische Wiederherstellung
Spell/&AcidClawsDescription	Führe einen tödlichen Angriff mit deinen geschärften Klauen aus.
Spell/&AcidClawsTitle	Blutige Klauen
Spell/&AHHellishRebukeDescription	Du zeigst mit dem Finger auf die Kreatur, die dich verletzt hat, und sie wird kurzzeitig von höllischen Flammen umgeben. Die Kreatur muss einen Rettungswurf auf Geschicklichkeit machen. Bei einem misslungenen Schutzwurf erleidet sie 2d10 Feuerschaden, bei einem erfolgreichen Schutzwurf die Hälfte des Schadens.
Spell/&AHHellishRebukeTitle	Höllischer Tadel
Spell/&AHPactMarkAdditionalDamageDescription	Eine paktmarkierte Kreatur erleidet zusätzlich 1d6 Schaden desselben Typs, wenn sie von einem Waffen- oder Zauberangriff des Markers getroffen wird.
Spell/&AHPactMarkAdditionalDamageTitle	Paktmarkierungsschaden
Spell/&AHPactMarkMarkedByPactConditionDescription	Diese Kreatur wurde durch einen Pakt markiert und erleidet zusätzlich 1d6 Schaden desselben Typs, wenn sie von einer Waffe oder einem Zauberangriff des Markierers getroffen wird.
Spell/&AHPactMarkMarkedByPactConditionTitle	Paktmarkiert
Spell/&AHPactMarkPactMarkConditionDescription	Du kannst andere Kreaturen mit einem Paktzeichen markieren und fügst ihnen mit Waffen- oder Zauberangriffen zusätzlich 1d6 Schaden zu.
Spell/&AHPactMarkPactMarkConditionTitle	Paktzeichen
Spell/&AHPactMarkSpellDescription	Du legst ein Zeichen aus deinem Pakt auf eine Kreatur, die du innerhalb von 90 Fuß sehen kannst. Es wird dir gegenüber verwundbar und erleidet zusätzlich 1d6 Schaden, wenn du es mit einer Waffe oder einem Zauberangriff triffst. Dieser Schaden ist derselbe Typ wie der Angriff, der es trifft.
Spell/&AHPactMarkSpellTitle	Paktzeichen
Spell/&AirBlastDescription	Feuere einen konzentrierten Luftstoß auf dein Ziel.
Spell/&AirBlastTitle	Luftstoß
Spell/&BurstOfRadianceDescription	Erzeuge einen brillanten Blitz aus schimmerndem Licht, der allen Gegnern um dich herum Schaden zufügt.
Spell/&BurstOfRadianceTitle	Strahlende Explosion
Spell/&CJDivineWordDescription	Du sprichst ein göttliches Wort, durchdrungen von der Macht, die die Welt zu Beginn der Schöpfung geformt hat. Wähle eine beliebige Anzahl von Kreaturen, die du in Reichweite sehen kannst. Jede Kreatur, die dich hören kann, muss einen Charisma-Sicherungswurf machen. Bei einem misslungenen Schutzwurf erleidet die Kreatur einen Effekt, der von ihren aktuellen Trefferpunkten abhängt:\n- 50 Trefferpunkte oder weniger: betäubt für 1 Minute\n- 40 Trefferpunkte oder weniger: betäubt und geblendet für 10 Minuten\n- 30 Trefferpunkte oder weniger: geblendet, betäubt und betäubt für 1 Stunde\n- 20 Trefferpunkte oder weniger: Ungeachtet seiner aktuellen Trefferpunkte wird ein Himmlischer, ein Elementarer, ein Fey oder ein Unhold, der seine Schutzparade nicht besteht, in seine Ursprungsebene zurückgedrängt (wenn er nicht schon dort ist) und kann 24 Stunden lang nicht in seine aktuelle Ebene zurückkehren, es sei denn, er spricht einen Wunschzauber. \n
Spell/&CJDivineWordTitle	Göttliches Wort
Spell/&DHAnimalShapesSpellDescription	Wähle eine beliebige Anzahl williger Kreaturen, die du in Reichweite sehen kannst. Du verwandelst jedes Ziel in die Form eines großen oder kleineren Tieres mit einem Schwierigkeitsgrad von 4 oder niedriger.
Spell/&DHAnimalShapesSpellTitle	Tiergestalten
Spell/&DHCastSpellArchMageDescription	Zaubernde Fähigkeit des Erzmagiers.
Spell/&DHCastSpellArchMageTitle	Zaubernde Fähigkeit des Erzmagiers
Spell/&DHCastSpellGuardianNagaDescription	Zaubernde Fähigkeit des Erzmagiers.
Spell/&DHCastSpellGuardianNagaTitle	Zauberfähigkeit Erzmagier
Spell/&DHCastSpellLichDescription	Lich-Zauber-Fähigkeit.
Spell/&DHCastSpellLichTitle	Lich-Zauberfähigkeit
Spell/&DHConjureCelestialSpellDescription	Du beschwörst einen Himmelskörper der Schwierigkeitsstufe 4 oder niedriger, der in einem unbesetzten Raum erscheint, den du in Reichweite sehen kannst. Der Himmelsmensch verschwindet, wenn er auf 0 Trefferpunkte fällt oder wenn der Zauber endet. Der Himmelskörper ist dir und deinen Begleitern für die Dauer des Zaubers freundlich gesinnt.
Spell/&DHConjureCelestialSpellTitle	Himmelswesen beschwören (Couatl)
Spell/&DHDominateMonsterSpellDescription	Du versuchst, eine Kreatur zu betören, die du in Reichweite siehst. Es muss einen Weisheitswurf bestehen oder für die Dauer des Zaubers von dir verzaubert werden.
Spell/&DHDominateMonsterSpellTitle	Monster beherrschen
Spell/&DHFeeblemindSpellDescription	Du sprengst den Geist einer Kreatur, die du in Reichweite sehen kannst, und versuchst, ihren Intellekt und ihre Persönlichkeit zu erschüttern. Das Ziel erleidet 4d6 psychischen Schaden und muss einen Intelligenz-Erhaltungswurf machen. Bei einem misslungenen Rettungswurf werden die Intelligenz- und Charisma-Werte der Kreatur zu 1. Die Kreatur kann nicht zaubern, keine magischen Gegenstände aktivieren, keine Sprache verstehen oder sich auf irgendeine verständliche Weise mitteilen.
Spell/&DHFeeblemindSpellTitle	Feeblemind
Spell/&DHFingerOfDeathSpellDescription	Das Ziel muss einen Schutzwurf auf Konstitution ablegen. Bei einem misslungenen Schutzwurf erleidet es 7d8 + 30 nekrotischen Schaden, bei einem erfolgreichen Schutzwurf halb so viel Schaden.
Spell/&DHFingerOfDeathSpellTitle	Finger des Todes (kein Zombie)
Spell/&DHForesightSpellDescription	Du berührst eine willige Kreatur und gewährst ihr eine begrenzte Fähigkeit, in die unmittelbare Zukunft zu sehen. Für die Dauer der Berührung kann das Ziel nicht überrascht werden und hat Vorteil bei Angriffswürfen, Fähigkeitsprüfungen und Schutzwürfen. Außerdem haben andere Kreaturen für diese Zeit einen Nachteil bei Angriffswürfen gegen das Ziel.
Spell/&DHForesightSpellTitle	Voraussicht
Spell/&DHHolyAuraSpellDescription	Göttliches Licht strömt von dir aus und verschmilzt in einem Radius von 30 Fuß um dich herum zu einem sanften Leuchten. Kreaturen deiner Wahl, die sich in diesem Radius befinden, wenn du diesen Zauber sprichst, werfen in einem Umkreis von 1,5 Metern ein schwaches Licht ab und haben Vorteil bei allen Schutzwürfen; andere Kreaturen haben bis zum Ende des Zaubers Nachteil bei Angriffswürfen gegen sie.
Spell/&DHHolyAuraSpellTitle	Heilige Aura
Spell/&DHIncendiaryCloudSpellDescription	Eine wirbelnde Rauchwolke, die von weißglühender Glut durchzogen ist, erscheint in einer Kugel mit einem Radius von 20 Fuß, die auf einen Punkt in Reichweite zentriert ist. Die Wolke breitet sich um Ecken herum aus und wird stark verdunkelt. Sie hält so lange an, bis ein Wind von mittlerer oder höherer Geschwindigkeit (mindestens 10 Meilen pro Stunde) sie vertreibt.\n Wenn die Wolke erscheint, muss jede Kreatur in ihr einen Rettungswurf auf Geschicklichkeit machen. Bei einem misslungenen Schutzwurf erleidet eine Kreatur 10d8 Feuerschaden, bei einem erfolgreichen Schutzwurf halb so viel Schaden. Eine Kreatur muss diesen Rettungswurf auch machen, wenn sie den Bereich des Zaubers zum ersten Mal in einem Zug betritt oder ihren Zug dort beendet.\nDie Wolke bewegt sich 10 Fuß direkt von dir weg in eine Richtung, die du zu Beginn eines jeden deiner Züge wählst.
Spell/&DHIncendiaryCloudSpellTitle	Feurige Wolke
Spell/&DHMassHealSpellDescription	Eine Flut heilender Energie strömt von dir auf verletzte Kreaturen um dich herum. Du stellst bis zu 700 Trefferpunkte wieder her, die du nach Belieben auf eine beliebige Anzahl von Kreaturen in Reichweite aufteilst. Kreaturen, die durch diesen Zauber geheilt werden, werden auch von allen Krankheiten und allen Effekten, die sie blind oder taub machen, geheilt. Dieser Zauber hat keine Wirkung auf Untote oder Konstrukte.
Spell/&DHMassHealSpellTitle	Massenheilung
Spell/&DHMazeSpellDescription	Du verbannst eine Kreatur, die du in Reichweite sehen kannst, in eine labyrinthische Dämmebene. Das Ziel bleibt dort für die Dauer des Zaubers oder bis es aus dem Labyrinth entkommt. /Das Ziel kann mit seiner Aktion einen Intelligenztest (DC 20) machen, um zu entkommen.
Spell/&DHMazeSpellTitle	Labyrinth
Spell/&DHMeteorSwarmSingleTargetSpellDescription	Flammende Feuerkugeln stürzen an einem einzigen Punkt, den du in Reichweite sehen kannst, auf den Boden. Jede Kreatur in einem Umkreis von 40 Fuß um den von dir gewählten Punkt muss einen Rettungswurf auf Geschicklichkeit machen. Die Kugel breitet sich um Ecken herum aus. Bei einem misslungenen Schutzwurf erleidet eine Kreatur 20d6 Feuerschaden und 20d6 Hiebschaden, bei einem erfolgreichen Schutzwurf halb so viel Schaden. Eine Kreatur, die sich im Bereich von mehr als einem feurigen Ausbruch befindet, wird nur einmal getroffen.
Spell/&DHMeteorSwarmSingleTargetSpellTitle	Meteoritenschwarm (Einzelziel)
Spell/&DHMindBlankSpellDescription	Bis zum Ende des Zaubers ist eine willige Kreatur, die du berührst, immun gegen psychischen Schaden, gegen jeden Effekt, der ihre Emotionen spüren oder ihre Gedanken lesen würde, gegen Wahrsagezauber und gegen den Zustand "verzaubert".
Spell/&DHMindBlankSpellTitle	Geistesblitz
Spell/&DHPowerWordHealSpellDescription	Eine Welle heilender Energie überspült die Kreatur, die du berührst. Das Ziel erhält alle seine Trefferpunkte zurück. Wenn die Kreatur verzaubert, verängstigt, gelähmt oder betäubt ist, endet der Zustand. Wenn die Kreatur am Boden liegt, kann sie ihre Reaktion nutzen, um aufzustehen. Dieser Zauber hat keine Wirkung auf Untote oder Konstrukte.
Spell/&DHPowerWordHealSpellTitle	Machtwort Heilung
Spell/&DHPowerWordKillSpellDescription	Du sprichst ein Machtwort, das eine Kreatur, die du in Reichweite siehst, zum sofortigen Tod zwingen kann. Wenn die Kreatur, die du auswählst, 100 Trefferpunkte oder weniger hat, stirbt sie. Andernfalls hat der Zauber keine Wirkung.
Spell/&DHPowerWordKillSpellTitle	Machtwort Töten
Spell/&DHPowerWordStunSpellDescription	Du sprichst ein Machtwort, das den Geist einer Kreatur, die du in Reichweite sehen kannst, überwältigen kann, so dass sie sprachlos wird. Wenn das Ziel 150 Trefferpunkte oder weniger hat, wird es betäubt. Andernfalls hat der Zauber keine Wirkung.
Spell/&DHPowerWordStunSpellTitle	Machtwort Betäubung
Spell/&DHReverseGravitySpellDescription	Dieser Zauber kehrt die Schwerkraft in einem Zylinder mit einem Radius von 50 Fuß und einer Höhe von 100 Fuß um, der auf einen Punkt in Reichweite zentriert ist.
Spell/&DHReverseGravitySpellTitle	Schwerkraft umkehren
Spell/&DHShapechangeSpellDescription	Du nimmst für die Dauer des Zaubers die Gestalt einer anderen Kreatur an. Die neue Gestalt kann eine beliebige Kreatur mit einem Herausforderungswert sein, der deiner Stufe oder niedriger entspricht.
Spell/&DHShapechangeSpellTitle	Gestaltwandel
Spell/&DHSunBurstSpellDescription	Leuchtendes Sonnenlicht blitzt in einem Radius von 60 Fuß um einen von dir gewählten Punkt in Reichweite auf. Jede Kreatur in diesem Licht muss einen Konstitutionsschutzwurf machen. Bei einem misslungenen Schutzwurf erleidet die Kreatur 12d6 Strahlenschaden und ist 1 Minute lang geblendet. Bei einem erfolgreichen Schutzwurf erleidet sie nur halb so viel Schaden und wird nicht geblendet. Eine Kreatur, die durch diesen Zauber geblendet wurde, macht am Ende jeder ihrer Runden einen weiteren Konstitutionsschutzwurf. Dieser Zauber vertreibt jegliche Dunkelheit in seinem Bereich, die durch einen Zauber verursacht wurde.
Spell/&DHSunBurstSpellTitle	Sonnenaufgang
Spell/&DHTimeStopSpellDescription	Du hältst den Fluss der Zeit für alle außer dir kurz an. Für andere Kreaturen vergeht keine Zeit, während du 1d4 + 1 Umdrehung hintereinander machst, während der du dich wie gewohnt bewegen und Aktionen ausführen kannst.
Spell/&DHTimeStopSpellTitle	Zeit anhalten
Spell/&DHWeirdSpellDescription	Indem du auf die tiefsten Ängste einer Gruppe von Kreaturen zurückgreifst, erschaffst du in ihren Köpfen illusorische Kreaturen, die nur für sie sichtbar sind. Jede Kreatur, die sich in einem Umkreis von 30 Fuß um einen Punkt deiner Wahl innerhalb der Reichweite befindet, muss einen Rettungswurf in Weisheit ablegen. Bei einem misslungenen Schutzwurf wird die Kreatur für die Dauer des Wurfes verängstigt. Die Illusion beschwört die tiefsten Ängste der Kreatur herauf und manifestiert ihre schlimmsten Albträume als unerbittliche Bedrohung. Am Ende jeder Runde der verängstigten Kreatur muss sie einen Weisheitswurf bestehen oder 4d10 psychischen Schaden erleiden. Bei einem erfolgreichen Schutzwurf endet der Zauber für die Kreatur.
Spell/&DHWeirdSpellTitle	Unheimlich
Spell/&EarthTremorDescription	Du schlägst auf den Boden und entfesselst ein Beben seismischer Kraft, das Erde, Felsen und Sand hochschleudert.
Spell/&EarthTremorTitle	Beben der Erde
Spell/&EldritchBlastDescription	Ein Strahl aus knisternder Energie rast auf eine Kreatur in Reichweite zu. Führe einen Fernkampfzauberangriff gegen das Ziel aus. Bei einem Treffer erleidet das Ziel 1d10 Kraftschaden.\nDer Zauber erzeugt mehr als einen Strahl, wenn du höhere Stufen erreichst: zwei Strahlen auf Stufe 5, drei Strahlen auf Stufe 11 und vier Strahlen auf Stufe 17. Du kannst die Strahlen auf dasselbe Ziel oder auf verschiedene Ziele richten. Führe für jeden Strahl einen eigenen Angriffswurf durch.
Spell/&EldritchBlastGraspingHandDescription	Ein Strahl aus knisternder Energie rast auf eine Kreatur in Reichweite zu. Führe einen Fernkampf-Zauberangriff gegen das Ziel aus. Bei einem Treffer erleidet das Ziel 1d10 Kraftschaden. \n(Wenn du eine Kreatur mit deinem Eldritch Blast triffst, kannst du diese Kreatur in einer geraden Linie 10 Fuß näher zu dir bewegen.)
Spell/&EldritchBlastGraspingHandTitle	Eldritch-Schlag (Greifen)
Spell/&EldritchBlastRepellingBlastDescription	Ein Strahl aus knisternder Energie rast auf eine Kreatur in Reichweite zu. Führe einen Fernkampfzauberangriff gegen das Ziel aus. Bei einem Treffer erleidet das Ziel 1d10 Kraftschaden. (Wenn du eine Kreatur mit Eldritch Blast triffst, kannst du sie in einer geraden Linie bis zu 10 Fuß von dir wegstoßen.)
Spell/&EldritchBlastRepellingBlastTitle	Eldritch-Stoß (Abstoßen)
Spell/&EldritchBlastTitle	Eldritch-Stoß
Spell/&EldritchOrbDescription	Du schleuderst eine Kugel aus eldritischer Energie auf eine Kreatur oder ein Objekt in Reichweite und verursachst in einem kleinen Radius Kraftschaden.
Spell/&EldritchOrbTitle	Eldritch-Kugel
Spell/&EWResonatingStrikeDescription	Wähle eine Kreatur in Nahkampfreichweite von dir und eine andere Kreatur, die du im Umkreis von 5 Fuß um das Hauptziel sehen kannst. Du führst einen Nahkampfangriff mit deiner aktuellen Waffe gegen die erste Kreatur aus. Bei einem Treffer erleidet das Ziel die normalen Effekte des Waffenangriffs, und der Resonanzschall springt auf das zweite Ziel über und fügt ihm Donnerschaden in Höhe deines Zauberfähigkeitsmodifikators zu. Ab Stufe 5 fügt der Nahkampfangriff dem Ziel bei einem Treffer zusätzlich 1d8 Donnerschaden zu, und der Donnerschaden an der zweiten Kreatur erhöht sich auf 1d8 + deinen Zauberfähigkeitsmodifikator. Auf den Stufen 11 und 17 erhöhen sich beide Schadenswürfe um 1d8.
Spell/&EWResonatingStrikeTitle	Widerhallender Schlag
Spell/&EWSunlightBladeDescription	Führe einen Nahkampfangriff mit einer Waffe aus. Bei einem Treffer erleidet das Ziel die normalen Effekte des Angriffs und wird in glühende, strahlende Energie gehüllt, die für eine Runde ein schwaches Licht abgibt. Der nächste Angriff gegen diese Kreatur, während sie angestrahlt wird, erfolgt mit Vorteil.\nAb Stufe 5 fügt der Nahkampfangriff dem Ziel zusätzlich 1d8 Strahlenschaden zu. Auf der 11. und 17. Stufe erhöht sich der Schaden um weitere 1d8.
Spell/&EWSunlightBladeTitle	Sonnenbeschienene Klinge
Spell/&FindFamiliarDescription	Du erhältst die Dienste eines Vertrauten.
Spell/&FindFamiliarImpDescription	Ruft deinen Vertrauten in Form eines Kobolds herbei.
Spell/&FindFamiliarImpTitle	Vertrauten finden (Kobold)
Spell/&FindFamiliarPsuedodragonDescription	Beschwört euren Vertrauten in Form eines Pseudodrachens.
Spell/&FindFamiliarPsuedodragonTitle	Vertrauten finden (Pseudodrache)
Spell/&FindFamiliarQuasitDescription	Beschwört deinen Vertrauten in Form eines Quasit.
Spell/&FindFamiliarQuasitTitle	Vertrauten finden (Quasit)
Spell/&FindFamiliarSpriteDescription	Ruft deinen Vertrauten in Form eines Sprites herbei.
Spell/&FindFamiliarSpriteTitle	Vertrauten finden (Sprite)
Spell/&FindFamiliarTitle	Vertrauten finden
Spell/&FrenzyDescription	Mit einer Geste reduzierst du eine Menschenmenge auf niederen Instinkt und Gewalt. Wähle einen Punkt, den du in Reichweite sehen kannst. Jede Kreatur im Umkreis von 20 Fuß um diesen Punkt muss einen Weisheitswurf machen. Bei einem misslungenen Schutzwurf wird die Kreatur für die Dauer des Wahnsinns in Raserei versetzt. Wenn eine Kreatur in Raserei ist, zieht sie eine Nahkampfwaffe, wenn sie eine hat. Eine rasende Kreatur muss ihre Aktion zu Beginn ihres Zuges nutzen, um eine Kreatur in ihrer Reichweite anzugreifen. Sie benutzt eine Nahkampfwaffe, wenn sie eine hat, oder eine improvisierte Waffe oder einen unbewaffneten Angriff, wenn sie keine hat. Befinden sich mehrere Ziele innerhalb der Reichweite der Kreatur, wählt sie ihr Ziel zufällig aus. Befindet sich kein Ziel in der Reichweite der Kreatur, greift sie sich selbst gegen ihren eigenen AC an und verursacht bei einem Treffer normalen Schaden. Am Ende ihres Zuges kann eine rasende Kreatur ihren Rettungswurf wiederholen, wobei der Effekt bei einem Erfolg vorzeitig beendet wird.
Spell/&FrenzyTitle	Raserei
Spell/&HinderingBlastDescription	Ein Strahl aus knisternder Energie rast auf eine Kreatur in Reichweite zu. Führe einen Fernkampfzauberangriff gegen das Ziel aus. Bei einem Treffer erleidet das Ziel 1d10 Kraftschaden. (Wenn du eine Kreatur mit deinem Eldritchblast triffst, kannst du die Geschwindigkeit dieser Kreatur bis zum Ende deines nächsten Zuges um 10 Fuß verringern.)
Spell/&HinderingBlastTitle	Eldritch-Schlag (Hinderlich)
Spell/&IlluminatingSphereDescription	Lässt Lichtquellen wie Fackeln und Manalampen im Wirkungsbereich aufleuchten.
Spell/&IlluminatingSphereTitle	Erleuchtende Sphäre
Spell/&IPConjureInvisibleStalkerTitle	Elementar beschwören (Unsichtbarer Schleicher)
Spell/&MinorLifestealDescription	Du entziehst einer feindlichen Kreatur, die du in Reichweite sehen kannst, Lebensenergie. Du heilst dann Trefferpunkte in Höhe des verursachten Schadens. Dieser Zauber hat keine Wirkung auf Untote oder Konstrukte.
Spell/&MinorLifestealTitle	Geringer Lebenserhalt
Spell/&MirrorImageDescription	Spiegelbild
Spell/&MirrorImageTitle	Spiegelbild
Spell/&MuleDescription	Der Empfänger dieses Zaubers ist in der Lage, die Auswirkungen von schweren Lasten oder Rüstungen auf die Bewegungsgeschwindigkeit zu ignorieren. Außerdem kann er etwas mehr Gewicht tragen.
Spell/&MuleTitle	Maultier
Spell/&PetalStormDescription	Wähle einen unbesetzten 15 Fuß großen Luftwürfel, den du in Reichweite sehen kannst. Eine elementare Kraft wirbelnder Winde erscheint in diesem Würfel und hält für die Dauer des Zaubers an. Die Wolke verdunkelt ihr Gebiet stark. Jede Kreatur, die den Sturm zum ersten Mal in einem Zug betritt oder ihren Zug dort beginnt, muss einen Schutzwurf auf Stärke ablegen. Bei einem misslungenen Schutzwurf erleidet die Kreatur 3d4 Hiebschaden. Als Bonusaktion kannst du den Sturm bis zu 30 Fuß in eine beliebige Richtung bewegen.
Spell/&PetalStormTitle	Blütenblattsturm
Spell/&ProtectThresholdDescription	Indem du arkane Siegel entlang seiner Grenzen zeichnest, kannst du eine Tür, ein Fenster oder ein anderes Portal vor dem Eindringen schützen. Für die Dauer des Sturms schleicht eine unsichtbare eldritchische Kreatur durch das geschützte Portal. Jede Kreatur, die versucht, das Portal zu durchqueren, muss einen Weisheitswurf ablegen oder erleidet 4d6 psychischen Schaden, bei einem erfolgreichen Schutz halb so viel.
Spell/&ProtectThresholdTitle	Schwelle beschützen
Spell/&RadiantMotesDescription	Entfesselt einen Schwarm von 5 strahlenden Geschossen, die jeweils 2 Strahlenschaden verursachen, aber nie verfehlen. Ziele können bis zu 1 Minute lang Licht ausstrahlen.\nWenn du diesen Zauber mit einem Zauberplatz der Stufe 2 oder höher wirkst, erzeugt der Zauber 2 weitere Geschosse für jeden Platz über der Stufe 1.
Spell/&RadiantMotesTitle	Strahlende Motes
Spell/&ThunderStrikeDescription	Erzeugt einen donnernden Schallstoß, der Kreaturen in deiner Nähe zwingt, einen Schutzwurf auf Konstitution zu machen oder 1d6 Donnerschaden zu erleiden.\nDer Schaden dieses Zaubers erhöht sich um 1d6, wenn du die 5. Stufe (2d6), die 11.
Spell/&ThunderStrikeTitle	Schallsturm
Spell/&WinterBreathDescription	Erzeuge einen kalten Windstoß, der deine Feinde frösteln lässt und sie zu Boden wirft.
Spell/&WinterBreathTitle	Atem des Winters
Spell/&WitchFamiliarDescription	Du erhältst die Dienste eines Vertrauten.
Spell/&WitchFamiliarTitle	Hexenmeister-Vertrauter
SpellList/&ClassWarlockSpellListDescription	Hexenmeister-Zauberspruch-Liste.
SpellList/&ClassWarlockSpellListTitle	Hexenmeister-Zauberspruch-Liste
SpellList/&ElementalistSpellsListDescription	Elementarmagier-Zauberspruch-Liste.
SpellList/&ElementalistSpellsListTitle	Elementarmagier-Zauberspruchliste
SpellList/&RiftWalkerSpellsListDescription	RiftWalker-ZauberspruchListe.
SpellList/&RiftWalkerSpellsListTitle	Spaltwandler-Zauberliste
SpellList/&SpellListTinkererDescription	Tinkerer-Zauberspruchliste.
SpellList/&SpellListTinkererTitle	Kesselflicker-Zauberliste
Stage/&IdentityMorphotypeEyeHeader	Augen-Stil
Stage/&SubclassSelectionStageClassMonkTraditionDescription	In dieser Stufe wird die Klostertradition des Charakters ausgewählt.
Stage/&SubclassSelectionStageClassMonkTraditionFeatures	Eigenschaften der monastischen Tradition
Stage/&SubclassSelectionStageClassMonkTraditionHeader	Wähle eine Klostertradition
Stage/&SubclassSelectionStageClassMonkTraditionNoneDescription	Du musst eine Klostertradition auswählen.
Stage/&SubclassSelectionStageClassMonkTraditionTitle	Monastische\nTradition
Stage/&SubclassSelectionStageCovenDescription	Hexenzirkel.
Stage/&SubclassSelectionStageCovenFeaturesDescription	Hexenzirkel.
Stage/&SubclassSelectionStageCovenFeaturesHeader	Coven Merkmale
Stage/&SubclassSelectionStageCovenFeaturesTitle	Hexenzirkel
Stage/&SubclassSelectionStageCovenHeader	Wählen Sie einen Coven
Stage/&SubclassSelectionStageCovenTitle	Hexenzirkel
Stage/&SubclassSelectionStagePatronDescription	Ein Hexenmeister ist durch einen Pakt mit einem jenseitigen Wesen definiert. Manchmal ist die Beziehung zwischen Hexenmeister und Beschützer ähnlich wie die zwischen einem Kleriker und einer Gottheit, obwohl die Wesen, die als Beschützer dienen, keine Götter sind.
Stage/&SubclassSelectionStagePatronFeatures	Andersweltliche Beschützer Eigenschaften
Stage/&SubclassSelectionStagePatronHeader	Hexenmeister Andersweltliche Schutzherren
Stage/&SubclassSelectionStagePatronTitle	Andersweltliche Schutzherren
Stage/&SubclassSelectionStageSpecialistDescription	Beschreibung Es gibt eine Vielzahl von Spezialisierungen bei den Tinkern, darunter die Herstellung von Elixieren als Zaubertrankbrauer, die Herstellung von Explosionen als Sprengmeister und der Umgang mit magischen Waffen als Waffenschmied.
Stage/&SubclassSelectionStageSpecialistFeatures	Spezialisten-Merkmale
Stage/&SubclassSelectionStageSpecialistHeader	Spezialisierungen
Stage/&SubclassSelectionStageSpecialistNoneDescription	Spezialist Keine Beschreibung.
Stage/&SubclassSelectionStageSpecialistTitle	Spezialisierung wählen
Subclass/&AbilityAffinityRogueConArtistDescription	Vorteil bei Fähigkeitsproben auf Überredung, Täuschung, Leistung und Geschicklichkeit.
Subclass/&AbilityAffinityRogueConArtistTitle	Manipulativ
Subclass/&AHWarlockSubclassSoulBladePactDescription	Du hast einen Pakt mit einer empfindungsfähigen Waffe geschlossen, der du im Gegenzug für Macht Seelen zuführst.
Subclass/&AHWarlockSubclassSoulBladePactTitle	Seelenklingen-Pakt
Subclass/&ArcaneFighterAdditionalActionDescription	Du kannst einen Zauber wirken, nachdem du einen Gegner mit deinen Waffenangriffen besiegt hast.
Subclass/&ArcaneFighterAdditionalActionTitle	Kampf mit Zaubern
Subclass/&ArcaneFighterBonusWeaponDamageDescription	Einmal pro Runde verursachen deine Waffenangriffe zusätzlich 1d8 Schaden.
Subclass/&ArcaneFighterBonusWeaponDamageTitle	Magiebetriebene Angriffe
Subclass/&ArtificerAlchemistDescription	Du hast dich auf Tränke, Verstärker, Heilung und Zaubersprüche spezialisiert.
Subclass/&ArtificerAlchemistTitle	Zaubertrank-Macher
Subclass/&ArtificerArtileristCannonsDescription	Du erschaffst eine Reihe von Kanonen, die du im Kampf als Bonusaktion aktivieren kannst.
Subclass/&ArtificerArtileristCannonsTitle	Kanonen
Subclass/&ArtificerArtilleristDescription	Du bist darauf spezialisiert, Projektile zu schleudern und Explosionen zu verursachen.
Subclass/&ArtificerArtilleristTitle	Blaster
Subclass/&ArtificerBattleSmithDescription	Du hast dich auf den Einsatz magischer Waffen im Kampf spezialisiert.
Subclass/&ArtificerBattleSmithTitle	Waffenschmied
Subclass/&ArtificerSpellcastingDescription	Du kannst Tinkerer-Zaubersprüche wirken.
Subclass/&ArtificerSpellcastingTitle	Kesselflicker-Zauberei
Subclass/&AttackModifierArtificerBattleSmithWeaponDescription	Deine Angriffe gelten als magisch und du verwendest deine Intelligenz für Angriffs- und Schadenswürfe.
Subclass/&AttackModifierArtificerBattleSmithWeaponTitle	Infundierte Waffe
Subclass/&AttackModifierArtificerBlindingWeaponDescription	Eine Waffe deiner Wahl, die die Fähigkeit erhält, Ziele bei einem Treffer zu blenden (gegen einen Konstitutionsschutz). Du kannst immer nur eine der beiden Infusionen aktiv haben. Wenn du sie ein zweites Mal aktivierst, wird die erste deaktiviert.
Subclass/&AttackModifierArtificerBlindingWeaponTitle	Blendende Waffe
Subclass/&AttackModifierArtificerEnhancedArmorDescription	Eine Rüstung deiner Wahl wird magisch und verleiht zusätzlich +1 AC. Du kannst einen Aufguss nur einmal aktiv haben. Wenn du sie ein zweites Mal aktivierst, wird die erste aufgehoben.
