ActionAffinity/&DHFeeblemindSpellDescription	Impossible de lancer des sorts.
Spell/&DHCastSpellGuardianNagaTitle	Capacité à lancer des sorts d'Archimage
Spell/&DHCastSpellLichDescription	Capacité de moulage des liches.
Spell/&DHCastSpellLichTitle	Capacité à invoquer les liches
Spell/&DHConjureCelestialSpellDescription	Vous invoquez un céleste de niveau de défi 4 ou moins, qui apparaît dans un espace inoccupé que vous pouvez voir à portée. Le céleste disparaît lorsqu'il tombe à 0 point de vie ou lorsque le sort prend fin. Le céleste est amical envers vous et vos compagnons pour la durée du sort.
Spell/&DHConjureCelestialSpellTitle	Conjuration céleste (Couatl)
Spell/&DHDominateMonsterSpellDescription	Vous tentez de séduire une créature que vous pouvez voir à portée. Elle doit réussir un jet de sauvegarde de Sagesse ou être charmée par vous pour la durée du sort.
Spell/&DHDominateMonsterSpellTitle	Dominer un monstre
Spell/&DHFeeblemindSpellDescription	Vous frappez l'esprit d'une créature que vous pouvez voir à portée, pour tenter de briser son intellect et sa personnalité. La cible subit 4d6 dégâts psychiques et doit effectuer un jet de sauvegarde d'Intelligence. En cas d'échec, les scores d'Intelligence et de Charisme de la créature deviennent 1. La créature ne peut pas lancer de sorts, activer des objets magiques, comprendre le langage ou communiquer de manière intelligible.
Spell/&DHFeeblemindSpellTitle	Feeblemind
Spell/&DHFingerOfDeathSpellDescription	La cible doit effectuer un jet de sauvegarde de Constitution. Elle subit 7d8 + 30 points de dégâts nécrotiques en cas d'échec, ou la moitié en cas de réussite.
Spell/&DHFingerOfDeathSpellTitle	Doigt de mort (sans zombie)
Spell/&DHForesightSpellDescription	Vous touchez une créature consentante et lui conférez une capacité limitée de voir dans le futur immédiat. Pendant toute la durée du sort, la cible ne peut pas être surprise et a l'avantage sur les jets d'attaque, les tests de capacité et les jets de sauvegarde. De plus, les autres créatures ont un désavantage aux jets d'attaque contre la cible pour la durée du sort.
Spell/&DHForesightSpellTitle	Prévoyance
Spell/&DHHolyAuraSpellDescription	La lumière divine s'échappe de vous et se fusionne en un doux rayonnement dans un rayon de 30 pieds autour de vous. Les créatures de votre choix qui se trouvent dans ce rayon lorsque vous lancez ce sort diffusent une lumière faible dans un rayon de 1,5 m et ont l'avantage sur tous les jets de sauvegarde, et les autres créatures ont un désavantage aux jets d'attaque contre elles jusqu'à la fin du sort.
Spell/&DHHolyAuraSpellTitle	Aura sacrée
Spell/&DHIncendiaryCloudSpellDescription	Un nuage de fumée tourbillonnant traversé de braises chauffées à blanc apparaît dans une sphère de 6 mètres de rayon centrée sur un point à portée. Le nuage se répand dans les coins et est fortement obscurci. Il dure toute la durée du sort ou jusqu'à ce qu'un vent de vitesse modérée ou supérieure (au moins 10 miles par heure) le disperse. Lorsque le nuage apparaît, chaque créature qui s'y trouve doit effectuer un jet de sauvegarde de Dextérité. En cas d'échec, la créature subit 10d8 points de dégâts de feu, ou la moitié en cas de réussite. Une créature doit également effectuer ce jet de sauvegarde lorsqu'elle entre dans la zone du sort pour la première fois au cours d'un tour ou qu'elle y termine son tour.\NLe nuage s'éloigne de vous de 10 pieds directement dans une direction que vous choisissez au début de chacun de vos tours.
Spell/&DHIncendiaryCloudSpellTitle	Nuage incendiaire
Spell/&DHMassHealSpellDescription	Un flot d'énergie curative s'écoule de vous vers les créatures blessées autour de vous. Vous restaurez jusqu'à 700 points de vie, répartis comme vous le souhaitez entre un nombre quelconque de créatures que vous pouvez voir à portée. Les créatures soignées par ce sort sont également guéries de toutes les maladies et de tout effet les rendant aveugles ou sourdes. Ce sort n'a aucun effet sur les morts-vivants ou les constructions.
Spell/&DHMassHealSpellTitle	Guérison de masse
Spell/&DHMazeSpellDescription	Vous bannissez une créature que vous pouvez voir à portée dans un demi-plan labyrinthique. La cible y reste pour la durée ou jusqu'à ce qu'elle s'échappe du labyrinthe. /La cible peut utiliser son action pour tenter un test d'Intelligence DC 20 pour s'échapper.
Spell/&DHMazeSpellTitle	Labyrinthe
Spell/&DHMeteorSwarmSingleTargetSpellDescription	Des orbes de feu flamboyantes dégringolent vers le sol en un seul point que vous pouvez voir à portée. Chaque créature dans une sphère de 40 pieds de rayon centrée sur le point que vous choisissez doit effectuer un jet de sauvegarde de Dextérité. La sphère se propage dans les coins. Une créature subit 20d6 dégâts de feu et 20d6 dégâts de matraquage sur un jet de sauvegarde raté, ou la moitié des dégâts sur un jet réussi. Une créature se trouvant dans la zone de plus d'une salve ardente n'est affectée qu'une seule fois.
Spell/&DHMeteorSwarmSingleTargetSpellTitle	Essaim de météorites (cible unique)
Spell/&DHMindBlankSpellDescription	Jusqu'à la fin du sort, une créature volontaire que vous touchez est immunisée contre les dégâts psychiques, tout effet permettant de ressentir ses émotions ou de lire ses pensées, les sorts de divination et la condition de charme.
Spell/&DHMindBlankSpellTitle	Vide mental
Spell/&DHPowerWordHealSpellDescription	Une vague d'énergie curative déferle sur la créature que vous touchez. La cible regagne tous ses points de vie. Si la créature est charmée, effrayée, paralysée ou étourdie, la condition prend fin. Si la créature est couchée, elle peut utiliser sa réaction pour se relever. Ce sort n'a aucun effet sur les morts-vivants ou les constructions.
Spell/&DHPowerWordHealSpellTitle	Mot de pouvoir Guérison
Spell/&DHPowerWordKillSpellDescription	Vous prononcez un mot de pouvoir qui peut contraindre une créature que vous pouvez voir à portée à mourir instantanément. Si la créature que vous choisissez a 100 points de vie ou moins, elle meurt. Sinon, le sort n'a aucun effet.
Spell/&DHPowerWordKillSpellTitle	Mot de pouvoir tuer
Spell/&DHPowerWordStunSpellDescription	Vous prononcez un mot de pouvoir qui peut submerger l'esprit d'une créature que vous pouvez voir à portée, la laissant abasourdie. Si la cible a 150 points de vie ou moins, elle est étourdie. Sinon, le sort n'a aucun effet.
Spell/&DHPowerWordStunSpellTitle	Mot de pouvoir Étourdissement
Spell/&DHReverseGravitySpellDescription	Ce sort inverse la gravité dans un cylindre de 50 pieds de rayon et de 100 pieds de haut centré sur un point à portée.
Spell/&DHReverseGravitySpellTitle	Inversion de la gravité
Spell/&DHShapechangeSpellDescription	Vous prenez la forme d'une autre créature pour la durée du sort. Cette nouvelle forme peut être celle de n'importe quelle créature dont le niveau de défi est égal ou inférieur à votre niveau.
Spell/&DHShapechangeSpellTitle	Changement de forme
Spell/&DHSunBurstSpellDescription	Une lumière solaire brillante éclate dans un rayon de 60 pieds centré sur un point de votre choix à portée. Chaque créature dans cette lumière doit effectuer un jet de sauvegarde de Constitution. En cas d'échec, la créature subit 12d6 dégâts radiants et est aveuglée pendant 1 minute. En cas de sauvegarde réussie, elle subit la moitié des dégâts et n'est pas aveuglée par ce sort. Les morts-vivants et les suintants ont un désavantage sur ce jet de sauvegarde. Une créature aveuglée par ce sort effectue un autre jet de sauvegarde de Constitution à la fin de chacun de ses tours. Si elle réussit, elle n'est plus aveuglée. Ce sort dissipe toute obscurité dans sa zone qui a été créée par un sort.
Spell/&DHSunBurstSpellTitle	Rayon de soleil
Spell/&DHTimeStopSpellDescription	Vous arrêtez brièvement le cours du temps pour tout le monde sauf vous-même. Le temps ne passe pas pour les autres créatures, tandis que vous prenez 1d4 + 1 tours d'affilée, pendant lesquels vous pouvez utiliser des actions et vous déplacer normalement.
Spell/&DHTimeStopSpellTitle	Arrêt du temps
Spell/&DHWeirdSpellDescription	En puisant dans les peurs les plus profondes d'un groupe de créatures, vous créez dans leur esprit des créatures illusoires, visibles uniquement par elles. Chaque créature dans une sphère de 30 pieds de rayon centrée sur un point de votre choix à portée doit effectuer un jet de sauvegarde de Sagesse. En cas d'échec, la créature est effrayée pour la durée du sort. L'illusion fait appel aux peurs les plus profondes de la créature, manifestant ses pires cauchemars sous la forme d'une menace implacable. À la fin de chaque tour de la créature effrayée, elle doit réussir un jet de sauvegarde de Sagesse ou subir 4d10 dégâts psychiques. En cas de sauvegarde réussie, le sort prend fin pour cette créature.
Spell/&DHWeirdSpellTitle	Étrange
Spell/&EarthTremorDescription	Vous frappez le sol et déclenchez une secousse sismique qui projette de la terre, de la roche et du sable.
Spell/&EarthTremorTitle	Tremblement de terre
Spell/&EldritchBlastDescription	Un rayon d'énergie crépitante se dirige vers une créature à portée. Effectuez une attaque de sort à distance contre la cible. En cas de succès, la cible subit 1d10 points de dégâts de force.\NLe sort crée plus d'un faisceau lorsque vous atteignez les niveaux supérieurs : deux faisceaux au 5e niveau, trois faisceaux au 11e niveau et quatre faisceaux au 17e niveau. Vous pouvez diriger les faisceaux vers la même cible ou vers des cibles différentes. Faites un jet d'attaque distinct pour chaque rayon.
Spell/&EldritchBlastGraspingHandDescription	Un rayon d'énergie crépitante se dirige vers une créature à portée. Effectuez une attaque de sort à distance contre la cible. En cas de succès, la cible subit 1d10 points de dégâts de force. \N(Lorsque vous touchez une créature avec votre souffle eldritch, vous pouvez déplacer cette créature en ligne droite à 3 mètres plus près de vous).
Spell/&EldritchBlastGraspingHandTitle	Souffle eldritch (Saisir)
Spell/&EldritchBlastRepellingBlastDescription	Un rayon d'énergie crépitante se dirige vers une créature à portée. Effectuez une attaque de sort à distance contre la cible. Si elle est touchée, la cible subit 1d10 points de dégâts de force.(Lorsque tu touches une créature avec Eldritch Blast, tu peux la repousser jusqu'à 3 mètres de toi en ligne droite).
Spell/&EldritchBlastRepellingBlastTitle	Souffle eldritch (repoussant)
Spell/&EldritchBlastTitle	Souffle d'eldritch
Spell/&EldritchOrbDescription	Vous lancez une boule d'énergie eldritch sur une créature ou un objet à portée et infligez des dégâts de force dans un petit rayon.
Spell/&EldritchOrbTitle	Orbe eldritch
Spell/&EWResonatingStrikeDescription	Sélectionnez une créature à votre portée de mêlée et une autre créature que vous pouvez voir dans un rayon de 1,5 m de la cible principale. Vous effectuez une attaque de mêlée avec votre arme actuelle contre la première créature. En cas de succès, la cible subit les effets normaux de l'attaque de l'arme, et le son résonnant bondit vers la seconde cible, lui infligeant des dégâts de tonnerre égaux à votre modificateur de capacité de lanceur de sorts.\NAu 5e niveau, l'attaque de mêlée inflige 1d8 dégâts de tonnerre supplémentaires à la cible en cas de succès, et les dégâts de tonnerre infligés à la seconde créature passent à 1d8 + votre modificateur de capacité de lanceur de sorts. Les deux jets de dégâts augmentent de 1d8 aux 11e et 17e niveaux.
Spell/&EWResonatingStrikeTitle	Frappe résonnante
Spell/&EWSunlightBladeDescription	Effectuez une attaque de mêlée avec une arme. En cas de succès, la cible subit les effets normaux de l'attaque et est enveloppée d'une énergie rayonnante, diffusant une faible lumière pendant le tour. La prochaine attaque contre cette créature pendant qu'elle est éclairée se fait avec avantage.\NAu 5e niveau, l'attaque de mêlée inflige 1d8 points de dégâts radiants supplémentaires à la cible. Les dégâts augmentent encore de 1d8 au 11e niveau et au 17e niveau.
Spell/&EWSunlightBladeTitle	Lame du soleil
Spell/&FindFamiliarDescription	Vous gagnez le service d'un familier.
Spell/&FindFamiliarImpDescription	Invoque votre familier sous la forme d'un diablotin.
Spell/&FindFamiliarImpTitle	Trouver un familier (diablotin)
Spell/&FindFamiliarPsuedodragonDescription	Invoque votre familier sous la forme d'un Pseudodragon.
Spell/&FindFamiliarPsuedodragonTitle	Trouver un familier (Pseudodragon)
Spell/&FindFamiliarQuasitDescription	Invoque ton familier sous la forme d'un quasit.
Spell/&FindFamiliarQuasitTitle	Trouver un familier (Quasit)
Spell/&FindFamiliarSpriteDescription	Invoque ton familier sous la forme d'un Sprite.
Spell/&FindFamiliarSpriteTitle	Trouver un familier (Sprite)
Spell/&FindFamiliarTitle	Trouver un familier
Spell/&FrenzyDescription	D'un geste, vous réduisez une foule à son instinct primaire et à la violence. Choisissez un point que vous pouvez voir à portée. Chaque créature dans un rayon de 6 mètres de ce point doit effectuer un jet de sauvegarde de Sagesse. En cas d'échec, la créature est frénétique pour la durée du jet. Lorsqu'une créature est frénétique, elle tire une arme de mêlée, si elle en possède une. Une créature frénétique doit utiliser son action au début de son tour pour attaquer une créature à sa portée. Elle utilise une arme de mêlée, si elle en a une, ou une arme improvisée ou une frappe à mains nues, si elle n'en a pas. Si plusieurs cibles sont à portée de la créature, elle choisit sa cible au hasard. S'il n'y a pas de cible à portée de la créature, elle s'attaque elle-même, contre sa propre CA, et inflige des dégâts normaux en cas de succès. À la fin de son tour, une créature frénétique peut répéter son jet de sauvegarde, mettant fin prématurément à l'effet sur elle en cas de réussite.
Spell/&FrenzyTitle	Frénésie
Spell/&HinderingBlastDescription	Un rayon d'énergie crépitante se dirige vers une créature à portée. Effectuez une attaque de sort à distance contre la cible. En cas de succès, la cible subit 1d10 points de dégâts de force. (Lorsque vous touchez une créature avec votre souffle eldritch, vous pouvez réduire sa vitesse de 10 pieds jusqu'à la fin de votre prochain tour).
Spell/&HinderingBlastTitle	Souffle eldritch (gênant)
Spell/&IlluminatingSphereDescription	Provoque l'illumination des sources de lumière telles que les torches et les lampes à mana dans la zone d'effet.
Spell/&IlluminatingSphereTitle	Sphère illuminatrice
Spell/&IPConjureInvisibleStalkerTitle	Conjurer un élémentaire (Traqueur invisible)
Spell/&MinorLifestealDescription	Vous drainez l'énergie vitale d'une créature hostile que vous pouvez voir à portée. Vous soignez ensuite un nombre de points de vie égal au nombre de dégâts infligés. Ce sort n'a aucun effet sur les morts-vivants ou les constructions.
Spell/&MinorLifestealTitle	Lifesteal mineur
Spell/&MirrorImageDescription	Image miroir
Spell/&MirrorImageTitle	Image miroir
Spell/&MuleDescription	Le bénéficiaire de ce sort est capable d'ignorer les effets des charges lourdes ou des armures sur la vitesse de déplacement. Il peut également porter un poids légèrement supérieur.
Spell/&MuleTitle	Mule
Spell/&PetalStormDescription	Choisissez un cube d'air inoccupé de 15 pieds que vous pouvez voir à portée. Une force élémentaire de vents tourbillonnants apparaît dans le cube et dure pendant toute la durée du sort. Le nuage obscurcit fortement sa zone. Toute créature qui entre dans la tempête pour la première fois lors d'un tour ou qui commence son tour à cet endroit doit effectuer un jet de sauvegarde de Force. En cas d'échec, la créature subit 3d4 dégâts tranchants. Comme action bonus, vous pouvez déplacer la tempête jusqu'à 10 mètres dans n'importe quelle direction.
Spell/&PetalStormTitle	Tempête de pétales
Spell/&ProtectThresholdDescription	En traçant des sigils arcaniques le long de ses limites, vous pouvez empêcher une porte, une fenêtre ou tout autre portail d'entrer. Pendant toute la durée du sort, une créature eldritch invisible rôde autour du portail protégé. Toute créature qui tente de traverser le portail doit effectuer un jet de sauvegarde de Sagesse ou subir 4d6 dégâts psychiques, ou la moitié en cas de sauvegarde réussie.
Spell/&ProtectThresholdTitle	Protéger le seuil
Spell/&RadiantMotesDescription	Lance un essaim de 5 projectiles rayonnants qui infligent 2 points de dégâts rayonnants chacun, mais ne ratent jamais leur cible. Les cibles peuvent rayonner de lumière pendant 1 minute maximum.\NLorsque vous lancez ce sort en utilisant un emplacement de sort de 2ème niveau ou plus, le sort crée 2 projectiles supplémentaires pour chaque emplacement au-dessus du 1er.
Spell/&RadiantMotesTitle	Motes rayonnantes
Spell/&ThunderStrikeDescription	Crée une explosion de sons tonitruants, obligeant les créatures qui vous sont adjacentes à effectuer un jet de sauvegarde de Constituion ou à subir 1d6 points de dégâts de tonnerre. Les dégâts de ce sort augmentent de 1d6 lorsque vous atteignez le 5e niveau (2d6), le 11e niveau (3d6) et le 17e niveau (4d6).
Spell/&ThunderStrikeTitle	Éclatement sonore
Spell/&WinterBreathDescription	Créez un souffle de vent froid pour refroidir vos ennemis et les mettre à terre.
Spell/&WinterBreathTitle	Souffle d'hiver
Spell/&WitchFamiliarDescription	Vous gagnez les services d'un familier.
Spell/&WitchFamiliarTitle	Familier de la sorcière
SpellList/&ClassWarlockSpellListDescription	Liste de sorts de sorcier.
SpellList/&ClassWarlockSpellListTitle	Liste de sorts du sorcier
SpellList/&ElementalistSpellsListDescription	Liste de sorts de l'élémentaliste.
SpellList/&ElementalistSpellsListTitle	Liste de sorts de l'élémentaliste
SpellList/&RiftWalkerSpellsListDescription	Marcheur des Fosses Liste de sorts.
SpellList/&RiftWalkerSpellsListTitle	Liste de sorts de marcheur de faille
SpellList/&SpellListTinkererDescription	Liste de sorts du bricoleur.
SpellList/&SpellListTinkererTitle	Liste de sorts du rétameur
Stage/&IdentityMorphotypeEyeHeader	Style des yeux
Stage/&SubclassSelectionStageClassMonkTraditionDescription	Cette étape permet de sélectionner la tradition monastique du personnage.
Stage/&SubclassSelectionStageClassMonkTraditionFeatures	Caractéristiques de la tradition monastique
Stage/&SubclassSelectionStageClassMonkTraditionHeader	Sélectionner une tradition monastique
Stage/&SubclassSelectionStageClassMonkTraditionNoneDescription	Vous devez sélectionner une tradition monastique.
Stage/&SubclassSelectionStageClassMonkTraditionTitle	Tradition monastique
Stage/&SubclassSelectionStageCovenDescription	Coven.
Stage/&SubclassSelectionStageCovenFeaturesDescription	Coven.
Stage/&SubclassSelectionStageCovenFeaturesHeader	Caractéristiques de Coven.
Stage/&SubclassSelectionStageCovenFeaturesTitle	Coven.
Stage/&SubclassSelectionStageCovenHeader	Sélectionnez un Coven
Stage/&SubclassSelectionStageCovenTitle	Coven
Stage/&SubclassSelectionStagePatronDescription	Un sorcier est défini par un pacte avec un être d'un autre monde. Parfois, la relation entre le sorcier et le protecteur est semblable à celle d'un clerc et d'une divinité, bien que les êtres qui servent de protecteurs ne soient pas des dieux.
Stage/&SubclassSelectionStagePatronFeatures	Caractéristiques des patrons d'autres mondes
Stage/&SubclassSelectionStagePatronHeader	Mécènes d'outre-tombe du Warlock
Stage/&SubclassSelectionStagePatronTitle	Patrons d'autres mondes
Stage/&SubclassSelectionStageSpecialistDescription	Description Il existe un large éventail de spécialités chez les bricoleurs, notamment la fabrication d'élixirs en tant que fabricant de potions, la production d'explosions en tant que boutefeu et le maniement d'armes magiques en tant qu'armurier.
Stage/&SubclassSelectionStageSpecialistFeatures	Caractéristiques des spécialistes
Stage/&SubclassSelectionStageSpecialistHeader	Spécialisations
Stage/&SubclassSelectionStageSpecialistNoneDescription	Spécialiste Aucun Description.
Stage/&SubclassSelectionStageSpecialistTitle	Sélectionnez une spécialisation
Subclass/&AbilityAffinityRogueConArtistDescription	Avantage sur les tests de capacité utilisant la Persuasion, la Tromperie, la Performance et le Tour de main.
Subclass/&AbilityAffinityRogueConArtistTitle	Manipulateur
Subclass/&AHWarlockSubclassSoulBladePactDescription	Vous avez conclu un pacte avec une arme sensible à laquelle vous donnez des âmes en échange de pouvoir.
Subclass/&AHWarlockSubclassSoulBladePactTitle	Pacte de la lame d'âme
Subclass/&ArcaneFighterAdditionalActionDescription	Vous pouvez lancer un sort après avoir vaincu un ennemi avec vos attaques d'armes.
Subclass/&ArcaneFighterAdditionalActionTitle	Lutte contre les sorts
Subclass/&ArcaneFighterBonusWeaponDamageDescription	Une fois par tour, vos attaques à l'arme infligent 1d8 points de dégâts supplémentaires.
Subclass/&ArcaneFighterBonusWeaponDamageTitle	Attaques magiques
Subclass/&ArtificerAlchemistDescription	Vous êtes spécialisé dans les potions, les buffs, les soins et le lancement de sorts.
Subclass/&ArtificerAlchemistTitle	Créateur de potions
Subclass/&ArtificerArtileristCannonsDescription	Vous créez un ensemble de canons que vous pouvez activer en combat comme action bonus.
Subclass/&ArtificerArtileristCannonsTitle	Canons
Subclass/&ArtificerArtilleristDescription	Vous êtes spécialisé dans la projection de projectiles et les explosions.
Subclass/&ArtificerArtilleristTitle	Blaster
Subclass/&ArtificerBattleSmithDescription	Vous êtes spécialisé dans l'utilisation d'armes magiques en combat.
Subclass/&ArtificerBattleSmithTitle	Forgeron d'armes
Subclass/&ArtificerSpellcastingDescription	Lance des sorts de bricoleur.
Subclass/&ArtificerSpellcastingTitle	Lancer des sorts de bricoleur
Subclass/&AttackModifierArtificerBattleSmithWeaponDescription	Vos attaques sont considérées comme magiques et vous utilisez votre Intelligence pour vos jets d'attaque et de dégâts.
Subclass/&AttackModifierArtificerBattleSmithWeaponTitle	Arme infusée
Subclass/&AttackModifierArtificerBlindingWeaponDescription	Une arme de votre choix qui acquiert la capacité d'aveugler les cibles lorsqu'elles sont touchées (contre une sauvegarde de Constitution). Vous ne pouvez avoir qu'une seule de ces infusions actives à la fois. Si vous l'activez une seconde fois, la première est annulée.
Subclass/&AttackModifierArtificerBlindingWeaponTitle	Arme aveuglante
Subclass/&AttackModifierArtificerEnhancedArmorDescription	Une armure de votre choix devient magique et vous apporte +1 AC supplémentaire. Une infusion ne peut être active qu'une seule fois. Si vous l'activez une seconde fois, la première est annulée.
Subclass/&AttackModifierArtificerEnhancedArmorTitle	Armure améliorée
Subclass/&AttackModifierArtificerEnhancedFocusDescription	Un foyer de sort que vous choisissez devient magique et gagne +1 aux jets d'attaque des sorts et aux sauvegardes DC des sorts. Vous ne pouvez avoir qu'une seule de ces infusions actives à la fois. L'activer une seconde fois annule la première.
Subclass/&AttackModifierArtificerEnhancedFocusTitle	Focalisation améliorée
Subclass/&AttackModifierArtificerEnhancedWeaponDescription	L'arme que vous choisissez devient magique et gagne +1 aux jets d'attaque et de dégâts. Vous ne pouvez avoir qu'une seule de ces infusions actives à la fois. Si vous l'activez une seconde fois, la première est annulée.
Subclass/&AttackModifierArtificerEnhancedWeaponTitle	Arme améliorée
Subclass/&AttackModifierArtificerImprovedEnhancedArmorDescription	Une armure de votre choix devient magique et procure +2 AC. Vous ne pouvez avoir qu'une seule de ces infusions actives à la fois. Si vous l'activez une seconde fois, la première est annulée.
Subclass/&AttackModifierArtificerImprovedEnhancedArmorTitle	Armure améliorée
Subclass/&AttackModifierArtificerImprovedEnhancedFocusDescription	Un foyer de sort que vous choisissez devient magique et gagne +2 aux jets d'attaque et aux sauvegardes DC des sorts. Vous ne pouvez avoir qu'une seule de ces infusions actives à la fois. L'activer une seconde fois annule la première.
Subclass/&AttackModifierArtificerImprovedEnhancedFocusTitle	Focalisation améliorée
Subclass/&AttackModifierArtificerImprovedEnhancedWeaponDescription	Touchez une arme et elle devient magique et gagne +2 aux jets d'attaque et de dégâts. Vous ne pouvez avoir qu'une seule de ces infusions actives à la fois. Si vous l'activez une seconde fois, la première est annulée.
Subclass/&AttackModifierArtificerImprovedEnhancedWeaponTitle	Arme améliorée
Subclass/&AttackModifierImprovedArtificerBattleSmithWeaponDescription	Vous infusez de la puissance à votre arme. Vos attaques sont considérées comme magiques et vous ajoutez +7 à vos jets d'attaque et de dégâts.
Subclass/&AttackModifierImprovedArtificerBattleSmithWeaponTitle	Arme améliorée Infuse Weapon
Subclass/&AttackModifierMeleeWizardArcaneWeaponDescription	Lorsqu'il est actif sur une arme, ses attaques sont considérées comme magiques et vous utilisez votre Intelligence pour vos jets d'attaque et de dégâts.
Subclass/&AttackModifierMeleeWizardArcaneWeaponTitle	Arcane Weapon
Subclass/&AttributeModifierArtificerBattleSmithExtraAttackDescription	Vous gagnez une attaque supplémentaire.
Subclass/&AttributeModifierArtificerBattleSmithExtraAttackTitle	Extra Attack
Subclass/&AttributeModifierMeleeWizardExtraAttackDescription	Vous gagnez une attaque supplémentaire.
Subclass/&AttributeModifierMeleeWizardExtraAttackTitle	Attaque supplémentaire
Subclass/&BarbarianPathOfTheLightDescription	Les barbares qui suivent la voie de la lumière éclairent les ténèbres et protègent leurs alliés des dangers qui s'y cachent.
Subclass/&BarbarianPathOfTheLightEyesOfTruthDescription	Vous êtes toujours sous l'effet d'un sort See Invisibility.
Subclass/&BarbarianPathOfTheLightEyesOfTruthTitle	Yeux de vérité
Subclass/&BarbarianPathOfTheLightIlluminatedConditionDescription	Distrait par Frappe illuminatrice.
Subclass/&BarbarianPathOfTheLightIlluminatedConditionTitle	Illuminé
Subclass/&BarbarianPathOfTheLightIlluminatedDisadvantageDescription	Désavantage sur tout jet d'attaque qui n'est pas contre le barbare de la Voie de la lumière.
Subclass/&BarbarianPathOfTheLightIlluminatedPreventInvisibilityDescription	Ne peut pas devenir invisible.
Subclass/&BarbarianPathOfTheLightIlluminatingBurstDescription	Au tour où vous entrez dans votre rage, vous pouvez choisir d'illuminer jusqu'à trois ennemis situés à 30 pieds de vous. Ils doivent réussir un jet de sauvegarde de Constitution (DC égal à 8 + votre bonus de compétence + votre modificateur de Constitution) ou subir 4d6 dégâts radiants et être illuminés par votre Frappe illuminatrice pendant 1 minute. Une créature illuminée de cette manière effectue un autre jet de sauvegarde de Constitution à la fin de chacun de ses tours. En cas de sauvegarde réussie, l'effet prend fin pour elle.
Subclass/&BarbarianPathOfTheLightIlluminatingBurstPowerDescription	Jusqu'à trois ennemis font un jet de sauvegarde de Constitution ou subissent 4d6 dégâts radiants et sont illuminés par votre Frappe illuminatrice.
Subclass/&BarbarianPathOfTheLightIlluminatingBurstPowerTitle	Rafale illuminatrice
Subclass/&BarbarianPathOfTheLightIlluminatingBurstTitle	Rafale illuminatrice
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeDescription	Pendant que vous êtes enragé, la première créature que vous touchez avec une attaque à votre tour subit 1d6 points de dégâts radiants supplémentaires et devient magiquement illuminée jusqu'au début de votre prochain tour. De plus, la créature a un désavantage sur tout jet d'attaque qui n'est pas contre vous et ne peut pas devenir invisible.
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeImprovementDescription	Les dégâts supplémentaires infligés par Frappe illuminatrice passent à 2d6.
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeImprovementTitle	Amélioration de Frappe illuminatrice
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeTitle	Frappe illuminatrice
Subclass/&BarbarianPathOfTheLightLightsProtectionDescription	Vous regagnez un nombre de points de vie égal à la moitié de votre niveau de barbare quand une créature hostile affectée par votre Frappe illuminatrice meurt. De plus, vous ne provoquez plus d'attaques d'opportunité de la part des créatures affectées par votre Frappe illuminatrice.
Subclass/&BarbarianPathOfTheLightLightsProtectionTitle	Protection de la lumière
Subclass/&BarbarianPathOfTheLightPierceTheDarknessDescription	Vous gagnez une vision noire supérieure.
Subclass/&BarbarianPathOfTheLightPierceTheDarknessTitle	Transpercer les ténèbres
Subclass/&BarbarianPathOfTheLightSeeingInvisibleConditionDescription	Vous pouvez percevoir les créatures invisibles.
Subclass/&BarbarianPathOfTheLightSeeingInvisibleConditionTitle	Vision d'invisibilité
Subclass/&BarbarianPathOfTheLightTitle	Chemin de la lumière
Subclass/&BloodWitchDescription	Interdite par la plupart des covens de sorcières, la magie du sang est axée sur l'utilisation de sorts sombres et de malédictions mortelles qui puisent dans l'essence même du lanceur de sorts. Elle est fondamentalement plus périlleuse que les autres arts sorciers, mais les nombreux risques qu'elle comporte s'accompagnent d'abondantes récompenses.
Subclass/&BloodWitchMagicDescription	Vous gagnez les sorts suivants. Ces sorts sont considérés comme des sorts de sorcière et ne sont pas comptabilisés dans votre nombre total de sorts connus : \n {0}\n\n\n
Subclass/&BloodWitchMagicTitle	Magie du sang
Subclass/&BloodWitchTitle	Sorcière du sang
Subclass/&CancelCancelElixirFlyDescription	Annule la condition de vol de l'élixir de fabrication de potions.
Subclass/&CancelCancelElixirFlyTitle	Annuler la mouche
Subclass/&CancelCancelElixirResilienceDescription	Termine la condition de résilience de l'élixir de fabrication de potions.
Subclass/&CancelCancelElixirResilienceTitle	Annulez Résilience
Subclass/&CancelCancelElixirSwiftnessDescription	Annule la condition Swiftness de l'élixir de potion.
Subclass/&CancelCancelElixirSwiftnessTitle	Annulez Rapidité
Subclass/&ClassMonkTraditionDescription	Au 3e niveau, vous choisissez la voie spirituelle à suivre pour atteindre l'illumination. Elle déterminera la façon dont vous manipulez le ki.
Subclass/&ClassMonkTraditionTitle	Traditions monastiques
Subclass/&ClassMonkTraditionWayOfTheOpenHandDescription	Les moines de la Voie de la main ouverte sont les maîtres ultimes du combat en arts martiaux, qu'ils soient armés ou non. Ils apprennent des techniques pour pousser et faire trébucher leurs adversaires, manipulent le ki pour soigner les dommages causés à leur corps et pratiquent une méditation avancée qui peut les protéger du mal.
