ActionAffinity/&DHFeeblemindSpellDescription	No puede lanzar hechizos.
Spell/&DHCastSpellGuardianNagaDescription	Habilidad de invocación del archimago.
Spell/&DHCastSpellGuardianNagaTitle	Habilidad de lanzamiento de archimago
Spell/&DHCastSpellLichDescription	Habilidad de Fundición de Lich.
Spell/&DHCastSpellLichTitle	Habilidad de invocación de lich
Spell/&DHConjureCelestialSpellDescription	Invocas a un celestial de nivel de desafío 4 o inferior, que aparece en un espacio desocupado que puedas ver dentro de su alcance. El celestial desaparece cuando baja a 0 puntos de vida o cuando el hechizo termina. El celestial es amistoso contigo y con tus compañeros mientras dure el hechizo.
Spell/&DHConjureCelestialSpellTitle	Conjurar Celestial (Couatl)
Spell/&DHDominateMonsterSpellDescription	Intentas hechizar a una criatura que puedas ver dentro de tu alcance. Debe tener éxito en una tirada de salvación de Sabiduría o ser encantado por ti mientras dure el hechizo.
Spell/&DHDominateMonsterSpellTitle	Dominar monstruo
Spell/&DHFeeblemindSpellDescription	Haces estallar la mente de una criatura que puedas ver dentro de tu alcance, intentando destrozar su intelecto y personalidad. El objetivo recibe 4d6 de daño psíquico y debe realizar una tirada de salvación de Inteligencia. La criatura no puede lanzar hechizos, activar objetos mágicos, entender el lenguaje o comunicarse de forma inteligible.
Spell/&DHFeeblemindSpellTitle	Mente débil
Spell/&DHFingerOfDeathSpellDescription	El objetivo debe realizar una tirada de salvación de Constitución. Recibe 7d8 + 30 de daño necrótico si falla la tirada de salvación, o la mitad de daño si tiene éxito.
Spell/&DHFingerOfDeathSpellTitle	Dedo de la Muerte (Sin Zombie)
Spell/&DHForesightSpellDescription	Tocas a una criatura dispuesta y le otorgas una capacidad limitada de ver el futuro inmediato. Mientras dure, el objetivo no puede ser sorprendido y tiene ventaja en las tiradas de ataque, los chequeos de habilidad y las tiradas de salvación. Además, otras criaturas tienen desventaja en las tiradas de ataque contra el objetivo mientras dure el efecto.
Spell/&DHForesightSpellTitle	Previsión
Spell/&DHHolyAuraSpellDescription	La luz divina sale de ti y se fusiona en un suave resplandor en un radio de 30 pies a tu alrededor. Las criaturas que elijas en ese radio cuando lanzas este conjuro arrojan una luz tenue en un radio de 5 pies y tienen ventaja en todas las tiradas de salvación, y otras criaturas tienen desventaja en las tiradas de ataque contra ellas hasta que el conjuro termine.
Spell/&DHHolyAuraSpellTitle	Aura sagrada
Spell/&DHIncendiaryCloudSpellDescription	Una nube arremolinada de humo atravesada por ascuas blancas aparece en una esfera de 20 pies de radio centrada en un punto dentro del alcance. La nube se extiende por las esquinas y queda muy oscurecida. Dura lo que dura o hasta que un viento de velocidad moderada o mayor (al menos 10 millas por hora) la dispersa.\NCuando la nube aparece, cada criatura en ella debe hacer una tirada de salvación de Destreza. Una criatura recibe 10d8 de daño por fuego si falla la tirada de salvación, o la mitad de daño si tiene éxito. Una criatura también debe hacer esta tirada de salvación cuando entra en el área del hechizo por primera vez en un turno o termina su turno allí.\NLa nube se aleja 10 pies directamente de ti en una dirección que eliges al comienzo de cada uno de tus turnos.
Spell/&DHIncendiaryCloudSpellTitle	Nube incendiaria
Spell/&DHMassHealSpellDescription	Un torrente de energía curativa fluye desde ti hacia las criaturas heridas que te rodean. Restableces hasta 700 puntos de golpe, divididos a tu elección entre cualquier número de criaturas que puedas ver dentro del alcance. Las criaturas curadas por este hechizo también se curan de todas las enfermedades y de cualquier efecto que las deje ciegas o sordas. Este hechizo no tiene efecto sobre muertos vivientes o constructos.
Spell/&DHMassHealSpellTitle	Curación en masa
Spell/&DHMazeSpellDescription	Destierras a una criatura que puedas ver dentro del alcance a un demiplano laberíntico. El objetivo permanece allí mientras dure o hasta que escape del laberinto. /nEl objetivo puede usar su acción para intentar un chequeo de Inteligencia DC 20 para escapar.
Spell/&DHMazeSpellTitle	Laberinto
Spell/&DHMeteorSwarmSingleTargetSpellDescription	Orbes ardientes de fuego caen en picado al suelo en un único punto que puedes ver dentro del alcance. Cada criatura en una esfera de 40 pies de radio centrada en el punto que elijas debe hacer una tirada de salvación de Destreza. La esfera se extiende por las esquinas. Una criatura recibe 20d6 de daño por fuego y 20d6 de daño por apaleamiento si falla la tirada de salvación, o la mitad de daño si tiene éxito. Una criatura en el área de más de un estallido de fuego sólo se ve afectada una vez.
Spell/&DHMeteorSwarmSingleTargetSpellTitle	Enjambre de meteoros (objetivo único)
Spell/&DHMindBlankSpellDescription	Hasta que el conjuro termine, una criatura dispuesta que toques es inmune al daño psíquico, a cualquier efecto que pueda sentir sus emociones o leer sus pensamientos, a los conjuros de adivinación y a la condición de encantamiento.
Spell/&DHMindBlankSpellTitle	Mente en blanco
Spell/&DHPowerWordHealSpellDescription	Una ola de energía curativa inunda a la criatura que tocas. El objetivo recupera todos sus puntos de vida. Si la criatura está encantada, asustada, paralizada o aturdida, la condición termina. Si la criatura está tendida, puede usar su reacción para levantarse. Este hechizo no tiene efecto sobre muertos vivientes o constructos.
Spell/&DHPowerWordHealSpellTitle	Palabra de poder para curar
Spell/&DHPowerWordKillSpellDescription	Pronuncias una palabra de poder que puede obligar a una criatura que puedas ver dentro del alcance a morir instantáneamente. Si la criatura que eliges tiene 100 puntos de vida o menos, muere. De lo contrario, el hechizo no tiene efecto.
Spell/&DHPowerWordKillSpellTitle	Palabra de Poder Matar
Spell/&DHPowerWordStunSpellDescription	Pronuncias una palabra de poder que puede abrumar la mente de una criatura que puedas ver dentro del alcance, dejándola aturdida. Si el objetivo tiene 150 puntos de vida o menos, queda aturdido. En caso contrario, el hechizo no tiene efecto.
Spell/&DHPowerWordStunSpellTitle	Palabra de Poder Aturdir
Spell/&DHReverseGravitySpellDescription	Este hechizo invierte la gravedad en un cilindro de 50 pies de radio y 100 pies de altura centrado en un punto dentro del alcance.
Spell/&DHReverseGravitySpellTitle	Invertir la gravedad
Spell/&DHShapechangeSpellDescription	Asumes la forma de una criatura diferente mientras dure el hechizo. La nueva forma puede ser de cualquier criatura con un índice de desafío igual a tu nivel o inferior.
Spell/&DHShapechangeSpellTitle	Cambio de forma
Spell/&DHSunBurstSpellDescription	Una luz solar brillante parpadea en un radio de 60 pies centrado en un punto que elijas dentro del alcance. Cada criatura en esa luz debe hacer una tirada de salvación de Constitución. Si falla la salvación, la criatura recibe 12d6 de daño radiante y queda cegada durante 1 minuto. Si la salvación tiene éxito, recibe la mitad de daño y no queda cegada por este hechizo. Una criatura cegada por este hechizo realiza otra tirada de salvación de Constitución al final de cada uno de sus turnos. Este hechizo disipa cualquier oscuridad en su área que haya sido creada por un hechizo.
Spell/&DHSunBurstSpellTitle	Estallido del Sol
Spell/&DHTimeStopSpellDescription	Detienes brevemente el flujo del tiempo para todos menos para ti. El tiempo no pasa para otras criaturas, mientras que tú haces 1d4 + 1 turnos seguidos, durante los cuales puedes usar acciones y moverte normalmente.
Spell/&DHTimeStopSpellTitle	Parada del tiempo
Spell/&DHWeirdSpellDescription	Aprovechando los miedos más profundos de un grupo de criaturas, creas criaturas ilusorias en sus mentes, visibles sólo para ellas. Cada criatura en una esfera de 30 pies de radio centrada en un punto de tu elección dentro del alcance debe hacer una tirada de salvación de Sabiduría. En caso de fallar la tirada de salvación, la criatura se asusta mientras dure el efecto. La ilusión invoca los miedos más profundos de la criatura, manifestando sus peores pesadillas como una amenaza implacable. Al final de cada turno de la criatura asustada, debe tener éxito en una tirada de salvación de Sabiduría o recibir 4d10 de daño psíquico. Si la tirada de salvación tiene éxito, el hechizo termina para esa criatura.
Spell/&DHWeirdSpellTitle	Extraño
Spell/&EarthTremorDescription	Golpeas el suelo y desatas un temblor de fuerza sísmica, lanzando tierra, roca y arena.
Spell/&EarthTremorTitle	Temblor de tierra
Spell/&EldritchBlastDescription	Un rayo de energía crepitante se dirige a una criatura dentro del alcance. Realiza un ataque de hechizo a distancia contra el objetivo. El hechizo crea más de un rayo cuando alcanzas niveles superiores: dos rayos a 5º nivel, tres rayos a 11º nivel y cuatro rayos a 17º nivel. Puedes dirigir los haces al mismo objetivo o a otros diferentes. Haz una tirada de ataque distinta para cada rayo.
Spell/&EldritchBlastGraspingHandDescription	Un rayo de energía crepitante se dirige a una criatura dentro del alcance. Haz un ataque de hechizo a distancia contra el objetivo. Si aciertas, el objetivo recibe 1d10 de daño de fuerza. \(Cuando golpeas a una criatura con tu ráfaga de eldritch, puedes mover a esa criatura en línea recta 10 pies más cerca de ti).
Spell/&EldritchBlastGraspingHandTitle	Ráfaga de eldritch (Agarrar)
Spell/&EldritchBlastRepellingBlastDescription	Un rayo de energía crepitante se extiende hacia una criatura dentro del alcance. Haz un ataque de hechizo a distancia contra el objetivo. Si aciertas, el objetivo recibe 1d10 puntos de daño de fuerza.\N(Cuando golpeas a una criatura con la ráfaga eldritch, puedes empujar a la criatura hasta 10 pies de distancia de ti en línea recta).
Spell/&EldritchBlastRepellingBlastTitle	Ráfaga de eldritch (Repelente)
Spell/&EldritchBlastTitle	Ráfaga de eldritch
Spell/&EldritchOrbDescription	Lanzas una bola de energía eldritch a una criatura u objeto dentro del alcance e infliges daño de fuerza en un radio pequeño.
Spell/&EldritchOrbTitle	Orbe de eldritch
Spell/&EWResonatingStrikeDescription	Selecciona una criatura a tu alcance cuerpo a cuerpo y otra criatura que puedas ver a menos de 1,5 metros del objetivo principal. Haces un ataque cuerpo a cuerpo con el arma actual contra la primera criatura. Si aciertas, el objetivo sufre los efectos normales del ataque con el arma, y el sonido resonante salta al segundo objetivo, infligiendo un daño de trueno igual a tu modificador de habilidad de lanzamiento de conjuros.\NA partir del 5º nivel, el ataque cuerpo a cuerpo inflige 1d8 de daño de trueno adicional al objetivo si aciertas, y el daño de trueno a la segunda criatura aumenta a 1d8 + tu modificador de habilidad de lanzamiento de conjuros. Ambas tiradas de daño aumentan en 1d8 a los niveles 11º y 17º.
Spell/&EWResonatingStrikeTitle	Golpe Resonante
Spell/&EWSunlightBladeDescription	Realiza un ataque cuerpo a cuerpo con un arma. Si acierta, el objetivo sufre los efectos normales del ataque y se ve envuelto en una energía radiante que emite una luz tenue durante el turno. El siguiente ataque contra esta criatura mientras esté resaltada se realiza con ventaja.\NA partir del 5º nivel, el ataque cuerpo a cuerpo inflige 1d8 de daño radiante adicional al objetivo. El daño aumenta en otro 1d8 a 11º nivel y 17º nivel.
Spell/&EWSunlightBladeTitle	Hoja iluminada por el sol
Spell/&FindFamiliarDescription	Obtienes el servicio de un familiar.
Spell/&FindFamiliarImpDescription	Invoca a tu familiar en forma de diablillo.
Spell/&FindFamiliarImpTitle	Encontrar familiar (diablillo)
Spell/&FindFamiliarPsuedodragonDescription	Invoca a tu familiar en forma de Pseudodragón.
Spell/&FindFamiliarPsuedodragonTitle	Encontrar familiar (seudodragón)
Spell/&FindFamiliarQuasitDescription	Invoca a tu familiar en forma de quasit.
Spell/&FindFamiliarQuasitTitle	Buscar familiar (Quasit)
Spell/&FindFamiliarSpriteDescription	Invoca a tu familiar en forma de Sprite.
Spell/&FindFamiliarSpriteTitle	Encontrar familiar (Sprite)
Spell/&FindFamiliarTitle	Encontrar a un familiar
Spell/&FrenzyDescription	Con un gesto, reduces a una multitud a la base del instinto y la violencia. Elige un punto que puedas ver dentro del alcance. Cada criatura en un radio de 6 metros de ese punto debe hacer una tirada de salvación de Sabiduría. En caso de fallar la tirada de salvación, la criatura queda frenética mientras dure el ataque. Cuando una criatura está frenética, saca un arma cuerpo a cuerpo, si tiene una. Una criatura frenética debe utilizar su acción al principio de su turno para atacar a una criatura que esté a su alcance. Utiliza un arma cuerpo a cuerpo, si tiene una, o un arma improvisada o un golpe desarmado, si no la tiene. Si hay varios objetivos al alcance de la criatura, ésta elige su objetivo al azar. Si no hay ningún objetivo al alcance de la criatura, se ataca a sí misma, contra su propia CA, infligiendo el daño normal en caso de impacto. Al final de su turno, una criatura frenética puede repetir su tirada de salvación, terminando el efecto sobre ella antes de tiempo si tiene éxito.
Spell/&FrenzyTitle	Frenesí
Spell/&HinderingBlastDescription	Un rayo de energía crepitante se dirige a una criatura dentro del alcance. Haz un ataque de hechizo a distancia contra el objetivo. Si aciertas, el objetivo recibe 1d10 puntos de daño de fuerza.n(cuando golpeas a una criatura con tu ráfaga eldritch, puedes reducir la velocidad de esa criatura en 3 metros hasta el final de tu siguiente turno).
Spell/&HinderingBlastTitle	Ráfaga de eldritch (Entorpecedor)
Spell/&IlluminatingSphereDescription	Hace que se iluminen las fuentes de luz, como antorchas y lámparas de maná, en el área de efecto.
Spell/&IlluminatingSphereTitle	Esfera luminosa
Spell/&IPConjureInvisibleStalkerTitle	Conjurar Elemental (Acosador Invisible)
Spell/&MinorLifestealDescription	Drenas la energía vital de una criatura hostil que puedas ver dentro del alcance. A continuación, curas puntos de golpe iguales a la cantidad de daño infligido. Este hechizo no tiene efecto sobre muertos vivientes o constructos.
Spell/&MinorLifestealTitle	Robo de vida menor
Spell/&MirrorImageDescription	Imagen en el espejo
Spell/&MirrorImageTitle	Imagen Espejo
Spell/&MuleDescription	El receptor de este hechizo puede ignorar los efectos de las cargas o armaduras pesadas sobre la velocidad de movimiento. También puede llevar un poco más de peso.
Spell/&MuleTitle	Mula
Spell/&PetalStormDescription	Elige un cubo de aire desocupado de 15 pies que puedas ver dentro del alcance. Una fuerza elemental de vientos arremolinados aparece en el cubo y dura la duración del hechizo. La nube oscurece fuertemente su área. Cualquier criatura que entre en la tormenta por primera vez en un turno o que empiece su turno allí debe hacer una tirada de salvación de Fuerza. Si falla la tirada de salvación, la criatura recibe 3d4 puntos de daño cortante. Como acción adicional, puedes mover la tormenta hasta 30 pies en cualquier dirección.
Spell/&PetalStormTitle	Tormenta de pétalos
Spell/&ProtectThresholdDescription	Trazando sigilos arcanos a lo largo de sus límites, puedes proteger una puerta, ventana u otro portal de la entrada. Mientras dure, una criatura eldritch invisible acecha el portal protegido. Cualquier criatura que intente atravesar el portal debe realizar una tirada de salvación de Sabiduría o recibir 4d6 de daño psíquico, o la mitad si la salvación es exitosa.
Spell/&ProtectThresholdTitle	Proteger umbral
Spell/&RadiantMotesDescription	Desata un enjambre de 5 proyectiles radiantes que infligen 2 de daño radiante cada uno, pero nunca fallan. Los objetivos pueden irradiar luz hasta 1 minuto.\NCuando lanzas este hechizo usando una ranura de hechizo de 2º nivel o superior, el hechizo crea 2 proyectiles más por cada ranura superior a la 1ª.
Spell/&RadiantMotesTitle	Motas radiantes
Spell/&ThunderStrikeDescription	Crea una ráfaga de sonido atronador, obligando a las criaturas adyacentes a realizar una tirada de salvación de Constitución o a recibir 1d6 de daño por trueno.\NEl daño de este hechizo aumenta en 1d6 cuando alcanzas el 5º nivel (2d6), el 11º nivel (3d6) y el 17º nivel (4d6).
Spell/&ThunderStrikeTitle	Ráfaga de sonido
Spell/&WinterBreathDescription	Crea una ráfaga de viento frío para enfriar a tus enemigos y dejarlos tirados.
Spell/&WinterBreathTitle	Aliento de invierno
Spell/&WitchFamiliarDescription	Obtienes el servicio de un familiar.
Spell/&WitchFamiliarTitle	Familiar Brujo
SpellList/&ClassWarlockSpellListDescription	Lista de hechizos del brujo.
SpellList/&ClassWarlockSpellListTitle	Lista de Hechizos del Brujo
SpellList/&ElementalistSpellsListDescription	Hechizo de Elementalista.
SpellList/&ElementalistSpellsListTitle	Hechicero Elementalista
SpellList/&RiftWalkerSpellsListDescription	Lista de Hechizos de Caminante de la Grieta.
SpellList/&RiftWalkerSpellsListTitle	Lista de Hechizos de Caminante de la Grieta
SpellList/&SpellListTinkererDescription	Lista de Hechizos de Tinker.
SpellList/&SpellListTinkererTitle	Lista de Hechizos de Hechicero
Stage/&IdentityMorphotypeEyeHeader	Estilo de Ojos
Stage/&SubclassSelectionStageClassMonkTraditionDescription	Esta etapa selecciona la tradición monástica del personaje.
Stage/&SubclassSelectionStageClassMonkTraditionFeatures	Características de la Tradición Monástica
Stage/&SubclassSelectionStageClassMonkTraditionHeader	Seleccionar una tradición monástica
Stage/&SubclassSelectionStageClassMonkTraditionNoneDescription	Debes seleccionar una tradición monástica.
Stage/&SubclassSelectionStageClassMonkTraditionTitle	Tradición Monástica
Stage/&SubclassSelectionStageCovenDescription	Aquelarre.
Stage/&SubclassSelectionStageCovenFeaturesDescription	Aquelarre.
Stage/&SubclassSelectionStageCovenFeaturesHeader	Características de Coven
Stage/&SubclassSelectionStageCovenFeaturesTitle	Aquelarre
Stage/&SubclassSelectionStageCovenHeader	Seleccione un Coven
Stage/&SubclassSelectionStageCovenTitle	Aquelarre
Stage/&SubclassSelectionStagePatronDescription	Un Brujo se define por un pacto con un ser de otro mundo. A veces la relación entre Brujo y patrón es como la de un Clérigo y una deidad, aunque los seres que sirven como patrones no son dioses.
Stage/&SubclassSelectionStagePatronFeatures	Características de los mecenas de otro mundo
Stage/&SubclassSelectionStagePatronHeader	Brujo Patrones de otro mundo
Stage/&SubclassSelectionStagePatronTitle	Patronos de otro mundo
Stage/&SubclassSelectionStageSpecialistDescription	Descripción Hay una amplia gama de especialidades en los Hechiceros, incluyendo la fabricación de elixires como un Hacedor de Pociones, la fabricación de explosiones como un Blaster, y el manejo de armamento mágico como un Herrero de Armas.
Stage/&SubclassSelectionStageSpecialistFeatures	Características de los especialistas
Stage/&SubclassSelectionStageSpecialistHeader	Especializaciones
Stage/&SubclassSelectionStageSpecialistNoneDescription	Especialista Ninguno Descripción.
Stage/&SubclassSelectionStageSpecialistTitle	Selecciona una especialización
Subclass/&AbilityAffinityRogueConArtistDescription	Ventaja en los chequeos de habilidad usando Persuasión, Engaño, Actuación y Habilidad de Manipulación.
Subclass/&AbilityAffinityRogueConArtistTitle	Manipulador
Subclass/&AHWarlockSubclassSoulBladePactDescription	Has llegado a un acuerdo con un arma sensible a la que alimentas con almas a cambio de poder.
Subclass/&AHWarlockSubclassSoulBladePactTitle	Pacto de la hoja del alma
Subclass/&ArcaneFighterAdditionalActionDescription	Puedes lanzar un hechizo tras derrotar a un enemigo con tus ataques de arma.
Subclass/&ArcaneFighterAdditionalActionTitle	Lucha de hechizos
Subclass/&ArcaneFighterBonusWeaponDamageDescription	Una vez por turno, tus ataques con armas infligen un daño extra de 1d8.
Subclass/&ArcaneFighterBonusWeaponDamageTitle	Ataques con poder mágico
Subclass/&ArtificerAlchemistDescription	Te especializas en pociones, potenciadores, curación y lanzamiento de hechizos.
Subclass/&ArtificerAlchemistTitle	Creador de pociones
Subclass/&ArtificerArtileristCannonsDescription	Creas un conjunto de cañones que puedes activar en batalla como acción adicional.
Subclass/&ArtificerArtileristCannonsTitle	Cañones
Subclass/&ArtificerArtilleristDescription	Te especializas en lanzar proyectiles y provocar explosiones.
Subclass/&ArtificerArtilleristTitle	Blaster
Subclass/&ArtificerBattleSmithDescription	Te especializas en el uso de armas mágicas en combate.
Subclass/&ArtificerBattleSmithTitle	Hechicero de armas
Subclass/&ArtificerSpellcastingDescription	Lanza hechizos Tinkerer.
Subclass/&ArtificerSpellcastingTitle	Lanzamiento de hechizos Tinker
Subclass/&AttackModifierArtificerBattleSmithWeaponDescription	Tus ataques cuentan como mágicos y utilizas tu Inteligencia para las tiradas de ataque y daño.
Subclass/&AttackModifierArtificerBattleSmithWeaponTitle	Arma infusa
Subclass/&AttackModifierArtificerBlindingWeaponDescription	Un arma que eliges y que gana la habilidad de cegar a los objetivos al impactar (contra una salvación de Constitución). Sólo puedes tener una de cada infusión activa a la vez. Al activarla por segunda vez, se anula la primera.
Subclass/&AttackModifierArtificerBlindingWeaponTitle	Arma cegadora
Subclass/&AttackModifierArtificerEnhancedArmorDescription	Una armadura que elijas se convierte en mágica y proporciona un +1 AC adicional. Sólo puedes tener una infusión activa una vez. Si la activas por segunda vez, se cancelará la primera.
Subclass/&AttackModifierArtificerEnhancedArmorTitle	Armadura mejorada
Subclass/&AttackModifierArtificerEnhancedFocusDescription	Un foco de hechizo que elijas se convierte en mágico y gana +1 a las tiradas de ataque y a la DC de salvación de hechizos. Sólo puedes tener una de cada infusión activa a la vez. Si la activas por segunda vez, se cancelará la primera.
Subclass/&AttackModifierArtificerEnhancedFocusTitle	Enfoque mejorado
Subclass/&AttackModifierArtificerEnhancedWeaponDescription	Un arma que elijas se vuelve mágica y gana +1 a las tiradas de ataque y daño. Sólo puedes tener una de cada infusión activa a la vez. Si la activas por segunda vez, se cancelará la primera.
Subclass/&AttackModifierArtificerEnhancedWeaponTitle	Arma mejorada
Subclass/&AttackModifierArtificerImprovedEnhancedArmorDescription	Una armadura que elijas se convierte en mágica y proporciona +2 a la CA. Sólo puedes tener una de cada infusión activa a la vez. Al activarla por segunda vez, se anula la primera.
Subclass/&AttackModifierArtificerImprovedEnhancedArmorTitle	Armadura mejorada
Subclass/&AttackModifierArtificerImprovedEnhancedFocusDescription	Un foco de hechizo que elijas se convierte en mágico y gana +2 a las tiradas de ataque y a la DC de salvación de hechizos. Sólo puedes tener una de cada infusión activa a la vez. Si la activas por segunda vez, se anula la primera.
Subclass/&AttackModifierArtificerImprovedEnhancedFocusTitle	Enfoque mejorado
Subclass/&AttackModifierArtificerImprovedEnhancedWeaponDescription	Al tocar un arma, ésta se vuelve mágica y gana +2 a las tiradas de ataque y daño. Sólo puedes tener una de cada infusión activa a la vez. Si se activa por segunda vez, se anula la primera.
Subclass/&AttackModifierArtificerImprovedEnhancedWeaponTitle	Arma mejorada
Subclass/&AttackModifierImprovedArtificerBattleSmithWeaponDescription	Infundes tu arma con poder. Tus ataques cuentan como mágicos y añades +7 a tus tiradas de ataque y daño.
Subclass/&AttackModifierImprovedArtificerBattleSmithWeaponTitle	Arma infundida mejorada
Subclass/&AttackModifierMeleeWizardArcaneWeaponDescription	Cuando se activa en un arma, sus ataques cuentan como mágicos y utilizas tu Inteligencia para tus tiradas de ataque y daño.
Subclass/&AttackModifierMeleeWizardArcaneWeaponTitle	Arma Arcana
Subclass/&AttributeModifierArtificerBattleSmithExtraAttackDescription	Ganas un ataque extra.
Subclass/&AttributeModifierArtificerBattleSmithExtraAttackTitle	Ataque extra
Subclass/&AttributeModifierMeleeWizardExtraAttackDescription	Obtienes un ataque extra.
Subclass/&AttributeModifierMeleeWizardExtraAttackTitle	Ataque extra
Subclass/&BarbarianPathOfTheLightDescription	Los bárbaros que siguen la Senda de la Luz iluminan la oscuridad y protegen a sus aliados de los peligros que la acechan.
Subclass/&BarbarianPathOfTheLightEyesOfTruthDescription	Siempre estás bajo los efectos de un hechizo Ver Invisibilidad.
Subclass/&BarbarianPathOfTheLightEyesOfTruthTitle	Ojos de la Verdad
Subclass/&BarbarianPathOfTheLightIlluminatedConditionDescription	Distraído por Golpe Iluminador.
Subclass/&BarbarianPathOfTheLightIlluminatedConditionTitle	Iluminado
Subclass/&BarbarianPathOfTheLightIlluminatedDisadvantageDescription	Desventaja en cualquier tirada de ataque que no sea contra el bárbaro de la Senda de la Luz.
Subclass/&BarbarianPathOfTheLightIlluminatedPreventInvisibilityDescription	No puede volverse invisible.
Subclass/&BarbarianPathOfTheLightIlluminatingBurstDescription	En el turno en que entras en tu furia, puedes elegir iluminar hasta tres enemigos en un radio de 30 pies de ti. Deben tener éxito en una tirada de salvación de Constitución (DC igual a 8 + tu bono de competencia + tu modificador de Constitución) o recibir 4d6 de daño radiante y ser iluminados por tu Golpe Iluminador durante 1 minuto. Una criatura iluminada de este modo realiza otra tirada de salvación de Constitución al final de cada uno de sus turnos. Si la salvación tiene éxito, el efecto termina para ella.
Subclass/&BarbarianPathOfTheLightIlluminatingBurstPowerDescription	Hasta tres enemigos hacen una tirada de salvación de Constitución o reciben 4d6 de daño radiante y quedan iluminados por tu Golpe Iluminador.
Subclass/&BarbarianPathOfTheLightIlluminatingBurstPowerTitle	Ráfaga luminosa
Subclass/&BarbarianPathOfTheLightIlluminatingBurstTitle	Ráfaga Iluminadora
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeDescription	Mientras estés enfurecido, la primera criatura que golpees con un ataque en tu turno recibe 1d6 de daño radiante adicional y queda mágicamente iluminada hasta el comienzo de tu siguiente turno. Además, la criatura tiene desventaja en cualquier tirada de ataque que no sea contra ti y no puede volverse invisible.
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeImprovementDescription	El daño adicional infligido por Golpe Iluminador aumenta a 2d6.
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeImprovementTitle	Mejora del Golpe Iluminador
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeTitle	Golpe Iluminador
Subclass/&BarbarianPathOfTheLightLightsProtectionDescription	Recuperas puntos de golpe iguales a la mitad de tu nivel de bárbaro cuando una criatura hostil afectada por tu Golpe Iluminador muere. Además, ya no provocas ataques de oportunidad de las criaturas afectadas por tu Golpe Iluminador.
Subclass/&BarbarianPathOfTheLightLightsProtectionTitle	Protección de la luz
Subclass/&BarbarianPathOfTheLightPierceTheDarknessDescription	Obtienes visión oscura superior.
Subclass/&BarbarianPathOfTheLightPierceTheDarknessTitle	Perforar la oscuridad
Subclass/&BarbarianPathOfTheLightSeeingInvisibleConditionDescription	Puedes percibir criaturas invisibles.
Subclass/&BarbarianPathOfTheLightSeeingInvisibleConditionTitle	Vista de Invisibilidad
Subclass/&BarbarianPathOfTheLightTitle	Camino de la Luz
Subclass/&BloodWitchDescription	Prohibida por la mayoría de los aquelarres de brujas, la magia de sangre se centra en el uso de hechizos oscuros y maleficios mortales que extraen de la propia esencia del hechicero. Es fundamentalmente más peligrosa que otros oficios de bruja, pero sus muchos riesgos vienen acompañados de copiosas recompensas.
Subclass/&BloodWitchMagicDescription	Obtienes los siguientes hechizos. Estos hechizos cuentan como hechizos de Bruja para ti y no cuentan contra tu número total de hechizos conocidos:\n
Subclass/&BloodWitchMagicTitle	Magia de sangre
Subclass/&BloodWitchTitle	Bruja de la Sangre
Subclass/&CancelCancelElixirFlyDescription	Acaba con la condición de Mosca del Elixir del Hacedor de Pociones.
Subclass/&CancelCancelElixirFlyTitle	Cancela la mosca
Subclass/&CancelCancelElixirResilienceDescription	Acaba con la condición de Resistencia del Elixir del Hacedor de Pociones.
Subclass/&CancelCancelElixirResilienceTitle	Cancelar Resiliencia
Subclass/&CancelCancelElixirSwiftnessDescription	Acaba con la condición Rapidez del Elixir del fabricante de pociones.
Subclass/&CancelCancelElixirSwiftnessTitle	Cancelar Celeridad
Subclass/&ClassMonkTraditionDescription	A 3er nivel, eliges el camino espiritual que sigues hacia la iluminación. Esto determinará tu forma de manipular el ki.
Subclass/&ClassMonkTraditionTitle	Tradiciones monásticas
Subclass/&ClassMonkTraditionWayOfTheOpenHandDescription	Los monjes de la Vía de la Mano Abierta son los mejores maestros del combate de artes marciales, ya sean armados o desarmados. Aprenden técnicas para empujar y hacer tropezar a sus oponentes, manipulan el ki para curar los daños sufridos por sus cuerpos y practican una meditación avanzada que puede protegerles de cualquier daño.
Subclass/&ClassMonkTraditionWayOfTheOpenHandTitle	La vía de la mano abierta
Subclass/&ClassMonkTraditionZenArcherDescription	Los practicantes de la Vía de la Mano Abierta se entrenan para hacer de las flechas una extensión de sus manos. Son expertos en el uso de arcos y en la aplicación de efectos de poder ki a través de las flechas.
Subclass/&ClassMonkTraditionZenArcherTitle	Camino de la Mano Distante
Subclass/&ClassWarlockPatronDescription	Un brujo se define por un pacto con un ser de otro mundo. A veces, la relación entre el brujo y el patrón es como la de un clérigo y una deidad, aunque los seres que sirven de patrones no son dioses.
Subclass/&ClassWarlockPatronTitle	Patrón de otro mundo
Subclass/&ConditionResistantArmorTitle	Armadura resistente
Subclass/&ConditionResistnatArmorDescription	Tu armadura es resistente al daño de ácido, frío, fuego, fuerza, rayo, necrótico, veneno, psíquico, radiante y trueno.
Subclass/&ConditionSpellShieldArcaneDeflectionDescription	Puedes usar tus poderes arcanos para escudarte como reacción. Esto te da +3 a tu CA hasta tu siguiente turno.
Subclass/&ConditionSpellShieldArcaneDeflectionTitle	Desvío arcano
