ActionAffinity/&DHFeeblemindSpellDescription	Kann keine Zauber wirken.
Spell/&DHPowerWordKillSpellTitle	Machtwort-Kill
Spell/&DHPowerWordStunSpellDescription	Du sprichst ein Wort der Macht, das den Verstand einer Kreatur überwältigen kann, die du in Reichweite sehen kannst, und sie verblüfft zurücklässt. Wenn das Ziel 150 Trefferpunkte oder weniger hat, ist es betäubt. Andernfalls hat der Zauber keine Wirkung.
Spell/&DHPowerWordStunSpellTitle	Machtwort betäuben
Spell/&DHReverseGravitySpellDescription	Dieser Zauber kehrt die Schwerkraft in einem 100 Fuß hohen Zylinder mit einem Radius von 50 Fuß um, der auf einen Punkt in Reichweite zentriert ist.
Spell/&DHReverseGravitySpellTitle	Umgekehrte Schwerkraft
Spell/&DHShapechangeSpellDescription	Du nimmst für die Dauer die Form einer anderen Kreatur an. Die neue Form kann jede Kreatur sein, deren Herausforderungswert deiner Stufe entspricht oder niedriger ist.
Spell/&DHShapechangeSpellTitle	Formänderung
Spell/&DHSunBurstSpellDescription	Brillantes Sonnenlicht blitzt in einem 60-Fuß-Radius um einen von Ihnen gewählten Punkt in Reichweite auf. Jede Kreatur in diesem Licht muss einen Konstitutionsrettungswurf machen. Bei einem fehlgeschlagenen Rettungswurf erleidet eine Kreatur 12W6 Strahlungsschaden und wird 1 Minute lang geblendet. Bei einem erfolgreichen Rettungswurf erleidet es halb so viel Schaden und wird von diesem Zauber nicht geblendet. Untote und Schlicke sind bei diesem Rettungswurf benachteiligt. Eine von diesem Zauber geblendete Kreatur macht am Ende jedes ihrer Züge einen weiteren Konstitutionsrettungswurf. Bei einem erfolgreichen Rettungswurf ist es nicht mehr geblendet. Dieser Zauber vertreibt jegliche Dunkelheit in seinem Bereich, die durch einen Zauber erzeugt wurde.
Spell/&DHSunBurstSpellTitle	Sonnendurchbruch
Spell/&DHTimeStopSpellDescription	Du stoppst kurzzeitig den Fluss der Zeit für alle außer für dich selbst. Für andere Kreaturen vergeht keine Zeit, während Sie 1W4 + 1 Züge hintereinander machen, in denen Sie Aktionen verwenden und sich wie gewohnt bewegen können.
Spell/&DHTimeStopSpellTitle	Zeitstopp
Spell/&DHWeirdSpellDescription	Du schöpfst aus den tiefsten Ängsten einer Gruppe von Kreaturen und erschaffst illusorische Kreaturen in ihren Köpfen, die nur für sie sichtbar sind. Jede Kreatur in einer Kugel mit einem Radius von 30 Fuß, deren Mittelpunkt ein Punkt deiner Wahl in Reichweite ist, muss einen Weisheitswurf ablegen. Bei einem fehlgeschlagenen Rettungswurf bekommt eine Kreatur für die Dauer Angst. Die Illusion ruft die tiefsten Ängste der Kreatur hervor und manifestiert ihre schlimmsten Alpträume als unerbittliche Bedrohung. Am Ende jedes Zuges der verängstigten Kreatur muss ihr ein Weisheitsrettungswurf gelingen oder sie erleidet 4W10 psychischen Schaden. Bei einem erfolgreichen Rettungswurf endet der Zauber für diese Kreatur.
Spell/&DHWeirdSpellTitle	Seltsam
Spell/&EarthTremorDescription	Du triffst auf den Boden und entfesselst ein Beben seismischer Kraft, das Erde, Felsen und Sand aufwirbelt.
Spell/&EarthTremorTitle	Erdbeben
Spell/&EldritchBlastDescription	Ein Strahl knisternder Energie schießt auf eine Kreatur in Reichweite zu. Führen Sie einen Fernzauberangriff gegen das Ziel durch. Bei einem Treffer erleidet das Ziel 1W10 Kraftschaden.\nDer Zauber erzeugt mehr als einen Strahl, wenn Sie höhere Stufen erreichen: zwei Strahlen auf der 5. Stufe, drei Strahlen auf der 11. Stufe und vier Strahlen auf der 17. Stufe. Sie können die Strahlen auf dasselbe oder auf unterschiedliche Ziele richten. Führen Sie für jeden Strahl einen separaten Angriffswurf durch.
Spell/&EldritchBlastGraspingHandDescription	Ein Strahl knisternder Energie schießt auf eine Kreatur in Reichweite zu. Führen Sie einen Fernzauberangriff gegen das Ziel durch. Bei einem Treffer erleidet das Ziel 1W10 Kraftschaden.\n(Wenn du eine Kreatur mit deiner unheimlichen Explosion triffst, kannst du diese Kreatur in einer geraden Linie 3 m näher an dich heranbewegen.)
Spell/&EldritchBlastGraspingHandTitle	Eldritch Blast (Greifen)
Spell/&EldritchBlastRepellingBlastDescription	Ein Strahl knisternder Energie schießt auf eine Kreatur in Reichweite zu. Führen Sie einen Fernzauberangriff gegen das Ziel durch. Bei einem Treffer erleidet das Ziel 1W10 Kraftschaden.\n(Wenn du eine Kreatur mit einer unheimlichen Explosion triffst, kannst du die Kreatur in einer geraden Linie bis zu 3 m von dir wegstoßen.)
Spell/&EldritchBlastRepellingBlastTitle	Eldritch Blast (Abstoßend)
Spell/&EldritchBlastTitle	Eldritch-Explosion
Spell/&EldritchOrbDescription	Du schleuderst eine Kugel unheimlicher Energie auf eine Kreatur oder ein Objekt in Reichweite und fügst in einem kleinen Radius Gewaltschaden zu.
Spell/&EldritchOrbTitle	Unheimliche Kugel
Spell/&EWResonatingStrikeDescription	Wähle eine Kreatur in Nahkampfreichweite von dir und eine andere Kreatur, die du innerhalb von 1,50 m vom Hauptziel sehen kannst. Du führst einen Nahkampfangriff mit der aktuellen Waffe gegen die erste Kreatur aus. Bei einem Treffer erleidet das Ziel die normalen Effekte des Waffenangriffs und ein resonierendes Geräusch springt zum zweiten Ziel und verursacht Donnerschaden in Höhe deines Fähigkeitsmodifikators zum Zaubern.\nAuf der 5. Stufe fügt der Nahkampfangriff dem Ziel bei einem Treffer zusätzlich 1W8 Donnerschaden zu, und der Donnerschaden der zweiten Kreatur steigt auf 1W8 + deinen Modifikator für Zauberfähigkeiten. Beide Schadenswürfe erhöhen sich um 1W8 auf der 11. und 17. Stufe.
Spell/&EWResonatingStrikeTitle	Resonanzschlag
Spell/&EWSunlightBladeDescription	Führen Sie einen Nahkampfangriff mit einer Waffe durch. Bei einem Treffer erleidet das Ziel die normalen Effekte des Angriffs und wird von glühender strahlender Energie eingehüllt, die für die Runde ein schwaches Licht ausstrahlt. Der nächste Angriff gegen diese Kreatur, während sie hervorgehoben ist, wird mit Vorteil ausgeführt.\nAuf der 5. Stufe fügt der Nahkampfangriff dem Ziel zusätzlich 1W8 Strahlenschaden zu. Der Schaden erhöht sich um weitere 1W8 auf der 11. und 17. Stufe.
Spell/&EWSunlightBladeTitle	Sonnenbeschienene Klinge
Spell/&FindFamiliarDescription	Sie erhalten den Dienst eines Vertrauten.
Spell/&FindFamiliarImpDescription	Beschwört deinen Vertrauten in Form eines Kobolds.
Spell/&FindFamiliarImpTitle	Vertraut finden (Kobold)
Spell/&FindFamiliarPsuedodragonDescription	Beschwört deinen Vertrauten in Form eines Pseudodrachen.
Spell/&FindFamiliarPsuedodragonTitle	Vertraut finden (Pseudodrache)
Spell/&FindFamiliarQuasitDescription	Beschwört deinen Vertrauten in Form eines Quasits.
Spell/&FindFamiliarQuasitTitle	Vertraut finden (Quasit)
Spell/&FindFamiliarSpriteDescription	Beschwört deinen Vertrauten in Form eines Sprites.
Spell/&FindFamiliarSpriteTitle	Vertraut finden (Sprite)
Spell/&FindFamiliarTitle	Vertraut finden
Spell/&FrenzyDescription	Mit einer Geste reduzieren Sie eine Menschenmenge auf Instinkt und Gewalt. Wählen Sie einen Punkt, den Sie in Reichweite sehen können. Jede Kreatur innerhalb von 20 Fuß um diesen Punkt muss einen Weisheitsrettungswurf machen. Bei einem fehlgeschlagenen Rettungswurf ist eine Kreatur für die Dauer in Raserei. Wenn eine Kreatur in Raserei ist, zieht sie eine Nahkampfwaffe, falls sie eine hat. Eine rasende Kreatur muss ihre Aktion zu Beginn ihres Zuges nutzen, um eine Kreatur in ihrer Reichweite anzugreifen. Es verwendet eine Nahkampfwaffe, wenn es eine hat, oder eine improvisierte Waffe oder einen waffenlosen Schlag, wenn es keine hat. Wenn sich mehrere Ziele in Reichweite der Kreatur befinden, wählt sie ihr Ziel zufällig aus. Befindet sich kein Ziel in Reichweite der Kreatur, greift sie sich selbst gegen ihre eigene RK an und verursacht bei einem Treffer wie gewohnt Schaden. Am Ende ihres Zuges kann eine rasende Kreatur ihren Rettungswurf wiederholen, wodurch der Effekt bei einem Erfolg vorzeitig beendet wird.
Spell/&FrenzyTitle	Raserei
Spell/&HinderingBlastDescription	Ein Strahl knisternder Energie schießt auf eine Kreatur in Reichweite zu. Führen Sie einen Fernzauberangriff gegen das Ziel durch. Bei einem Treffer erleidet das Ziel 1W10 Kraftschaden.\n(Wenn du eine Kreatur mit deiner unheimlichen Explosion triffst, kannst du die Geschwindigkeit dieser Kreatur bis zum Ende deines nächsten Zuges um 3 m reduzieren.)
Spell/&HinderingBlastTitle	Eldritch Blast (Behinderung)
Spell/&IlluminatingSphereDescription	Lässt Lichtquellen wie Fackeln und Manalampen im Wirkungsbereich aufleuchten.
Spell/&IlluminatingSphereTitle	Erleuchtende Sphäre
Spell/&IPConjureInvisibleStalkerTitle	Elementar beschwören (Unsichtbarer Stalker)
Spell/&MinorLifestealDescription	Du entziehst einer feindlichen Kreatur, die du in Reichweite sehen kannst, Lebensenergie. Du heilst dann Trefferpunkte in Höhe des verursachten Schadens. Dieser Zauber hat keine Wirkung auf Untote oder Konstrukte.
Spell/&MinorLifestealTitle	Kleiner Lebensraub
Spell/&MirrorImageDescription	Spiegelbild
Spell/&MirrorImageTitle	Spiegelbild
Spell/&MuleDescription	Der Empfänger dieses Zaubers kann die Auswirkungen schwerer Lasten oder Rüstungen auf die Bewegungsgeschwindigkeit ignorieren. Sie können auch etwas mehr Gewicht tragen.
Spell/&MuleTitle	Maultier
Spell/&PetalStormDescription	Wählen Sie einen unbesetzten 15-Fuß-Luftwürfel, den Sie in Reichweite sehen können. Eine elementare Kraft wirbelnder Winde erscheint im Würfel und hält für die Dauer des Zaubers an. Die Wolke verdeckt stark ihren Bereich. Jede Kreatur, die den Sturm zum ersten Mal in einem Zug betritt oder dort ihren Zug beginnt, muss einen Kraftrettungswurf machen. Bei einem fehlgeschlagenen Rettungswurf erleidet die Kreatur 3W4 Hiebschaden. Als Bonusaktion kannst du den Sturm um bis zu 30 Fuß in jede Richtung bewegen.
Spell/&PetalStormTitle	Blütensturm
Spell/&ProtectThresholdDescription	Indem du arkane Siegel entlang seiner Grenze zeichnest, kannst du eine Tür, ein Fenster oder ein anderes Portal vor dem Eintritt schützen. Für die Dauer schleicht eine unsichtbare unheimliche Kreatur durch das geschützte Portal. Jede Kreatur, die versucht, durch das Portal zu gehen, muss einen Weisheitswurf machen oder 4W6 psychischen Schaden erleiden oder halb so viel bei einem erfolgreichen Rettungswurf.
Spell/&ProtectThresholdTitle	Schwellenwert schützen
Spell/&RadiantMotesDescription	Entfesselt einen Schwarm aus 5 strahlenden Projektilen, die jeweils 2 strahlenden Schaden verursachen, aber niemals verfehlen. Ziele können bis zu 1 Minute lang Licht ausstrahlen.\nWenn du diesen Zauber mit einem Zauberplatz der 2. Stufe oder höher wirkst, erzeugt der Zauber 2 weitere Projektile für jeden Platz über dem 1.
Spell/&RadiantMotesTitle	Strahlende Partikel
Spell/&ThunderStrikeDescription	Erzeuge einen Donnerstoß, der Kreaturen in deiner Nähe dazu zwingt, einen Konstitutionsrettungswurf zu machen oder 1W6 Donnerschaden zu erleiden.\nDer Schaden dieses Zaubers erhöht sich um 1W6, wenn du die 5. Stufe (2W6), die 11. Stufe (3W6) und die 17. Stufe (4W6) erreichst.
Spell/&ThunderStrikeTitle	Schallausbruch
Spell/&WinterBreathDescription	Erschaffe einen kalten Windstoß, um deine Feinde abzukühlen und sie zu Fall zu bringen.
Spell/&WinterBreathTitle	Winteratem
Spell/&WitchFamiliarDescription	Sie erhalten den Dienst eines Vertrauten.
Spell/&WitchFamiliarTitle	Hexe vertraut
SpellList/&ClassWarlockSpellListDescription	Hexenmeister-Zauberliste.
SpellList/&ClassWarlockSpellListTitle	Hexenmeister-Zauberliste
SpellList/&ElementalistSpellsListDescription	Elementarmagier-Zauberliste.
SpellList/&ElementalistSpellsListTitle	Elementarmagier-Zauberliste
SpellList/&RiftWalkerSpellsListDescription	RiftWalker-Zauberliste.
SpellList/&RiftWalkerSpellsListTitle	Rift Walker-Zauberliste
SpellList/&SpellListTinkererDescription	Tüftler-Zauberliste.
SpellList/&SpellListTinkererTitle	Tüftler-Zauberliste
Stage/&IdentityMorphotypeEyeHeader	Augenstil
Stage/&SubclassSelectionStageClassMonkTraditionDescription	Diese Phase wählt die klösterliche Tradition des Charakters aus.
Stage/&SubclassSelectionStageClassMonkTraditionFeatures	Klösterliche Traditionsmerkmale
Stage/&SubclassSelectionStageClassMonkTraditionHeader	Wählen Sie eine klösterliche Tradition aus
Stage/&SubclassSelectionStageClassMonkTraditionNoneDescription	Sie müssen eine klösterliche Tradition auswählen.
Stage/&SubclassSelectionStageClassMonkTraditionTitle	klösterlich\nTradition
Stage/&SubclassSelectionStageCovenDescription	Zirkel.
Stage/&SubclassSelectionStageCovenFeaturesDescription	Zirkel.
Stage/&SubclassSelectionStageCovenFeaturesHeader	Coven-Funktionen
Stage/&SubclassSelectionStageCovenFeaturesTitle	Zirkel
Stage/&SubclassSelectionStageCovenHeader	Wähle einen Zirkel aus
Stage/&SubclassSelectionStageCovenTitle	Zirkel
Stage/&SubclassSelectionStagePatronDescription	Ein Hexenmeister wird durch einen Pakt mit einem jenseitigen Wesen definiert. Manchmal ist die Beziehung zwischen Hexenmeister und Gönner wie die eines Klerikers und einer Gottheit, obwohl die Wesen, die als Gönner dienen, keine Götter sind.
Stage/&SubclassSelectionStagePatronFeatures	Funktionen von Patrons aus einer anderen Welt
Stage/&SubclassSelectionStagePatronHeader	Warlock Gönner aus einer anderen Welt
Stage/&SubclassSelectionStagePatronTitle	Außerweltliche Gönner
Stage/&SubclassSelectionStageSpecialistDescription	Beschreibung Es gibt eine große Auswahl an Spezialitäten in Tinkerers, darunter die Herstellung von Elixieren als Tränkemacher, das Erzeugen von Explosionen als Blaster und das Führen magischer Waffen als Waffenschmied.
Stage/&SubclassSelectionStageSpecialistFeatures	Spezialfunktionen
Stage/&SubclassSelectionStageSpecialistHeader	Spezialisierungen
Stage/&SubclassSelectionStageSpecialistNoneDescription	Spezialist Keine Beschreibung.
Stage/&SubclassSelectionStageSpecialistTitle	Spezialisierung auswählen
Subclass/&AbilityAffinityRogueConArtistDescription	Vorteil bei Fähigkeitsprüfungen mit Überzeugung, Täuschung, Leistung und Fingerfertigkeit.
Subclass/&AbilityAffinityRogueConArtistTitle	Manipulativ
Subclass/&AHWarlockSubclassSoulBladePactDescription	Du hast einen Handel mit einer empfindungsfähigen Waffe abgeschlossen, die du im Gegenzug für Macht mit Seelen fütterst.
Subclass/&AHWarlockSubclassSoulBladePactTitle	Seelenklingen-Pakt
Subclass/&ArcaneFighterAdditionalActionDescription	Du kannst einen Zauber wirken, nachdem du einen Feind mit deinen Waffenangriffen besiegt hast.
Subclass/&ArcaneFighterAdditionalActionTitle	Zauberkampf
Subclass/&ArcaneFighterBonusWeaponDamageDescription	Einmal pro Runde verursachen deine Waffenangriffe 1W8 zusätzlichen Schaden.
Subclass/&ArcaneFighterBonusWeaponDamageTitle	Magisch angetriebene Angriffe
Subclass/&ArtificerAlchemistDescription	Du bist auf Tränke, Buffs, Heilung und Zaubersprüche spezialisiert.
Subclass/&ArtificerAlchemistTitle	Zaubertrankhersteller
Subclass/&ArtificerArtileristCannonsDescription	Sie erstellen eine Reihe von Kanonen, die Sie im Kampf als Bonusaktion aktivieren können.
Subclass/&ArtificerArtileristCannonsTitle	Kanonen
Subclass/&ArtificerArtilleristDescription	Du bist darauf spezialisiert, Projektile zu schleudern und Explosionen zu verursachen.
Subclass/&ArtificerArtilleristTitle	Blaster
Subclass/&ArtificerBattleSmithDescription	Du spezialisierst dich auf den Einsatz magischer Waffen im Kampf.
Subclass/&ArtificerBattleSmithTitle	Waffenschmied
Subclass/&ArtificerSpellcastingDescription	Wirke Tinkerer-Zauber.
Subclass/&ArtificerSpellcastingTitle	Tinkerer Zaubersprüche
Subclass/&AttackModifierArtificerBattleSmithWeaponDescription	Deine Angriffe zählen als magisch und du nutzt deine Intelligenz für Angriffs- und Schadenswürfe.
Subclass/&AttackModifierArtificerBattleSmithWeaponTitle	Infundierte Waffe
Subclass/&AttackModifierArtificerBlindingWeaponDescription	Eine Waffe deiner Wahl, die die Fähigkeit erhält, Ziele bei einem Treffer zu blenden (gegen einen Konstitutionswurf). Von jeder Infusion kann immer nur eine aktiv sein. Eine zweite Aktivierung bricht die erste ab.
Subclass/&AttackModifierArtificerBlindingWeaponTitle	Blendende Waffe
Subclass/&AttackModifierArtificerEnhancedArmorDescription	Eine gewählte Rüstung wird magisch und gewährt zusätzlich +1 RK. Sie können eine Infusion nur einmal aktiv haben. Eine zweite Aktivierung bricht die erste ab.
Subclass/&AttackModifierArtificerEnhancedArmorTitle	Verbesserte Rüstung
Subclass/&AttackModifierArtificerEnhancedFocusDescription	Ein Zauberfokus deiner Wahl wird magisch und erhält +1 auf Zauberangriffswürfe und SG für Zauberwürfe. Von jeder Infusion kann immer nur eine aktiv sein. Eine zweite Aktivierung bricht die erste ab.
Subclass/&AttackModifierArtificerEnhancedFocusTitle	Verbesserter Fokus
Subclass/&AttackModifierArtificerEnhancedWeaponDescription	Eine Waffe deiner Wahl wird magisch und erhält +1 auf Angriffs- und Schadenswürfe. Von jeder Infusion kann immer nur eine aktiv sein. Eine zweite Aktivierung bricht die erste ab.
Subclass/&AttackModifierArtificerEnhancedWeaponTitle	Verbesserte Waffe
Subclass/&AttackModifierArtificerImprovedEnhancedArmorDescription	Eine gewählte Rüstung wird magisch und gewährt +2 RK. Von jeder Infusion kann immer nur eine aktiv sein. Eine zweite Aktivierung bricht die erste ab.
Subclass/&AttackModifierArtificerImprovedEnhancedArmorTitle	Verbesserte verstärkte Rüstung
Subclass/&AttackModifierArtificerImprovedEnhancedFocusDescription	Ein Zauberfokus, den du wählst, wird magisch und erhält +2 auf Zauberangriffswürfe und Zauberwurf-SG. Von jeder Infusion kann immer nur eine aktiv sein. Eine zweite Aktivierung bricht die erste ab.
Subclass/&AttackModifierArtificerImprovedEnhancedFocusTitle	Verbesserter verstärkter Fokus
Subclass/&AttackModifierArtificerImprovedEnhancedWeaponDescription	Berühre eine Waffe und sie wird magisch und erhält +2 auf Angriffs- und Schadenswürfe. Von jeder Infusion kann immer nur eine aktiv sein. Eine zweite Aktivierung bricht die erste ab.
Subclass/&AttackModifierArtificerImprovedEnhancedWeaponTitle	Verbesserte verbesserte Waffe
Subclass/&AttackModifierImprovedArtificerBattleSmithWeaponDescription	Du verleihst deiner Waffe Kraft. Deine Angriffe zählen als magisch und du addierst +7 zu deinen Angriffs- und Schadenswürfen.
Subclass/&AttackModifierImprovedArtificerBattleSmithWeaponTitle	Verbesserte Infusionswaffe
Subclass/&AttackModifierMeleeWizardArcaneWeaponDescription	Wenn eine Waffe aktiv ist, zählen ihre Angriffe als magisch und Sie verwenden Ihre Intelligenz für Ihre Angriffs- und Schadenswürfe.
Subclass/&AttackModifierMeleeWizardArcaneWeaponTitle	Arkane Waffe
Subclass/&AttributeModifierArtificerBattleSmithExtraAttackDescription	Du erhältst einen zusätzlichen Angriff.
Subclass/&AttributeModifierArtificerBattleSmithExtraAttackTitle	Extra-Angriff
Subclass/&AttributeModifierMeleeWizardExtraAttackDescription	Du erhältst einen zusätzlichen Angriff.
Subclass/&AttributeModifierMeleeWizardExtraAttackTitle	Extra-Angriff
Subclass/&BarbarianPathOfTheLightDescription	Barbaren, die dem Pfad des Lichts folgen, erhellen die Dunkelheit und schützen ihre Verbündeten vor Gefahren, die darin lauern.
Subclass/&BarbarianPathOfTheLightEyesOfTruthDescription	Du stehst immer unter der Wirkung eines Zaubers „Unsichtbarkeit sehen“.
Subclass/&BarbarianPathOfTheLightEyesOfTruthTitle	Augen der Wahrheit
Subclass/&BarbarianPathOfTheLightIlluminatedConditionDescription	Abgelenkt durch Erleuchtenden Schlag.
Subclass/&BarbarianPathOfTheLightIlluminatedConditionTitle	Beleuchtet
Subclass/&BarbarianPathOfTheLightIlluminatedDisadvantageDescription	Nachteil bei jedem Angriffswurf, der nicht gegen den Pfad des Lichtbarbaren gerichtet ist.
Subclass/&BarbarianPathOfTheLightIlluminatedPreventInvisibilityDescription	Kann nicht unsichtbar werden.
Subclass/&BarbarianPathOfTheLightIlluminatingBurstDescription	In der Runde, in der Sie in Ihre Wut geraten, können Sie bis zu drei Feinde innerhalb von 30 Fuß von Ihnen beleuchten. Sie müssen einen Konstitutionsrettungswurf (SG gleich 8 + dein Kompetenzbonus + dein Konstitutionsmodifikator) bestehen oder 4W6 Strahlungsschaden erleiden und 1 Minute lang von deinem Erleuchtenden Schlag erleuchtet werden. Eine auf diese Weise beleuchtete Kreatur macht am Ende jedes ihrer Züge einen weiteren Konstitutionsrettungswurf. Bei einem erfolgreichen Speichern endet der Effekt dafür.
Subclass/&BarbarianPathOfTheLightIlluminatingBurstPowerDescription	Bis zu drei Feinde legen einen Konstitutionsrettungswurf ab oder erleiden 4W6 Strahlungsschaden und werden von deinem Erleuchtenden Schlag erleuchtet.
Subclass/&BarbarianPathOfTheLightIlluminatingBurstPowerTitle	Erleuchtender Ausbruch
Subclass/&BarbarianPathOfTheLightIlluminatingBurstTitle	Erleuchtender Ausbruch
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeDescription	Während du tobst, erleidet die erste Kreatur, die du in deinem Zug mit einem Angriff triffst, zusätzlich 1W6 Strahlenschaden und wird bis zum Beginn deines nächsten Zuges magisch erleuchtet. Außerdem hat die Kreatur einen Nachteil bei jedem Angriffswurf, der nicht gegen dich ist, und kann nicht unsichtbar werden.
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeImprovementDescription	Der zusätzliche Schaden von Illuminating Strike erhöht sich auf 2W6.
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeImprovementTitle	Beleuchtungsschlag-Verbesserung
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeTitle	Erleuchtender Schlag
Subclass/&BarbarianPathOfTheLightLightsProtectionDescription	Sie erhalten Trefferpunkte in Höhe der Hälfte Ihrer Barbarenstufe zurück, wenn eine feindliche Kreatur stirbt, die von Ihrem Erleuchtenden Schlag betroffen ist. Außerdem provozierst du keine Gelegenheitsangriffe mehr von Kreaturen, die von deinem Erleuchtenden Schlag betroffen sind.
Subclass/&BarbarianPathOfTheLightLightsProtectionTitle	Schutz des Lichts
Subclass/&BarbarianPathOfTheLightPierceTheDarknessDescription	Du erhältst überlegene Dunkelsicht.
Subclass/&BarbarianPathOfTheLightPierceTheDarknessTitle	Durchdringe die Dunkelheit
Subclass/&BarbarianPathOfTheLightSeeingInvisibleConditionDescription	Kann unsichtbare Kreaturen wahrnehmen.
Subclass/&BarbarianPathOfTheLightSeeingInvisibleConditionTitle	Unsichtbarkeit
Subclass/&BarbarianPathOfTheLightTitle	Pfad des Lichts
Subclass/&BloodWitchDescription	Die von den meisten Hexenzirkeln verbotene Blutmagie konzentriert sich auf die Verwendung von dunklen Zaubersprüchen und tödlichen Verwünschungen, die aus der Essenz des Zauberkundigen schöpfen. Es ist grundsätzlich gefährlicher als andere Hexenhandwerke, aber seine vielen Risiken sind mit reichlich Belohnungen verbunden.
Subclass/&BloodWitchMagicDescription	Du erhältst die folgenden Zauber. Diese Zaubersprüche zählen für dich als Hexenzauber und zählen nicht zu deiner Gesamtzahl an bekannten Zaubersprüchen:\n {0}
Subclass/&BloodWitchMagicTitle	Die Blutmagie
Subclass/&BloodWitchTitle	Blut Hexe
Subclass/&CancelCancelElixirFlyDescription	Beende die Fliegen-Bedingung aus dem Trankmacher-Elixier.
Subclass/&CancelCancelElixirFlyTitle	Fliegen abbrechen
Subclass/&CancelCancelElixirResilienceDescription	Beenden Sie die Resilienz-Bedingung des Trankmacher-Elixiers.
Subclass/&CancelCancelElixirResilienceTitle	Resilienz abbrechen
Subclass/&CancelCancelElixirSwiftnessDescription	Beende den Schnelligkeits-Zustand des Trankmacher-Elixiers.
Subclass/&CancelCancelElixirSwiftnessTitle	Schnelligkeit abbrechen
Subclass/&ClassMonkTraditionDescription	Auf der 3. Ebene wählst du den spirituellen Weg, dem du zur Erleuchtung folgst. Es wird prägen, wie Sie Ki manipulieren.
Subclass/&ClassMonkTraditionTitle	Klostertraditionen
Subclass/&ClassMonkTraditionWayOfTheOpenHandDescription	Mönche des Weges der Offenen Hand sind die ultimativen Meister der Kampfkünste, ob bewaffnet oder unbewaffnet. Sie lernen Techniken, um ihre Gegner zu stoßen und zu Fall zu bringen, Ki zu manipulieren, um Schäden an ihrem Körper zu heilen, und praktizieren fortgeschrittene Meditation, die sie vor Schaden schützen kann.
Subclass/&ClassMonkTraditionWayOfTheOpenHandTitle	Weg der offenen Hand
Subclass/&ClassMonkTraditionZenArcherDescription	Praktizierende des Weges der Fernen Hand trainieren, Pfeile zu einer Verlängerung ihrer Hände zu machen. Sie sind geübt im Umgang mit Bögen und liefern Ki-ermächtigte Effekte durch Pfeile.
Subclass/&ClassMonkTraditionZenArcherTitle	Weg der fernen Hand
Subclass/&ClassWarlockPatronDescription	Ein Hexenmeister wird durch einen Pakt mit einem jenseitigen Wesen definiert. Manchmal ist die Beziehung zwischen Hexenmeister und Gönner wie die eines Klerikers und einer Gottheit, obwohl die Wesen, die als Gönner dienen, keine Götter sind.
Subclass/&ClassWarlockPatronTitle	Jenseitiger Patron
Subclass/&ConditionResistantArmorTitle	Widerstandsfähige Rüstung
Subclass/&ConditionResistnatArmorDescription	Ihre Rüstung ist resistent gegen Säure-, Kälte-, Feuer-, Kraft-, Blitz-, Nekrotik-, Gift-, psychische, Strahlungs- und Donnerschäden.
Subclass/&ConditionSpellShieldArcaneDeflectionDescription	Du kannst deine arkanen Kräfte einsetzen, um dich als Reaktion abzuschirmen. Dadurch erhältst du bis zu deinem nächsten Zug +3 auf deine RK.
Subclass/&ConditionSpellShieldArcaneDeflectionTitle	Arkane Ablenkung
Subclass/&ConditionTransmuteConstitutionSaveDescription	Temporärer Konstitutionsschutz, der durch die Kraft der Machtumwandlung gewährt wird.
Subclass/&ConditionTransmuteConstitutionSaveTitle	Verfassung speichert
Subclass/&ConditionTransmutePoisonDescription	Vorübergehender Säure-, Kälte-, Feuer-, Blitz-, Nekrotik-, Gift- und Donnerwiderstand, der durch die Kraft Transmute Force gewährt wird.
Subclass/&ConditionTransmutePoisonTitle	Elementarer Widerstand
Subclass/&CraftingTinkererMagicItemAdeptDescription	Du bist geschickt darin, magische Gegenstände herzustellen. Sie benötigen 1/4 der Zeit, um Gegenstände herzustellen, und Sie wenden beim Herstellen den doppelten Kompetenzbonus an.
Subclass/&CraftingTinkererMagicItemAdeptTitle	Adept der magischen Gegenstände
Subclass/&DHWarlockSubclassElementalPatronDescription	Du wurdest mit Urmenschen, die in den Ödlanden der Elemente präsent sind, paktiert und verändert. Das Elementarchaos des Patrons hat deine Seele durchdrungen und lässt dich die Kraft verschiedener Elementartypen nutzen.
Subclass/&DHWarlockSubclassElementalPatronTitle	Pakt der Elementarmagier
Subclass/&DHWarlockSubclassRiftWalkerDescription	Ihr Gönner ist eines der seltenen Wesen, das die Leere zwischen den Welten sein Zuhause nennt. Sie gleiten mit Leichtigkeit zwischen den Ebenen hin und her, und das Wissen, das Sie durch die Interaktion mit ihnen gewonnen haben, ermöglicht es Ihnen, verbleibende Rift-Energien zu Ihrem Vorteil in Solasta zu nutzen. Vielleicht verspürst du manchmal Sehnsucht nach dem fernen Reich deines Gönners, den Wunsch, für den Rest deiner Tage zwischen den Dimensionen zu wandern oder nach Anzeichen für ein weiteres Rift-Ereignis Ausschau zu halten, entweder um es zu verhindern oder zu fördern.
Subclass/&DHWarlockSubclassRiftWalkerTitle	Rift Walker-Pakt
