ActionAffinity/&DHFeeblemindSpellDescription	Incapaz de lançar feitiços
Spell/&DHWeirdSpellTitle	Esquisito
Spell/&EarthTremorDescription	Você atinge o chão e desencadeia um tremor de força sísmica, arremessando terra, rocha e areia
Spell/&EarthTremorTitle	Tremor de terra
Spell/&EldritchBlastDescription	Um raio de energia crepitante atinge uma criatura dentro do alcance. Faça um ataque mágico à distância contra o alvo. Em um acerto, o alvo sofre 1d10 de dano de força.\nO feitiço cria mais de um feixe quando você alcança níveis mais altos: dois feixes no 5º nível, três feixes no 11º nível e quatro feixes no 17º nível. Você pode direcionar os feixes para o mesmo alvo ou para alvos diferentes. Faça uma jogada de ataque separada para cada raio
Spell/&EldritchBlastGraspingHandDescription	Um raio de energia crepitante atinge uma criatura dentro do alcance. Faça um ataque mágico à distância contra o alvo. Em um acerto, o alvo sofre 1d10 de dano de força.\n(quando você atinge uma criatura com sua rajada mística, você pode mover aquela criatura em linha reta 3 metros para mais perto de você.)
Spell/&EldritchBlastGraspingHandTitle	Explosão Eldritch (Agarrando)
Spell/&EldritchBlastRepellingBlastDescription	Um raio de energia crepitante atinge uma criatura dentro do alcance. Faça um ataque mágico à distância contra o alvo. Em um acerto, o alvo sofre 1d10 de dano de força.\n(Quando você atinge uma criatura com rajada mística, você pode empurrar a criatura até 3 metros de distância de você em linha reta.)
Spell/&EldritchBlastRepellingBlastTitle	Explosão Eldritch (Repelente)
Spell/&EldritchBlastTitle	Explosão Mística
Spell/&EldritchOrbDescription	Você arremessa uma bola de energia mística em uma criatura ou objeto dentro do alcance e causa dano de força em um pequeno raio
Spell/&EldritchOrbTitle	Orbe Eldritch
Spell/&EWResonatingStrikeDescription	Selecione uma criatura dentro do alcance corpo a corpo de você e uma criatura diferente que você possa ver a até 1,5 metro do alvo principal. Você faz um ataque corpo a corpo com a arma atual contra a primeira criatura. Em um acerto, o alvo sofre os efeitos normais do ataque da arma, e o som ressonante salta para o segundo alvo, causando dano trovejante igual ao seu modificador de habilidade de conjuração.\nNo 5º nível, o ataque corpo a corpo causa 1d8 de dano trovejante extra ao alvo em um acerto, e o dano trovejante à segunda criatura aumenta para 1d8 + seu modificador de habilidade de conjuração. Ambas as jogadas de dano aumentam em 1d8 no 11º e 17º níveis
Spell/&EWResonatingStrikeTitle	Golpe Ressonante
Spell/&EWSunlightBladeDescription	Faça um ataque corpo a corpo com uma arma. Em um acerto, o alvo sofre os efeitos normais do ataque e é envolto em energia radiante brilhante, emitindo luz fraca durante o turno. O próximo ataque contra esta criatura enquanto ela estiver destacada é feito com vantagem.\nNo 5º nível, o ataque corpo a corpo causa 1d8 de dano radiante extra ao alvo. O dano aumenta em mais 1d8 no 11º nível e 17º nível
Spell/&EWSunlightBladeTitle	Lâmina iluminada pelo sol
Spell/&FindFamiliarDescription	Você ganha o serviço de um familiar
Spell/&FindFamiliarImpDescription	Convoca seu familiar na forma de um diabrete
Spell/&FindFamiliarImpTitle	Encontrar Familiar (Imp)
Spell/&FindFamiliarPsuedodragonDescription	Evoca seu familiar na forma de um Pseudodragão
Spell/&FindFamiliarPsuedodragonTitle	Encontrar Familiar (Pseudodragão)
Spell/&FindFamiliarQuasitDescription	Convoca seu familiar na forma de um quasit
Spell/&FindFamiliarQuasitTitle	Encontrar Familiar (Quasit)
Spell/&FindFamiliarSpriteDescription	Invoca seu familiar na forma de um Sprite
Spell/&FindFamiliarSpriteTitle	Encontrar Familiar (Sprite)
Spell/&FindFamiliarTitle	Encontrar familiar
Spell/&FrenzyDescription	Com um gesto, você reduz uma multidão ao instinto básico e à violência. Escolha um ponto que você possa ver dentro do alcance. Cada criatura a até 6 metros desse ponto deve fazer um teste de resistência de Sabedoria. Em uma falha na resistência, uma criatura fica frenética pela duração. Quando uma criatura está em frenesi, ela saca uma arma corpo a corpo, se tiver uma. Uma criatura frenética deve usar sua ação no início de seu turno para atacar uma criatura ao seu alcance. Ele usa uma arma corpo a corpo, se tiver, ou uma arma improvisada ou ataque desarmado, se não tiver. Se vários alvos estiverem ao alcance da criatura, ela escolhe seu alvo aleatoriamente. Se não houver nenhum alvo ao alcance da criatura, ela ataca a si mesma, contra sua própria CA, causando dano normalmente em um acerto. No final de seu turno, uma criatura frenética pode repetir seu teste de resistência, terminando o efeito sobre ela antes de um sucesso.
Spell/&FrenzyTitle	Frenesi
Spell/&HinderingBlastDescription	Um raio de energia crepitante atinge uma criatura dentro do alcance. Faça um ataque mágico à distância contra o alvo. Em um acerto, o alvo sofre 1d10 de dano de força.\n(quando você atinge uma criatura com sua rajada mística, você pode reduzir o deslocamento daquela criatura em 3 metros até o final do seu próximo turno.)
Spell/&HinderingBlastTitle	Explosão Eldritch (impedindo)
Spell/&IlluminatingSphereDescription	Faz com que fontes de luz como tochas e lâmpadas de mana na área de efeito acendam
Spell/&IlluminatingSphereTitle	Esfera Iluminadora
Spell/&IPConjureInvisibleStalkerTitle	Conjurar Elemental (Perseguidor Invisível)
Spell/&MinorLifestealDescription	Você drena energia vital de uma criatura hostil que você pode ver dentro do alcance. Você então cura pontos de vida iguais à quantidade de dano causado. Esta magia não tem efeito em mortos-vivos ou constructos
Spell/&MinorLifestealTitle	Roubo de Vida Menor
Spell/&MuleDescription	O destinatário deste feitiço é capaz de ignorar os efeitos de cargas pesadas ou armaduras na velocidade de movimento. Eles também podem carregar um pouco mais de peso
Spell/&MuleTitle	Mula
Spell/&PetalStormDescription	Escolha um cubo de ar desocupado de 4,5 metros que você possa ver dentro do alcance. Uma força elemental de ventos rodopiantes aparece no cubo e dura pela duração do feitiço. A nuvem obscurece fortemente sua área. Qualquer criatura que entre na tempestade pela primeira vez em um turno ou comece seu turno lá deve fazer um teste de resistência de Força. Se falhar na resistência, a criatura sofre 3d4 de dano cortante. Como uma ação bônus, você pode mover a tempestade até 9 metros em qualquer direção
Spell/&PetalStormTitle	Tempestade de Pétalas
Spell/&ProtectThresholdDescription	Traçando sigilos arcanos ao longo de seu limite, você pode proteger uma porta, janela ou outro portal da entrada. Pela duração, uma criatura mística invisível espreita o portal protegido. Qualquer criatura que tente passar pelo portal deve fazer um teste de resistência de Sabedoria ou sofrerá 4d6 de dano psíquico, ou metade disso em um teste bem sucedido.
Spell/&ProtectThresholdTitle	Limite de proteção
Spell/&RadiantMotesDescription	Libera um enxame de projéteis radiantes que causam danos menores, mas nunca erram. Os alvos podem irradiar luz por até 1 minuto
Spell/&RadiantMotesTitle	Partículas Radiantes
Spell/&ThunderStrikeDescription	Crie uma explosão de som trovejante, danificando todos ao seu redor
Spell/&ThunderStrikeTitle	Explosão de som
Spell/&WinterBreathDescription	Crie uma rajada de vento frio para esfriar seus inimigos e derrubá-los
Spell/&WinterBreathTitle	Respiração de inverno
Spell/&WitchFamiliarDescription	Você ganha o serviço de um familiar
Spell/&WitchFamiliarTitle	Bruxo Familiar
SpellList/&ClassWarlockSpellListDescription	Lista de Feitiços de Bruxo
SpellList/&ClassWarlockSpellListTitle	Lista de Feitiços de Bruxo
SpellList/&ElementalistSpellsListDescription	Lista de Feitiços Elementalistas
SpellList/&ElementalistSpellsListTitle	Lista de Feitiços Elementalistas
SpellList/&RiftWalkerSpellsListDescription	Lista de Feitiços do RiftWalker
SpellList/&RiftWalkerSpellsListTitle	Lista de Feitiços do Rift Walker
SpellList/&SpellListTinkererDescription	Lista de Feitiços do Tinkerer
SpellList/&SpellListTinkererTitle	Lista de Feitiços do Tinkerer
Stage/&IdentityMorphotypeEyeHeader	Estilo dos olhos
Stage/&SubclassSelectionStageClassMonkTraditionDescription	Este estágio seleciona a tradição monástica do personagem
Stage/&SubclassSelectionStageClassMonkTraditionFeatures	Características da Tradição Monástica
Stage/&SubclassSelectionStageClassMonkTraditionHeader	Selecione uma Tradição Monástica
Stage/&SubclassSelectionStageClassMonkTraditionNoneDescription	Você deve selecionar uma tradição monástica
Stage/&SubclassSelectionStageClassMonkTraditionTitle	Monástico\nTradição
Stage/&SubclassSelectionStageCovenDescription	Multidão
Stage/&SubclassSelectionStageCovenFeaturesDescription	Multidão
Stage/&SubclassSelectionStageCovenFeaturesHeader	Recursos do Coven
Stage/&SubclassSelectionStageCovenFeaturesTitle	Multidão
Stage/&SubclassSelectionStageCovenHeader	Selecione um Coven
Stage/&SubclassSelectionStageCovenTitle	Multidão
Stage/&SubclassSelectionStagePatronDescription	Um bruxo é definido por um pacto com um ser de outro mundo. Às vezes, a relação entre feiticeiro e patrono é como a de um clérigo e uma divindade, embora os seres que servem como patronos não sejam deuses.
Stage/&SubclassSelectionStagePatronFeatures	Recursos de Patronos do Outro Mundo
Stage/&SubclassSelectionStagePatronHeader	Patronos do outro mundo bruxo
Stage/&SubclassSelectionStagePatronTitle	Patronos do Outro Mundo
Stage/&SubclassSelectionStageSpecialistDescription	Descrição Há uma grande variedade de especialidades em Tinkerers, incluindo fazer elixires como Potion Maker, fazer explosões como Blaster e empunhar armas mágicas como Weapon Smith
Stage/&SubclassSelectionStageSpecialistFeatures	Recursos especializados
Stage/&SubclassSelectionStageSpecialistHeader	Especializações
Stage/&SubclassSelectionStageSpecialistNoneDescription	Especialista Nenhum Descrição
Stage/&SubclassSelectionStageSpecialistTitle	Selecionar especialização
Subclass/&AbilityAffinityRogueConArtistDescription	Vantagem em testes de habilidade usando Persuasão, Enganação, Performance e Prestidigitação
Subclass/&AbilityAffinityRogueConArtistTitle	Manipulativo
Subclass/&AHWarlockSubclassSoulBladePactDescription	Você fez uma barganha com uma arma senciente com a qual você alimenta almas em troca de poder
Subclass/&AHWarlockSubclassSoulBladePactTitle	Pacto SoulBlade
Subclass/&ArcaneFighterAdditionalActionDescription	Você pode lançar um feitiço depois de derrotar um inimigo com seus ataques de arma
Subclass/&ArcaneFighterAdditionalActionTitle	Combate a Feitiços
Subclass/&ArcaneFighterBonusWeaponDamageDescription	Uma vez por turno, seus ataques com arma causam 1d8 de dano extra
Subclass/&ArcaneFighterBonusWeaponDamageTitle	Ataques com poderes mágicos
Subclass/&ArtificerAlchemistDescription	Você se especializa em poções, buffs, cura e feitiços
Subclass/&ArtificerAlchemistTitle	Fabricante de Poções
Subclass/&ArtificerArtileristCannonsDescription	Você cria um conjunto de canhões que você pode ativar na batalha como uma ação bônus
Subclass/&ArtificerArtileristCannonsTitle	Canhões
Subclass/&ArtificerArtilleristDescription	Você é especialista em arremessar projéteis e causar explosões
Subclass/&ArtificerArtilleristTitle	Lançador
Subclass/&ArtificerBattleSmithDescription	Você se especializa em usar armas mágicas em combate
Subclass/&ArtificerBattleSmithTitle	Ferreiro de Arma
Subclass/&ArtificerSpellcastingDescription	Lançar feitiços do Tinkerer
Subclass/&ArtificerSpellcastingTitle	Feitiço do Tinkerer
Subclass/&AttackModifierArtificerBattleSmithWeaponDescription	Seus ataques contam como Mágicos e você usa sua inteligência para jogadas de ataque e dano
Subclass/&AttackModifierArtificerBattleSmithWeaponTitle	Arma Infundida
Subclass/&AttackModifierArtificerBlindingWeaponDescription	Toque uma arma que ganhe a habilidade de cegar alvos ao acertar (contra um teste de Constituição). Observe que você só pode ter uma infusão ativa uma vez. Ativá-lo uma segunda vez cancelará a primeira
Subclass/&AttackModifierArtificerBlindingWeaponTitle	Arma de Cegueira
Subclass/&AttackModifierArtificerEnhancedArmorDescription	Toque em Armadura e ela se torna mágica e fornece +1 AC. Observe que você só pode ter uma infusão ativa uma vez. Ativá-lo uma segunda vez cancelará a primeira
Subclass/&AttackModifierArtificerEnhancedArmorTitle	Armadura Aprimorada
Subclass/&AttackModifierArtificerEnhancedFocusDescription	Toque em um Focus e ele se torna mágico e ganha +1 para atacar e feitiço dc. Observe que você só pode ter uma infusão ativa uma vez. Ativá-lo uma segunda vez cancelará a primeira
Subclass/&AttackModifierArtificerEnhancedFocusTitle	Foco Aprimorado
Subclass/&AttackModifierArtificerEnhancedWeaponDescription	Toque em uma arma e ela se torna mágica e ganha +1 nas jogadas de ataque e dano. Observe que você só pode ter uma infusão ativa uma vez. Ativá-lo uma segunda vez cancelará a primeira
Subclass/&AttackModifierArtificerEnhancedWeaponTitle	Arma Aprimorada
Subclass/&AttackModifierArtificerImprovedEnhancedArmorDescription	Toque em Armadura e ela se torna mágica e fornece +2 AC. Observe que você só pode ter uma infusão ativa uma vez. Ativá-lo uma segunda vez cancelará a primeira
Subclass/&AttackModifierArtificerImprovedEnhancedArmorTitle	Armadura Aprimorada Aprimorada
Subclass/&AttackModifierArtificerImprovedEnhancedFocusDescription	Toque em um Focus e ele se torna mágico e ganha +2 para atacar e feitiço dc. Observe que você só pode ter uma infusão ativa uma vez. Ativá-lo uma segunda vez cancelará a primeira
Subclass/&AttackModifierArtificerImprovedEnhancedFocusTitle	Foco Aprimorado Aprimorado
Subclass/&AttackModifierArtificerImprovedEnhancedWeaponDescription	Toque em uma arma e ela se torna mágica e ganha +2 nas jogadas de ataque e dano. Observe que você só pode ter uma infusão ativa uma vez. Ativá-lo uma segunda vez cancelará a primeira
Subclass/&AttackModifierArtificerImprovedEnhancedWeaponTitle	Arma Aprimorada Aprimorada
Subclass/&AttackModifierImprovedArtificerBattleSmithWeaponDescription	Você infunde sua arma com poder. Seus ataques contam como Mágicos e você adiciona +7 às suas jogadas de ataque e dano
Subclass/&AttackModifierImprovedArtificerBattleSmithWeaponTitle	Arma de Infusão Aprimorada
Subclass/&AttackModifierMeleeWizardArcaneWeaponDescription	Quando ativo em uma arma, seus ataques contam como Mágicos e você usa sua inteligência para suas jogadas de ataque e dano
Subclass/&AttackModifierMeleeWizardArcaneWeaponTitle	Arma Arcana
Subclass/&AttributeModifierArtificerBattleSmithExtraAttackDescription	Você ganha um ataque extra
Subclass/&AttributeModifierArtificerBattleSmithExtraAttackTitle	Ataque Extra
Subclass/&AttributeModifierMeleeWizardExtraAttackDescription	Você ganha um ataque extra
Subclass/&AttributeModifierMeleeWizardExtraAttackTitle	Ataque Extra
Subclass/&BarbarianPathOfTheLightDescription	Bárbaros que seguem o Caminho da Luz iluminam a escuridão e protegem seus aliados dos perigos que se escondem dentro dela
Subclass/&BarbarianPathOfTheLightEyesOfTruthDescription	Você está sempre sob os efeitos de um feitiço Ver Invisibilidade
Subclass/&BarbarianPathOfTheLightEyesOfTruthTitle	Olhos da verdade
Subclass/&BarbarianPathOfTheLightIlluminatedConditionDescription	Distraído pelo Golpe Iluminador
Subclass/&BarbarianPathOfTheLightIlluminatedConditionTitle	Iluminado
Subclass/&BarbarianPathOfTheLightIlluminatedDisadvantageDescription	Desvantagem em qualquer jogada de ataque que não seja contra o bárbaro da Trilha da Luz
Subclass/&BarbarianPathOfTheLightIlluminatedPreventInvisibilityDescription	Não pode ficar invisível
Subclass/&BarbarianPathOfTheLightIlluminatingBurstDescription	No turno em que você entrar em sua fúria, você pode escolher iluminar até três inimigos a até 9 metros de você. Eles devem ter sucesso em um teste de resistência de Constituição (CD igual a 8 + seu bônus de proficiência + seu modificador de Constituição) ou sofrerão 4d6 de dano radiante e serão iluminados por seu Golpe Iluminador por 1 minuto. Uma criatura iluminada desta forma faz outro teste de resistência de Constituição no final de cada um de seus turnos. Em um teste bem sucedido, o efeito termina para ele
Subclass/&BarbarianPathOfTheLightIlluminatingBurstPowerDescription	Até três inimigos recebem 4d6 de dano radiante e ficam iluminados pelo seu Golpe Iluminador. (O teste de resistência de Constituição nega.)
Subclass/&BarbarianPathOfTheLightIlluminatingBurstPowerTitle	Explosão Iluminadora
Subclass/&BarbarianPathOfTheLightIlluminatingBurstTitle	Explosão Iluminadora
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeDescription	Enquanto você estiver em fúria, a primeira criatura que você acertar com um ataque no seu turno sofre 1d6 de dano radiante adicional e fica magicamente iluminada até o início do seu próximo turno. Além disso, a criatura tem desvantagem em qualquer jogada de ataque que não seja contra você e não pode se tornar invisível
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeImprovementDescription	O dano adicional causado pelo Golpe Iluminador aumenta para 2d6
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeImprovementTitle	Melhoria do Golpe Iluminador
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeTitle	Golpe Iluminador
Subclass/&BarbarianPathOfTheLightLightsProtectionDescription	Você recupera pontos de vida iguais a metade do seu nível de bárbaro quando uma criatura hostil afetada pelo seu Golpe Iluminador morre. Além disso, você não provoca mais ataques de oportunidade de criaturas afetadas pelo seu Golpe Iluminador
Subclass/&BarbarianPathOfTheLightLightsProtectionTitle	Proteção da Luz
Subclass/&BarbarianPathOfTheLightPierceTheDarknessDescription	Você ganha visão no escuro superior
Subclass/&BarbarianPathOfTheLightPierceTheDarknessTitle	Perfure a escuridão
Subclass/&BarbarianPathOfTheLightSeeingInvisibleConditionDescription	Pode perceber criaturas invisíveis
Subclass/&BarbarianPathOfTheLightSeeingInvisibleConditionTitle	Visão de Invisibilidade
Subclass/&BarbarianPathOfTheLightTitle	Caminho da Luz
Subclass/&BloodWitchDescription	Proibida pela maioria dos covens de bruxas, a magia do sangue se concentra no uso de feitiços sombrios e feitiços mortais que extraem da própria essência do conjurador. É fundamentalmente mais perigoso do que outros ofícios de bruxaria, mas seus muitos riscos vêm com recompensas copiosas
Subclass/&BloodWitchMagicDescription	Você ganha as seguintes magias. Esses feitiços contam como feitiços de Bruxa para você e não contam para o número total de feitiços conhecidos:\n {0}
Subclass/&BloodWitchMagicTitle	Magia de Sangue
Subclass/&BloodWitchTitle	Bruxa de Sangue
Subclass/&CancelCancelElixirFlyDescription	Acabe com a condição Fly do Potion Maker Elixir
Subclass/&CancelCancelElixirFlyTitle	Cancelar voo
Subclass/&CancelCancelElixirResilienceDescription	Encerre a condição de Resiliência do Elixir do Criador de Poções
Subclass/&CancelCancelElixirResilienceTitle	Cancelar resiliência
Subclass/&CancelCancelElixirSwiftnessDescription	Acabe com a condição de Rapidez do Elixir do Criador de Poções
Subclass/&CancelCancelElixirSwiftnessTitle	Cancelar Rapidez
Subclass/&ClassMonkTraditionDescription	No 3º nível, você escolhe o caminho espiritual para seguir em direção à iluminação. Ele irá moldar como você manipula o ki.
Subclass/&ClassMonkTraditionTitle	Tradições Monásticas
Subclass/&ClassMonkTraditionWayOfTheOpenHandDescription	[atualização após a implementação dos recursos]\nMonges do Caminho da Mão Aberta são os maiores mestres do combate de artes marciais, armados ou desarmados. Eles aprendem técnicas para empurrar e derrubar seus oponentes, manipular o ki para curar danos em seus corpos e praticar meditação avançada que pode protegê-los de danos.
Subclass/&ClassMonkTraditionWayOfTheOpenHandTitle	Caminho da mão aberta
Subclass/&ClassWarlockPatronDescription	Um bruxo é definido por um pacto com um ser de outro mundo. Às vezes, a relação entre feiticeiro e patrono é como a de um clérigo e uma divindade, embora os seres que servem como patronos não sejam deuses.
Subclass/&ClassWarlockPatronTitle	Patrono de outro mundo
Subclass/&ConditionResistantArmorTitle	Armadura Resistente
Subclass/&ConditionResistnatArmorDescription	Sua armadura é resistente a dano de ácido, frio, fogo, força, raio, necrótico, veneno, psíquico, radiante e trovão
Subclass/&ConditionSpellShieldArcaneDeflectionDescription	Você pode usar seus poderes arcanos para se proteger como uma reação. Isso lhe dá +3 na sua CA até o seu próximo turno
Subclass/&ConditionSpellShieldArcaneDeflectionTitle	Deflexão Arcana
Subclass/&ConditionTransmuteConstitutionSaveDescription	Constituição Temporária salva proficiência concedida pelo poder Força de Transmutação
Subclass/&ConditionTransmuteConstitutionSaveTitle	Salvamentos de Constituição
Subclass/&ConditionTransmutePoisonDescription	Resistência temporária a ácido, frio, fogo, relâmpago, necrótica, trovão e veneno concedida pelo poder Transmute Force
Subclass/&ConditionTransmutePoisonTitle	Resistência Elementar
Subclass/&CraftingTinkererMagicItemAdeptDescription	Você é perito em criar itens mágicos. Você leva 1/4 do tempo para criar itens e você aplica o dobro do seu bônus de proficiência ao criar
Subclass/&CraftingTinkererMagicItemAdeptTitle	Adepto de itens mágicos
Subclass/&DHWarlockSubclassElementalPatronDescription	Você fez um pacto e foi mudado por primordals presentes nas terras áridas elementais. O caos elemental do patrono inundou sua alma, permitindo que você use o poder de diferentes tipos elementais
Subclass/&DHWarlockSubclassElementalPatronTitle	Pacto Elementalista
Subclass/&DHWarlockSubclassRiftWalkerDescription	Seu patrono é um dos raros seres que chama o vazio entre os mundos de sua casa. Eles deslizam entre os planos com facilidade e o conhecimento que você adquiriu ao interagir com eles permite que você aproveite as energias remanescentes da fenda em seu benefício dentro da solasta. Você pode às vezes sentir saudade do reino distante de seu patrono, um desejo de vagar entre as dimensões pelo resto de seus dias ou observar sinais de outro evento de Fenda, seja para prevenir ou encorajar
Subclass/&DHWarlockSubclassRiftWalkerTitle	Pacto do Caminhante do Rift
Subclass/&DruidForestGuardianDruidSubclassDescription	Círculo do Guardião da Floresta Druidas juram proteger as florestas e tudo o que nelas habita. Habilidosos no uso da magia de Abjuração e combate marcial, os membros deste círculo druídico são oponentes temíveis no campo de batalha.
Subclass/&DruidForestGuardianDruidSubclassTitle	Círculo do Guardião da Floresta
Subclass/&EquipmentModifierArtificerBagOfHolderDescription	Toque em uma bolsa e infunda um espaço dimensional extra para ajudá-la a suportar mais peso sem sobrecarregar você. Observe que você só pode ter uma infusão ativa uma vez. Ativá-lo uma segunda vez cancelará a primeira
Subclass/&EquipmentModifierArtificerBagOfHolderTitle	Saco de Segurar
Subclass/&FighterSpellShieldDescription	Spell Shields são lutadores especializados em defesa e proteção. Eles usam magia para ajudar suas habilidades naturais
Subclass/&FighterSpellShieldSpellcastingDescription	Lançar feitiços e truques de mago das escolas Abjuração, Ilusão, Transmutação e Necromancia
Subclass/&FighterSpellShieldSpellcastingTitle	Feitiço
Subclass/&FighterSpellShieldSpellResistanceDescription	Sua experiência com feitiços e magia de Abjuração em particular o tornou resistente a feitiços lançados contra você
Subclass/&FighterSpellShieldSpellResistanceTitle	Resistência à Magia
Subclass/&FighterSpellShieldTitle	Escudo de Feitiço
Subclass/&GreenWitchDescription	Plantas, natureza e coisas que crescem são o domínio da magia verde. Normalmente um tipo de arcana defendido por druidas, algumas bruxas têm um vínculo estreito com os poderes da magia verde e podem persuadir plantas e animais a sua vontade.
Subclass/&GreenWitchMagicDescription	Você ganha as seguintes magias. Esses feitiços contam como feitiços de Bruxa para você e não contam para o número total de feitiços conhecidos:\n{0}
Subclass/&GreenWitchMagicTitle	Magia Verde
Subclass/&GreenWitchTitle	Bruxa Verde
Subclass/&HArtilleryIncreaseDescription	Aumento da Artilharia
Subclass/&HArtilleryIncreaseTitle	Aumento da Artilharia
Subclass/&HealingPoolArtificerBattleSmithInfusionsIncreaseDescription	Agora você pode infundir dois itens adicionais a cada dia, isso deve ser usado para sua arma especial Weapon Smith
Subclass/&HealingPoolArtificerBattleSmithInfusionsIncreaseTitle	Infusão de Arma Smith
Subclass/&HealingPoolArtificerInfusionsDescription	2 vezes por dia infundir itens com efeitos mágicos
Subclass/&HealingPoolArtificerInfusionsIncreaseDescription	Agora você pode infundir um item adicional a cada dia
Subclass/&HealingPoolArtificerInfusionsIncreaseTitle	Mais infusões
Subclass/&HealingPoolArtificerInfusionsTitle	Infusões
Subclass/&HealingPoolLifeTransmuterBonusDescription	2 vezes adicionais por dia você pode forçar sua vontade na realidade
Subclass/&HealingPoolLifeTransmuterBonusExtraDescription	4 vezes adicionais por dia você pode forçar sua vontade na realidade
Subclass/&HealingPoolLifeTransmuterBonusExtraTitle	Força de Transmutação Adicional
Subclass/&HealingPoolLifeTransmuterBonusTitle	Força de Transmutação Adicional
Subclass/&HealingPoolLifeTransmuterListDescription	2 vezes por dia decretar sua vontade na realidade com habilidades especiais
Subclass/&HealingPoolLifeTransmuterListTitle	Força de Transmutação
Subclass/&MagicAffinityAlchemicalSavantListDescription	Ao lançar Acid Arrow e Flaming Sphere, eles se comportam como se tivessem lançado 2 níveis acima. Seus truques também são aprimorados, então, mesmo quando o inimigo salva, eles ainda recebem metade do dano
Subclass/&MagicAffinityAlchemicalSavantListTitle	Feitiços de Elixir Savant
Subclass/&MagicAffinityAlchemistSpellRecoveryDescription	Você pode recuperar espaços de magia durante um descanso curto duas vezes por dia
Subclass/&MagicAffinityAlchemistSpellRecoveryTitle	Preparação Alquímica
Subclass/&MagicAffinityFighterSpellShieldDescription	Vantagem em testes de concentração, bem como a capacidade de realizar componentes somáticos de feitiços enquanto segura itens
Subclass/&MagicAffinityFighterSpellShieldTitle	Conjuração de Combate
Subclass/&MagicAffinityLifeTransmuterListDescription	Ao lançar alguns feitiços de Transmutação e Necromancia, eles são lançados em um slot de feitiço 2 níveis superior ao usado. Os feitiços aprimorados incluem: Vida Falsa, Cegueira, Voar, Doar Maldição, Toque Vampírico, Praga e Matar Nuvem. -- Nota A intenção é ter o benefício de Arma Mágica também, mas atualmente aumentar o nível de feitiço dessa forma em Arma Mágica não tem efeito
Subclass/&MagicAffinityLifeTransmuterListTitle	Dobra da realidade
Subclass/&MagicAffinityMasterManipulatorDC0Description	É mais difícil para os oponentes resistirem aos seus feitiços. A CD de salvamento aumenta em 0
Subclass/&MagicAffinityMasterManipulatorDC1Description	É mais difícil para os oponentes resistirem aos seus feitiços. A CD de salvamento aumenta em 1
Subclass/&MagicAffinityMasterManipulatorDC2Description	É mais difícil para os oponentes resistirem aos seus feitiços. A CD de salvamento aumenta em 2
Subclass/&MagicAffinityMasterManipulatorDC3Description	É mais difícil para os oponentes resistirem aos seus feitiços. A CD de salvamento aumenta em 3
Subclass/&MagicAffinityMasterManipulatorDC4Description	É mais difícil para os oponentes resistirem aos seus feitiços. A CD de salvamento aumenta em 4
Subclass/&MagicAffinityMasterManipulatorDC5Description	É mais difícil para os oponentes resistirem aos seus feitiços. A CD de salvamento aumenta em 5
Subclass/&MagicAffinityMasterManipulatorDCDescription	É mais difícil para os oponentes resistirem aos seus feitiços. A CD de salvamento aumenta em 3
Subclass/&MagicAffinityMasterManipulatorDCTitle	Força Arcana
Subclass/&MagicAffinityMasterManipulatorListDescription	Ao lançar alguns feitiços de Encantamento, Abjuração e Ilusão, eles são lançados em um espaço de feitiço 1 nível superior ao usado. Feitiços melhorados incluem: Encantar Pessoa, Sono, Spray de Cor, Segurar Pessoa, Invisibilidade, Contrafeitiço, Dissipar Magia, Banimento, Confusão, Assassino Fantasma, Dominar Pessoa e Segurar Monstro
Subclass/&MagicAffinityMasterManipulatorListTitle	Manipulação Arcana
Subclass/&MagicAffinityMeleeWizardConcentrationDescription	Devido à experiência no caos do combate, ganhe vantagem em testes de concentração
Subclass/&MagicAffinityMeleeWizardConcentrationTitle	Concentração Aprimorada
Subclass/&MagicAffinityRoguishConArtistDC0Description	Sua CD de salvamento de feitiços aumenta em 0
Subclass/&MagicAffinityRoguishConArtistDC1Description	Sua CD de salvamento de feitiços aumenta em 1
Subclass/&MagicAffinityRoguishConArtistDC2Description	Sua CD de salvamento de feitiços aumenta em 2
Subclass/&MagicAffinityRoguishConArtistDC3Description	Sua CD de salvamento de feitiços aumenta em 3
Subclass/&MagicAffinityRoguishConArtistDC4Description	Sua CD de salvamento de feitiços aumenta em 4
Subclass/&MagicAffinityRoguishConArtistDC5Description	Sua CD de salvamento de feitiços aumenta em 5
Subclass/&MagicAffinityRoguishConArtistDCTitle	Manipulação Aprimorada
Subclass/&MagicAffinitySpellMasterBonusScribingDescription	Faça um feitiço adicional a cada nível
Subclass/&MagicAffinitySpellMasterBonusScribingTitle	Amplitude do Conhecimento
Subclass/&MagicAffinitySpellMasterRecoveryDescription	Uma vez por descanso longo, você pode recuperar espaços de magia (além da Recuperação Arcana)
Subclass/&MagicAffinitySpellMasterRecoveryTitle	Profundidade Arcana
Subclass/&MagicAffinitySpellMasterRecoveryUnlimitedDescription	Tempos ilimitados em que você pode recuperar slots de feitiços (além da Recuperação Arcana)
Subclass/&MagicAffinitySpellMasterRecoveryUnlimitedTitle	Profundidade Arcana
