ActionAffinity/&DHFeeblemindSpellDescription	Невозможно использовать заклинания
Spell/&EldritchOrbTitle	Жуткая сфера
Spell/&EWResonatingStrikeDescription	Выберите одно существо в пределах дальности ближнего боя от вас и другое существо, которое вы можете видеть в пределах 5 футов от основной цели. Вы совершаете рукопашную атаку текущим оружием против первого существа. При попадании цель подвергается обычным эффектам атаки оружием, и резонирующий звук перескакивает на вторую цель, нанося громовой урон, равный вашему модификатору способности заклинания.\nНа 5-м уровне рукопашная атака наносит дополнительно 1d8 урона звуком цели при попадании, а урон звуком второму существу увеличивается до 1d8 + ваш модификатор заклинательной характеристики. Оба броска урона увеличиваются на 1d8 на 11-м и 17-м уровнях.
Spell/&EWResonatingStrikeTitle	Резонирующий удар
Spell/&EWSunlightBladeDescription	Совершите рукопашную атаку оружием. При попадании цель подвергается обычным эффектам атаки и окутывается сияющей лучистой энергией, излучающей тусклый свет на этот ход. Следующая атака по этому существу, пока оно подсвечено, совершается с преимуществом.\nНа 5 уровне рукопашная атака причиняет цели дополнительный урон излучением 1к8. Урон увеличивается еще на 1d8 на 11-м и 17-м уровне.
Spell/&EWSunlightBladeTitle	Солнечный клинок
Spell/&FindFamiliarDescription	Вы получаете услугу знакомого
Spell/&FindFamiliarImpDescription	Призывает вашего фамильяра в виде чертенка
Spell/&FindFamiliarImpTitle	Найти фамильяра (бес)
Spell/&FindFamiliarPsuedodragonDescription	Призывает вашего фамильяра в виде псевдодракона
Spell/&FindFamiliarPsuedodragonTitle	Найти фамильяра (Псевдодракон)
Spell/&FindFamiliarQuasitDescription	Призывает вашего фамильяра в виде квазита
Spell/&FindFamiliarQuasitTitle	Найти фамильяра (квазит)
Spell/&FindFamiliarSpriteDescription	Призывает вашего фамилиара в виде спрайта
Spell/&FindFamiliarSpriteTitle	Найти фамильяра (спрайт)
Spell/&FindFamiliarTitle	Найти знакомых
Spell/&FrenzyDescription	Одним жестом вы сводите толпу к низменным инстинктам и насилию. Выберите точку, которую вы можете видеть в пределах диапазона. Каждое существо в пределах 20 футов от этой точки должно совершить спасбросок Мудрости. При провале существо впадает в бешенство на время действия. Когда существо в бешенстве, оно достает оружие ближнего боя, если оно у него есть. Разъяренное существо должно действием в начале своего хода атаковать существо в пределах досягаемости. Он использует оружие ближнего боя, если оно у него есть, или самодельное оружие или безоружный удар, если его нет. Если в пределах досягаемости существа находится несколько целей, оно выбирает свою цель случайным образом. Если в пределах досягаемости существа нет цели, оно атакует себя против собственного КД, нанося урон при попадании как обычно. В конце своего хода обезумевшее существо может повторить свой спасбросок, досрочно сняв с него эффект при успехе.
Spell/&FrenzyTitle	Безумие
Spell/&HinderingBlastDescription	Луч потрескивающей энергии устремляется к существу в пределах досягаемости. Совершите дальнобойную атаку заклинанием по цели. При попадании цель получает силовой урон 1d10.\n(когда вы попадаете в существо своим сверхъестественным взрывом, вы можете уменьшить скорость этого существа на 10 футов до конца вашего следующего хода.)
Spell/&HinderingBlastTitle	Жуткий взрыв (препятствие)
Spell/&IlluminatingSphereDescription	Зажигает источники света, такие как факелы и лампы маны в области действия.
Spell/&IlluminatingSphereTitle	Светящаяся сфера
Spell/&IPConjureInvisibleStalkerTitle	Вызов элементаля (Невидимый охотник)
Spell/&MinorLifestealDescription	Вы вытягиваете жизненную энергию из враждебного существа, которого видите в пределах досягаемости. Затем вы исцеляете хиты, равные количеству нанесенного урона. Это заклинание не действует на нежить или конструкции.
Spell/&MinorLifestealTitle	Малый вампиризм
Spell/&MuleDescription	Получатель этого заклинания может игнорировать влияние тяжелых грузов или брони на скорость передвижения. Они также могут нести немного больший вес
Spell/&MuleTitle	Мул
Spell/&PetalStormDescription	Выберите незанятый 15-футовый куб воздуха, который вы можете видеть в пределах дистанции. В кубе появляется стихийная сила кружащихся ветров, которая существует в течение всего времени действия заклинания. Облако сильно затеняет его область. Любое существо, которое входит в бурю впервые за ход или начинает свой ход там, должно совершить спасбросок Силы. При провале существо получает рубящий урон 3d4. Бонусным действием вы можете переместить бурю на 30 футов в любом направлении.
Spell/&PetalStormTitle	Лепестковый шторм
Spell/&ProtectThresholdDescription	Вычерчивая тайные знаки вдоль его границ, вы можете защитить дверной проем, окно или другой портал от входа. На время действия невидимое сверхъестественное существо бродит по защищенному порталу. Любое существо, пытающееся пройти через портал, должно совершить спасбросок Мудрости или получить психический урон 4d6, или половину этого значения при успешном спасброске.
Spell/&ProtectThresholdTitle	Защитить порог
Spell/&RadiantMotesDescription	Выпускает рой лучистых снарядов, которые наносят незначительный урон, но никогда не промахиваются. Цели могут излучать свет до 1 минуты.
Spell/&RadiantMotesTitle	Сияющие пылинки
Spell/&ThunderStrikeDescription	Создайте взрыв громоподобного звука, нанося урон всем вокруг вас
Spell/&ThunderStrikeTitle	Звуковой взрыв
Spell/&WinterBreathDescription	Создайте порыв холодного ветра, чтобы охладить своих врагов и сбить их с ног.
Spell/&WinterBreathTitle	Дыхание зимы
Spell/&WitchFamiliarDescription	Вы получаете услугу знакомого
Spell/&WitchFamiliarTitle	Ведьма-фамильяр
SpellList/&ClassWarlockSpellListDescription	Список заклинаний чернокнижника
SpellList/&ClassWarlockSpellListTitle	Список заклинаний чернокнижника
SpellList/&ElementalistSpellsListDescription	Список заклинаний элементалиста
SpellList/&ElementalistSpellsListTitle	Список заклинаний элементалиста
SpellList/&RiftWalkerSpellsListDescription	Список заклинаний RiftWalker
SpellList/&RiftWalkerSpellsListTitle	Список заклинаний Rift Walker
SpellList/&SpellListTinkererDescription	Список заклинаний Тинкерера
SpellList/&SpellListTinkererTitle	Список заклинаний Тинкерера
Stage/&IdentityMorphotypeEyeHeader	Стиль глаз
Stage/&SubclassSelectionStageClassMonkTraditionDescription	На этом этапе выбирается монашеская традиция персонажа.
Stage/&SubclassSelectionStageClassMonkTraditionFeatures	Особенности монашеской традиции
Stage/&SubclassSelectionStageClassMonkTraditionHeader	Выберите монашескую традицию
Stage/&SubclassSelectionStageClassMonkTraditionNoneDescription	Вы должны выбрать монашескую традицию
Stage/&SubclassSelectionStageClassMonkTraditionTitle	Монастырский\nТрадиция
Stage/&SubclassSelectionStageCovenDescription	Ковен
Stage/&SubclassSelectionStageCovenFeaturesDescription	Ковен
Stage/&SubclassSelectionStageCovenFeaturesHeader	Особенности шабаша
Stage/&SubclassSelectionStageCovenFeaturesTitle	Ковен
Stage/&SubclassSelectionStageCovenHeader	Выберите ковен
Stage/&SubclassSelectionStageCovenTitle	Ковен
Stage/&SubclassSelectionStagePatronDescription	Чернокнижник определяется договором с потусторонним существом. Иногда отношения между чернокнижником и покровителем подобны отношениям жреца и божества, хотя существа, служащие покровителями, не являются богами.
Stage/&SubclassSelectionStagePatronFeatures	Особенности потусторонних покровителей
Stage/&SubclassSelectionStagePatronHeader	Чернокнижник Потусторонние покровители
Stage/&SubclassSelectionStagePatronTitle	Потусторонние покровители
Stage/&SubclassSelectionStageSpecialistDescription	Описание У Tinkerers широкий спектр специальностей, включая изготовление эликсиров в качестве производителя зелий, создание взрывов в качестве бластера и владение магическим оружием в качестве оружейного кузнеца.
Stage/&SubclassSelectionStageSpecialistFeatures	Специализированные функции
Stage/&SubclassSelectionStageSpecialistHeader	Специализации
Stage/&SubclassSelectionStageSpecialistNoneDescription	Специалист Нет Описание
Stage/&SubclassSelectionStageSpecialistTitle	Выберите специализацию
Subclass/&AbilityAffinityRogueConArtistDescription	Преимущество в проверках способностей с использованием Убеждения, Обмана, Исполнения и Ловкости рук.
Subclass/&AbilityAffinityRogueConArtistTitle	Манипулятивный
Subclass/&AHWarlockSubclassSoulBladePactDescription	Вы заключили сделку с разумным оружием, которым вы кормите души в обмен на силу.
Subclass/&AHWarlockSubclassSoulBladePactTitle	Пакт Клинка Души
Subclass/&ArcaneFighterAdditionalActionDescription	Вы можете произнести заклинание после победы над врагом с помощью атак оружием.
Subclass/&ArcaneFighterAdditionalActionTitle	Борьба с заклинаниями
Subclass/&ArcaneFighterBonusWeaponDamageDescription	Один раз за ход ваши атаки оружием наносят дополнительный урон 1к8.
Subclass/&ArcaneFighterBonusWeaponDamageTitle	Магические атаки
Subclass/&ArtificerAlchemistDescription	Вы специализируетесь на зельях, баффах, исцелении и использовании заклинаний.
Subclass/&ArtificerAlchemistTitle	Зельевар
Subclass/&ArtificerArtileristCannonsDescription	Вы создаете набор пушек, которые можете активировать в бою в качестве бонусного действия.
Subclass/&ArtificerArtileristCannonsTitle	Пушки
Subclass/&ArtificerArtilleristDescription	Вы специализируетесь на метании снарядов и взрывов.
Subclass/&ArtificerArtilleristTitle	Бластер
Subclass/&ArtificerBattleSmithDescription	Вы специализируетесь на использовании магического оружия в бою.
Subclass/&ArtificerBattleSmithTitle	Оружейный кузнец
Subclass/&ArtificerSpellcastingDescription	Применение заклинаний Тинкерера
Subclass/&ArtificerSpellcastingTitle	Тинкерер Колдовство
Subclass/&AttackModifierArtificerBattleSmithWeaponDescription	Ваши атаки считаются магическими, и вы используете свой интеллект для бросков атаки и урона.
Subclass/&AttackModifierArtificerBattleSmithWeaponTitle	Заряженное оружие
Subclass/&AttackModifierArtificerBlindingWeaponDescription	Прикоснитесь к оружию, которое получает способность ослеплять цели при попадании (против спасброска Телосложения). Обратите внимание, что вы можете активировать инфузию только один раз. Активация во второй раз отменит первый
Subclass/&AttackModifierArtificerBlindingWeaponTitle	Ослепляющее оружие
Subclass/&AttackModifierArtificerEnhancedArmorDescription	Коснитесь брони, и она станет волшебной и даст +1 к AC. Обратите внимание, что вы можете активировать инфузию только один раз. Активация во второй раз отменит первый
Subclass/&AttackModifierArtificerEnhancedArmorTitle	Улучшенная броня
Subclass/&AttackModifierArtificerEnhancedFocusDescription	Коснитесь Фокуса, и он станет волшебным и получит +1 к DC атаки и заклинания. Обратите внимание, что вы можете активировать инфузию только один раз. Активация во второй раз отменит первый
Subclass/&AttackModifierArtificerEnhancedFocusTitle	Улучшенный фокус
Subclass/&AttackModifierArtificerEnhancedWeaponDescription	Прикоснитесь к оружию, и оно станет волшебным и получит +1 к броскам атаки и урона. Обратите внимание, что вы можете активировать инфузию только один раз. Активация во второй раз отменит первый
Subclass/&AttackModifierArtificerEnhancedWeaponTitle	Улучшенное оружие
Subclass/&AttackModifierArtificerImprovedEnhancedArmorDescription	Коснитесь брони, и она станет волшебной и даст +2 к AC. Обратите внимание, что вы можете активировать инфузию только один раз. Активация во второй раз отменит первый
Subclass/&AttackModifierArtificerImprovedEnhancedArmorTitle	Улучшенная усиленная броня
Subclass/&AttackModifierArtificerImprovedEnhancedFocusDescription	Коснитесь Фокуса, и он станет волшебным и получит +2 к DC атаки и заклинания. Обратите внимание, что вы можете активировать инфузию только один раз. Активация во второй раз отменит первый
Subclass/&AttackModifierArtificerImprovedEnhancedFocusTitle	Улучшенный улучшенный фокус
Subclass/&AttackModifierArtificerImprovedEnhancedWeaponDescription	Прикоснитесь к оружию, и оно станет волшебным и получит +2 к броскам атаки и урона. Обратите внимание, что вы можете активировать инфузию только один раз. Активация во второй раз отменит первый
Subclass/&AttackModifierArtificerImprovedEnhancedWeaponTitle	Улучшенное усиленное оружие
Subclass/&AttackModifierImprovedArtificerBattleSmithWeaponDescription	Вы наполняете свое оружие силой. Ваши атаки считаются магическими, и вы добавляете +7 к броскам атаки и урона.
Subclass/&AttackModifierImprovedArtificerBattleSmithWeaponTitle	Улучшенное наполняющее оружие
Subclass/&AttackModifierMeleeWizardArcaneWeaponDescription	Когда активен на оружии, его атаки считаются магическими, и вы используете свой интеллект для бросков атаки и урона.
Subclass/&AttackModifierMeleeWizardArcaneWeaponTitle	Тайное оружие
Subclass/&AttributeModifierArtificerBattleSmithExtraAttackDescription	Вы получаете дополнительную атаку
Subclass/&AttributeModifierArtificerBattleSmithExtraAttackTitle	Дополнительная атака
Subclass/&AttributeModifierMeleeWizardExtraAttackDescription	Вы получаете дополнительную атаку
Subclass/&AttributeModifierMeleeWizardExtraAttackTitle	Дополнительная атака
Subclass/&BarbarianPathOfTheLightDescription	Варвары, идущие по Пути Света, освещают тьму и защищают своих союзников от таящихся в ней опасностей.
Subclass/&BarbarianPathOfTheLightEyesOfTruthDescription	Вы всегда находитесь под действием заклинания See Invisibility.
Subclass/&BarbarianPathOfTheLightEyesOfTruthTitle	Глаза истины
Subclass/&BarbarianPathOfTheLightIlluminatedConditionDescription	Отвлеченный Освещающим Ударом
Subclass/&BarbarianPathOfTheLightIlluminatedConditionTitle	Освещенный
Subclass/&BarbarianPathOfTheLightIlluminatedDisadvantageDescription	Неудобство при любом броске атаки, кроме варвара Пути Света.
Subclass/&BarbarianPathOfTheLightIlluminatedPreventInvisibilityDescription	Не может стать невидимым
Subclass/&BarbarianPathOfTheLightIlluminatingBurstDescription	В ход, когда вы входите в ярость, вы можете осветить до трех врагов в пределах 30 футов от вас. Они должны преуспеть в спасброске Телосложения (УС равна 8 + ваш бонус мастерства + ваш модификатор Телосложения) или получить урон излучением 4d6 и быть освещенным вашим Освещающим ударом на 1 минуту. Существо, освещенное таким образом, совершает еще один спасбросок Телосложения в конце каждого своего хода. При успешном спасброске эффект для него заканчивается
Subclass/&BarbarianPathOfTheLightIlluminatingBurstPowerDescription	До трех врагов получают урон излучением 4к6 и освещаются вашим Освещающим ударом. (Спасбросок Телосложения отменяется.)
Subclass/&BarbarianPathOfTheLightIlluminatingBurstPowerTitle	Светящийся взрыв
Subclass/&BarbarianPathOfTheLightIlluminatingBurstTitle	Светящийся взрыв
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeDescription	Пока вы в ярости, первое существо, по которому вы попали атакой в ​​свой ход, получает дополнительный урон излучением 1к6 и становится магически освещенным до начала вашего следующего хода. Кроме того, существо совершает с помехой любой бросок атаки не против вас и не может стать невидимым.
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeImprovementDescription	Дополнительный урон, наносимый Освещающим ударом, увеличивается до 2d6.
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeImprovementTitle	Улучшение светового удара
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeTitle	Освещающий удар
Subclass/&BarbarianPathOfTheLightLightsProtectionDescription	Вы восстанавливаете очки жизни, равные половине вашего уровня варвара, когда враждебное существо, пораженное вашим Освещающим ударом, умирает. Кроме того, вы больше не провоцируете атаки существ, находящихся под действием вашего Освещающего удара.
Subclass/&BarbarianPathOfTheLightLightsProtectionTitle	Защита Света
Subclass/&BarbarianPathOfTheLightPierceTheDarknessDescription	Вы получаете превосходное темновидение
Subclass/&BarbarianPathOfTheLightPierceTheDarknessTitle	Пронзить тьму
Subclass/&BarbarianPathOfTheLightSeeingInvisibleConditionDescription	Может воспринимать невидимых существ
Subclass/&BarbarianPathOfTheLightSeeingInvisibleConditionTitle	Невидимка
Subclass/&BarbarianPathOfTheLightTitle	Путь Света
Subclass/&BloodWitchDescription	Запрещенная большинством шабашей ведьм, магия крови основывается на использовании темных заклинаний и проклятий смертных, исходящих из самой сущности заклинателя. Это принципиально более опасно, чем другие колдовские уловки, но многие риски сопряжены с обильными наградами.
Subclass/&BloodWitchMagicDescription	Вы получаете следующие заклинания. Эти заклинания считаются для вас заклинаниями Ведьмы и не учитываются при подсчете общего количества известных вам заклинаний:\n {0}
Subclass/&BloodWitchMagicTitle	Магия крови
Subclass/&BloodWitchTitle	Кровавая Ведьма
Subclass/&CancelCancelElixirFlyDescription	Завершите состояние «Летать» с помощью эликсира зельеварения.
Subclass/&CancelCancelElixirFlyTitle	Отменить полет
Subclass/&CancelCancelElixirResilienceDescription	Завершите состояние устойчивости от эликсира зельеварения
Subclass/&CancelCancelElixirResilienceTitle	Отменить устойчивость
Subclass/&CancelCancelElixirSwiftnessDescription	Завершите состояние Быстроты от эликсира зельеварения
Subclass/&CancelCancelElixirSwiftnessTitle	Отменить Быстрота
Subclass/&ClassMonkTraditionDescription	На 3 уровне вы выбираете духовный путь, по которому следуете к просветлению. Это определит, как вы будете манипулировать ки.
Subclass/&ClassMonkTraditionTitle	Монастырские традиции
Subclass/&ClassMonkTraditionWayOfTheOpenHandDescription	[обновление после реализации функций]\nМонахи Пути Открытой Руки — непревзойденные мастера боевых искусств, вооруженные или невооруженные. Они изучают техники толкания и сбивания с ног своих противников, манипулируют ки, чтобы исцелять повреждения своего тела, и практикуют продвинутую медитацию, которая может защитить их от вреда.
Subclass/&ClassMonkTraditionWayOfTheOpenHandTitle	Путь открытой ладони
Subclass/&ClassWarlockPatronDescription	Чернокнижник определяется договором с потусторонним существом. Иногда отношения между чернокнижником и покровителем подобны отношениям жреца и божества, хотя существа, служащие покровителями, не являются богами.
Subclass/&ClassWarlockPatronTitle	Потусторонний покровитель
Subclass/&ConditionResistantArmorTitle	Прочная броня
Subclass/&ConditionResistnatArmorDescription	Ваша броня устойчива к кислоте, холоду, огню, силе, молнии, некрозу, яду, психическому урону, излучению и грому.
Subclass/&ConditionSpellShieldArcaneDeflectionDescription	В качестве реакции вы можете использовать свои тайные силы, чтобы защитить себя. Это дает вам +{0} к КД до вашего следующего хода.
Subclass/&ConditionSpellShieldArcaneDeflectionTitle	Чародейское отклонение
Subclass/&ConditionTransmuteConstitutionSaveDescription	Временное телосложение, за исключением умения, дарованного силой Преобразования Силы.
Subclass/&ConditionTransmuteConstitutionSaveTitle	Конституция спасает
Subclass/&ConditionTransmutePoisonDescription	Временное сопротивление кислоте, холоду, огню, молнии, некрозу, грому и яду, даруемое силой Transmute Force.
Subclass/&ConditionTransmutePoisonTitle	Сопротивление стихиям
Subclass/&CraftingTinkererMagicItemAdeptDescription	Вы умеете создавать магические предметы. На изготовление предметов уходит в 1/4 меньше времени, и вы применяете удвоенный бонус мастерства при изготовлении.
Subclass/&CraftingTinkererMagicItemAdeptTitle	Адепт магических предметов
Subclass/&DHWarlockSubclassElementalPatronDescription	Вы заключили договор с первобытными обитателями бесплодных земель стихий и были изменены ими. Стихийный хаос покровителя наполнил вашу душу, позволив вам использовать силу разных стихийных типов
Subclass/&DHWarlockSubclassElementalPatronTitle	Пакт элементалиста
Subclass/&DHWarlockSubclassRiftWalkerDescription	Ваш покровитель — одно из редких существ, называющих пустоту между мирами своим домом. Они легко скользят между планами, и знания, которые вы получили от взаимодействия с ними, позволяют вам использовать затянувшуюся энергию разлома в свою пользу в соласте. Иногда вы можете испытывать тоску по далекому царству вашего покровителя, желание скитаться между измерениями до конца своих дней или наблюдать за признаками другого события Разлома, чтобы предотвратить или поощрить его.
Subclass/&DHWarlockSubclassRiftWalkerTitle	Пакт Уокера Рифта
Subclass/&DruidForestGuardianDruidSubclassDescription	Круг друидов-хранителей леса поклялся защищать леса и все, что в них обитает. Члены этого круга друидов, обладающие навыками использования магии Отречения и боевых искусств, представляют собой грозных противников на поле боя.
Subclass/&DruidForestGuardianDruidSubclassTitle	Круг хранителя леса
Subclass/&EquipmentModifierArtificerBagOfHolderDescription	Прикоснитесь к сумке и создайте дополнительное пространственное пространство, чтобы она могла удерживать больший вес, не обременяя вас. Обратите внимание, что вы можете активировать инфузию только один раз. Активация во второй раз отменит первый
Subclass/&EquipmentModifierArtificerBagOfHolderTitle	Сумка Холдинга
Subclass/&FighterSpellShieldDescription	Щиты от заклинаний — это бойцы, которые специализируются на защите и защите. Они используют магию, чтобы помочь своим природным способностям.
Subclass/&FighterSpellShieldSpellcastingDescription	Используйте заклинания и колдовство волшебников из школ Отречения, Иллюзии, Трансмутации и Некромантии.
Subclass/&FighterSpellShieldSpellcastingTitle	Колдовство
Subclass/&FighterSpellShieldSpellResistanceDescription	Ваш опыт работы с заклинаниями и, в частности, с магией Отречения сделал вас устойчивым к заклинаниям, направленным против вас.
Subclass/&FighterSpellShieldSpellResistanceTitle	Сопротивление заклинаниям
Subclass/&FighterSpellShieldTitle	Щит от заклинаний
Subclass/&GreenWitchDescription	Растения, природа и все, что растет, — это область зеленой магии. Обычно это тип арканы, поддерживаемый друидами, некоторые ведьмы тесно связаны с силами зеленой магии и могут уговаривать растения и животных выполнять свои волю.
Subclass/&GreenWitchMagicDescription	Вы получаете следующие заклинания. Эти заклинания считаются для вас заклинаниями Ведьмы и не учитываются при подсчете общего количества известных вам заклинаний:\n{0}
Subclass/&GreenWitchMagicTitle	Зеленая магия
Subclass/&GreenWitchTitle	Зеленая ведьма
Subclass/&HArtilleryIncreaseDescription	Увеличение пула артиллерии
Subclass/&HArtilleryIncreaseTitle	Увеличение пула артиллерии
Subclass/&HealingPoolArtificerBattleSmithInfusionsIncreaseDescription	Теперь вы можете добавлять два дополнительных предмета каждый день, они предназначены для использования в вашем специальном оружии кузнеца оружия.
Subclass/&HealingPoolArtificerBattleSmithInfusionsIncreaseTitle	Вливание оружия кузнеца оружия
Subclass/&HealingPoolArtificerInfusionsDescription	2 раза в день вселять предметы с магическими эффектами
Subclass/&HealingPoolArtificerInfusionsIncreaseDescription	Теперь вы можете добавлять по одному дополнительному предмету каждый день.
Subclass/&HealingPoolArtificerInfusionsIncreaseTitle	Больше инфузий
Subclass/&HealingPoolArtificerInfusionsTitle	Настои
Subclass/&HealingPoolLifeTransmuterBonusDescription	2 дополнительных раза в день вы можете навязывать свою волю реальности
Subclass/&HealingPoolLifeTransmuterBonusExtraDescription	4 дополнительных раза в день вы можете навязывать свою волю реальности
Subclass/&HealingPoolLifeTransmuterBonusExtraTitle	Дополнительная сила трансмутации
Subclass/&HealingPoolLifeTransmuterBonusTitle	Дополнительная сила трансмутации
Subclass/&HealingPoolLifeTransmuterListDescription	2 раза в день воплощайте свою волю в реальность с особыми способностями
Subclass/&HealingPoolLifeTransmuterListTitle	Трансмутация Силы
Subclass/&MagicAffinityAlchemicalSavantListDescription	При использовании Кислотной Стрелы и Пылающей Сферы они ведут себя так, как если бы были применены на 2 уровня выше. Ваши заклинания также усиливаются, поэтому даже когда противник спасается, они все равно получают половину урона.
Subclass/&MagicAffinityAlchemicalSavantListTitle	Эликсир Савант Заклинания
Subclass/&MagicAffinityAlchemistSpellRecoveryDescription	Вы можете восстанавливать ячейки заклинаний во время короткого отдыха дважды в день.
Subclass/&MagicAffinityAlchemistSpellRecoveryTitle	Алхимическая подготовка
Subclass/&MagicAffinityFighterSpellShieldDescription	Преимущество в проверках концентрации, а также возможность выполнять соматические компоненты заклинаний, удерживая предметы.
Subclass/&MagicAffinityFighterSpellShieldTitle	Боевой кастинг
Subclass/&MagicAffinityLifeTransmuterListDescription	При разыгрывании некоторых заклинаний Трансмутации и Некромантии они разыгрываются в слоте заклинаний на 2 уровня выше используемого. Улучшенные заклинания включают в себя: Ложная жизнь, Слепота, Полет, Дарование проклятия, Прикосновение вампира, Скверна и Облачное убийство. -- Примечание. Намерение состоит в том, чтобы также получить преимущество от магического оружия, но в настоящее время повышение уровня заклинания таким образом на магическом оружии не имеет никакого эффекта.
Subclass/&MagicAffinityLifeTransmuterListTitle	Изгиб реальности
Subclass/&MagicAffinityMasterManipulatorDC0Description	Противникам сложнее противостоять вашим заклинаниям. DC спасброска увеличивается на 0
Subclass/&MagicAffinityMasterManipulatorDC1Description	Противникам сложнее противостоять вашим заклинаниям. DC спасброска увеличивается на 1
Subclass/&MagicAffinityMasterManipulatorDC2Description	Противникам сложнее противостоять вашим заклинаниям. DC спасброска увеличивается на 2
Subclass/&MagicAffinityMasterManipulatorDC3Description	Противникам сложнее противостоять вашим заклинаниям. DC спасброска увеличивается на 3
Subclass/&MagicAffinityMasterManipulatorDC4Description	Противникам сложнее противостоять вашим заклинаниям. DC спасброска увеличивается на 4
Subclass/&MagicAffinityMasterManipulatorDC5Description	Противникам сложнее противостоять вашим заклинаниям. DC спасброска увеличивается на 5
Subclass/&MagicAffinityMasterManipulatorDCDescription	Противникам сложнее противостоять вашим заклинаниям. DC спасброска увеличивается на 3
Subclass/&MagicAffinityMasterManipulatorDCTitle	Тайная сила
Subclass/&MagicAffinityMasterManipulatorListDescription	При использовании некоторых заклинаний Очарования, Отречения и Иллюзии они применяются в ячейке заклинания на 1 уровень выше используемого. Улучшенные заклинания включают в себя: «Очарование человека», «Сон», «Цветной спрей», «Удержание человека», «Невидимость», «Контрзаклинание», «Рассеивание магии», «Изгнание», «Замешательство», «Призрачный убийца», «Доминирование над человеком» и «Удержание монстра».
Subclass/&MagicAffinityMasterManipulatorListTitle	Тайная манипуляция
Subclass/&MagicAffinityMeleeWizardConcentrationDescription	Благодаря опыту в хаосе боя получите преимущество в проверках концентрации.
Subclass/&MagicAffinityMeleeWizardConcentrationTitle	Улучшенная концентрация
Subclass/&MagicAffinityRoguishConArtistDC0Description	Сл вашего спасброска от заклинания увеличивается на 0
Subclass/&MagicAffinityRoguishConArtistDC1Description	Сл вашего спасброска от заклинания увеличивается на 1.
Subclass/&MagicAffinityRoguishConArtistDC2Description	Сл вашего спасброска от заклинания увеличивается на 2
Subclass/&MagicAffinityRoguishConArtistDC3Description	Сл вашего спасброска от заклинания увеличивается на 3
Subclass/&MagicAffinityRoguishConArtistDC4Description	Сл вашего спасброска от заклинания увеличивается на 4.
Subclass/&MagicAffinityRoguishConArtistDC5Description	Сл вашего спасброска от заклинания увеличивается на 5
Subclass/&MagicAffinityRoguishConArtistDCTitle	Улучшенное управление
Subclass/&MagicAffinitySpellMasterBonusScribingDescription	Напишите дополнительное заклинание на каждом уровне выше
Subclass/&MagicAffinitySpellMasterBonusScribingTitle	Широта знаний
Subclass/&MagicAffinitySpellMasterRecoveryDescription	Один раз за продолжительный отдых вы можете восстановить ячейки заклинаний (в дополнение к Arcane Recovery)
Subclass/&MagicAffinitySpellMasterRecoveryTitle	Тайная глубина
Subclass/&MagicAffinitySpellMasterRecoveryUnlimitedDescription	Вы можете восстанавливать ячейки заклинаний неограниченное количество раз (в дополнение к Arcane Recovery)
Subclass/&MagicAffinitySpellMasterRecoveryUnlimitedTitle	Тайная глубина
Subclass/&MagicAffinitySpellMasterScribingDescription	Написание заклинаний занимает 1/4 времени и стоимости, и у вас есть преимущество
Subclass/&MagicAffinitySpellMasterScribingTitle	Мастер-писец
Subclass/&ManipulatorMentalSavingThrowsDescription	Получите мастерство в спасбросках Телосложения и Харизмы.
Subclass/&ManipulatorMentalSavingThrowsTitle	Психическое сопротивление
Subclass/&OpportunistDescription	Оппортунисты — это те, кто никогда не упускает возможности закончить свои слайды врага. Они наносят удар быстро и наносят удар там, где это необходимо. Не многие сталкивались с ними, чтобы не поцарапаться
Subclass/&OpportunistTitle	Оппортунист
Subclass/&PowerArtificerBattleSmithImprovedInfuseWeaponDescription	Вы наполняете свое оружие силой. Ваши атаки считаются магическими, и вы добавляете +7 к своим броскам атаки и урона. Обратите внимание, что вы можете активировать инфузию только один раз. Активация во второй раз отменит первый
Subclass/&PowerArtificerBattleSmithImprovedInfuseWeaponTitle	Улучшенное наполняющее оружие
Subclass/&PowerArtificerBattleSmithInfuseWeaponDescription	Вы наполняете свое оружие силой. Ваши атаки считаются магическими, и вы используете свой интеллект для бросков атаки и урона до следующего продолжительного отдыха.
Subclass/&PowerArtificerBattleSmithInfuseWeaponTitle	Наполнить оружие
