ActionAffinity/&DHFeeblemindSpellDescription	Kann keine Zauber wirken
Sorceror/&ZSSorcerousRestorationTitle	Zauberhafte Wiederherstellung
Spell/&AcidClawsDescription	Führen Sie mit Ihren geschärften Krallen einen tödlichen Angriff durch
Spell/&AcidClawsTitle	Blutige Krallen
Spell/&AHHellishRebukeDescription	Du zeigst mit dem Finger und die Kreatur, die dir Schaden zugefügt hat, ist für einen Moment von höllischen Flammen umgeben. Die Kreatur muss einen Geschicklichkeitsrettungswurf machen. Es erleidet 2W10 Feuerschaden bei einem fehlgeschlagenen Rettungswurf oder halb so viel Schaden bei einem erfolgreichen
Spell/&AHHellishRebukeTitle	Höllische Rüge
Spell/&AHPactMarkAdditionalDamageDescription	Zusätzlich 1W6 Schaden bei einer mit Pakt markierten Kreatur
Spell/&AHPactMarkAdditionalDamageTitle	Paktmarke Schaden
Spell/&AHPactMarkMarkedByPactConditionDescription	Diese Kreatur wurde durch einen Pakt markiert und erleidet zusätzlichen Schaden durch die Markierung
Spell/&AHPactMarkMarkedByPactConditionTitle	Gekennzeichnet durch Pakt
Spell/&AHPactMarkPactMarkConditionDescription	Du kannst andere Kreaturen mit einem Paktzeichen markieren und ihnen mit physischen oder Zauberangriffen zusätzlich 1W6 Schaden zufügen
Spell/&AHPactMarkPactMarkConditionTitle	Paktmarke
Spell/&AHPactMarkSpellDescription	Sie platzieren ein Zeichen Ihres Pakts auf einer Kreatur, die Sie innerhalb von 90 Fuß sehen können. Es wird für dich verwundbar und erleidet zusätzlich 1W6 Schaden, wenn du es mit einem Angriff (physischer oder Zauberangriff) triffst. Dieser Schaden ist vom gleichen Typ wie der Angriff, der trifft
Spell/&AHPactMarkSpellTitle	Paktmarke
Spell/&AirBlastDescription	Feuern Sie einen Strahl fokussierter Luft auf Ihr Ziel ab
Spell/&AirBlastTitle	Luftstoß
Spell/&BurstOfRadianceDescription	Erzeuge einen brillanten Blitz aus schimmerndem Licht, der allen Feinden um dich herum Schaden zufügt
Spell/&BurstOfRadianceTitle	Strahlkraft
Spell/&CJDivineWordDescription	Du sprichst ein göttliches Wort, erfüllt von der Kraft, die die Welt zu Beginn der Schöpfung geformt hat. Wähle eine beliebige Anzahl an Kreaturen, die du in Reichweite sehen kannst. Jede Kreatur, die dich hören kann, muss einen Charisma-Rettungswurf machen. Bei einem fehlgeschlagenen Rettungswurf erleidet eine Kreatur einen Effekt basierend auf ihren aktuellen Trefferpunkten:\n50 Trefferpunkte oder weniger: 1 Minute lang taub\n40 Trefferpunkte oder weniger: 10 Minuten lang taub und geblendet\n30 Trefferpunkte oder weniger: 1 Stunde lang geblendet, taub und betäubt\n20 Trefferpunkte oder weniger: sofort getötet\nUnabhängig von seinen aktuellen Trefferpunkten wird ein Himmlischer, ein Elementar, ein Feenwesen oder ein Unterweltler, dem sein Rettungswurf misslingt, auf seine Ursprungsebene zurückgedrängt (falls er nicht bereits dort ist) und kann nicht auf deine aktuelle Ebene zurückkehren 24 Stunden auf jeden Fall kurz vor einem Wunschzauber.
Spell/&CJDivineWordTitle	Göttliches Wort
Spell/&DHAnimalShapesSpellDescription	Wähle eine beliebige Anzahl williger Kreaturen, die du in Reichweite sehen kannst. Du verwandelst jedes Ziel in die Form einer großen oder kleineren Bestie mit einem Herausforderungswert von 4 oder niedriger
Spell/&DHAnimalShapesSpellTitle	Tierische Formen
Spell/&DHCastSpellArchMageDescription	Zauberfähigkeit des Erzmagiers
Spell/&DHCastSpellArchMageTitle	Zauberfähigkeit des Erzmagiers
Spell/&DHCastSpellGuardianNagaDescription	Zauberfähigkeit des Erzmagiers
Spell/&DHCastSpellGuardianNagaTitle	Zauberfähigkeit des Erzmagiers
Spell/&DHCastSpellLichDescription	Lich-Casting-Fähigkeit
Spell/&DHCastSpellLichTitle	Lich-Casting-Fähigkeit
Spell/&DHConjureCelestialSpellDescription	Du beschwörst einen Himmlischen der Herausforderungsstufe 4 oder niedriger, der in einem unbesetzten Feld erscheint, das du in Reichweite sehen kannst. Der Himmel verschwindet, wenn er auf 0 Trefferpunkte fällt oder wenn der Zauber endet. Der Himmlische ist für die Dauer freundlich zu dir und deinen Gefährten
Spell/&DHConjureCelestialSpellTitle	Celestial beschwören (Couatl)
Spell/&DHDominateMonsterSpellDescription	Du versuchst, eine Kreatur zu betören, die du in Reichweite sehen kannst. Ihr muss ein Weisheitsrettungswurf gelingen oder für die Dauer von dir bezaubert sein
Spell/&DHDominateMonsterSpellTitle	Beherrsche Monster
Spell/&DHFeeblemindSpellDescription	Sie sprengen den Geist einer Kreatur, die Sie in Reichweite sehen können, und versuchen, ihren Intellekt und ihre Persönlichkeit zu zerstören. Das Ziel erleidet 4W6 psychischen Schaden und muss einen Intelligenzrettungswurf ablegen. Bei einem misslungenen Rettungswurf werden die Intelligenz- und Charismawerte der Kreatur zu 1. Die Kreatur kann keine Zauber wirken, magische Gegenstände aktivieren, Sprache verstehen oder auf verständliche Weise kommunizieren
Spell/&DHFeeblemindSpellTitle	Schwachsinn
Spell/&DHFingerOfDeathSpellDescription	Das Ziel muss einen Konstitutionsrettungswurf machen. Es erleidet 7W8 + 30 nekrotischen Schaden bei einem fehlgeschlagenen Rettungswurf oder halb so viel Schaden bei einem erfolgreichen
Spell/&DHFingerOfDeathSpellTitle	Finger des Todes (kein Zombie)
Spell/&DHForesightSpellDescription	Sie berühren eine willige Kreatur und verleihen ihr eine begrenzte Fähigkeit, in die unmittelbare Zukunft zu sehen. Für die Dauer kann das Ziel nicht überrascht werden und ist bei Angriffswürfen, Attributswürfen und Rettungswürfen im Vorteil. Zusätzlich haben andere Kreaturen für die Dauer einen Nachteil bei Angriffswürfen gegen das Ziel
Spell/&DHForesightSpellTitle	Voraussicht
Spell/&DHHolyAuraSpellDescription	Göttliches Licht strömt aus dir heraus und verschmilzt in einem weichen Glanz in einem 30-Fuß-Radius um dich herum. Kreaturen deiner Wahl in diesem Radius, wenn du diesen Zauber wirkst, werfen schwaches Licht in einem Radius von 1,50 m und haben einen Vorteil bei allen Rettungswürfen, und andere Kreaturen haben einen Nachteil bei Angriffswürfen gegen sie, bis der Zauber endet
Spell/&DHHolyAuraSpellTitle	Heilige Aura
Spell/&DHIncendiaryCloudSpellDescription	Eine wirbelnde Rauchwolke, die von weiß glühender Glut durchzogen ist, erscheint in einer Kugel mit einem Radius von 20 Fuß, die auf einem Punkt in Reichweite zentriert ist. Die Wolke breitet sich um Ecken aus und ist stark verdeckt. Sie dauert so lange an, bis ein Wind mittlerer oder höherer Geschwindigkeit (mindestens 10 Meilen pro Stunde) sie zerstreut. Wenn die Wolke erscheint, muss jede Kreatur darin einen Geschicklichkeitsrettungswurf machen. Eine Kreatur erleidet 10W8 Feuerschaden bei einem fehlgeschlagenen Rettungswurf oder halb so viel Schaden bei einem erfolgreichen Rettungswurf. Eine Kreatur muss diesen Rettungswurf auch machen, wenn sie das Wirkungsgebiet des Zaubers zum ersten Mal in einem Zug betritt oder dort ihren Zug beendet. Die Wolke bewegt sich 10 Fuß direkt von dir weg in eine Richtung, die du zu Beginn jedes deiner Züge wählst
Spell/&DHIncendiaryCloudSpellTitle	Brandwolke
Spell/&DHMassHealSpellDescription	Eine Flut heilender Energie fließt von dir in verletzte Kreaturen um dich herum. Sie stellen bis zu 700 Trefferpunkte wieder her, die Sie nach Belieben auf eine beliebige Anzahl von Kreaturen aufteilen, die Sie in Reichweite sehen können. Durch diesen Zauber geheilte Kreaturen werden auch von allen Krankheiten und allen Effekten geheilt, die sie blind oder taub machen. Dieser Zauber hat keine Wirkung auf Untote oder Konstrukte
Spell/&DHMassHealSpellTitle	Massenheilung
Spell/&DHMazeSpellDescription	Du verbannst eine Kreatur, die du in Reichweite sehen kannst, in eine labyrinthartige Halbebene. Das Ziel bleibt dort für die Dauer oder bis es aus dem Labyrinth entkommt. /nDas Ziel kann mit seiner Aktion versuchen zu entkommen. Wenn es das tut, macht es einen Intelligenzwurf gegen SG 20
Spell/&DHMazeSpellTitle	Labyrinth
Spell/&DHMeteorSwarmSingleTargetSpellDescription	Lodernde Feuerkugeln stürzen an einem einzigen Punkt, den Sie in Reichweite sehen können, zu Boden. Jede Kreatur in einer Kugel mit einem Radius von 40 Fuß, deren Mittelpunkt der von Ihnen gewählte Punkt ist, muss einen Geschicklichkeitsrettungswurf machen. Die Kugel breitet sich um Ecken aus. Eine Kreatur erleidet 20W6 Feuerschaden und 20W6 Wuchtschaden bei einem fehlgeschlagenen Rettungswurf oder halb so viel Schaden bei einem erfolgreichen Rettungswurf. Eine Kreatur im Bereich von mehr als einer feurigen Explosion wird nur einmal betroffen.
Spell/&DHMeteorSwarmSingleTargetSpellTitle	Meteorschwarm (Einzelziel)
Spell/&DHMindBlankSpellDescription	Bis der Zauber endet, ist eine willige Kreatur, die du berührst, immun gegen psychischen Schaden, jeden Effekt, der ihre Emotionen spüren oder ihre Gedanken lesen würde, Weissagungszauber und den verzauberten Zustand
Spell/&DHMindBlankSpellTitle	Verstand leer
Spell/&DHPowerWordHealSpellDescription	Eine Welle heilender Energie spült über die Kreatur, die du berührst. Das Ziel erhält alle seine Trefferpunkte zurück. Wenn die Kreatur bezaubert, verängstigt, gelähmt oder betäubt ist, endet der Zustand. Wenn die Kreatur am Boden liegt, kann sie ihre Reaktion nutzen, um aufzustehen. Dieser Zauber hat keine Wirkung auf Untote oder Konstrukte
Spell/&DHPowerWordHealSpellTitle	Kraftwort heilen
Spell/&DHPowerWordKillSpellDescription	Du sprichst ein Wort der Macht, das eine Kreatur, die du in Reichweite sehen kannst, dazu zwingen kann, sofort zu sterben. Wenn die gewählte Kreatur 100 Trefferpunkte oder weniger hat, stirbt sie. Andernfalls hat der Zauber keine Wirkung
Spell/&DHPowerWordKillSpellTitle	Machtwort-Kill
Spell/&DHPowerWordStunSpellDescription	Du sprichst ein Wort der Macht, das den Verstand einer Kreatur überwältigen kann, die du in Reichweite sehen kannst, und sie verblüfft zurücklässt. Wenn das Ziel 150 Trefferpunkte oder weniger hat, ist es betäubt. Andernfalls hat der Zauber keine Wirkung
Spell/&DHPowerWordStunSpellTitle	Machtwort betäuben
Spell/&DHReverseGravitySpellDescription	Dieser Zauber kehrt die Schwerkraft in einem 100 Fuß hohen Zylinder mit einem Radius von 50 Fuß um, der auf einen Punkt in Reichweite zentriert ist
Spell/&DHReverseGravitySpellTitle	Umgekehrte Schwerkraft
Spell/&DHShapechangeSpellDescription	Du nimmst für die Dauer die Form einer anderen Kreatur an. Die neue Form kann jede Kreatur sein, deren Herausforderungswert deiner Stufe entspricht oder darunter liegt
Spell/&DHShapechangeSpellTitle	Formänderung
Spell/&DHSunBurstSpellDescription	Brillantes Sonnenlicht blitzt in einem 60-Fuß-Radius um einen von Ihnen gewählten Punkt in Reichweite auf. Jede Kreatur in diesem Licht muss einen Konstitutionsrettungswurf machen. Bei einem fehlgeschlagenen Rettungswurf erleidet eine Kreatur 12W6 Strahlungsschaden und wird 1 Minute lang geblendet. Bei einem erfolgreichen Rettungswurf erleidet es halb so viel Schaden und wird von diesem Zauber nicht geblendet. Untote und Schlicke sind bei diesem Rettungswurf benachteiligt. Eine von diesem Zauber geblendete Kreatur macht am Ende jedes ihrer Züge einen weiteren Konstitutionsrettungswurf. Bei einem erfolgreichen Rettungswurf ist es nicht mehr geblendet. Dieser Zauber vertreibt jegliche Dunkelheit in seinem Bereich, die durch einen Zauber erzeugt wurde
Spell/&DHSunBurstSpellTitle	Sonnendurchbruch
Spell/&DHTimeStopSpellDescription	Du stoppst kurzzeitig den Fluss der Zeit für alle außer für dich selbst. Für andere Kreaturen vergeht keine Zeit, während Sie 1W4 + 1 Züge hintereinander machen, in denen Sie Aktionen verwenden und sich wie gewohnt bewegen können
Spell/&DHTimeStopSpellTitle	Zeitstopp
Spell/&DHWeirdSpellDescription	Du schöpfst aus den tiefsten Ängsten einer Gruppe von Kreaturen und erschaffst illusorische Kreaturen in ihren Köpfen, die nur für sie sichtbar sind. Jede Kreatur in einer Kugel mit einem Radius von 30 Fuß, deren Mittelpunkt ein Punkt deiner Wahl in Reichweite ist, muss einen Weisheitswurf ablegen. Bei einem fehlgeschlagenen Rettungswurf bekommt eine Kreatur für die Dauer Angst. Die Illusion ruft die tiefsten Ängste der Kreatur hervor und manifestiert ihre schlimmsten Alpträume als unerbittliche Bedrohung. Am Ende jedes Zuges der verängstigten Kreatur muss ihr ein Weisheitsrettungswurf gelingen oder sie erleidet 4W10 psychischen Schaden. Bei einem erfolgreichen Rettungswurf endet der Zauber für diese Kreatur
Spell/&DHWeirdSpellTitle	Seltsam
Spell/&EarthTremorDescription	Du triffst auf den Boden und entfesselst ein Beben seismischer Kraft, das Erde, Felsen und Sand aufwirbelt
Spell/&EarthTremorTitle	Erdbeben
Spell/&EldritchBlastDescription	Ein Strahl knisternder Energie schießt auf eine Kreatur in Reichweite zu. Führen Sie einen Fernzauberangriff gegen das Ziel durch. Bei einem Treffer erleidet das Ziel 1W10 Kraftschaden.\nDer Zauber erzeugt mehr als einen Strahl, wenn Sie höhere Stufen erreichen: zwei Strahlen auf der 5. Stufe, drei Strahlen auf der 11. Stufe und vier Strahlen auf der 17. Stufe. Sie können die Strahlen auf dasselbe oder auf unterschiedliche Ziele richten. Führen Sie für jeden Strahl einen separaten Angriffswurf durch
Spell/&EldritchBlastGraspingHandDescription	Ein Strahl knisternder Energie schießt auf eine Kreatur in Reichweite zu. Führen Sie einen Fernzauberangriff gegen das Ziel durch. Bei einem Treffer erleidet das Ziel 1W10 Kraftschaden.\n(Wenn du eine Kreatur mit deiner unheimlichen Explosion triffst, kannst du diese Kreatur in einer geraden Linie 3 m näher an dich heranbewegen.)
Spell/&EldritchBlastGraspingHandTitle	Eldritch Blast (Greifen)
Spell/&EldritchBlastRepellingBlastDescription	Ein Strahl knisternder Energie schießt auf eine Kreatur in Reichweite zu. Führen Sie einen Fernzauberangriff gegen das Ziel durch. Bei einem Treffer erleidet das Ziel 1W10 Kraftschaden.\n(Wenn du eine Kreatur mit einer unheimlichen Explosion triffst, kannst du die Kreatur in einer geraden Linie bis zu 3 m von dir wegstoßen.)
Spell/&EldritchBlastRepellingBlastTitle	Eldritch Blast (Abstoßend)
Spell/&EldritchBlastTitle	Eldritch-Explosion
Spell/&EldritchOrbDescription	Du schleuderst einen Ball unheimlicher Energie auf eine Kreatur oder ein Objekt in Reichweite
Spell/&EldritchOrbTitle	Unheimliche Kugel
Spell/&FindFamiliarDescription	Sie erhalten den Dienst eines Vertrauten
Spell/&FindFamiliarImpDescription	Beschwört deinen Vertrauten in Form eines Kobolds
Spell/&FindFamiliarImpTitle	Vertraut finden (Kobold)
Spell/&FindFamiliarPsuedodragonDescription	Beschwört deinen Vertrauten in Form eines Pseudodrachen
Spell/&FindFamiliarPsuedodragonTitle	Vertraut finden (Pseudodrache)
Spell/&FindFamiliarQuasitDescription	Beschwört deinen Vertrauten in Form eines Quasits
Spell/&FindFamiliarQuasitTitle	Vertraut finden (Quasit)
Spell/&FindFamiliarSpriteDescription	Beschwört deinen Vertrauten in Form eines Sprites
Spell/&FindFamiliarSpriteTitle	Vertraut finden (Sprite)
Spell/&FindFamiliarTitle	Vertraut finden
Spell/&FrenzyDescription	Mit einer Geste reduzieren Sie eine Menschenmenge auf Instinkt und Gewalt. Wählen Sie einen Punkt, den Sie in Reichweite sehen können. Jede Kreatur innerhalb von 20 Fuß um diesen Punkt muss einen Weisheitsrettungswurf machen. Bei einem fehlgeschlagenen Rettungswurf ist eine Kreatur für die Dauer in Raserei. Wenn eine Kreatur in Raserei ist, zieht sie eine Nahkampfwaffe, falls sie eine hat. Eine rasende Kreatur muss ihre Aktion zu Beginn ihres Zuges nutzen, um eine Kreatur in ihrer Reichweite anzugreifen. Es verwendet eine Nahkampfwaffe, wenn es eine hat, oder eine improvisierte Waffe oder einen waffenlosen Schlag, wenn es keine hat. Wenn sich mehrere Ziele in Reichweite der Kreatur befinden, wählt sie ihr Ziel zufällig aus. Befindet sich kein Ziel in Reichweite der Kreatur, greift sie sich selbst gegen ihre eigene RK an und verursacht bei einem Treffer wie gewohnt Schaden. Am Ende ihres Zuges kann eine rasende Kreatur ihren Rettungswurf wiederholen, wodurch der Effekt bei einem Erfolg vorzeitig beendet wird
Spell/&FrenzyTitle	Raserei
Spell/&HinderingBlastDescription	Ein Strahl knisternder Energie schießt auf eine Kreatur in Reichweite zu. Führen Sie einen Fernzauberangriff gegen das Ziel durch. Bei einem Treffer erleidet das Ziel 1W10 Kraftschaden.\n(Wenn du eine Kreatur mit deiner unheimlichen Explosion triffst, kannst du die Geschwindigkeit dieser Kreatur bis zum Ende deines nächsten Zuges um 3 m reduzieren.)
Spell/&HinderingBlastTitle	Eldritch Blast (Behinderung)
Spell/&IPConjureInvisibleStalkerTitle	Elementar beschwören (Unsichtbarer Stalker)
Spell/&MinorLifestealDescription	Du entziehst einer feindlichen Kreatur, die du in Reichweite sehen kannst, Lebensenergie. Du heilst dann Trefferpunkte in Höhe des verursachten Schadens. Dieser Zauber hat keine Wirkung auf Untote oder Konstrukte
Spell/&MinorLifestealTitle	Kleiner Lebensraub
Spell/&PetalStormDescription	Wählen Sie einen unbesetzten 15-Fuß-Luftwürfel, den Sie in Reichweite sehen können. Eine elementare Kraft wirbelnder Winde erscheint im Würfel und hält für die Dauer des Zaubers an. Die Wolke verdeckt stark ihren Bereich. Jede Kreatur, die den Sturm zum ersten Mal in einem Zug betritt oder dort ihren Zug beginnt, muss einen Kraftrettungswurf machen. Bei einem fehlgeschlagenen Rettungswurf erleidet die Kreatur 3W4 Hiebschaden. Als Bonusaktion kannst du den Sturm um bis zu 30 Fuß in jede Richtung bewegen
Spell/&PetalStormTitle	Blütensturm
Spell/&ProtectThresholdDescription	Indem du arkane Siegel entlang seiner Grenze zeichnest, kannst du eine Tür, ein Fenster oder ein anderes Portal vor dem Eintritt schützen. Für die Dauer schleicht eine unsichtbare unheimliche Kreatur durch das geschützte Portal. Jede Kreatur, die versucht, durch das Portal zu gehen, muss einen Weisheitswurf machen oder 4W6 psychischen Schaden erleiden oder halb so viel bei einem erfolgreichen Rettungswurf
Spell/&ProtectThresholdTitle	Schwellenwert schützen
Spell/&ThunderStrikeDescription	Erzeuge einen Donnerstoß, der allen um dich herum Schaden zufügt
Spell/&ThunderStrikeTitle	Schallausbruch
Spell/&WinterBreathDescription	Erschaffe einen kalten Windstoß, um deine Feinde abzukühlen und sie zu Fall zu bringen
Spell/&WinterBreathTitle	Winteratem
Spell/&WitchFamiliarDescription	Sie erhalten den Dienst eines Vertrauten
Spell/&WitchFamiliarTitle	Hexe vertraut
SpellList/&ClassWarlockSpellListDescription	Hexenmeister-Zauberliste
SpellList/&ClassWarlockSpellListTitle	Hexenmeister-Zauberliste
SpellList/&ElementalistSpellsListDescription	Elementarmagier-Zauberliste
SpellList/&ElementalistSpellsListTitle	Elementarmagier-Zauberliste
SpellList/&RiftWalkerSpellsListDescription	RiftWalker-Zauberliste
SpellList/&RiftWalkerSpellsListTitle	Rift Walker-Zauberliste
SpellList/&SpellListTinkererDescription	Tüftler-Zauberliste
SpellList/&SpellListTinkererTitle	Tüftler-Zauberliste
Stage/&IdentityMorphotypeEyeHeader	Augenstil
Stage/&SubclassSelectionStageCovenDescription	Zirkel
Stage/&SubclassSelectionStageCovenFeaturesDescription	Zirkel
Stage/&SubclassSelectionStageCovenFeaturesHeader	Coven-Funktionen
Stage/&SubclassSelectionStageCovenFeaturesTitle	Zirkel
Stage/&SubclassSelectionStageCovenHeader	Wähle einen Zirkel aus
Stage/&SubclassSelectionStageCovenTitle	Zirkel
Stage/&SubclassSelectionStagePatronDescription	Ein Hexenmeister wird durch einen Pakt mit einem jenseitigen Wesen definiert. Manchmal ist die Beziehung zwischen Hexenmeister und Gönner wie die eines Klerikers und einer Gottheit, obwohl die Wesen, die als Gönner dienen, keine Götter sind
Stage/&SubclassSelectionStagePatronFeatures	Andere Patrons-Funktionen
Stage/&SubclassSelectionStagePatronHeader	Hexenmeister Andersweltliche Gönner
Stage/&SubclassSelectionStagePatronTitle	Sonst Gönner
Stage/&SubclassSelectionStageSpecialistDescription	Beschreibung Es gibt eine große Auswahl an Spezialitäten in Tinkerers, darunter die Herstellung von Elixieren als Tränkemacher, das Erzeugen von Explosionen als Blaster und das Führen magischer Waffen als Waffenschmied
Stage/&SubclassSelectionStageSpecialistFeatures	Spezialfunktionen
Stage/&SubclassSelectionStageSpecialistHeader	Spezialisierungen
Stage/&SubclassSelectionStageSpecialistNoneDescription	Spezialist Keine Beschreibung
Stage/&SubclassSelectionStageSpecialistTitle	Spezialisierung auswählen
Subclass/&AbilityAffinityRogueConArtistDescription	Vorteil bei Fähigkeitsprüfungen mit Überzeugung, Täuschung, Leistung und Fingerfertigkeit
Subclass/&AbilityAffinityRogueConArtistTitle	Manipulativ
Subclass/&AHWarlockSubclassSoulBladePactDescription	Du hast einen Handel mit einer empfindungsfähigen Waffe abgeschlossen, die du im Gegenzug für Macht mit Seelen fütterst
Subclass/&AHWarlockSubclassSoulBladePactTitle	SoulBlade-Pakt
Subclass/&ArcaneFighterAdditionalActionDescription	Du kannst einen Zauber wirken, nachdem du einen Feind mit deinen Waffenangriffen besiegt hast
Subclass/&ArcaneFighterAdditionalActionTitle	Zauberkampf
Subclass/&ArcaneFighterBonusWeaponDamageDescription	Einmal pro Zug verursachen deine Waffenangriffe 1W8 zusätzlichen Schaden
Subclass/&ArcaneFighterBonusWeaponDamageTitle	Magisch angetriebene Angriffe
Subclass/&ArtificerAlchemistDescription	Du bist auf Tränke, Buffs, Heilung und Zaubersprüche spezialisiert
Subclass/&ArtificerAlchemistTitle	Zaubertrankhersteller
Subclass/&ArtificerArtileristCannonsDescription	Sie erstellen eine Reihe von Kanonen, die Sie im Kampf als Bonusaktion aktivieren können
Subclass/&ArtificerArtileristCannonsTitle	Kanonen
Subclass/&ArtificerArtilleristDescription	Du bist darauf spezialisiert, Projektile zu schleudern und Explosionen zu verursachen
Subclass/&ArtificerArtilleristTitle	Blaster
Subclass/&ArtificerBattleSmithDescription	Du spezialisierst dich auf den Einsatz magischer Waffen im Kampf
Subclass/&ArtificerBattleSmithTitle	Waffenschmied
Subclass/&ArtificerSpellcastingDescription	Wirke Tinkerer-Zauber
Subclass/&ArtificerSpellcastingTitle	Tinkerer Zaubersprüche
Subclass/&AttackModifierArtificerBattleSmithWeaponDescription	Deine Angriffe zählen als magisch und du nutzt deine Intelligenz für Angriffs- und Schadenswürfe
Subclass/&AttackModifierArtificerBattleSmithWeaponTitle	Infundierte Waffe
Subclass/&AttackModifierArtificerBlindingWeaponDescription	Berühre eine Waffe, die die Fähigkeit erhält, Ziele bei einem Treffer zu blenden (gegen einen Konstitutionswurf). Beachten Sie, dass Sie eine Infusion nur einmal aktiv haben können. Eine zweite Aktivierung bricht die erste ab
Subclass/&AttackModifierArtificerBlindingWeaponTitle	Blendende Waffe
Subclass/&AttackModifierArtificerEnhancedArmorDescription	Berühre Rüstung und sie wird magisch und gibt +1 RK. Beachten Sie, dass Sie eine Infusion nur einmal aktiv haben können. Eine zweite Aktivierung bricht die erste ab
Subclass/&AttackModifierArtificerEnhancedArmorTitle	Verbesserte Rüstung
Subclass/&AttackModifierArtificerEnhancedFocusDescription	Berühre einen Fokus und er wird magisch und erhält +1 auf Angriffs- und Zauber-DC. Beachten Sie, dass Sie eine Infusion nur einmal aktiv haben können. Eine zweite Aktivierung bricht die erste ab
Subclass/&AttackModifierArtificerEnhancedFocusTitle	Verbesserter Fokus
Subclass/&AttackModifierArtificerEnhancedWeaponDescription	Berühre eine Waffe und sie wird magisch und erhält +1 auf Angriffs- und Schadenswürfe. Beachten Sie, dass Sie eine Infusion nur einmal aktiv haben können. Eine zweite Aktivierung bricht die erste ab
Subclass/&AttackModifierArtificerEnhancedWeaponTitle	Verbesserte Waffe
Subclass/&AttackModifierArtificerImprovedEnhancedArmorDescription	Berühre Rüstung und sie wird magisch und gibt +2 RK. Beachten Sie, dass Sie eine Infusion nur einmal aktiv haben können. Eine zweite Aktivierung bricht die erste ab
Subclass/&AttackModifierArtificerImprovedEnhancedArmorTitle	Verbesserte verstärkte Rüstung
Subclass/&AttackModifierArtificerImprovedEnhancedFocusDescription	Berühre einen Fokus und er wird magisch und erhält +2 auf Angriffs- und Zauber-SG. Beachten Sie, dass Sie eine Infusion nur einmal aktiv haben können. Eine zweite Aktivierung bricht die erste ab
Subclass/&AttackModifierArtificerImprovedEnhancedFocusTitle	Verbesserter verstärkter Fokus
Subclass/&AttackModifierArtificerImprovedEnhancedWeaponDescription	Berühre eine Waffe und sie wird magisch und erhält +2 auf Angriffs- und Schadenswürfe. Beachten Sie, dass Sie eine Infusion nur einmal aktiv haben können. Eine zweite Aktivierung bricht die erste ab
Subclass/&AttackModifierArtificerImprovedEnhancedWeaponTitle	Verbesserte verbesserte Waffe
Subclass/&AttackModifierImprovedArtificerBattleSmithWeaponDescription	Du verleihst deiner Waffe Kraft. Deine Angriffe zählen als magisch und du addierst +7 zu deinen Angriffs- und Schadenswürfen
Subclass/&AttackModifierImprovedArtificerBattleSmithWeaponTitle	Verbesserte Infusionswaffe
Subclass/&AttackModifierMeleeWizardArcaneWeaponDescription	Wenn eine Waffe aktiv ist, zählen ihre Angriffe als magisch und Sie nutzen Ihre Intelligenz für Ihre Angriffs- und Schadenswürfe
Subclass/&AttackModifierMeleeWizardArcaneWeaponTitle	Arkane Waffe
Subclass/&AttributeModifierArtificerBattleSmithExtraAttackDescription	Du erhältst einen zusätzlichen Angriff
Subclass/&AttributeModifierArtificerBattleSmithExtraAttackTitle	Extra-Angriff
Subclass/&AttributeModifierMeleeWizardExtraAttackDescription	Du erhältst einen zusätzlichen Angriff
Subclass/&AttributeModifierMeleeWizardExtraAttackTitle	Extra-Angriff
Subclass/&BarbarianPathOfTheLightDescription	Barbaren, die dem Pfad des Lichts folgen, erhellen die Dunkelheit und schützen ihre Verbündeten vor Gefahren, die darin lauern
Subclass/&BarbarianPathOfTheLightEyesOfTruthDescription	Du stehst immer unter der Wirkung eines Zaubers „Unsichtbarkeit sehen“.
Subclass/&BarbarianPathOfTheLightEyesOfTruthTitle	Augen der Wahrheit
Subclass/&BarbarianPathOfTheLightIlluminatedConditionDescription	Abgelenkt durch Erleuchtenden Schlag
Subclass/&BarbarianPathOfTheLightIlluminatedConditionTitle	Beleuchtet
Subclass/&BarbarianPathOfTheLightIlluminatedDisadvantageDescription	Nachteil bei jedem Angriffswurf, der nicht gegen den Pfad des Lichtbarbaren gerichtet ist
Subclass/&BarbarianPathOfTheLightIlluminatedPreventInvisibilityDescription	Kann nicht unsichtbar werden
Subclass/&BarbarianPathOfTheLightIlluminatingBurstDescription	In der Runde, in der Sie in Ihre Wut geraten, können Sie bis zu drei Feinde innerhalb von 30 Fuß von Ihnen beleuchten. Sie müssen einen Konstitutionsrettungswurf (SG gleich 8 + dein Kompetenzbonus + dein Konstitutionsmodifikator) bestehen oder 4W6 Strahlungsschaden erleiden und 1 Minute lang von deinem Erleuchtenden Schlag erleuchtet werden. Eine auf diese Weise beleuchtete Kreatur macht am Ende jedes ihrer Züge einen weiteren Konstitutionsrettungswurf. Bei einem erfolgreichen Speichern endet der Effekt dafür
Subclass/&BarbarianPathOfTheLightIlluminatingBurstPowerDescription	Bis zu drei Feinde erleiden 4W6 Strahlungsschaden und werden von deinem Erleuchtenden Schlag erleuchtet. (Konstitutionsrettungswurf negiert.)
Subclass/&BarbarianPathOfTheLightIlluminatingBurstPowerTitle	Erleuchtender Ausbruch
Subclass/&BarbarianPathOfTheLightIlluminatingBurstTitle	Erleuchtender Ausbruch
