ActionAffinity/&DHFeeblemindSpellDescription	Unfähig zu zaubern
Spell/&DHMassHealSpellTitle	Massenheilung
Spell/&DHMazeSpellDescription	Du verbannst eine Kreatur, die du in Reichweite sehen kannst, in eine labyrinthische Dämmebene. Das Ziel bleibt dort für die Dauer des Zaubers oder bis es aus dem Labyrinth entkommt. /Das Ziel kann mit seiner Aktion versuchen, zu entkommen. Wenn es dies tut, muss es eine Intelligenzprüfung DC 20 ablegen.
Spell/&DHMazeSpellTitle	Labyrinth
Spell/&DHMeteorSwarmSingleTargetSpellDescription	Flammende Feuerkugeln stürzen an einem einzigen Punkt, den du in Reichweite sehen kannst, zu Boden. Jede Kreatur in einem Umkreis von 40 Fuß um den von dir gewählten Punkt muss einen Rettungswurf auf Geschicklichkeit machen. Die Kugel breitet sich um Ecken herum aus. Bei einem misslungenen Schutzwurf erleidet eine Kreatur 20d6 Feuerschaden und 20d6 Hiebschaden, bei einem erfolgreichen Schutzwurf halb so viel Schaden. Eine Kreatur, die sich im Bereich von mehr als einem feurigen Ausbruch befindet, wird nur einmal getroffen.
Spell/&DHMeteorSwarmSingleTargetSpellTitle	Meteoritenschwarm (Einzelziel)
Spell/&DHMindBlankSpellDescription	Bis zum Ende des Zaubers ist eine willige Kreatur, die du berührst, immun gegen psychischen Schaden, gegen jeden Effekt, der ihre Emotionen spüren oder ihre Gedanken lesen würde, gegen Wahrsagezauber und gegen den Zustand "verzaubert".
Spell/&DHMindBlankSpellTitle	Geistesblitz
Spell/&DHPowerWordHealSpellDescription	Eine Welle heilender Energie überspült die Kreatur, die du berührst. Das Ziel erhält alle seine Trefferpunkte zurück. Wenn die Kreatur verzaubert, verängstigt, gelähmt oder betäubt ist, endet der Zustand. Wenn die Kreatur am Boden liegt, kann sie ihre Reaktion nutzen, um aufzustehen. Dieser Zauber hat keine Wirkung auf Untote oder Konstrukte.
Spell/&DHPowerWordHealSpellTitle	Machtwort Heilung
Spell/&DHPowerWordKillSpellDescription	Du sprichst ein Machtwort, das eine Kreatur, die du in Reichweite siehst, zum sofortigen Tod zwingen kann. Wenn die Kreatur, die du auswählst, 100 Trefferpunkte oder weniger hat, stirbt sie. Andernfalls hat der Zauber keine Wirkung.
Spell/&DHPowerWordKillSpellTitle	Machtwort Töten
Spell/&DHPowerWordStunSpellDescription	Du sprichst ein Machtwort, das den Geist einer Kreatur, die du in Reichweite siehst, überwältigen kann und sie sprachlos macht. Wenn das Ziel 150 Trefferpunkte oder weniger hat, wird es betäubt. Andernfalls hat der Zauber keine Wirkung.
Spell/&DHPowerWordStunSpellTitle	Machtwort Betäubung
Spell/&DHReverseGravitySpellDescription	Dieser Zauber kehrt die Schwerkraft in einem Zylinder mit einem Radius von 50 Fuß und einer Höhe von 100 Fuß um, der auf einen Punkt in Reichweite zentriert ist.
Spell/&DHReverseGravitySpellTitle	Schwerkraft umkehren
Spell/&DHShapechangeSpellDescription	Du nimmst für die Dauer des Zaubers die Gestalt einer anderen Kreatur an. Die neue Gestalt kann eine beliebige Kreatur mit einem Herausforderungswert sein, der deiner Stufe oder niedriger entspricht.
Spell/&DHShapechangeSpellTitle	Gestaltwandel
Spell/&DHSunBurstSpellDescription	Leuchtendes Sonnenlicht blitzt in einem Radius von 60 Fuß um einen von dir gewählten Punkt in Reichweite auf. Jede Kreatur in diesem Licht muss einen Konstitutionsschutzwurf machen. Bei einem misslungenen Schutzwurf erleidet die Kreatur 12d6 Strahlenschaden und ist 1 Minute lang geblendet. Bei einem erfolgreichen Schutzwurf erleidet sie nur halb so viel Schaden und wird nicht geblendet. Eine Kreatur, die durch diesen Zauber geblendet wurde, macht am Ende jeder ihrer Runden einen weiteren Konstitutionsschutzwurf. Dieser Zauber vertreibt jegliche Dunkelheit in seinem Bereich, die durch einen Zauber verursacht wurde.
Spell/&DHSunBurstSpellTitle	Sonnenaufgang
Spell/&DHTimeStopSpellDescription	Du hältst den Fluss der Zeit für alle außer dir kurz an. Für andere Kreaturen vergeht keine Zeit, während du 1d4 + 1 Umdrehung hintereinander machst, während der du dich wie gewohnt bewegen und Aktionen ausführen kannst.
Spell/&DHTimeStopSpellTitle	Zeit anhalten
Spell/&DHWeirdSpellDescription	Indem du aus den tiefsten Ängsten einer Gruppe von Kreaturen schöpfst, erschaffst du in ihren Köpfen illusorische Kreaturen, die nur für sie sichtbar sind. Jede Kreatur, die sich in einem Radius von 30 Fuß um einen Punkt deiner Wahl innerhalb der Reichweite befindet, muss einen Rettungswurf in Weisheit ablegen. Bei einem misslungenen Schutzwurf wird die Kreatur für die Dauer des Wurfes verängstigt. Die Illusion beschwört die tiefsten Ängste der Kreatur herauf und manifestiert ihre schlimmsten Albträume als unerbittliche Bedrohung. Am Ende jeder Runde der verängstigten Kreatur muss sie einen Weisheitswurf bestehen oder 4d10 psychischen Schaden erleiden. Bei einem erfolgreichen Schutzwurf endet der Zauber für die Kreatur.
Spell/&DHWeirdSpellTitle	Unheimlich
Spell/&EarthTremorDescription	Du schlägst auf den Boden und entfesselst ein Beben seismischer Kraft, das Erde, Felsen und Sand hochschleudert.
Spell/&EarthTremorTitle	Erderschütterung
Spell/&EldritchBlastDescription	Ein Strahl aus knisternder Energie rast auf eine Kreatur in Reichweite zu. Führe einen Fernkampfzauberangriff gegen das Ziel aus. Bei einem Treffer erleidet das Ziel 1d10 Kraftschaden.\nDer Zauber erzeugt mehr als einen Strahl, wenn du höhere Stufen erreichst: zwei Strahlen auf Stufe 5, drei Strahlen auf Stufe 11 und vier Strahlen auf Stufe 17. Du kannst die Strahlen auf dasselbe Ziel oder auf verschiedene Ziele richten. Führe für jeden Strahl einen eigenen Angriffswurf durch.
Spell/&EldritchBlastTitle	Eldritch-Stoß
Spell/&EldritchOrbDescription	Du schleuderst einen Ball aus eldritischer Energie auf eine Kreatur oder ein Objekt in Reichweite.
Spell/&EldritchOrbTitle	Eldritch-Kugel
Spell/&FindFamiliarDescription	Du nimmst die Dienste eines Vertrauten in Anspruch.
Spell/&FindFamiliarImpDescription	Ruft deinen Vertrauten in Form eines Kobolds herbei.
Spell/&FindFamiliarImpTitle	Vertrauten finden (Kobold)
Spell/&FindFamiliarPsuedodragonDescription	Beschwört euren Vertrauten in Form eines Pseudodrachens
Spell/&FindFamiliarPsuedodragonTitle	Vertrauten finden (Pseudodrache)
Spell/&FindFamiliarQuasitDescription	Beschwört deinen Vertrauten in Form eines Quasit
Spell/&FindFamiliarQuasitTitle	Vertrauten finden (Quasit)
Spell/&FindFamiliarSpriteDescription	Beschwört euren Vertrauten in Form eines Sprites
Spell/&FindFamiliarSpriteTitle	Vertrauten finden (Sprite)
Spell/&FindFamiliarTitle	Vertrauten finden
Spell/&FrenzyDescription	Mit einer Geste reduzierst du eine Menschenmenge auf niederen Instinkt und Gewalt. Wähle einen Punkt, den du in Reichweite sehen kannst. Jede Kreatur im Umkreis von 20 Fuß um diesen Punkt muss einen Weisheitswurf machen. Bei einem misslungenen Schutzwurf wird die Kreatur für die Dauer des Wahnsinns in Raserei versetzt. Wenn eine Kreatur in Raserei ist, zieht sie eine Nahkampfwaffe, wenn sie eine hat. Eine rasende Kreatur muss ihre Aktion zu Beginn ihres Zuges nutzen, um eine Kreatur in ihrer Reichweite anzugreifen. Sie benutzt eine Nahkampfwaffe, wenn sie eine hat, oder eine improvisierte Waffe oder einen unbewaffneten Angriff, wenn sie keine hat. Befinden sich mehrere Ziele innerhalb der Reichweite der Kreatur, wählt sie ihr Ziel zufällig aus. Befindet sich kein Ziel in der Reichweite der Kreatur, greift sie sich selbst gegen ihren eigenen AC an und verursacht bei einem Treffer normalen Schaden. Am Ende ihres Zuges kann eine rasende Kreatur ihren Rettungswurf wiederholen, wobei der Effekt bei einem Erfolg vorzeitig beendet wird.
Spell/&FrenzyTitle	Raserei
Spell/&GraspingHandDescription	Ein Strahl aus knisternder Energie rast auf eine Kreatur in Reichweite zu. Führe einen Fernkampfzauberangriff gegen das Ziel aus. Bei einem Treffer erleidet das Ziel 1d10 Kraftschaden. \(Wenn du eine Kreatur mit deinem eldritchischen Stoß triffst, kannst du diese Kreatur in einer geraden Linie 10 Fuß näher zu dir bewegen.)
Spell/&GraspingHandTitle	Eldritch-Schlag (Greifen)
Spell/&HinderingBlastDescription	Ein Strahl aus knisternder Energie rast auf eine Kreatur in Reichweite zu. Führe einen Fernkampfzauberangriff gegen das Ziel aus. Bei einem Treffer erleidet das Ziel 1d10 Kraftschaden. (Wenn du eine Kreatur mit deinem Eldritchblast triffst, kannst du die Geschwindigkeit dieser Kreatur bis zum Ende deines nächsten Zuges um 10 Fuß verringern.)
Spell/&HinderingBlastTitle	Eldritchhieb (Hinderlich)
Spell/&IPConjureInvisibleStalkerTitle	Elementar beschwören (Unsichtbarer Schleicher)
Spell/&MinorLifestealDescription	Du entziehst einer feindlichen Kreatur, die du in Reichweite siehst, Lebensenergie. Du heilst dann Trefferpunkte in Höhe des verursachten Schadens. Dieser Zauber hat keine Wirkung auf Untote oder Konstrukte.
Spell/&MinorLifestealTitle	Geringer Lebenserhalt
Spell/&PetalStormDescription	Wähle einen unbesetzten 15 Fuß großen Luftwürfel, den du in Reichweite sehen kannst. Eine elementare Kraft wirbelnder Winde erscheint in diesem Würfel und hält für die Dauer des Zaubers an. Die Wolke verdunkelt ihr Gebiet stark. Jede Kreatur, die den Sturm zum ersten Mal in einem Zug betritt oder ihren Zug dort beginnt, muss einen Schutzwurf auf Stärke ablegen. Bei einem misslungenen Schutzwurf erleidet die Kreatur 3d4 Hiebschaden. Als Bonusaktion kannst du den Sturm bis zu 30 Fuß in eine beliebige Richtung bewegen.
Spell/&PetalStormTitle	Blütenblattsturm
Spell/&ProtectThresholdDescription	Indem du arkane Siegel entlang seiner Grenzen zeichnest, kannst du eine Tür, ein Fenster oder ein anderes Portal vor dem Eindringen schützen. Für die Dauer des Sturms schleicht eine unsichtbare eldritchische Kreatur durch das geschützte Portal. Jede Kreatur, die versucht, das Portal zu durchqueren, muss einen Weisheitswurf ablegen oder erleidet 4d6 psychischen Schaden bzw. die Hälfte davon bei einem erfolgreichen Schutz.
Spell/&ProtectThresholdTitle	Schutz der Schwelle
Spell/&RepellingBlastDescription	Ein Strahl aus knisternder Energie rast auf eine Kreatur in Reichweite zu. Führe einen Fernkampfzauberangriff gegen das Ziel aus. Bei einem Treffer erleidet das Ziel 1d10 Kraftschaden. (Wenn du eine Kreatur mit Eldritch Blast triffst, kannst du sie bis zu 10 Fuß in einer geraden Linie von dir wegstoßen.)
Spell/&RepellingBlastTitle	Eldritch-Schlag (Abstoßen)
Spell/&ThunderStrikeDescription	Erzeuge einen donnernden Schallstoß, der allen um dich herum Schaden zufügt.
Spell/&ThunderStrikeTitle	Schallsturm
Spell/&WinterBreathDescription	Erzeuge einen kalten Windstoß, der deine Feinde frösteln lässt und sie zu Boden wirft.
Spell/&WinterBreathTitle	Atem des Winters
Spell/&WitchFamiliarDescription	Du erhältst die Dienste eines Vertrauten.
Spell/&WitchFamiliarTitle	Hexen-Vertrauter
SpellList/&ElementalistSpellsListDescription	Elementarmagier ZauberListe Beschreibung
SpellList/&ElementalistSpellsListTitle	Elementarmagier-Zauberspruchliste
SpellList/&RiftWalkerSpellsListDescription	Spaltwandler-ZaubersprücheListe Beschreibung
SpellList/&RiftWalkerSpellsListTitle	Spaltwandler-ZaubersprücheListe
SpellList/&SpellListClassWarlockDescription	Zauberspruch-Liste Hexenmeister
SpellList/&SpellListClassWarlockTitle	Hexenmeister-Zauberliste
SpellList/&SpellListTinkererTitle	Zauberliste für die Klasse des Tüftlers
SpellList/&SpellListTinkererDescription	Zauberliste für die Klasse des Tüftlers
Stage/&IdentityMorphotypeEyeHeader	Augen-Stil
Stage/&SubclassSelectionStageCovenDescription	Hexenzirkel
Stage/&SubclassSelectionStageCovenFeaturesDescription	Hexenzirkel
Stage/&SubclassSelectionStageCovenFeaturesHeader	Eigenschaften des Hexenzirkels
Stage/&SubclassSelectionStageCovenFeaturesTitle	Hexenzirkel
Stage/&SubclassSelectionStageCovenHeader	Wählen Sie einen Coven
Stage/&SubclassSelectionStageCovenTitle	Hexenzirkel
Stage/&SubclassSelectionStagePatronDescription	Ein Hexenmeister ist durch einen Pakt mit einem jenseitigen Wesen definiert. Manchmal ist die Beziehung zwischen Hexenmeister und Beschützer ähnlich wie die zwischen einem Kleriker und einer Gottheit, obwohl die Wesen, die als Beschützer dienen, keine Götter sind
Stage/&SubclassSelectionStagePatronFeatures	Andersweltliche Schutzherren Merkmale
Stage/&SubclassSelectionStagePatronHeader	Hexenmeister - andere Schutzherren
Stage/&SubclassSelectionStagePatronTitle	Andere wortgewandte Beschützer
Stage/&SubclassSelectionStageSpecialistDescription	Beschreibung Es gibt eine Vielzahl von Spezialisierungen bei den Tinkern, darunter die Herstellung von Elixieren als Zaubertrankbrauer, die Herstellung von Explosionen als Sprengmeister und der Umgang mit magischen Waffen als Waffenschmied.
Stage/&SubclassSelectionStageSpecialistFeatures	Spezialisten-Merkmale
Stage/&SubclassSelectionStageSpecialistHeader	Spezialisierungen
Stage/&SubclassSelectionStageSpecialistNoneDescription	Spezialist Keine Beschreibung
Stage/&SubclassSelectionStageSpecialistTitle	Spezialisierung wählen
Subclass/&AbilityAffinityRogueConArtistDescription	Vorteil bei Fähigkeitsproben auf Überredung, Täuschung, Leistung und Geschicklichkeit.
Subclass/&AbilityAffinityRogueConArtistTitle	Manipulativ
Subclass/&AHWarlockSubclassFiendPactDescription	Du hast einen Pakt mit einem Unhold aus den niederen Ebenen der Existenz geschlossen, einem Wesen, dessen Ziele böse sind, auch wenn du dich gegen diese Ziele wehrst. Solche Wesen wollen alle Dinge verderben oder zerstören, auch dich. Zu den Unholden, die mächtig genug sind, um einen Pakt zu schließen, gehören Dämonenfürsten wie Demogorgon, Orcus, Fraz'Urb-luu und Baphomet; Erzteufel wie Asmodeus, Dispater, Mephistopheles und Belial; Grubengeister und Balors, die besonders mächtig sind, sowie Ultroloths und andere Fürsten der Yugoloths.
Subclass/&AHWarlockSubclassFiendPactTitle	Ungeheuer-Pakt
Subclass/&AHWarlockSubclassSoulBladePactDescription	Du hast einen Pakt mit einer empfindungsfähigen Waffe geschlossen, der du im Gegenzug für Macht Seelen zuführst.
Subclass/&AHWarlockSubclassSoulBladePactTitle	Seelenklingen-Pakt
Subclass/&ArcaneFighterAdditionalActionDescription	Du kannst einen Zauber wirken, nachdem du einen Gegner mit deinen Waffenangriffen besiegt hast.
Subclass/&ArcaneFighterAdditionalActionTitle	Kampf mit Zaubern
Subclass/&ArcaneFighterBonusWeaponDamageDescription	Einmal pro Runde verursachen deine Waffenangriffe zusätzlich 1d8 Schaden.
Subclass/&ArcaneFighterBonusWeaponDamageTitle	Magiebetriebene Angriffe
Subclass/&ArtificerAlchemistDescription	Du bist auf Tränke, Verstärker, Heilung und Zaubersprüche spezialisiert.
Subclass/&ArtificerAlchemistTitle	Zaubertrank-Macher
Subclass/&ArtificerArtileristCannonsDescription	Du stellst eine Reihe von Kanonen her, die du im Kampf als Bonusaktion aktivieren kannst.
Subclass/&ArtificerArtileristCannonsTitle	Kanonen
Subclass/&ArtificerArtilleristDescription	Du bist darauf spezialisiert, Projektile zu schleudern und Explosionen zu verursachen.
Subclass/&ArtificerArtilleristTitle	Blaster
Subclass/&ArtificerBattleSmithDescription	Du bist auf den Einsatz magischer Waffen im Kampf spezialisiert.
Subclass/&ArtificerBattleSmithTitle	Waffenschmied
Subclass/&ArtificerSpellcastingDescription	Tinkerer-Zaubersprüche wirken
Subclass/&ArtificerSpellcastingTitle	Kesselflicker-Zauberei
Subclass/&AttackModifierArtificerBattleSmithWeaponDescription	Deine Angriffe zählen als magisch und du verwendest deine Intelligenz für Angriffs- und Schadenswürfe.
Subclass/&AttackModifierArtificerBattleSmithWeaponTitle	Infundierte Waffe
Subclass/&AttackModifierArtificerBlindingWeaponDescription	Berühre eine Waffe, die die Fähigkeit erhält, Ziele bei einem Treffer zu blenden (gegen einen Konstitutionsschutz). Beachte, dass du eine Infusion nur einmal aktiv haben kannst. Wenn du sie ein zweites Mal aktivierst, wird die erste deaktiviert.
Subclass/&AttackModifierArtificerBlindingWeaponTitle	Blendende Waffe
Subclass/&AttackModifierArtificerEnhancedArmorDescription	Berühre die Rüstung und sie wird magisch und verleiht +1 AC. Beachte, dass du eine Infusion nur einmal aktivieren kannst. Wenn du sie ein zweites Mal aktivierst, wird die erste aufgehoben.
Subclass/&AttackModifierArtificerEnhancedArmorTitle	Verbesserte Rüstung
Subclass/&AttackModifierArtificerEnhancedFocusDescription	Berühre einen Fokus und sie wird magisch und erhält +1 auf Angriffs- und Zauberwürfe. Beachte, dass du eine Infusion nur einmal aktivieren kannst. Wenn du sie ein zweites Mal aktivierst, wird das erste Mal aufgehoben.
Subclass/&AttackModifierArtificerEnhancedFocusTitle	Verbesserter Fokus
Subclass/&AttackModifierArtificerEnhancedWeaponDescription	Berühre eine Waffe und sie wird magisch und erhält +1 auf Angriffs- und Schadenswürfe. Beachte, dass du eine Infusion nur einmal aktivieren kannst. Wenn du sie ein zweites Mal aktivierst, wird das erste Mal aufgehoben.
Subclass/&AttackModifierArtificerEnhancedWeaponTitle	Verbesserte Waffe
Subclass/&AttackModifierArtificerImprovedEnhancedArmorDescription	Berühre eine Rüstung und sie wird magisch und verleiht +2 AC. Beachte, dass du eine Infusion nur einmal aktivieren kannst. Wenn du sie ein zweites Mal aktivierst, wird das erste Mal aufgehoben.
Subclass/&AttackModifierArtificerImprovedEnhancedArmorTitle	Verbesserte, verstärkte Rüstung
Subclass/&AttackModifierArtificerImprovedEnhancedFocusDescription	Berühre einen Fokus und er wird magisch und erhält +2 auf Angriff und Zauber. Beachte, dass du eine Infusion nur einmal aktivieren kannst. Wenn du sie ein zweites Mal aktivierst, wird das erste Mal aufgehoben.
Subclass/&AttackModifierArtificerImprovedEnhancedFocusTitle	Verbesserter, verbesserter Fokus
Subclass/&AttackModifierArtificerImprovedEnhancedWeaponDescription	Berühre eine Waffe und sie wird magisch und erhält +2 auf Angriffs- und Schadenswürfe. Beachte, dass du eine Infusion nur einmal aktivieren kannst. Wenn du sie ein zweites Mal aktivierst, wird das erste Mal aufgehoben.
Subclass/&AttackModifierArtificerImprovedEnhancedWeaponTitle	Verbesserte, verstärkte Waffe
Subclass/&AttackModifierImprovedArtificerBattleSmithWeaponDescription	Du durchdringst deine Waffe mit Macht. Deine Angriffe zählen als magisch und du erhältst +7 auf deine Angriffs- und Schadenswürfe.
Subclass/&AttackModifierImprovedArtificerBattleSmithWeaponTitle	Verbesserte Waffe anreichern
Subclass/&AttackModifierMeleeWizardArcaneWeaponDescription	Wenn du eine Waffe aktivierst, zählen ihre Angriffe als magisch und du verwendest deine Intelligenz für deine Angriffs- und Schadenswürfe.
Subclass/&AttackModifierMeleeWizardArcaneWeaponTitle	Arkane Waffe
Subclass/&AttributeModifierArtificerBattleSmithExtraAttackDescription	Du erhältst einen zusätzlichen Angriff
Subclass/&AttributeModifierArtificerBattleSmithExtraAttackTitle	Extra-Angriff
Subclass/&AttributeModifierMeleeWizardExtraAttackDescription	Du erhältst einen zusätzlichen Angriff
Subclass/&AttributeModifierMeleeWizardExtraAttackTitle	Extra-Angriff
Subclass/&BarbarianPathOfTheLightDescription	Barbaren, die dem Pfad des Lichts folgen, erhellen die Dunkelheit und schützen ihre Verbündeten vor den Gefahren, die in ihr lauern.
Subclass/&BarbarianPathOfTheLightEyesOfTruthDescription	Du stehst immer unter dem Einfluss des Zaubers Unsichtbarkeit sehen.
Subclass/&BarbarianPathOfTheLightEyesOfTruthTitle	Augen der Wahrheit
Subclass/&BarbarianPathOfTheLightIlluminatedConditionDescription	Abgelenkt durch Illuminierender Schlag.
Subclass/&BarbarianPathOfTheLightIlluminatedConditionTitle	Beleuchtet
Subclass/&BarbarianPathOfTheLightIlluminatedDisadvantageDescription	Nachteil bei jedem Angriffswurf, der nicht gegen den Barbaren des Pfades des Lichts gerichtet ist.
Subclass/&BarbarianPathOfTheLightIlluminatedPreventInvisibilityDescription	Kann nicht unsichtbar werden.
Subclass/&BarbarianPathOfTheLightIlluminatingBurstDescription	In der Runde, in der du in Wut gerätst, kannst du bis zu drei Gegner im Umkreis von 30 Fuß erleuchten. Sie müssen einen Konstitutionsschutzwurf bestehen (DC gleich 8 + dein Fertigkeitsbonus + dein Konstitutionsmodifikator) oder 4d6 Strahlungsschaden erleiden und 1 Minute lang von deinem Erleuchtenden Schlag erleuchtet werden. Eine auf diese Weise erleuchtete Kreatur macht am Ende jeder ihrer Runden einen weiteren Konstitutions-Erhaltungswurf. Bei einem erfolgreichen Schutz endet der Effekt für sie.
Subclass/&BarbarianPathOfTheLightIlluminatingBurstPowerDescription	Bis zu drei Feinde erleiden 4d6 Strahlungsschaden und werden von deinem Erleuchtenden Schlag erleuchtet. (Konstitutions-Sicherungswurf negiert.)
Subclass/&BarbarianPathOfTheLightIlluminatingBurstPowerTitle	Illuminierender Stoß
Subclass/&BarbarianPathOfTheLightIlluminatingBurstTitle	Erleuchtender Ansturm
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeDescription	Während du wütest, erleidet die erste Kreatur, die du mit einem Angriff in deinem Zug triffst, zusätzlich 1d6 Strahlenschaden und wird bis zum Beginn deines nächsten Zuges magisch erleuchtet. Außerdem hat die Kreatur bei jedem Angriffswurf, der nicht gegen dich gerichtet ist, einen Nachteil und kann sich nicht unsichtbar machen.
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeImprovementDescription	Der zusätzliche Schaden, der durch Erleuchtender Stoß verursacht wird, erhöht sich auf 2d6.
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeImprovementTitle	Verbesserung von Leuchtendes Schlagen
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeTitle	Leuchtender Stoß
Subclass/&BarbarianPathOfTheLightLightsProtectionDescription	Du erhältst Trefferpunkte in Höhe der Hälfte deiner Barbarenstufe zurück, wenn eine feindliche Kreatur stirbt, die von deinem Erleuchtenden Schlag betroffen ist. Außerdem provozierst du keine Gelegenheitsangriffe mehr von Kreaturen, die von deinem "Erleuchtenden Schlag" betroffen sind.
Subclass/&BarbarianPathOfTheLightLightsProtectionTitle	Der Schutz des Lichts
Subclass/&BarbarianPathOfTheLightPierceTheDarknessDescription	Du erhältst überlegene Dunkelheitssicht.
Subclass/&BarbarianPathOfTheLightPierceTheDarknessTitle	Durchdringen der Dunkelheit
Subclass/&BarbarianPathOfTheLightSeeingInvisibleConditionDescription	Du kannst unsichtbare Kreaturen wahrnehmen.
Subclass/&BarbarianPathOfTheLightSeeingInvisibleConditionTitle	Unsichtbarkeitssicht
Subclass/&BarbarianPathOfTheLightTitle	Pfad des Lichts
Subclass/&BloodWitchDescription	Die Blutmagie, die in den meisten Hexenzirkeln verboten ist, konzentriert sich auf die Verwendung dunkler Zauber und tödlicher Verhexungen, die aus der Essenz des Zaubernden schöpfen. Die Blutmagie ist grundsätzlich gefährlicher als andere Hexenhandwerke, aber die vielen Risiken werden mit reichlich Belohnungen belohnt.
Subclass/&BloodWitchMagicDescription	Du erhältst die folgenden Zaubersprüche. Diese Zauber zählen für dich als Hexenzauber und werden nicht auf deine Gesamtanzahl an bekannten Zaubern angerechnet. \n\nZaubersprüche der Stufe\nStufe 1: Verstricken, Goodberry\nStufe 2: Rindenhaut, Schutz vor Gift\nStufe 3: Tiere beschwören, Nahrung erschaffen\nStufe 4: Rieseninsekt, Steinhaut\nStufe 5: Böses und Gutes bannen, Insektenplage
Subclass/&BloodWitchMagicTitle	Blutmagie
Subclass/&BloodWitchTitle	Bluthexe
Subclass/&CancelCancelElixirFlyDescription	Beendet den Zustand "Fliege" des Elixiers "Trankmacher".
Subclass/&CancelCancelElixirFlyTitle	Fliege aufheben
Subclass/&CancelCancelElixirResilienceDescription	Beende die Bedingung "Unverwüstlichkeit" des Elixiers "Trankmacher".
Subclass/&CancelCancelElixirResilienceTitle	Widerstandsfähigkeit abbrechen
Subclass/&CancelCancelElixirSwiftnessDescription	Beende die Bedingung Schnelligkeit aus dem Elixier des Trankherstellers.
Subclass/&CancelCancelElixirSwiftnessTitle	Schnelligkeit aufheben
Subclass/&ClassWarlockPatronDescription	Ein Hexenmeister ist durch einen Pakt mit einem jenseitigen Wesen definiert. Manchmal ähnelt die Beziehung zwischen Hexenmeister und Beschützer der eines Klerikers und einer Gottheit, obwohl die Wesen, die als Beschützer dienen, keine Götter sind.
Subclass/&ClassWarlockPatronTitle	Andersweltlicher Schutzherr
Subclass/&ConditionResistantArmorTitle	Widerstandsfähige Rüstung
Subclass/&ConditionResistnatArmorDescription	Deine Rüstung ist resistent gegen Säure-, Kälte-, Feuer-, Kraft-, Blitz-, Nekrotische-, Gift-, Psychische-, Strahlen- und Donnerschaden.
Subclass/&ConditionSpellShieldArcaneDeflectionDescription	Du kannst deine arkanen Kräfte einsetzen, um dich als Reaktion abzuschirmen. Dadurch erhältst du bis zu deinem nächsten Zug +{0} auf deinen AC.
Subclass/&ConditionSpellShieldArcaneDeflectionTitle	Arkane Ablenkung
Subclass/&ConditionTransmuteConstitutionSaveDescription	Vorübergehende Konstitutionsschutz-Fähigkeit, die durch die Kraft Transmute Force gewährt wird.
Subclass/&ConditionTransmuteConstitutionSaveTitle	Konstitutionsabwehr
Subclass/&ConditionTransmutePoisonDescription	Vorübergehende Säure-, Kälte-, Feuer-, Blitz-, Nekrotik-, Donner- und Gift-Resistenz, die durch die Macht Machtumwandlung gewährt wird.
Subclass/&ConditionTransmutePoisonTitle	Elementar-Resistenz
Subclass/&CraftingTinkererMagicItemAdeptDescription	Du bist geschickt im Herstellen von magischen Gegenständen. Du brauchst 1/4 der Zeit für die Herstellung von Gegenständen und wendest beim Herstellen den doppelten Befähigungsbonus an.
Subclass/&CraftingTinkererMagicItemAdeptTitle	Adept für magische Gegenstände
Subclass/&DHWarlockSubclassElementalPatronDescription	Du hast einen Pakt mit Primordalen geschlossen und wurdest von ihnen verändert, die sich in den elementaren Badlands aufhalten. Das elementare Chaos des Patrons hat deine Seele durchdrungen und lässt dich die Macht der verschiedenen Elementararten nutzen.
Subclass/&DHWarlockSubclassElementalPatronTitle	Elementarmagier-Pakt
Subclass/&DHWarlockSubclassRiftWalkerDescription	Dein Schutzherr ist eines der seltenen Wesen, die die Leere zwischen den Welten ihr Zuhause nennen. Sie gleiten mit Leichtigkeit zwischen den Ebenen hin und her, und das Wissen, das du aus der Interaktion mit ihnen gewonnen hast, erlaubt es dir, verweilende Spalt-Energien zu deinem Vorteil in Solasta zu nutzen. Es kann sein, dass dich manchmal die Sehnsucht nach dem fernen Reich deines Schutzherrn packt, der Wunsch, für den Rest deiner Tage zwischen den Dimensionen zu wandern, oder du hältst Ausschau nach Anzeichen für ein weiteres Rift-Ereignis, entweder um es zu verhindern oder zu fördern.
Subclass/&DHWarlockSubclassRiftWalkerTitle	Pakt der Spaltwanderer
Subclass/&DruidForestGuardianDruidSubclassDescription	Kreis der Waldhüter Druiden haben geschworen, die Wälder und alle, die in ihnen leben, zu schützen. Die Mitglieder dieses Druidenzirkels sind in der Anwendung von Abjurationsmagie und im Kampf geübt und sind auf dem Schlachtfeld furchterregende Gegner.
Subclass/&DruidForestGuardianDruidSubclassTitle	Kreis des Waldwächters
Subclass/&EquipmentModifierArtificerBagOfHolderDescription	Berühre eine Tasche und infundiere einen zusätzlichen Dimmensionsraum, damit sie mehr Gewicht trägt, ohne dich zu belasten. Beachte, dass du eine Infusion nur einmal aktivieren kannst. Wenn du sie ein zweites Mal aktivierst, wird die erste deaktiviert.
Subclass/&EquipmentModifierArtificerBagOfHolderTitle	Beutel des Haltens
