ActionAffinity/&DHFeeblemindSpellDescription	Incapable de lancer des sorts
Reaction/&SpendPowerKnockDownPowerReactTitle	Assommer
Reaction/&SpendPowerKnockDownPowerTitle	Assommer
RestActivity/&ZSRespecDescription	Respectez ce héros
RestActivity/&ZSRespecTitle	Respec
RestActivity/&ZSSorcerousRestorationDescription	Regagnez 4 points de sorcellerie pendant un court repos.
RestActivity/&ZSSorcerousRestorationTitle	Restauration sorcière
Rules/&AdvantageAttackOnEnemyDescription	Avantage pour attaquer l'ennemi
Rules/&AdvantageAttackOnEnemyTitle	Allumé
Rules/&CounterFormDismissCreatureFormat	Dissipe la construction du bricoleur
Rules/&DisadvantageOnAttackByEnemyDescription	Distrait par un coup de foudre
Rules/&DisadvantageOnAttackByEnemyTitle	Secoué
Rules/&ExtraDamageOnAttackConditionDescription	Dégâts supplémentaires infligés par la lance lumineuse
Rules/&ExtraDamageOnAttackConditionTitle	Static shocked
Rules/&HalfCoverShieldAttributeDescription	Les alliés gagnent +2AC dans un rayon de 3 mètres
Rules/&HalfCoverShieldAttributeTitle	Dôme à demi-couvert
Rules/&HalfCoverShieldConditionDescription	+2AC
Rules/&HalfCoverShieldConditionTitle	Protégé par le dôme
Rules/&LightningSpearPowerDescription	Dégâts de la foudre 1D6 + 1D6
Rules/&LightningSpearPowerTitle	Lance de foudre
Rules/&SelfDestructionConditionDescription	Autodestruction
Rules/&SelfDestructionConditionTitle	Auto-destruction
Rules/&ThunderStruckBalancingAdvantageDescription	Équilibrage du coup de tonnerre pour qu'il ne fonctionne que pour les alliés.
Rules/&ThunderStruckBalancingAdvantageTitle	Taunted
Rules/&ThunderStruckDescription	Désavantage pour attaquer les alliés de Scout Sentinel
Rules/&ThunderStruckTitle	Coup de tonnerre(Distrait)
Screen/&CovenSpellDescription	Sort connu car faisant partie d'un Coven
Screen/&CovenSpellHeader	Coven
Screen/&CovenSpellTitle	Coven
Screen/&EditorLocationSize3Title	Enorme [MODDED]
Screen/&EditorLocationSize4Title	Gargantuesque [MODDED]
Screen/&FeyTeleportSpellDescription	Ce sort de Fey est toujours préparé.
Screen/&FeyTeleportSpellTitle	Fey
Screen/&ShadowTouchedSpellDescription	Ce sort d'Ombre est toujours prêt.
Screen/&ShadowTouchedSpellTitle	Ombre
Screen/&SpellSlotsUsedLongDescription	Vous avez dépensé {0} emplacement(s) de repos long(s) de ce niveau.
Screen/&SpellSlotsUsedShortDescription	Vous avez dépensé {0} emplacement(s) de repos court(s) de ce niveau.
Screen/&SpellSlotsUsedShortLongDescription	Vous avez utilisé {0} emplacement(s) de repos court(s) et {1} emplacement(s) de repos long(s) de ce niveau.
Screen/&WitchSpellDescription	Sortilège connu en tant que Sorcière
Screen/&WitchSpellHeader	Sorcière
Screen/&WitchSpellTitle	Sorcière
Sorceror/&ZSSorcerousRestorationDescription	Regagnez 4 points de sorcellerie pendant un court repos.
Sorceror/&ZSSorcerousRestorationTitle	Restauration sorcière
Spell/&AcidClawsDescription	Effectuez une attaque mortelle avec vos griffes aiguisées.
Spell/&AcidClawsTitle	Griffes sanglantes
Spell/&AHPactMarkAdditionalDamageDescription	1d6 dégâts supplémentaires sur une créature marquée par un pacte.
Spell/&AHPactMarkAdditionalDamageTitle	Dégâts de la marque de pacte
Spell/&AHPactMarkMarkedByPactConditionDescription	Cette créature a été marquée par un pacte et subit des dégâts supplémentaires dus au marqueur.
Spell/&AHPactMarkMarkedByPactConditionTitle	Marqué par un pacte
Spell/&AHPactMarkPactMarkConditionDescription	Vous pouvez marquer d'autres créatures avec une marque de pacte et leur infliger 1d6 dégâts supplémentaires avec des attaques physiques ou des sorts.
Spell/&AHPactMarkPactMarkConditionTitle	Marque de pacte
Spell/&AHPactMarkSpellDescription	Vous placez une marque de votre pacte sur une créature que vous pouvez voir dans un rayon de 90 pieds. Elle devient vulnérable à votre égard et subit 1d6 points de dégâts supplémentaires chaque fois que vous la touchez avec une attaque (physique ou de sort). Ces dégâts sont du même type que l'attaque qui la touche.
Spell/&AHPactMarkSpellTitle	Marque du pacte
Spell/&AirBlastDescription	Tirez un souffle d'air concentré sur votre cible.
Spell/&AirBlastTitle	Souffle d'air
Spell/&BurstOfRadianceDescription	Créez un éclair brillant de lumière chatoyante, endommageant tous les ennemis autour de vous.
Spell/&BurstOfRadianceTitle	Éclat de lumière
Spell/&CJDivineWordDescription	Vous prononcez un mot divin, imprégné de la puissance qui a façonné le monde à l'aube de la création. Choisissez un nombre quelconque de créatures que vous pouvez voir à portée. Chaque créature qui peut vous entendre doit effectuer un jet de sauvegarde de Charisme. En cas d'échec, la créature subit un effet basé sur ses points de vie actuels : \N50 points de vie ou moins : sourd pendant 1 minute\N40 points de vie ou moins : sourd et aveugle pendant 10 minutes\N30 points de vie ou moins : aveugle, sourd et étourdi pendant 1 heure\N20 points de vie ou moins : Mort instantanée\NQuel que soit son nombre de points de vie actuel, un céleste, un élémentaire, un féerique ou un démon qui échoue à sa sauvegarde est renvoyé dans son plan d'origine (s'il n'y est pas déjà) et ne peut pas revenir dans votre plan actuel pendant 24 heures par n'importe quel moyen, à l'exception d'un sort de souhait. \n
Spell/&CJDivineWordTitle	Mot divin
Spell/&DHAnimalShapesSpellDescription	Choisissez un nombre quelconque de créatures consentantes que vous pouvez voir à portée. Vous transformez chaque cible en une bête de grande taille ou plus petite, dont le niveau de difficulté est de 4 ou moins.
Spell/&DHAnimalShapesSpellTitle	Formes animales
Spell/&DHCastSpellArchMageDescription	Capacité d'incantation de l'Archimage
Spell/&DHCastSpellArchMageTitle	Capacité d'incantation de l'Archimage
Spell/&DHCastSpellGuardianNagaDescription	Capacité de l'Archimage
Spell/&DHCastSpellGuardianNagaTitle	Capacité à lancer des sorts d'Archimage
Spell/&DHCastSpellLichDescription	Capacité de moulage des liches
Spell/&DHCastSpellLichTitle	Capacité à lancer une liche
Spell/&DHConjureCelestialSpellDescription	Vous invoquez un céleste de niveau de défi 4 ou moins, qui apparaît dans un espace inoccupé que vous pouvez voir à portée. Le céleste disparaît lorsqu'il tombe à 0 point de vie ou lorsque le sort prend fin. Le céleste est amical envers vous et vos compagnons pour la durée du sort.
Spell/&DHConjureCelestialSpellTitle	Conjuration céleste (Couatl)
Spell/&DHDominateMonsterSpellDescription	Vous tentez de séduire une créature que vous pouvez voir à portée. Elle doit réussir un jet de sauvegarde de Sagesse ou être charmée par vous pour la durée du sort.
Spell/&DHDominateMonsterSpellTitle	Dominer un monstre
Spell/&DHFeeblemindSpellDescription	Vous frappez l'esprit d'une créature que vous pouvez voir à portée, pour tenter de briser son intellect et sa personnalité. La cible subit 4d6 dégâts psychiques et doit effectuer un jet de sauvegarde d'Intelligence. En cas d'échec, les scores d'Intelligence et de Charisme de la créature deviennent 1. La créature ne peut pas lancer de sorts, activer des objets magiques, comprendre le langage ou communiquer de manière intelligible.
Spell/&DHFeeblemindSpellTitle	Feeblemind
Spell/&DHFingerOfDeathSpellDescription	La cible doit effectuer un jet de sauvegarde de Constitution. Elle subit 7d8 + 30 points de dégâts nécrotiques en cas d'échec, ou la moitié en cas de réussite.
Spell/&DHFingerOfDeathSpellTitle	Doigt de mort (sans zombie)
Spell/&DHForesightSpellDescription	Vous touchez une créature consentante et lui conférez une capacité limitée de voir dans le futur immédiat. Pendant toute la durée du sort, la cible ne peut pas être surprise et a l'avantage sur les jets d'attaque, les tests de capacité et les jets de sauvegarde. De plus, les autres créatures ont un désavantage aux jets d'attaque contre la cible pour la durée du sort.
Spell/&DHForesightSpellTitle	Prévoyance
Spell/&DHHolyAuraSpellDescription	La lumière divine s'échappe de vous et se fusionne en un doux rayonnement dans un rayon de 30 pieds autour de vous. Les créatures de votre choix qui se trouvent dans ce rayon lorsque vous lancez ce sort diffusent une lumière faible dans un rayon de 1,5 m et ont l'avantage sur tous les jets de sauvegarde, et les autres créatures ont un désavantage aux jets d'attaque contre elles jusqu'à la fin du sort.
Spell/&DHHolyAuraSpellTitle	Aura sacrée
Spell/&DHIncendiaryCloudSpellDescription	Un nuage de fumée tourbillonnant traversé de braises chauffées à blanc apparaît dans une sphère de 6 mètres de rayon centrée sur un point à portée. Le nuage se répand dans les coins et est fortement obscurci. Il dure toute la durée du sort ou jusqu'à ce qu'un vent de vitesse modérée ou supérieure (au moins 10 miles par heure) le disperse.Lorsque le nuage apparaît, chaque créature qui s'y trouve doit effectuer un jet de sauvegarde de Dextérité. Une créature subit 10d8 points de dégâts de feu en cas d'échec, ou la moitié en cas de réussite. Une créature doit également effectuer ce jet de sauvegarde lorsqu'elle entre dans la zone du sort pour la première fois lors d'un tour ou qu'elle y termine son tour.Le nuage s'éloigne de 10 pieds directement de vous dans une direction que vous choisissez au début de chacun de vos tours.
Spell/&DHIncendiaryCloudSpellTitle	Nuage incendiaire
Spell/&DHMassHealSpellDescription	Un flot d'énergie curative coule de vous vers les créatures blessées autour de vous. Vous restaurez jusqu'à 700 points de vie, répartis comme vous le souhaitez entre un nombre quelconque de créatures que vous pouvez voir à portée. Les créatures soignées par ce sort sont également guéries de toutes les maladies et de tout effet les rendant aveugles ou sourdes. Ce sort n'a aucun effet sur les morts-vivants ou les constructions.
Spell/&DHMassHealSpellTitle	Guérison de masse
Spell/&DHMazeSpellDescription	Vous bannissez une créature que vous pouvez voir à portée dans un demi-plan labyrinthique. La cible y reste pour la durée ou jusqu'à ce qu'elle s'échappe du labyrinthe. /La cible peut utiliser son action pour tenter de s'échapper. Lorsqu'elle le fait, elle doit effectuer un test d'Intelligence DC 20.
Spell/&DHMazeSpellTitle	Labyrinthe
Spell/&DHMeteorSwarmSingleTargetSpellDescription	Des orbes de feu flamboyantes dégringolent vers le sol en un seul point que vous pouvez voir à portée. Chaque créature dans une sphère de 40 pieds de rayon centrée sur le point que vous choisissez doit effectuer un jet de sauvegarde de Dextérité. La sphère se propage dans les coins. Une créature subit 20d6 dégâts de feu et 20d6 dégâts de matraquage sur un jet de sauvegarde raté, ou la moitié des dégâts sur un jet réussi. Une créature se trouvant dans la zone de plus d'une explosion de feu n'est affectée qu'une seule fois...
Spell/&DHMeteorSwarmSingleTargetSpellTitle	Essaim de météores (Cible unique)
Spell/&DHMindBlankSpellDescription	Jusqu'à la fin du sort, une créature volontaire que vous touchez est immunisée contre les dégâts psychiques, contre tout effet permettant de ressentir ses émotions ou de lire ses pensées, contre les sorts de divination et contre la condition de charme.
Spell/&DHMindBlankSpellTitle	Vide mental
Spell/&DHPowerWordHealSpellDescription	Une vague d'énergie curative déferle sur la créature que vous touchez. La cible regagne tous ses points de vie. Si la créature est charmée, effrayée, paralysée ou étourdie, la condition prend fin. Si la créature est couchée, elle peut utiliser sa réaction pour se relever. Ce sort n'a aucun effet sur les morts-vivants ou les constructions.
Spell/&DHPowerWordHealSpellTitle	Mot de pouvoir Guérison
Spell/&DHPowerWordKillSpellDescription	Vous prononcez un mot de pouvoir qui peut contraindre une créature que vous pouvez voir à portée à mourir instantanément. Si la créature que vous choisissez a 100 points de vie ou moins, elle meurt. Sinon, le sort n'a aucun effet.
Spell/&DHPowerWordKillSpellTitle	Mot de pouvoir tuer
Spell/&DHPowerWordStunSpellDescription	Vous prononcez un mot de pouvoir qui peut submerger l'esprit d'une créature que vous pouvez voir à portée, la laissant abasourdie. Si la cible a 150 points de vie ou moins, elle est étourdie. Sinon, le sort n'a aucun effet.
Spell/&DHPowerWordStunSpellTitle	Mot de pouvoir Étourdissement
Spell/&DHReverseGravitySpellDescription	Ce sort inverse la gravité dans un cylindre de 50 pieds de rayon et de 100 pieds de haut centré sur un point à portée.
Spell/&DHReverseGravitySpellTitle	Inversion de la gravité
Spell/&DHShapechangeSpellDescription	Vous prenez la forme d'une autre créature pour la durée du sort. Cette nouvelle forme peut être celle de n'importe quelle créature dont le niveau de défi est égal ou inférieur à votre niveau.
Spell/&DHShapechangeSpellTitle	Changement de forme
Spell/&DHSunBurstSpellDescription	Une lumière solaire brillante éclate dans un rayon de 60 pieds centré sur un point de votre choix à portée. Chaque créature dans cette lumière doit effectuer un jet de sauvegarde de Constitution. En cas d'échec, la créature subit 12d6 dégâts radiants et est aveuglée pendant 1 minute. En cas de sauvegarde réussie, elle subit la moitié des dégâts et n'est pas aveuglée par ce sort. Les morts-vivants et les suintants ont un désavantage sur ce jet de sauvegarde. Une créature aveuglée par ce sort effectue un autre jet de sauvegarde de Constitution à la fin de chacun de ses tours. Si elle réussit, elle n'est plus aveuglée. Ce sort dissipe toute obscurité dans sa zone qui a été créée par un sort.
Spell/&DHSunBurstSpellTitle	Rayon de soleil
Spell/&DHTimeStopSpellDescription	Vous arrêtez brièvement le cours du temps pour tout le monde sauf vous-même. Le temps ne passe pas pour les autres créatures, tandis que vous prenez 1d4 + 1 tours d'affilée, pendant lesquels vous pouvez utiliser des actions et vous déplacer normalement.
Spell/&DHTimeStopSpellTitle	Arrêt du temps
Spell/&DHWeirdSpellDescription	En puisant dans les peurs les plus profondes d'un groupe de créatures, vous créez dans leur esprit des créatures illusoires, visibles uniquement par elles. Chaque créature dans une sphère de 30 pieds de rayon centrée sur un point de votre choix à portée doit effectuer un jet de sauvegarde de Sagesse. En cas d'échec, la créature est effrayée pour la durée du sort. L'illusion fait appel aux peurs les plus profondes de la créature, manifestant ses pires cauchemars sous la forme d'une menace implacable. À la fin de chaque tour de la créature effrayée, elle doit réussir un jet de sauvegarde de Sagesse ou subir 4d10 dégâts psychiques. En cas de sauvegarde réussie, le sort prend fin pour cette créature.
Spell/&DHWeirdSpellTitle	Étrange
Spell/&EarthTremorDescription	Vous frappez le sol et déclenchez une secousse sismique qui projette de la terre, de la roche et du sable.
Spell/&EarthTremorTitle	Secousse sismique
Spell/&EldritchBlastDescription	Un rayon d'énergie crépitante se dirige vers une créature à portée. Effectuez une attaque de sort à distance contre la cible. En cas de succès, la cible subit 1d10 points de dégâts de force.\NLe sort crée plus d'un faisceau lorsque vous atteignez les niveaux supérieurs : deux faisceaux au 5e niveau, trois faisceaux au 11e niveau et quatre faisceaux au 17e niveau. Vous pouvez diriger les faisceaux vers la même cible ou vers des cibles différentes. Faites un jet d'attaque séparé pour chaque rayon.
Spell/&EldritchBlastTitle	Souffle d'Eldritch
Spell/&EldritchOrbDescription	Tu projettes une boule d'énergie eldritch sur une créature ou un objet à portée.
Spell/&EldritchOrbTitle	Orbe eldritch
Spell/&FindFamiliarDescription	Vous gagnez les services d'un familier.
Spell/&FindFamiliarImpDescription	Invoque ton familier sous la forme d'un diablotin.
Spell/&FindFamiliarImpTitle	Trouver un familier (diablotin)
Spell/&FindFamiliarPsuedodragonDescription	Invoque ton familier sous la forme d'un Pseudodragon.
Spell/&FindFamiliarPsuedodragonTitle	Trouver un familier (Pseudodragon)
Spell/&FindFamiliarQuasitDescription	Invoque ton familier sous la forme d'un quasit
Spell/&FindFamiliarQuasitTitle	Trouver un familier (Quasit)
Spell/&FindFamiliarSpriteDescription	Appelle ton familier sous la forme d'un lutin
Spell/&FindFamiliarSpriteTitle	Trouver un familier (Sprite)
Spell/&FindFamiliarTitle	Trouver un familier
Spell/&FrenzyDescription	D'un geste, vous réduisez une foule à l'état d'instinct et de violence. Choisissez un point que vous pouvez voir à portée. Chaque créature dans un rayon de 6 mètres de ce point doit effectuer un jet de sauvegarde de Sagesse. En cas d'échec, la créature est frénétique pour la durée du jet. Lorsqu'une créature est frénétique, elle tire une arme de mêlée, si elle en possède une. Une créature frénétique doit utiliser son action au début de son tour pour attaquer une créature à sa portée. Elle utilise une arme de mêlée, si elle en a une, ou une arme improvisée ou une frappe à mains nues, si elle n'en a pas. Si plusieurs cibles sont à portée de la créature, elle choisit sa cible au hasard. S'il n'y a pas de cible à portée de la créature, elle s'attaque elle-même, contre sa propre CA, infligeant des dégâts comme d'habitude en cas de succès. À la fin de son tour, une créature frénétique peut répéter son jet de sauvegarde, mettant fin prématurément à l'effet sur elle en cas de réussite.
Spell/&FrenzyTitle	Frénésie
Spell/&GraspingHandDescription	Un rayon d'énergie crépitante se dirige vers une créature à portée. Effectuez une attaque de sort à distance contre la cible. En cas de succès, la cible subit 1d10 points de dégâts de force. \n(lorsque vous touchez une créature avec votre souffle eldritch, vous pouvez déplacer cette créature en ligne droite de 10 pieds plus près de vous).
Spell/&GraspingHandTitle	Souffle eldritch (Saisir)
Spell/&HinderingBlastDescription	Un rayon d'énergie crépitante se dirige vers une créature à portée. Effectuez une attaque de sort à distance contre la cible. En cas de succès, la cible subit 1d10 points de dégâts de force. (Lorsque tu touches une créature avec ton souffle eldritch, tu peux réduire sa vitesse de 10 pieds jusqu'à la fin de ton prochain tour).
Spell/&HinderingBlastTitle	Souffle eldritch (gênant)
Spell/&IPConjureInvisibleStalkerTitle	Conjurer un élémentaire (Traqueur invisible)
Spell/&MinorLifestealDescription	Vous drainez l'énergie vitale d'une créature hostile que vous pouvez voir à portée. Vous soignez ensuite un nombre de points de vie égal au nombre de dégâts infligés. Ce sort n'a aucun effet sur les morts-vivants ou les constructions.
Spell/&MinorLifestealTitle	Lifesteal mineur
Spell/&PetalStormDescription	Choisissez un cube d'air inoccupé de 15 pieds que vous pouvez voir à portée. Une force élémentaire de vents tourbillonnants apparaît dans le cube et dure pendant toute la durée du sort. Le nuage obscurcit fortement sa zone. Toute créature qui entre dans la tempête pour la première fois lors d'un tour ou qui commence son tour à cet endroit doit effectuer un jet de sauvegarde de Force. En cas d'échec, la créature subit 3d4 dégâts tranchants. Comme action bonus, vous pouvez déplacer la tempête jusqu'à 10 mètres dans n'importe quelle direction.
Spell/&PetalStormTitle	Tempête de pétales
Spell/&ProtectThresholdDescription	En traçant des sigils arcaniques le long de ses limites, vous pouvez empêcher une porte, une fenêtre ou tout autre portail d'entrer. Pendant toute la durée du sort, une créature eldritch invisible rôde autour du portail protégé. Toute créature qui tente de traverser le portail doit effectuer un jet de sauvegarde de Sagesse ou subir 4d6 dégâts psychiques, ou la moitié en cas de sauvegarde réussie.
Spell/&ProtectThresholdTitle	Protéger le seuil
Spell/&RepellingBlastDescription	Un rayon d'énergie crépitante se dirige vers une créature à portée. Effectuez une attaque de sort à distance contre la cible. En cas de succès, la cible subit 1d10 points de dégâts de force.(Lorsque vous touchez une créature avec souffle eldritch, vous pouvez la repousser jusqu'à 3 mètres de vous en ligne droite).
Spell/&RepellingBlastTitle	Souffle eldritch (repoussant)
Spell/&ThunderStrikeDescription	Crée une explosion de sons tonitruants, endommageant toutes les personnes autour de toi.
Spell/&ThunderStrikeTitle	Éclatement sonore
Spell/&WinterBreathDescription	Crée un souffle de vent froid pour refroidir tes ennemis et les mettre à terre.
Spell/&WinterBreathTitle	Souffle d'hiver
Spell/&WitchFamiliarDescription	Vous gagnez les services d'un familier.
Spell/&WitchFamiliarTitle	Familier de la sorcière
SpellList/&ClassWarlockSpellListDescription	Liste de sorts du sorcier
SpellList/&ClassWarlockSpellListTitle	Liste de sorts de sorcier
SpellList/&ElementalistSpellsListDescription	Liste de sorts d'élémentaliste
SpellList/&ElementalistSpellsListTitle	Liste de sorts de l'élémentaliste
SpellList/&RiftWalkerSpellsListDescription	Marcheur des Fosses Liste de sorts
SpellList/&RiftWalkerSpellsListTitle	Liste de sorts de marcheur de faille
SpellList/&SpellListTinkererDescription	Liste de sorts du rétameur
SpellList/&SpellListTinkererTitle	Liste de sorts de bricoleur
Stage/&IdentityMorphotypeEyeHeader	Style des yeux
Subclass/&AbilityAffinityRogueConArtistDescription	Avantage sur les tests de capacité utilisant Persuasion, Tromperie, Performance, et Tour de main.
Subclass/&AbilityAffinityRogueConArtistTitle	Manipulateur
Subclass/&AHWarlockSubclassSoulBladePactDescription	Vous avez conclu un pacte avec une arme sensible à laquelle vous donnez des âmes en échange de pouvoir.
Subclass/&AHWarlockSubclassSoulBladePactTitle	Pacte de la lame d'âme
Subclass/&ArcaneFighterAdditionalActionDescription	Vous pouvez lancer un sort après avoir vaincu un ennemi avec vos attaques d'armes.
Subclass/&ArcaneFighterAdditionalActionTitle	Lutte contre les sorts
Subclass/&ArcaneFighterBonusWeaponDamageDescription	Une fois par tour, vos attaques à l'arme infligent 1d8 points de dégâts supplémentaires.
Subclass/&ArcaneFighterBonusWeaponDamageTitle	Attaques magiques
Subclass/&ArtificerAlchemistDescription	Vous êtes spécialisé dans les potions, les buffs, les soins et le lancement de sorts.
Subclass/&ArtificerAlchemistTitle	Créateur de potions
Subclass/&ArtificerArtileristCannonsDescription	Vous créez un ensemble de canons que vous pouvez activer en combat comme action bonus.
Subclass/&ArtificerArtileristCannonsTitle	Canons
Subclass/&ArtificerArtilleristDescription	Votre spécialité est de lancer des projectiles et de provoquer des explosions.
Subclass/&ArtificerArtilleristTitle	Blaster
Subclass/&ArtificerBattleSmithDescription	Vous êtes spécialisé dans l'utilisation d'armes magiques en combat
Subclass/&ArtificerBattleSmithTitle	Arme Smith
Subclass/&ArtificerSpellcastingDescription	Lancer des sorts de bricoleur
Subclass/&ArtificerSpellcastingTitle	Lancer des sorts de bricoleur
Subclass/&AttackModifierArtificerBattleSmithWeaponDescription	Vos attaques sont considérées comme magiques et vous utilisez votre intelligence pour les jets d'attaque et de dégâts.
Subclass/&AttackModifierArtificerBattleSmithWeaponTitle	Arme Infusée
Subclass/&AttackModifierArtificerBlindingWeaponDescription	Touchez une arme qui gagne la capacité d'aveugler les cibles lorsqu'elles sont touchées (contre une sauvegarde de Constitution). Notez que vous ne pouvez avoir une infusion active qu'une seule fois. Si vous l'activez une seconde fois, la première est annulée.
Subclass/&AttackModifierArtificerBlindingWeaponTitle	Arme aveuglante
Subclass/&AttackModifierArtificerEnhancedArmorDescription	Touchez l'armure et elle devient magique et fournit +1 AC. Notez qu'une infusion ne peut être active qu'une seule fois. L'activer une seconde fois annule la première.
Subclass/&AttackModifierArtificerEnhancedArmorTitle	Armure améliorée
Subclass/&AttackModifierArtificerEnhancedFocusDescription	Touchez un Focus et elle devient magique et gagne +1 aux dc d'attaque et de sort. Notez que vous ne pouvez avoir une infusion active qu'une seule fois. L'activer une seconde fois annule la première.
Subclass/&AttackModifierArtificerEnhancedFocusTitle	Focus amélioré
Subclass/&AttackModifierArtificerEnhancedWeaponDescription	Touchez une arme et elle devient magique et gagne +1 aux jets d'attaque et de dégâts. Notez qu'une infusion ne peut être active qu'une seule fois. Si vous l'activez une seconde fois, la première est annulée.
Subclass/&AttackModifierArtificerEnhancedWeaponTitle	Arme améliorée
Subclass/&AttackModifierArtificerImprovedEnhancedArmorDescription	Touchez une armure et elle devient magique et procure +2 AC. Remarque : une infusion ne peut être active qu'une seule fois. L'activer une seconde fois annule la première.
Subclass/&AttackModifierArtificerImprovedEnhancedArmorTitle	Armure améliorée
Subclass/&AttackModifierArtificerImprovedEnhancedFocusDescription	Touchez un foyer et il devient magique et gagne +2 à l'attaque et aux sorts dc. Notez qu'une infusion ne peut être active qu'une seule fois. L'activer une seconde fois annule la première.
Subclass/&AttackModifierArtificerImprovedEnhancedFocusTitle	Focalisation améliorée
Subclass/&AttackModifierArtificerImprovedEnhancedWeaponDescription	Touchez une arme et elle devient magique et gagne +2 aux jets d'attaque et de dégâts. Remarque : une infusion ne peut être active qu'une seule fois. Si vous l'activez une seconde fois, la première est annulée.
Subclass/&AttackModifierArtificerImprovedEnhancedWeaponTitle	Arme améliorée
Subclass/&AttackModifierImprovedArtificerBattleSmithWeaponDescription	Vous insufflez de la puissance à votre arme. Vos attaques comptent comme magiques et vous ajoutez +7 à vos jets d'attaque et de dégâts.
Subclass/&AttackModifierImprovedArtificerBattleSmithWeaponTitle	Arme améliorée Infuse
Subclass/&AttackModifierMeleeWizardArcaneWeaponDescription	Lorsqu'il est actif sur une arme, ses attaques comptent comme magiques et vous utilisez votre intelligence pour vos jets d'attaque et de dégâts.
Subclass/&AttackModifierMeleeWizardArcaneWeaponTitle	Arcane Weapon
Subclass/&AttributeModifierArtificerBattleSmithExtraAttackDescription	Vous gagnez une attaque supplémentaire
Subclass/&AttributeModifierArtificerBattleSmithExtraAttackTitle	Extra Attaque
Subclass/&AttributeModifierMeleeWizardExtraAttackDescription	Vous gagnez une attaque supplémentaire
Subclass/&AttributeModifierMeleeWizardExtraAttackTitle	Attaque supplémentaire
Subclass/&BarbarianPathOfTheLightDescription	Les barbares qui suivent la voie de la lumière éclairent les ténèbres et protègent leurs alliés des dangers qui s'y cachent.
Subclass/&BarbarianPathOfTheLightEyesOfTruthDescription	Vous êtes toujours sous l'effet d'un sort See Invisibility.
Subclass/&BarbarianPathOfTheLightEyesOfTruthTitle	Yeux de vérité
Subclass/&BarbarianPathOfTheLightIlluminatedConditionDescription	Distrait par Frappe illuminatrice.
Subclass/&BarbarianPathOfTheLightIlluminatedConditionTitle	Illuminé
Subclass/&BarbarianPathOfTheLightIlluminatedDisadvantageDescription	Désavantage sur tout jet d'attaque qui n'est pas contre le barbare de la Voie de la lumière.
Subclass/&BarbarianPathOfTheLightIlluminatedPreventInvisibilityDescription	Ne peut pas devenir invisible.
Subclass/&BarbarianPathOfTheLightIlluminatingBurstDescription	Au tour où vous entrez dans votre rage, vous pouvez choisir d'illuminer jusqu'à trois ennemis situés à 30 pieds de vous. Ils doivent réussir un jet de sauvegarde de Constitution (DC égal à 8 + votre bonus de compétence + votre modificateur de Constitution) ou subir 4d6 dégâts radiants et être illuminés par votre Frappe illuminatrice pendant 1 minute. Une créature illuminée de cette manière effectue un autre jet de sauvegarde de Constitution à la fin de chacun de ses tours. En cas de sauvegarde réussie, l'effet prend fin pour elle.
Subclass/&BarbarianPathOfTheLightIlluminatingBurstPowerDescription	Jusqu'à trois ennemis subissent 4d6 dégâts radiants et sont illuminés par votre Frappe illuminatrice. (Le jet de sauvegarde de Constitution annule l'effet).
Subclass/&BarbarianPathOfTheLightIlluminatingBurstPowerTitle	Rafale illuminatrice
Subclass/&BarbarianPathOfTheLightIlluminatingBurstTitle	Rafale illuminatrice
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeDescription	Pendant que vous êtes enragé, la première créature que vous touchez avec une attaque à votre tour subit 1d6 points de dégâts radiants supplémentaires et devient magiquement illuminée jusqu'au début de votre prochain tour. De plus, la créature a un désavantage sur tout jet d'attaque qui n'est pas contre vous et ne peut pas devenir invisible.
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeImprovementDescription	Les dégâts supplémentaires infligés par Frappe illuminatrice passent à 2d6.
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeImprovementTitle	Amélioration de Frappe illuminatrice
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeTitle	Frappe éclairante
Subclass/&BarbarianPathOfTheLightLightsProtectionDescription	Vous regagnez un nombre de points de vie égal à la moitié de votre niveau de barbare quand une créature hostile affectée par votre Frappe illuminatrice meurt. De plus, vous ne provoquez plus d'attaques d'opportunité de la part des créatures affectées par votre Frappe illuminatrice.
Subclass/&BarbarianPathOfTheLightLightsProtectionTitle	Protection de la lumière
Subclass/&BarbarianPathOfTheLightPierceTheDarknessDescription	Vous gagnez une vision noire supérieure.
Subclass/&BarbarianPathOfTheLightPierceTheDarknessTitle	Transpercer les ténèbres
Subclass/&BarbarianPathOfTheLightSeeingInvisibleConditionDescription	Vous pouvez percevoir les créatures invisibles.
Subclass/&BarbarianPathOfTheLightSeeingInvisibleConditionTitle	Vision d'invisibilité
Subclass/&BarbarianPathOfTheLightTitle	Chemin de la lumière
Subclass/&BloodWitchDescription	Interdite par la plupart des covens de sorcières, la magie du sang est centrée sur l'utilisation de sorts sombres et de sortilèges mortels qui puisent dans l'essence même du lanceur de sorts. Elle est fondamentalement plus périlleuse que les autres métiers de la sorcellerie, mais ses nombreux risques s'accompagnent de nombreuses récompenses.
