ActionAffinity/&DHFeeblemindSpellDescription	Incapaz de lançar feitiços
Screen/&EditorLocationSize3Title	Enorme [MODDED]
Screen/&EditorLocationSize4Title	Gargantuense [MODDED]
Screen/&FeyTeleportSpellDescription	Este feitiço Fey está sempre preparado.
Screen/&FeyTeleportSpellTitle	Fey
Screen/&ShadowTouchedSpellDescription	Este feitiço de Sombra está sempre preparado.
Screen/&ShadowTouchedSpellTitle	Sombra
Screen/&SpellSlotsUsedLongDescription	Você gastou {0} uma(s) ranhura(s) de descanso longo deste nível.
Screen/&SpellSlotsUsedShortDescription	Você gastou {0} espaço(s) para o(s) descanso(s) curto(s) deste nível.
Screen/&SpellSlotsUsedShortLongDescription	Você gastou {0} rasgo(s) para descanso curto e {1} rasgo(s) para descanso longo deste nível.
Screen/&WitchSpellDescription	Feitiço conhecido como Bruxa
Screen/&WitchSpellHeader	Bruxa
Screen/&WitchSpellTitle	Bruxa
Sorceror/&ZSSorcerousRestorationDescription	Recuperar 4 pontos de feitiçaria durante um breve descanso.
Sorceror/&ZSSorcerousRestorationTitle	Restauração de feitiçaria
Spell/&AcidClawsDescription	Faça um ataque mortal com suas garras afiadas.
Spell/&AcidClawsTitle	Garras Sangrentas
Spell/&AHPactMarkAdditionalDamageDescription	Um dano adicional de 1d6 em uma criatura marcada pelo pacto.
Spell/&AHPactMarkAdditionalDamageTitle	Dano da marca do pacto
Spell/&AHPactMarkMarkedByPactConditionDescription	Esta criatura foi marcada por um pacto e retira danos extras do marcador.
Spell/&AHPactMarkMarkedByPactConditionTitle	Marcado por um pacto
Spell/&AHPactMarkPactMarkConditionDescription	Você pode marcar outras criaturas com uma marca de pacto e fazer um dano adicional 1d6 a elas com ataques físicos ou ortográficos.
Spell/&AHPactMarkPactMarkConditionTitle	Marca de pacto
Spell/&AHPactMarkSpellDescription	Você coloca uma marca de seu pacto em uma criatura que você pode ver a 90 pés. Ela se torna vulnerável a você e leva um dano adicional de 1d6 sempre que você a atinge com um ataque (ataque físico ou feitiço). Este dano é do mesmo tipo que o ataque que atinge.
Spell/&AHPactMarkSpellTitle	Marca de Pacto
Spell/&AirBlastDescription	Dispare uma rajada de ar concentrado em seu alvo.
Spell/&AirBlastTitle	Jato de ar
Spell/&BurstOfRadianceDescription	Crie um flash brilhante de luz cintilante, danificando todos os inimigos ao seu redor.
Spell/&BurstOfRadianceTitle	Raios de Radiance
Spell/&CJDivineWordDescription	Você profere uma palavra divina, imbuído do poder que moldou o mundo na aurora da criação. Escolha qualquer número de criaturas que você possa ver dentro do alcance. Cada criatura que pode ouvir você deve fazer um lançamento salvador de Carisma. Em um salvamento falhado, uma criatura sofre um efeito baseado em seus atuais pontos de golpe: 50 pontos de golpe ou menos: surdo por 1 minuto 40 pontos de golpe ou menos: surdo e cego por 10 minutos 30 pontos de golpe ou menos: cego, surdo e atordoado por 1 hora 20 pontos de golpe ou menos: morto instantaneamente, independentemente de seus pontos de golpe atuais, um celestial, um elementar, um fey, ou um demônio que falhe sua salvação é forçado a voltar ao seu plano de origem (se já não estiver lá) e não pode retornar ao seu plano atual por 24 horas por qualquer meio que não seja um feitiço de desejo. \n
Spell/&CJDivineWordTitle	Palavra Divina
Spell/&DH_CastSpell_Lich_Description	Capacidade de Lich Casting
Spell/&DH_CastSpell_Lich_Title	Capacidade de Lich Casting
Spell/&DH_DominateMonster_Spell_Description	Você tenta seduzir uma criatura que você pode ver ao seu alcance. Ela deve ser bem sucedida em um lançamento salvador de Sabedoria ou ser encantada por você durante o tempo que durar.
Spell/&DH_DominateMonster_Spell_Title	Dominar o monstro
Spell/&DH_FingerOfDeath_Spell_Description	O alvo deve fazer um lançamento salvador da Constituição. São necessários 7d8 + 30 danos necróticos em um salvamento falhado, ou metade dos danos em um salvamento bem sucedido.
Spell/&DH_FingerOfDeath_Spell_Title	Dedo da Morte
Spell/&DH_PowerWordKill_Spell_Description	Você pronuncia uma palavra de poder que pode obrigar uma criatura que você pode ver ao alcance de sua mão a morrer instantaneamente. Se a criatura que você escolher tiver 100 pontos de acerto ou menos, ela morre. Caso contrário, o feitiço não tem efeito.
Spell/&DH_PowerWordKill_Spell_Title	Matar palavra de poder
Spell/&DH_PowerWordStun_Spell_Description	Você fala uma palavra de poder que pode sobrecarregar a mente de uma criatura que você pode ver ao alcance, deixando-a estupefata. Se o alvo tem 150 pontos de acerto ou menos, ele fica atordoado. Caso contrário, o feitiço não tem efeito.
Spell/&DH_PowerWordStun_Spell_Title	Atordoamento de palavras de poder
Spell/&DH_ReverseGravity_Spell_Description	Este feitiço inverte a gravidade em um cilindro de 50 pés de raio e 100 pés de altura, centrado em um ponto dentro do alcance.
Spell/&DH_ReverseGravity_Spell_Title	Inverter a Gravidade
Spell/&DH_TimeStop_Spell_Description	Você pára brevemente o fluxo de tempo para todos, menos para você mesmo. Nenhum tempo passa para outras criaturas, enquanto você dá 1d4 + 1 voltas seguidas, durante as quais você pode usar ações e se mover normalmente.
Spell/&DH_TimeStop_Spell_Title	Parada do tempo
Spell/&DHAnimalShapesSpellDescription	Escolha qualquer número de criaturas dispostas que você possa ver dentro do alcance. Você transforma cada alvo na forma de uma besta Grande ou menor com uma classificação de desafio de 4 ou menor.
Spell/&DHAnimalShapesSpellTitle	Formas de animais
Spell/&DHConjureCelestialSpellDescription	Você convoca um celestial de grau de desafio 4 ou inferior, que aparece em um espaço desocupado que você pode ver dentro do alcance. O celestial desaparece quando cai a 0 pontos de acerto ou quando o feitiço termina. O celestial é amigável para você e seus companheiros por toda a duração.
Spell/&DHConjureCelestialSpellTitle	Conjugação Celestial (Couatl)
Spell/&DHDominateMonsterSpellDescription	Você tenta seduzir uma criatura que você pode ver ao seu alcance. Ela deve ser bem sucedida em um lançamento salvador de Sabedoria ou ser encantada por você durante o tempo que durar.
Spell/&DHDominateMonsterSpellTitle	Dominar o monstro
Spell/&DHFeeblemindSpellDescription	Você explode a mente de uma criatura que você pode ver ao alcance, tentando quebrar seu intelecto e personalidade. O alvo leva dano psíquico 4d6 e deve fazer um lançamento salvador de Inteligência. Em um lançamento salvador falhado, a pontuação de Inteligência e Carisma da criatura se torna 1. A criatura não pode lançar feitiços, ativar itens mágicos, compreender a linguagem ou se comunicar de qualquer forma inteligível.
Spell/&DHFeeblemindSpellTitle	A criatura não pode lançar feitiços, ativar itens mágicos, entender a linguagem ou se comunicar de qualquer forma inteligível.
Spell/&DHFingerOfDeathSpellDescription	O alvo deve fazer um lançamento salvador da Constituição. São necessários 7d8 + 30 danos necróticos em um salvamento falhado, ou metade dos danos em um salvamento bem sucedido.
Spell/&DHFingerOfDeathSpellTitle	Dedo da Morte (Sem Zumbi)
Spell/&DHForesightSpellDescription	Você toca uma criatura disposta e confere uma capacidade limitada de ver o futuro imediato. Durante a duração, o alvo não pode ser surpreendido e tem vantagem em rolos de ataque, verificações de habilidade e lançamentos de salvamento. Além disso, outras criaturas têm desvantagem em rolos de ataque contra o alvo durante o tempo de duração.
Spell/&DHForesightSpellTitle	Prospectiva
Spell/&DHHolyAuraSpellDescription	A luz divina sai de você e se une em um suave brilho em um raio de 30 pés ao seu redor. Criaturas de sua escolha nesse raio quando você lança esse feitiço emitem luz suave num raio de 5 pés e têm vantagem em todos os lançamentos de salvamento, e outras criaturas têm desvantagem em lançar ataques contra elas até que o feitiço termine.
Spell/&DHHolyAuraSpellTitle	Santa Aura
Spell/&DHIncendiaryCloudSpellDescription	Uma nuvem giratória de fumaça disparada com brasas brancas e quentes aparece em uma esfera de 20 pés de raio raio centrada em um ponto dentro do alcance. A nuvem se espalha pelas esquinas e é fortemente obscurecida. Ela dura a duração ou até que um vento de velocidade moderada ou maior (pelo menos 10 milhas por hora) a disperse. Quando a nuvem aparece, cada criatura nela deve fazer um lançamento salvador de destreza. Uma criatura leva 10d8 de dano de fogo em um salvamento falhado, ou metade do dano em um salvamento bem sucedido. Uma criatura também deve fazer este lançamento salvador quando entra na área do feitiço pela primeira vez em uma curva ou termina sua curva lá. A nuvem se afasta 3 metros diretamente de você em uma direção que você escolhe no início de cada uma de suas curvas.
Spell/&DHIncendiaryCloudSpellTitle	Nuvem Incendiária
Spell/&DHMassHealSpellDescription	Uma inundação de energia curativa flui de você em criaturas feridas ao seu redor. Você restaura até 700 pontos de golpe, divididos conforme você escolhe entre qualquer número de criaturas que você possa ver ao seu redor. As criaturas curadas por este feitiço também são curadas de todas as doenças e de qualquer efeito que as torne cegas ou surdas. Este feitiço não tem nenhum efeito sobre mortos-vivos ou construções.
Spell/&DHMassHealSpellTitle	Cura em massa
Spell/&DHMazeSpellDescription	Você bane uma criatura que você pode ver ao alcance em um demiplano labiríntico. O alvo permanece lá pela duração ou até escapar do labirinto. /nO alvo pode usar sua ação para tentar escapar. Quando o faz, ele faz uma verificação de inteligência DC 20.
Spell/&DHMazeSpellTitle	Labirinto
Spell/&DHMeteorSwarmSingleTargetSpellDescription	Orbes de fogo em chamas caem no chão em um único ponto que você pode ver ao alcance. Cada criatura em uma esfera de 40 pés de raio centrada no ponto que você escolher deve fazer um lançamento salvador de destreza. A esfera se espalha pelos cantos. Uma criatura leva dano de fogo 20d6 e dano de impacto 20d6 em um salvamento falhado, ou a metade do dano em um salvamento bem sucedido. Uma criatura na área de mais de um estouro de fogo é afetada apenas uma vez.
Spell/&DHMeteorSwarmSingleTargetSpellTitle	Enxame de meteoro (Alvo único)
Spell/&DHMindBlankSpellDescription	Até que o feitiço termine, uma criatura disposta a tocar é imune a danos psíquicos, qualquer efeito que sentiria suas emoções ou leria seus pensamentos, feitiços de adivinhação e a condição encantada.
Spell/&DHMindBlankSpellTitle	Mente em branco
Spell/&DHPowerWordHealSpellDescription	Uma onda de energia curativa lava sobre a criatura que você toca. O alvo recupera todos os seus pontos de golpe. Se a criatura estiver encantada, assustada, paralisada ou atordoada, a condição termina. Se a criatura for propensa, ela pode usar sua reação para se levantar. Este feitiço não tem nenhum efeito sobre os mortos-vivos ou construções.
Spell/&DHPowerWordHealSpellTitle	Cura por palavra de poder
Spell/&DHPowerWordKillSpellDescription	Você pronuncia uma palavra de poder que pode obrigar uma criatura que você pode ver ao alcance de sua mão a morrer instantaneamente. Se a criatura que você escolher tiver 100 pontos de acerto ou menos, ela morre. Caso contrário, o feitiço não tem efeito.
Spell/&DHPowerWordKillSpellTitle	Matar palavra de poder
Spell/&DHPowerWordStunSpellDescription	Você fala uma palavra de poder que pode sobrecarregar a mente de uma criatura que você pode ver ao alcance, deixando-a estupefata. Se o alvo tem 150 pontos de acerto ou menos, ele fica atordoado. Caso contrário, o feitiço não tem efeito.
Spell/&DHPowerWordStunSpellTitle	Atordoamento de palavras de poder
Spell/&DHReverseGravitySpellDescription	Este feitiço inverte a gravidade em um cilindro de 50 pés de raio e 100 pés de altura, centrado em um ponto dentro do alcance.
Spell/&DHReverseGravitySpellTitle	Inverter a Gravidade
Spell/&DHShapechangeSpellDescription	Você assume a forma de uma criatura diferente para a duração. A nova forma pode ser de qualquer criatura com uma classificação de desafio igual ao seu nível ou inferior.
Spell/&DHShapechangeSpellTitle	Shapechange
Spell/&DHSunBurstSpellDescription	A luz solar brilhante brilha num raio de 60 pés centrado num ponto que você escolhe dentro do alcance. Cada criatura naquela luz deve fazer um lançamento salvador da Constituição. Em um salvamento fracassado, uma criatura leva 12d6 de dano radiante e fica cega por 1 minuto. Em um salvamento bem sucedido, ela leva metade do dano e não é cega por este feitiço. Uma criatura cega por este feitiço faz outro lançamento salvador da Constituição no final de cada um de seus turnos. Este feitiço dissipa qualquer escuridão em sua área que foi criada por um feitiço.
Spell/&DHSunBurstSpellTitle	Sunburst
Spell/&DHTimeStopSpellDescription	Você pára brevemente o fluxo de tempo para todos, menos para você mesmo. Nenhum tempo passa para outras criaturas, enquanto você dá 1d4 + 1 voltas seguidas, durante as quais você pode usar ações e se mover normalmente.
Spell/&DHTimeStopSpellTitle	Parada do tempo
Spell/&DHWeirdSpellDescription	Baseando-se nos medos mais profundos de um grupo de criaturas, você cria criaturas ilusórias em suas mentes, visíveis apenas para elas. Cada criatura em uma esfera de 30 pés-radius centrada em um ponto de sua escolha dentro do alcance de alcance deve fazer um lançamento salvador de Sabedoria. Numa salvação falhada, uma criatura fica assustada pela duração. A ilusão invoca os medos mais profundos da criatura, manifestando seus piores pesadelos como uma ameaça implacável. Ao final de cada uma das voltas da criatura assustada, ela deve ter sucesso em um lançamento salvador de Sabedoria ou sofrer danos psíquicos 4d10. Em um salvamento bem sucedido, o feitiço termina para aquela criatura.
Spell/&DHWeirdSpellTitle	Estranho
Spell/&EarthTremorDescription	Você atinge o solo e desencadeia um tremor de força sísmica, lançando terra, rocha e areia.
Spell/&EarthTremorTitle	Tremor de terra
Spell/&EldritchBlastDescription	Um feixe de rajadas de energia crepitante em direção a uma criatura dentro do alcance. Faz um ataque de feitiço à distância contra o alvo. Em um acerto, o alvo leva um dano de força 1d10. O feitiço cria mais de um feixe quando você atinge níveis mais altos: dois feixes no 5º nível, três feixes no 11º nível, e quatro feixes no 17º nível. Você pode direcionar os feixes para o mesmo alvo ou para alvos diferentes. Faça um rolo de ataque separado para cada feixe.
Spell/&EldritchBlastTitle	Explosão Eldritch
Spell/&EldritchOrbDescription	Você atira uma bola de energia eldritch a uma criatura ou objeto dentro do alcance.
Spell/&EldritchOrbTitle	Orbe Eldritch
Spell/&FindFamiliarDescription	Você ganha o serviço de um familiar.
Spell/&FindFamiliarImpDescription	Convoca seu familiar sob a forma de um imp
Spell/&FindFamiliarImpTitle	Encontrar Familiar (Imp)
Spell/&FindFamiliarPsuedodragonDescription	Convoca seu familiar sob a forma de um Pseudodragon
Spell/&FindFamiliarPsuedodragonTitle	Find Familiar (Pseudodragon)
Spell/&FindFamiliarQuasitDescription	Convoca seu familiar sob a forma de um quasit
Spell/&FindFamiliarQuasitTitle	Encontrar Familiar (Quasit)
Spell/&FindFamiliarSpriteDescription	Invoca seu faim familiar na forma de um Sprite
Spell/&FindFamiliarSpriteTitle	Encontrar Familiar (Sprite)
Spell/&FindFamiliarTitle	Encontre um familiar
Spell/&FrenzyDescription	Com um gesto, você reduz uma multidão ao instinto de base e à violência. Escolha um ponto que você possa ver dentro do alcance. Cada criatura a menos de 6 metros daquele ponto deve fazer um lançamento salvador de Sabedoria. Em um salvamento fracassado, uma criatura é frenética pela duração. Quando uma criatura é frenética, ela desenha uma arma de combate corpo a corpo, se ela tiver uma. Uma criatura frenética deve usar sua ação no início de sua vez para atacar uma criatura ao seu alcance. Ela usa uma arma corpo-a-corpo, se tiver uma, ou uma arma improvisada ou um ataque desarmado, se não tiver. Se vários alvos estiverem ao alcance da criatura, ela escolhe seu alvo de forma aleatória. Se não houver nenhum alvo ao alcance da criatura, ela ataca a si mesma, contra seu próprio AC, lidando com os danos de forma normal em um ataque. No final de sua vez, uma criatura frenética pode repetir seu lançamento salvador, terminando o efeito sobre ela logo no início de um sucesso.
Spell/&FrenzyTitle	Frenesi
Spell/&GraspingHandDescription	Um feixe de rajadas de energia crepitante em direção a uma criatura dentro do alcance. Faz um ataque de feitiço à distância contra o alvo. Em um acerto, o alvo sofre um dano de força 1d10. \n(quando você atinge uma criatura com sua explosão eldritch, você pode mover essa criatura em uma linha reta 3 metros mais próxima de você).
Spell/&GraspingHandTitle	Explosão de Eldritch (Agarrando)
Spell/&HinderingBlastDescription	Um feixe de rajadas de energia crepitante em direção a uma criatura dentro do alcance. Faz um ataque de feitiço à distância contra o alvo. Em um acerto, o alvo leva um dano de força 1d10.\n(quando você acerta uma criatura com sua explosão de eldritch, você pode reduzir a velocidade dessa criatura em 3 metros até o final de sua próxima curva).
Spell/&HinderingBlastTitle	Explosão de Eldritch (Dificuldade)
Spell/&IPConjureInvisibleStalkerTitle	Conjure Elemental (Invisible Stalker)
Spell/&MinorLifestealDescription	Você drena a energia vital de uma criatura hostil que você pode ver ao alcance. Você então cicatriza pontos de golpe iguais à quantidade de danos causados. Este feitiço não tem efeito sobre os mortos-vivos ou construções.
Spell/&MinorLifestealTitle	Menor Lifesteal
Spell/&PetalStormDescription	Escolha um cubo de ar de 15 pés desocupado que você possa ver dentro do alcance. Uma força elementar de ventos redemoinhos aparece no cubo e dura o período de duração do feitiço. A nuvem obscurece fortemente sua área. Qualquer criatura que entra na tempestade pela primeira vez em uma curva ou começa sua curva ali deve fazer um lance de economia de força. Em um salvamento fracassado, a criatura leva um dano de corte 3d4. Como uma ação bônus, você pode mover a tempestade até 30 pés em qualquer direção.
Spell/&PetalStormTitle	Tempestade Petal
Spell/&ProtectThresholdDescription	Rastreando os sinais arcanos ao longo de seus limites, você pode afastar uma porta, janela ou outro portal da entrada. Durante o tempo de duração, uma criatura eldritch invisível percorre o portal vigiado. Qualquer criatura que tente passar pelo portal deve fazer um lançamento salvador de Sabedoria ou sofrer danos psíquicos 4d6, ou a metade de um lançamento salvador bem sucedido.
Spell/&ProtectThresholdTitle	Proteger o Limiar
Spell/&RepellingBlastDescription	Um feixe de rajadas de energia crepitante em direção a uma criatura dentro do alcance. Faz um ataque de feitiço à distância contra o alvo. Em um ataque, o alvo leva um dano de força 1d10.\n(Quando você atinge uma criatura com explosão de eldritch, você pode empurrar a criatura até 3 metros de distância de você em linha reta).
Spell/&RepellingBlastTitle	Explosão de Eldritch (Repelir)
Spell/&ThunderStrikeDescription	Crie uma explosão de som estrondoso, prejudicando todos à sua volta.
Spell/&ThunderStrikeTitle	Som de rajada
Spell/&WinterBreathDescription	Crie uma rajada de vento frio para esfriar seus inimigos e derrubá-los propenso.
Spell/&WinterBreathTitle	Respiração do inverno
Spell/&WitchFamiliarDescription	Você ganha o serviço de um familiar.
Spell/&WitchFamiliarTitle	Feiticeiro Familiar
SpellList/&ElementalistSpellsListDescription	Feitiços Elementalistas Descrição da Lista
SpellList/&ElementalistSpellsListTitle	Feitiços ElementalistasLista
SpellList/&RiftWalkerSpellsListDescription	Feitiços RiftWalkerLista Descrição
SpellList/&RiftWalkerSpellsListTitle	Feitiços do Rift WalkerList
SpellList/&SpellListClassWarlockDescription	Lista de feitiços do mago
SpellList/&SpellListClassWarlockTitle	Lista de feitiços do mago
SpellList/&SpellListTinkererTitle	Lista de feitiços para a classe Tinkerer.
Stage/&IdentityMorphotypeEyeHeader	Estilo Olho
Stage/&SubclassSelectionStageCovenDescription	Coven
Stage/&SubclassSelectionStageCovenFeaturesDescription	Coven
Stage/&SubclassSelectionStageCovenFeaturesHeader	Características do Convênio
Stage/&SubclassSelectionStageCovenFeaturesTitle	Coven
Stage/&SubclassSelectionStageCovenHeader	Selecione um Convênio
Stage/&SubclassSelectionStageCovenTitle	Coven
Stage/&SubclassSelectionStagePatronDescription	Um mago é definido por um pacto com um ser de outro mundo. Às vezes a relação entre feiticeiro e patrono é como a de um clérigo e uma divindade, embora os seres que servem como patronos não sejam deuses.
Stage/&SubclassSelectionStagePatronFeatures	Outras características dos mecenas
Stage/&SubclassSelectionStagePatronHeader	Warlock Outros Patronos de Palavras
Stage/&SubclassSelectionStagePatronTitle	Outros Patronos
Stage/&SubclassSelectionStageSpecialistDescription	Descrição Há uma ampla gama de especialidades em Tinkerers, incluindo a fabricação de elixires como fabricante de poção, a realização de explosões como detonador e o empunhamento de armamento mágico como ferreiro de arma.
Stage/&SubclassSelectionStageSpecialistFeatures	Características Especialistas
Stage/&SubclassSelectionStageSpecialistHeader	Especializações
Stage/&SubclassSelectionStageSpecialistNoneDescription	Especialista Nenhum Descrição
Stage/&SubclassSelectionStageSpecialistTitle	Selecione Especialização
Subclass/&AbilityAffinityRogueConArtistDescription	Vantagem nas verificações de habilidade usando Persuasão, Engano, Desempenho, e Luz da Mão.
Subclass/&AbilityAffinityRogueConArtistTitle	Manipulativo
Subclass/&AHWarlockSubclassFiendPactDescription	Você fez um pacto com um demônio dos planos inferiores da existência, um ser cujos objetivos são maus, mesmo que você lute contra esses objetivos. Tais seres desejam a corrupção ou a destruição de todas as coisas, em última análise incluindo você. Os demônios poderosos o suficiente para forjar um pacto incluem senhores demoníacos como Demogorgon, Orcus, Fraz'Urb-luu e Baphomet; arquiduques como Asmodeus, Dispater, Mefistófeles e Belial; demônios das covas e balões que são especialmente poderosos; e ultroloths e outros senhores dos yugoloths.
Subclass/&AHWarlockSubclassFiendPactTitle	O Pacto Fiend
Subclass/&AHWarlockSubclassSoulBladePactDescription	Você conseguiu um acordo com uma arma senciente para alimentar as almas em troca de poder.
Subclass/&AHWarlockSubclassSoulBladePactTitle	Pacto SoulBlade
Subclass/&ArcaneFighterAdditionalActionDescription	Você pode lançar um feitiço após derrotar um inimigo com seus ataques com armas.
Subclass/&ArcaneFighterAdditionalActionTitle	Combate ortográfico
Subclass/&ArcaneFighterBonusWeaponDamageDescription	Uma vez por vez, seus ataques com armas causam um dano extra de 1d8.
Subclass/&ArcaneFighterBonusWeaponDamageTitle	Ataques com poder mágico
Subclass/&ArtificerAlchemistDescription	Você é especializado em poções, buffs, cura e fundição de feitiços
Subclass/&ArtificerAlchemistTitle	Criador de poção
Subclass/&ArtificerArtileristCannonsDescription	Você cria um conjunto de canhões que você pode ativar em batalha como uma ação bônus
Subclass/&ArtificerArtileristCannonsTitle	Cânones
Subclass/&ArtificerArtilleristDescription	Você é especializado em lançar projéteis e causar explosões
Subclass/&ArtificerArtilleristTitle	Detonador
Subclass/&ArtificerBattleSmithDescription	Você é especializado no uso de armas mágicas em combate
Subclass/&ArtificerBattleSmithTitle	Smith Arma
Subclass/&ArtificerSpellcastingDescription	Feitiços de Tinkerer
Subclass/&ArtificerSpellcastingTitle	Fundição Tinkerer Spellcasting
Subclass/&AttackModifierArtificerBattleSmithWeaponDescription	Seus ataques contam como Mágicos e você usa sua inteligência para ataques e rolos de danos
Subclass/&AttackModifierArtificerBattleSmithWeaponTitle	Arma infundida
Subclass/&AttackModifierArtificerBlindingWeaponDescription	Tocar uma arma que ganhe a capacidade de cegar alvos em caso de acerto (contra um salvamento da Constituição). Note que você só pode ter uma infusão ativa uma vez. Ativá-la uma segunda vez irá cancelar a primeira.
Subclass/&AttackModifierArtificerBlindingWeaponTitle	Arma Cegante
Subclass/&AttackModifierArtificerEnhancedArmorDescription	Toque a Armadura e ela se torna mágica e fornece +1 AC. Note que você só pode ter uma infusão ativa uma vez. Ativá-la uma segunda vez irá cancelar a primeira.
Subclass/&AttackModifierArtificerEnhancedArmorTitle	Armadura reforçada
Subclass/&AttackModifierArtificerEnhancedFocusDescription	Toque um Foco e ele se torna mágico e ganha +1 para atacar e soletrar dc. Note que você só pode ter uma infusão ativa uma vez. Ativá-la uma segunda vez irá cancelar a primeira.
Subclass/&AttackModifierArtificerEnhancedFocusTitle	Foco melhorado
Subclass/&AttackModifierArtificerEnhancedWeaponDescription	Toque uma arma e ela se torna mágica e ganha +1 para atacar e danificar rolos. Note que você só pode ter uma infusão ativa uma vez. Ativá-la uma segunda vez irá cancelar a primeira.
Subclass/&AttackModifierArtificerEnhancedWeaponTitle	Arma aperfeiçoada
Subclass/&AttackModifierArtificerImprovedEnhancedArmorDescription	Toque a Armadura e ela se torna mágica e fornece +2 AC. Note que você só pode ter uma infusão ativa uma vez. Ativá-la uma segunda vez irá cancelar a primeira.
Subclass/&AttackModifierArtificerImprovedEnhancedArmorTitle	Armadura aprimorada
Subclass/&AttackModifierArtificerImprovedEnhancedFocusDescription	Toque um Foco e ele se torna mágico e ganha +2 para atacar e soletrar dc. Note que você só pode ter uma infusão ativa uma vez. Ativá-la uma segunda vez irá cancelar a primeira.
Subclass/&AttackModifierArtificerImprovedEnhancedFocusTitle	Foco Melhorado
Subclass/&AttackModifierArtificerImprovedEnhancedWeaponDescription	Toque uma arma e ela se torna mágica e ganha +2 para atacar e danificar rolos. Note que você só pode ter uma infusão ativa uma vez. Ativá-la uma segunda vez irá cancelar a primeira.
Subclass/&AttackModifierArtificerImprovedEnhancedWeaponTitle	Arma Melhorada
Subclass/&AttackModifierImprovedArtificerBattleSmithWeaponDescription	Você infunde sua arma com o poder. Seus ataques contam como mágicos e você adiciona +7 aos seus rolos de ataque e dano.
Subclass/&AttackModifierImprovedArtificerBattleSmithWeaponTitle	Arma Infusora Melhorada
Subclass/&AttackModifierMeleeWizardArcaneWeaponDescription	Quando ativo em uma arma, seus ataques contam como mágicos e você usa sua inteligência para seus ataques e rolos de danos.
Subclass/&AttackModifierMeleeWizardArcaneWeaponTitle	Arma Arcana
Subclass/&AttributeModifierArtificerBattleSmithExtraAttackDescription	Você ganha um ataque extra
Subclass/&AttributeModifierArtificerBattleSmithExtraAttackTitle	Ataque Extra
Subclass/&AttributeModifierMeleeWizardExtraAttackDescription	Você ganha um ataque extra
Subclass/&AttributeModifierMeleeWizardExtraAttackTitle	Ataque Extra
Subclass/&BarbarianPathOfTheLightDescription	Os bárbaros que seguem o Caminho da Luz iluminam as trevas e protegem seus aliados dos perigos que se escondem dentro delas.
Subclass/&BarbarianPathOfTheLightEyesOfTruthDescription	Você está sempre sob os efeitos de um feitiço See Invisibility.
Subclass/&BarbarianPathOfTheLightEyesOfTruthTitle	Olhos da Verdade
Subclass/&BarbarianPathOfTheLightIlluminatedConditionDescription	Distraído pela Greve Iluminadora.
Subclass/&BarbarianPathOfTheLightIlluminatedConditionTitle	Iluminado
Subclass/&BarbarianPathOfTheLightIlluminatedDisadvantageDescription	Desvantagem em qualquer rolo de ataque que não seja contra o Caminho do Bárbaro da Luz.
Subclass/&BarbarianPathOfTheLightIlluminatedPreventInvisibilityDescription	Não pode se tornar invisível.
Subclass/&BarbarianPathOfTheLightIlluminatingBurstDescription	Na volta em que você entra em sua fúria, você pode optar por iluminar até três inimigos a menos de 30 pés de você. Eles devem ser bem sucedidos em um lançamento de economia de Constituição (DC igual a 8 + seu bônus de proficiência + seu modificador de Constituição) ou sofrer danos radiantes 4d6 e ser iluminados por sua Greve Iluminadora por 1 minuto. Uma criatura iluminada desta forma faz outro lançamento salvador de Constitution no final de cada um de seus giros. Em uma economia bem sucedida, o efeito termina para ele.
Subclass/&BarbarianPathOfTheLightIlluminatingBurstPowerDescription	Até três inimigos sofrem danos 4d6 radiantes e são iluminados por sua Greve Iluminadora. (A Constituição que salva o arremesso nega).
Subclass/&BarbarianPathOfTheLightIlluminatingBurstPowerTitle	Arrombamento Iluminador
Subclass/&BarbarianPathOfTheLightIlluminatingBurstTitle	Iluminando a explosão
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeDescription	Enquanto você está em fúria, a primeira criatura que você ataca com um ataque na sua vez leva um dano adicional de 1d6 radiante e fica iluminada magicamente até o início da sua próxima vez. Além disso, a criatura tem desvantagem em qualquer ataque que não é contra você e não pode se tornar invisível.
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeImprovementDescription	O dano adicional causado pela Greve Iluminadora aumenta para 2d6.
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeImprovementTitle	Melhoria da Greve Iluminadora
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeTitle	Greve Iluminadora
Subclass/&BarbarianPathOfTheLightLightsProtectionDescription	Você recupera pontos de golpe iguais à metade de seu nível bárbaro quando uma criatura hostil afetada por sua Greve Iluminadora morre. Além disso, você não mais provoca ataques de oportunidade de criaturas afetadas por sua Greve Iluminadora.
Subclass/&BarbarianPathOfTheLightLightsProtectionTitle	Proteção da Luz
Subclass/&BarbarianPathOfTheLightPierceTheDarknessDescription	Você ganha uma visão escura superior.
Subclass/&BarbarianPathOfTheLightPierceTheDarknessTitle	Trespassar a escuridão
Subclass/&BarbarianPathOfTheLightSeeingInvisibleConditionDescription	Pode perceber criaturas invisíveis.
Subclass/&BarbarianPathOfTheLightSeeingInvisibleConditionTitle	Invisibilidade da visão
Subclass/&BarbarianPathOfTheLightTitle	Caminho da Luz
