ActionAffinity/&DHFeeblemindSpellDescription	Impossibile lanciare incantesimi.
Spell/&DHPowerWordStunSpellTitle	Stordimento di parola di potere
Spell/&DHReverseGravitySpellDescription	Questo incantesimo inverte la gravità in un cilindro di 15 metri di raggio e alto 30 metri centrato su un punto entro la portata.
Spell/&DHReverseGravitySpellTitle	Gravità inversa
Spell/&DHShapechangeSpellDescription	Assumi la forma di una creatura diversa per la durata. La nuova forma può essere di qualsiasi creatura con un livello di sfida uguale al tuo livello o inferiore.
Spell/&DHShapechangeSpellTitle	Cambio di forma
Spell/&DHSunBurstSpellDescription	Una luce solare brillante lampeggia in un raggio di 18 metri centrata su un punto che scegli entro il raggio d'azione. Ogni creatura in quella luce deve effettuare un tiro salvezza su Costituzione. Se fallisce il tiro salvezza, una creatura subisce 12d6 danni radianti e rimane accecata per 1 minuto. Se riesce, subisce la metà dei danni e non viene accecato da questo incantesimo. I non morti e le melme hanno svantaggio a questo tiro salvezza. Una creatura accecata da questo incantesimo effettua un altro tiro salvezza di Costituzione alla fine di ogni suo turno. Se riesce, non è più accecato. Questo incantesimo dissolve l'oscurità nella sua area creata da un incantesimo.
Spell/&DHSunBurstSpellTitle	Sprazzo di sole
Spell/&DHTimeStopSpellDescription	Interrompi brevemente il flusso del tempo per tutti tranne che per te stesso. Non passa tempo per le altre creature, mentre fai 1d4 + 1 turni di fila, durante i quali puoi usare azioni e muoverti normalmente.
Spell/&DHTimeStopSpellTitle	Fermata del tempo
Spell/&DHWeirdSpellDescription	Attingendo alle paure più profonde di un gruppo di creature, crei creature illusorie nelle loro menti, visibili solo a loro. Ogni creatura in una sfera di 9 metri di raggio centrata su un punto a tua scelta entro gittata deve effettuare un tiro salvezza su Saggezza. Se fallisce il tiro salvezza, una creatura diventa spaventata per la durata. L'illusione richiama le paure più profonde della creatura, manifestando i suoi peggiori incubi come una minaccia implacabile. Alla fine di ogni turno della creatura spaventata, deve superare un tiro salvezza su Saggezza o subire 4d10 danni psichici. Se supera il tiro salvezza, l'incantesimo termina per quella creatura.
Spell/&DHWeirdSpellTitle	Strano
Spell/&EarthTremorDescription	Colpisci il suolo e scateni un tremore di forza sismica, scagliando terra, roccia e sabbia.
Spell/&EarthTremorTitle	Tremore terrestre
Spell/&EldritchBlastDescription	Un raggio di energia crepitante si dirige verso una creatura a portata. Effettua un attacco con incantesimo a distanza contro il bersaglio. In caso di colpo, il bersaglio subisce 1d10 danni da forza.\nL'incantesimo crea più di un raggio quando raggiungi livelli più alti: due raggi al 5° livello, tre raggi all'11° livello e quattro raggi al 17° livello. È possibile dirigere i raggi verso lo stesso target o verso target differenti. Effettua un tiro di attacco separato per ogni raggio.
Spell/&EldritchBlastGraspingHandDescription	Un raggio di energia crepitante si dirige verso una creatura a portata. Effettua un attacco con incantesimo a distanza contro il bersaglio. In caso di colpo, il bersaglio subisce 1d10 danni da forza.\n(Quando colpisci una creatura con la tua esplosione mistica, puoi muovere quella creatura in linea retta di 3 metri più vicino a te.)
Spell/&EldritchBlastGraspingHandTitle	Esplosione mistica (afferrare)
Spell/&EldritchBlastRepellingBlastDescription	Un raggio di energia crepitante si dirige verso una creatura a portata. Effettua un attacco con incantesimo a distanza contro il bersaglio. In caso di colpo, il bersaglio subisce 1d10 danni da forza.\n(Quando colpisci una creatura con un'esplosione mistica, puoi spingerla fino a 3 metri di distanza da te in linea retta.)
Spell/&EldritchBlastRepellingBlastTitle	Esplosione mistica (respingente)
Spell/&EldritchBlastTitle	Esplosione Diabolica
Spell/&EldritchOrbDescription	Lanci una sfera di energia misteriosa contro una creatura o un oggetto entro la gittata e infliggi danni da forza in un raggio ridotto.
Spell/&EldritchOrbTitle	Orb Eldritch
Spell/&EWResonatingStrikeDescription	Seleziona una creatura entro il raggio di mischia da te e un'altra creatura che puoi vedere entro 1,5 metri dal bersaglio principale. Fai un attacco in mischia con l'arma attuale contro la prima creatura. In caso di colpo, il bersaglio subisce i normali effetti dell'attacco con l'arma e il suono risonante salta al secondo bersaglio, infliggendo danni da tuono pari al tuo modificatore di capacità da incantatore.\nAl 5° livello, l'attacco in mischia infligge 1d8 danni da tuono extra al bersaglio su un colpo, e il danno da tuono alla seconda creatura aumenta a 1d8 + il tuo modificatore di capacità da incantatore. Entrambi i tiri per i danni aumentano di 1d8 all'11° e al 17° livello.
Spell/&EWResonatingStrikeTitle	Colpo risonante
Spell/&EWSunlightBladeDescription	Effettua un attacco in mischia con un'arma. In caso di colpo, il bersaglio subisce i normali effetti dell'attacco ed è avvolto da un'energia radiante luminosa, che emette luce fioca per il turno. Il prossimo attacco contro questa creatura mentre è evidenziata viene effettuato con vantaggio.\nAl 5° livello, l'attacco in mischia infligge 1d8 danni radianti extra al bersaglio. Il danno aumenta di altri 1d8 all'11° e al 17° livello.
Spell/&EWSunlightBladeTitle	Lama illuminata dal sole
Spell/&FindFamiliarDescription	Ottieni il servizio di un famiglio.
Spell/&FindFamiliarImpDescription	Evoca il tuo famiglio sotto forma di diavoletto.
Spell/&FindFamiliarImpTitle	Trova familiare (Diavoletto)
Spell/&FindFamiliarPsuedodragonDescription	Evoca il tuo famiglio sotto forma di Pseudodrago.
Spell/&FindFamiliarPsuedodragonTitle	Trova familiare (Pseudodrago)
Spell/&FindFamiliarQuasitDescription	Evoca il tuo famiglio sotto forma di quasit.
Spell/&FindFamiliarQuasitTitle	Trova familiare (quasi)
Spell/&FindFamiliarSpriteDescription	Evoca il tuo familiar sotto forma di uno Sprite.
Spell/&FindFamiliarSpriteTitle	Trova familiare (Sprite)
Spell/&FindFamiliarTitle	Trova familiare
Spell/&FrenzyDescription	Con un gesto riduci una folla all'istinto e alla violenza di base. Scegli un punto che puoi vedere nel raggio d'azione. Ogni creatura entro 20 piedi da quel punto deve effettuare un tiro salvezza su Saggezza. Se fallisce il tiro salvezza, una creatura va in delirio per tutta la durata. Quando una creatura è frenetica, estrae un'arma da mischia, se ne ha una. Una creatura frenetica deve usare la sua azione all'inizio del suo turno per attaccare una creatura alla sua portata. Usa un'arma da mischia, se ne ha una, o un'arma improvvisata o un colpo senz'armi, in caso contrario. Se più bersagli sono entro la portata della creatura, questa sceglie il suo bersaglio a caso. Se non ci sono bersagli entro la portata della creatura, questa attacca se stessa, contro la propria CA, infliggendo danni normalmente su un colpo. Alla fine del suo turno, una creatura frenetica può ripetere il suo Tiro Salvezza, interrompendo l'effetto su di essa all'inizio in caso di successo.
Spell/&FrenzyTitle	Frenesia
Spell/&HinderingBlastDescription	Un raggio di energia crepitante si dirige verso una creatura a portata. Effettua un attacco con incantesimo a distanza contro il bersaglio. In caso di colpo, il bersaglio subisce 1d10 danni da forza.\n(quando colpisci una creatura con la tua ondata mistica, puoi ridurre la velocità di quella creatura di 3 metri fino alla fine del tuo prossimo turno).
Spell/&HinderingBlastTitle	Esplosione Eldritch (Ostacolante)
Spell/&IlluminatingSphereDescription	Fa accendere fonti di luce come torce e lampade di mana nell'area dell'effetto.
Spell/&IlluminatingSphereTitle	Sfera illuminante
Spell/&IPConjureInvisibleStalkerTitle	Evoca Elementale (Inseguitore Invisibile)
Spell/&MinorLifestealDescription	Assorbi energia vitale da una creatura ostile che puoi vedere nel raggio d'azione. Quindi guarisci punti ferita pari all'ammontare del danno inflitto. Questo incantesimo non ha effetto sui non morti o sui costrutti.
Spell/&MinorLifestealTitle	Piccolo furto di vite
Spell/&MirrorImageDescription	Immagine riflessa
Spell/&MirrorImageTitle	Immagine riflessa
Spell/&MuleDescription	Il destinatario di questo incantesimo può ignorare gli effetti di carichi pesanti o armature sulla velocità di movimento. Possono anche portare un peso leggermente maggiore.
Spell/&MuleTitle	Mulo
Spell/&PetalStormDescription	Scegli un cubo d'aria di 15 piedi non occupato che puoi vedere entro il raggio d'azione. Una forza elementale di venti vorticosi appare nel cubo e dura per la durata dell'incantesimo. La nuvola oscura pesantemente la sua area. Qualsiasi creatura che entri nella tempesta per la prima volta in un turno o che inizi il suo turno lì deve effettuare un tiro salvezza di Forza. Se fallisce il tiro salvezza, la creatura subisce 3d4 danni taglienti. Come azione bonus, puoi spostare la tempesta fino a 9 metri in qualsiasi direzione.
Spell/&PetalStormTitle	Tempesta di petali
Spell/&ProtectThresholdDescription	Tracciando sigilli arcani lungo il suo confine, puoi proteggere una porta, una finestra o un altro portale dall'ingresso. Per tutta la durata, un'invisibile creatura misteriosa insegue il portale protetto. Qualsiasi creatura che tenti di passare attraverso il portale deve effettuare un tiro salvezza su Saggezza o subire 4d6 danni psichici, o la metà con un tiro salvezza riuscito.
Spell/&ProtectThresholdTitle	Soglia di protezione
Spell/&RadiantMotesDescription	Scatena uno sciame di 5 proiettili radiosi che infliggono 2 danni radiosi ciascuno, ma non mancano mai. I bersagli possono irradiare luce per un massimo di 1 minuto.\nQuando lanci questo incantesimo usando uno slot incantesimo di 2° livello o superiore, l'incantesimo crea 2 proiettili in più per ogni slot sopra il 1°.
Spell/&RadiantMotesTitle	Granelli radianti
Spell/&ThunderStrikeDescription	Crea un'esplosione di tuono, costringendo le creature adiacenti a te a effettuare un tiro salvezza di Costituzione o a subire 1d6 danni da tuono.\nIl danno di questo incantesimo aumenta di 1d6 quando si raggiunge il 5° livello (2d6), l'11° livello (3d6) e il 17° livello (4d6).
Spell/&ThunderStrikeTitle	Esplosione sonora
Spell/&WinterBreathDescription	Crea una raffica di vento freddo per raffreddare i tuoi nemici e metterli a terra proni.
Spell/&WinterBreathTitle	Respiro d'inverno
Spell/&WitchFamiliarDescription	Ottieni il servizio di un famiglio.
Spell/&WitchFamiliarTitle	Famiglio di streghe
SpellList/&ClassWarlockSpellListDescription	Lista degli incantesimi dello stregone.
SpellList/&ClassWarlockSpellListTitle	Lista degli incantesimi dello stregone
SpellList/&ElementalistSpellsListDescription	Lista Incantesimi Elementalista.
SpellList/&ElementalistSpellsListTitle	Lista Incantesimi Elementalista
SpellList/&RiftWalkerSpellsListDescription	Lista degli incantesimi di RiftWalker.
SpellList/&RiftWalkerSpellsListTitle	Lista degli incantesimi di Rift Walker
SpellList/&SpellListTinkererDescription	Lista degli incantesimi dell'armeggiatore.
SpellList/&SpellListTinkererTitle	Lista degli incantesimi dell'armeggiatore
Stage/&IdentityMorphotypeEyeHeader	Stile degli occhi
Stage/&SubclassSelectionStageClassMonkTraditionDescription	Questa fase seleziona la tradizione monastica del personaggio.
Stage/&SubclassSelectionStageClassMonkTraditionFeatures	Caratteristiche della tradizione monastica
Stage/&SubclassSelectionStageClassMonkTraditionHeader	Seleziona una tradizione monastica
Stage/&SubclassSelectionStageClassMonkTraditionNoneDescription	Devi selezionare una tradizione monastica.
Stage/&SubclassSelectionStageClassMonkTraditionTitle	monastico\nTradizione
Stage/&SubclassSelectionStageCovenDescription	Raduno.
Stage/&SubclassSelectionStageCovenFeaturesDescription	Raduno.
Stage/&SubclassSelectionStageCovenFeaturesHeader	Caratteristiche della congrega
Stage/&SubclassSelectionStageCovenFeaturesTitle	Raduno
Stage/&SubclassSelectionStageCovenHeader	Seleziona una congrega
Stage/&SubclassSelectionStageCovenTitle	Raduno
Stage/&SubclassSelectionStagePatronDescription	Uno Stregone è definito da un patto con un essere ultraterreno. A volte la relazione tra Warlock e patrono è come quella tra un chierico e una divinità, sebbene gli esseri che servono come patroni non siano dei.
Stage/&SubclassSelectionStagePatronFeatures	Caratteristiche dei patroni ultraterreni
Stage/&SubclassSelectionStagePatronHeader	Warlock Patroni ultraterreni
Stage/&SubclassSelectionStagePatronTitle	Patroni ultraterreni
Stage/&SubclassSelectionStageSpecialistDescription	Descrizione Ci sono una vasta gamma di specialità in Tinkerers, tra cui fare elisir come Potion Maker, fare esplosioni come Blaster e maneggiare armi magiche come Weapon Smith.
Stage/&SubclassSelectionStageSpecialistFeatures	Caratteristiche specialistiche
Stage/&SubclassSelectionStageSpecialistHeader	Specializzazioni
Stage/&SubclassSelectionStageSpecialistNoneDescription	Specialista Nessuno Descrizione.
Stage/&SubclassSelectionStageSpecialistTitle	Seleziona Specializzazione
Subclass/&AbilityAffinityRogueConArtistDescription	Vantaggio alle prove di abilità tramite Persuasione, Inganno, Esibizione e Gioco di prestigio.
Subclass/&AbilityAffinityRogueConArtistTitle	Manipolativo
Subclass/&AHWarlockSubclassSoulBladePactDescription	Hai stretto un patto con un'arma senziente a cui nutrire le anime in cambio del potere.
Subclass/&AHWarlockSubclassSoulBladePactTitle	Patto della Lama d'Anima
Subclass/&ArcaneFighterAdditionalActionDescription	Puoi lanciare un incantesimo dopo aver sconfitto un nemico con i tuoi attacchi con le armi.
Subclass/&ArcaneFighterAdditionalActionTitle	Combattimento di incantesimi
Subclass/&ArcaneFighterBonusWeaponDamageDescription	Una volta per turno, i tuoi attacchi con le armi infliggono 1d8 danni extra.
Subclass/&ArcaneFighterBonusWeaponDamageTitle	Attacchi magici
Subclass/&ArtificerAlchemistDescription	Sei specializzato in pozioni, potenziamenti, cure e lancio di incantesimi.
Subclass/&ArtificerAlchemistTitle	Creatore di pozioni
Subclass/&ArtificerArtileristCannonsDescription	Crei un set di cannoni che puoi attivare in battaglia come azione bonus.
Subclass/&ArtificerArtileristCannonsTitle	Cannoni
Subclass/&ArtificerArtilleristDescription	Sei specializzato nel lanciare proiettili e causare esplosioni.
Subclass/&ArtificerArtilleristTitle	Blaster
Subclass/&ArtificerBattleSmithDescription	Sei specializzato nell'uso di armi magiche in combattimento.
Subclass/&ArtificerBattleSmithTitle	Fabbro d'armi
Subclass/&ArtificerSpellcastingDescription	Lancia incantesimi da Riparatore.
Subclass/&ArtificerSpellcastingTitle	Incantesimi da Riparatore
Subclass/&AttackModifierArtificerBattleSmithWeaponDescription	I tuoi attacchi contano come magici e usi la tua Intelligenza per i tiri per colpire e per i danni.
Subclass/&AttackModifierArtificerBattleSmithWeaponTitle	Arma infusa
Subclass/&AttackModifierArtificerBlindingWeaponDescription	Un'arma a tua scelta che ottiene la capacità di accecare i bersagli se colpiti (contro un Tiro Salvezza su Costituzione). Puoi avere solo una di ciascuna infusione attiva alla volta. Attivandolo una seconda volta si annullerà la prima.
Subclass/&AttackModifierArtificerBlindingWeaponTitle	Arma accecante
Subclass/&AttackModifierArtificerEnhancedArmorDescription	Un'armatura che scegli diventa magica e fornisce +1 CA addizionale. Puoi avere un'infusione attiva solo una volta. Attivandolo una seconda volta si annullerà la prima.
Subclass/&AttackModifierArtificerEnhancedArmorTitle	Armatura potenziata
Subclass/&AttackModifierArtificerEnhancedFocusDescription	Un focus di incantamento che scegli diventa magico e guadagna +1 ai tiri per colpire e alla CD dei tiri salvezza degli incantesimi. Puoi avere solo una di ciascuna infusione attiva alla volta. Attivandolo una seconda volta si annullerà la prima.
Subclass/&AttackModifierArtificerEnhancedFocusTitle	Messa a fuoco migliorata
Subclass/&AttackModifierArtificerEnhancedWeaponDescription	Un'arma che scegli diventa magica e guadagna +1 ai tiri per colpire e per i danni. Puoi avere solo una di ciascuna infusione attiva alla volta. Attivandolo una seconda volta si annullerà la prima.
Subclass/&AttackModifierArtificerEnhancedWeaponTitle	Arma potenziata
Subclass/&AttackModifierArtificerImprovedEnhancedArmorDescription	Un'armatura che scegli diventa magica e fornisce +2 CA. Puoi avere solo una di ciascuna infusione attiva alla volta. Attivandolo una seconda volta si annullerà la prima.
Subclass/&AttackModifierArtificerImprovedEnhancedArmorTitle	Armatura migliorata migliorata
Subclass/&AttackModifierArtificerImprovedEnhancedFocusDescription	Un focus di incantamento che scegli diventa magico e guadagna +2 ai tiri per colpire e alla CD dei tiri salvezza degli incantesimi. Puoi avere solo una di ciascuna infusione attiva alla volta. Attivandolo una seconda volta si annullerà la prima.
Subclass/&AttackModifierArtificerImprovedEnhancedFocusTitle	Messa a fuoco migliorata migliorata
Subclass/&AttackModifierArtificerImprovedEnhancedWeaponDescription	Tocca un'arma e diventa magica e guadagna +2 ai tiri per colpire e per i danni. Puoi avere solo una di ciascuna infusione attiva alla volta. Attivandolo una seconda volta si annullerà la prima.
Subclass/&AttackModifierArtificerImprovedEnhancedWeaponTitle	Arma potenziata migliorata
Subclass/&AttackModifierImprovedArtificerBattleSmithWeaponDescription	Infondi la tua arma con il potere. I tuoi attacchi contano come magici e aggiungi +7 ai tuoi tiri per colpire e per i danni.
Subclass/&AttackModifierImprovedArtificerBattleSmithWeaponTitle	Arma infusa migliorata
Subclass/&AttackModifierMeleeWizardArcaneWeaponDescription	Quando è attivo su un'arma, i suoi attacchi contano come magici e usi la tua Intelligenza per i tiri per colpire e per i danni.
Subclass/&AttackModifierMeleeWizardArcaneWeaponTitle	Arma Arcana
Subclass/&AttributeModifierArtificerBattleSmithExtraAttackDescription	Ottieni un attacco extra.
Subclass/&AttributeModifierArtificerBattleSmithExtraAttackTitle	Attacco extra
Subclass/&AttributeModifierMeleeWizardExtraAttackDescription	Ottieni un attacco extra.
Subclass/&AttributeModifierMeleeWizardExtraAttackTitle	Attacco extra
Subclass/&BarbarianPathOfTheLightDescription	I barbari che seguono il Sentiero della Luce illuminano l'oscurità e proteggono i loro alleati dai pericoli che si annidano al suo interno.
Subclass/&BarbarianPathOfTheLightEyesOfTruthDescription	Sei sempre sotto gli effetti di un incantesimo Vedere Invisibilità.
Subclass/&BarbarianPathOfTheLightEyesOfTruthTitle	Occhi di verità
Subclass/&BarbarianPathOfTheLightIlluminatedConditionDescription	Distratto da Colpo Illuminante.
Subclass/&BarbarianPathOfTheLightIlluminatedConditionTitle	Illuminato
Subclass/&BarbarianPathOfTheLightIlluminatedDisadvantageDescription	Svantaggio su qualsiasi tiro per colpire che non sia contro il barbaro Sentiero della Luce.
Subclass/&BarbarianPathOfTheLightIlluminatedPreventInvisibilityDescription	Non può diventare invisibile.
Subclass/&BarbarianPathOfTheLightIlluminatingBurstDescription	Nel turno in cui entri nella tua rabbia, puoi scegliere di illuminare fino a tre nemici entro 9 metri da te. Devono superare un tiro salvezza di Costituzione (CD pari a 8 + il tuo bonus di competenza + il tuo modificatore di Costituzione) o subire 4d6 danni radianti ed essere illuminati dal tuo Colpo Illuminante per 1 minuto. Una creatura illuminata in questo modo effettua un altro tiro salvezza di Costituzione alla fine di ogni suo turno. Se riesce, l'effetto termina.
Subclass/&BarbarianPathOfTheLightIlluminatingBurstPowerDescription	Fino a tre nemici effettuano un tiro salvezza su Costituzione o subiscono 4d6 danni radianti e vengono illuminati dal tuo Colpo Illuminante.
Subclass/&BarbarianPathOfTheLightIlluminatingBurstPowerTitle	Esplosione illuminante
Subclass/&BarbarianPathOfTheLightIlluminatingBurstTitle	Esplosione illuminante
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeDescription	Mentre sei in collera, la prima creatura che colpisci con un attacco nel tuo turno subisce 1d6 danni radianti aggiuntivi e diventa magicamente illuminata fino all'inizio del tuo prossimo turno. Inoltre, la creatura ha svantaggio su qualsiasi tiro per colpire che non è contro di te e non può diventare invisibile.
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeImprovementDescription	Il danno aggiuntivo inflitto da Colpo Illuminante aumenta a 2d6.
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeImprovementTitle	Miglioramento Colpo Illuminante
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeTitle	Colpo Illuminante
Subclass/&BarbarianPathOfTheLightLightsProtectionDescription	Recuperi punti ferita pari alla metà del tuo livello da barbaro quando una creatura ostile influenzata dal tuo Colpo Illuminante muore. Inoltre, non provochi più attacchi di opportunità dalle creature influenzate dal tuo Colpo Illuminante.
Subclass/&BarbarianPathOfTheLightLightsProtectionTitle	La protezione della luce
Subclass/&BarbarianPathOfTheLightPierceTheDarknessDescription	Ottieni una scurovisione superiore.
Subclass/&BarbarianPathOfTheLightPierceTheDarknessTitle	Perfora l'oscurità
Subclass/&BarbarianPathOfTheLightSeeingInvisibleConditionDescription	Può percepire creature invisibili.
Subclass/&BarbarianPathOfTheLightSeeingInvisibleConditionTitle	Vista dell'invisibilità
Subclass/&BarbarianPathOfTheLightTitle	Via della Luce
Subclass/&BloodWitchDescription	Proibita dalla maggior parte delle congreghe delle streghe, la magia del sangue è incentrata sull'uso di incantesimi oscuri e malefici mortali che attingono dall'essenza stessa dell'incantatore. È fondamentalmente più pericoloso di altri mestieri delle streghe, ma i suoi numerosi rischi comportano abbondanti ricompense.
Subclass/&BloodWitchMagicDescription	Ottieni i seguenti incantesimi. Questi incantesimi contano per te come incantesimi da Strega e non contano sul numero totale di incantesimi conosciuti:\n {0}
Subclass/&BloodWitchMagicTitle	Magia del sangue
Subclass/&BloodWitchTitle	Strega del Sangue
Subclass/&CancelCancelElixirFlyDescription	Termina la condizione di mosca dall'elisir del creatore di pozioni.
Subclass/&CancelCancelElixirFlyTitle	Annulla Vola
Subclass/&CancelCancelElixirResilienceDescription	Termina la condizione Resilienza dall'elisir del creatore di pozioni.
Subclass/&CancelCancelElixirResilienceTitle	Annulla resilienza
Subclass/&CancelCancelElixirSwiftnessDescription	Termina la condizione Rapidità dall'elisir Potion Maker.
Subclass/&CancelCancelElixirSwiftnessTitle	Annulla rapidità
Subclass/&ClassMonkTraditionDescription	Al 3° livello, scegli la via spirituale che segui verso l'illuminazione. Darà forma al modo in cui manipoli il ki.
Subclass/&ClassMonkTraditionTitle	Tradizioni monastiche
Subclass/&ClassMonkTraditionWayOfTheOpenHandDescription	I monaci della Via della Mano Aperta sono i massimi maestri del combattimento di arti marziali, armati o disarmati. Imparano le tecniche per spingere e inciampare i loro avversari, manipolare il ki per curare i danni ai loro corpi e praticano la meditazione avanzata che può proteggerli dai danni.
Subclass/&ClassMonkTraditionWayOfTheOpenHandTitle	Via della Mano Aperta
Subclass/&ClassMonkTraditionZenArcherDescription	I praticanti della Via della Mano Lontana si allenano a fare delle frecce un'estensione delle loro mani. Sono abili nell'uso degli archi e nel fornire effetti potenziati dal ki attraverso le frecce.
Subclass/&ClassMonkTraditionZenArcherTitle	Via della mano lontana
Subclass/&ClassWarlockPatronDescription	Uno Stregone è definito da un patto con un essere ultraterreno. A volte la relazione tra Warlock e patrono è come quella tra un chierico e una divinità, sebbene gli esseri che servono come patroni non siano dei.
Subclass/&ClassWarlockPatronTitle	Patrono ultraterreno
Subclass/&ConditionResistantArmorTitle	Armatura resistente
Subclass/&ConditionResistnatArmorDescription	La tua armatura è resistente ai danni da acido, freddo, fuoco, forza, fulmine, necrotico, veleno, psichico, radioso e tuono.
Subclass/&ConditionSpellShieldArcaneDeflectionDescription	Puoi usare i tuoi poteri arcani per proteggerti come reazione. Questo ti dà +3 alla tua CA fino al tuo prossimo turno.
Subclass/&ConditionSpellShieldArcaneDeflectionTitle	Deviazione Arcana
Subclass/&ConditionTransmuteConstitutionSaveDescription	Costituzione temporanea salva la competenza concessa dal potere della Forza di Trasmutazione.
Subclass/&ConditionTransmuteConstitutionSaveTitle	La costituzione salva
Subclass/&ConditionTransmutePoisonDescription	Resistenza temporanea di acido, freddo, fuoco, fulmine, necrotico, veleno e tuono concessa dal potere della Forza di Trasmutazione.
Subclass/&ConditionTransmutePoisonTitle	Resistenza Elementale
Subclass/&CraftingTinkererMagicItemAdeptDescription	Sei abile nel creare oggetti magici. Ti ci vuole 1/4 del tempo per creare oggetti e applichi il doppio del tuo bonus di competenza durante la creazione.
Subclass/&CraftingTinkererMagicItemAdeptTitle	Esperto di oggetti magici
Subclass/&DHWarlockSubclassElementalPatronDescription	Sei stato stretto un patto e sei stato cambiato dai primordiali presenti nei calanchi elementali. Il caos elementale del patrono ha soffuso la tua anima, permettendoti di usare il potere di diversi tipi elementali.
Subclass/&DHWarlockSubclassElementalPatronTitle	Patto Elementalista
Subclass/&DHWarlockSubclassRiftWalkerDescription	Il tuo patrono è uno dei rari esseri che chiama il vuoto tra i mondi la loro casa. Scivolano tra i piani con facilità e la conoscenza che hai acquisito interagendo con loro ti consente di sfruttare le energie di spaccatura persistenti a tuo vantaggio all'interno di solasta. A volte potresti essere pieno di desiderio per il regno lontano del tuo patrono, un desiderio di vagare tra le dimensioni per il resto dei tuoi giorni, o guardare i segni di un altro evento di Rift, per prevenire o incoraggiare.
Subclass/&DHWarlockSubclassRiftWalkerTitle	Patto di Rift Walker
Subclass/&DruidForestGuardianDruidSubclassDescription	I druidi del Circolo dei Guardiani della Foresta hanno giurato di proteggere le foreste e tutto ciò che vi abita. Abili nell'uso della magia dell'abiura e del combattimento marziale, i membri di questo circolo druidico sono temibili avversari sul campo di battaglia.
Subclass/&DruidForestGuardianDruidSubclassTitle	Circolo del Guardiano della Foresta
Subclass/&EquipmentModifierArtificerBagOfHolderDescription	Tocca una borsa e infondi uno spazio extra dimensionale per aiutarla a sostenere più peso senza ingombrarti. Puoi avere solo una di ciascuna infusione attiva alla volta. Attivandolo una seconda volta si annullerà la prima.
Subclass/&EquipmentModifierArtificerBagOfHolderTitle	Borsa da tenere
Subclass/&FighterMarshalCoordinatedAttackDescription	Quando colpisci un nemico con un attacco in mischia, i tuoi alleati possono usare la loro reazione per effettuare un attacco di opportunità contro il tuo bersaglio.
Subclass/&FighterMarshalCoordinatedAttackTitle	Attacco coordinato
Subclass/&FighterMarshalDescription	Abili nello studio delle debolezze dei nemici e nel coordinare gli attacchi degli altri membri del gruppo per sfruttarli, i combattenti che si sono allenati in questa parte marziale sono famosi ochestratori del campo di battaglia.
Subclass/&FighterMarshalEncouragementPowerDescription	Il coraggio del maresciallo ispira il suo membro del partito. Gli alleati entro 3 metri da lui aggiungono 1d4 al tiro per colpire e al tiro salvezza.
Subclass/&FighterMarshalEncouragementPowerTitle	Incoraggiamento
Subclass/&FighterMarshalEternalComradeFeatureSetDescription	Il legame tra il maresciallo e il suo compagno supera il confine tra la vita e la morte. Come azione bonus, il maresciallo può evocare uno spirito dei suoi compagni caduti per aiutarlo in combattimento.
Subclass/&FighterMarshalEternalComradeFeatureSetTitle	Compagno eterno
Subclass/&FighterMarshalFearlessCommanderFeatureSetDescription	Sei immune all'effetto paura.
Subclass/&FighterMarshalFearlessCommanderFeatureSetTitle	Comandante senza paura
Subclass/&FighterMarshalKnowYourEnemyFeatureSetDescription	Aggiungi il tuo livello di conoscenza del tuo attuale bersaglio ai tuoi tiri per colpire e per i danni.
Subclass/&FighterMarshalKnowYourEnemyFeatureSetTitle	Conosci il tuo nemico
Subclass/&FighterMarshalStudyYourEnemyPowerDescription	Come azione bonus, puoi tentare di aumentare le tue conoscenze sul tuo bersaglio tirando una prova di Sopravvivenza. Puoi farlo due volte per riposo breve.
Subclass/&FighterMarshalStudyYourEnemyPowerTitle	Studia il tuo nemico
Subclass/&FighterMarshalSummonEternalComradePowerDescription	Evoca 1 spirito del compagno caduto del maresciallo. Ogni spirito ha 45 + il doppio del tuo livello di Combattente in HP e la sua CA è 16 + il tuo bonus di competenza. Gli spiriti sono immuni alle condizioni di veleno, freddo, necrotico, prono, paralizzato e trattenuto. Gli spiriti hanno resistenza ai danni da fuoco, acido, fulmini e tuoni e hanno resistenza ai danni taglienti, contundenti e perforanti non magici. Nel loro turno, possono volare fino a 50 piedi ed effettuare un singolo attacco con arma da mischia che infligge 2d6 + 5 danni magici taglienti con un bonus di 5 + bonus di competenza per colpire.
Subclass/&FighterMarshalSummonEternalComradePowerTitle	Evoca compagno eterno
Subclass/&FighterMarshalTitle	Maresciallo
Subclass/&FighterRoyalKnightDescription	Un cavaliere che ispira grandezza negli altri commettendo azioni coraggiose in battaglia. Un cavaliere solitario è un abile guerriero, ma chi guida una banda di alleati può trasformare anche la milizia meno equipaggiata in una feroce banda da guerra.
Subclass/&FighterRoyalKnightTitle	Cavaliere Reale
Subclass/&FighterSpellShieldDescription	Gli Spell Shields sono combattenti specializzati in difesa e protezione. Usano la magia per aiutare le loro capacità naturali.
